Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,49.99,50.26,48.66,48.98,303600,48.98
2014-12-30,49.67,50.13,49.64,50.00,10900,50.00
2014-12-29,49.24,50.56,48.64,49.75,381100,49.75
2014-12-26,49.53,49.60,48.91,49.18,175600,49.18
2014-12-24,49.95,50.20,49.20,49.30,152800,49.30
2014-12-23,49.25,50.37,48.85,49.88,317200,49.88
2014-12-22,47.21,49.26,47.21,49.10,325900,49.10
2014-12-19,49.00,49.00,47.05,47.27,588800,47.27
2014-12-18,51.59,51.59,48.88,49.08,739200,49.08
2014-12-17,48.12,51.91,48.12,51.34,534300,51.34
2014-12-16,48.00,48.78,47.36,48.28,355900,48.28
2014-12-15,46.01,49.67,45.26,48.34,724900,48.34
2014-12-12,43.90,46.25,43.82,46.02,757400,46.02
2014-12-11,42.57,44.94,41.02,44.57,2203400,44.57
2014-12-10,38.13,38.74,37.47,37.76,281200,37.76
2014-12-09,37.89,38.53,37.89,38.31,427100,38.31
2014-12-08,38.95,39.57,38.28,38.37,524100,38.37
2014-12-05,39.65,40.40,38.87,38.99,338400,38.99
2014-12-04,40.95,41.13,39.65,39.67,332000,39.67
2014-12-03,40.81,41.60,40.66,41.02,318200,41.02
2014-12-02,42.32,43.22,40.54,40.74,595000,40.74
2014-12-01,42.60,42.82,42.18,42.25,451900,42.25
2014-11-28,42.55,43.27,42.50,42.60,207200,42.60
2014-11-26,42.70,43.17,42.50,42.61,201100,42.61
2014-11-25,43.51,43.78,42.42,42.82,393300,42.82
2014-11-24,41.47,43.43,41.17,43.32,514200,43.32
2014-11-21,41.85,42.33,40.91,41.32,316200,41.32
2014-11-20,41.64,41.64,40.76,41.35,537800,41.35
2014-11-19,43.36,43.87,41.64,41.69,375500,41.69
2014-11-18,45.49,46.05,43.46,43.48,393300,43.48
2014-11-17,46.04,46.35,45.30,45.53,219000,45.53
2014-11-14,46.12,46.81,45.73,46.38,270600,46.38
2014-11-13,48.13,48.34,46.02,46.22,371900,46.22
2014-11-12,47.09,48.21,47.09,48.14,209000,48.14
2014-11-11,47.44,47.51,46.25,47.22,360900,47.22
2014-11-10,48.37,48.37,47.23,47.46,422300,47.46
2014-11-07,45.97,49.62,45.00,48.47,1172400,48.47
2014-11-06,54.44,54.62,53.86,54.25,304000,54.25
2014-11-05,53.93,54.40,53.90,54.33,157800,54.33
2014-11-04,53.25,54.40,53.25,53.90,211500,53.90
2014-11-03,53.64,53.70,52.90,53.34,302400,53.34
2014-10-31,54.04,54.37,53.50,53.67,281600,53.67
2014-10-30,52.44,53.52,52.28,52.96,228500,52.96
2014-10-29,53.62,54.03,52.41,52.61,261200,52.61
2014-10-28,52.23,53.73,51.82,53.48,180500,53.48
2014-10-27,50.55,51.95,49.99,51.87,201100,51.87
2014-10-24,49.63,50.96,49.31,50.75,223700,50.75
2014-10-23,49.80,50.52,49.35,49.75,282900,49.75
2014-10-22,49.74,50.62,48.94,49.33,328500,49.33
2014-10-21,49.68,50.18,49.15,49.67,351000,49.67
2014-10-20,49.26,49.76,48.89,49.46,238400,49.46
2014-10-17,50.98,50.98,49.54,49.60,219900,49.60
2014-10-16,50.03,50.84,49.39,50.28,260900,50.28
2014-10-15,48.18,50.49,47.72,50.28,397600,50.28
2014-10-14,48.26,49.71,48.26,48.92,300500,48.92
2014-10-13,46.75,48.17,46.55,47.83,264800,47.83
2014-10-10,46.64,47.70,46.44,46.70,268200,46.70
2014-10-09,47.62,48.44,46.83,46.87,360500,46.87
2014-10-08,46.00,47.77,45.45,47.66,323500,47.66
2014-10-07,45.97,46.45,45.57,46.17,386700,46.17
2014-10-06,45.32,46.08,45.13,46.02,266400,46.02
2014-10-03,46.43,46.44,45.06,45.40,290300,45.40
2014-10-02,45.39,46.49,45.39,45.92,223800,45.92
2014-10-01,46.46,46.72,45.39,45.51,375600,45.51
2014-09-30,46.19,46.86,45.69,46.59,497500,46.59
2014-09-29,44.65,46.27,44.42,46.24,399800,46.24
2014-09-26,44.29,45.32,44.06,45.26,559800,45.26
2014-09-25,44.10,44.63,43.00,44.25,455800,44.25
2014-09-24,44.33,44.45,43.82,44.18,631400,44.18
2014-09-23,45.79,45.86,44.31,44.33,498900,44.33
2014-09-22,46.83,46.83,45.63,45.89,368600,45.89
2014-09-19,48.48,48.65,46.66,47.01,357900,47.01
2014-09-18,48.44,48.71,48.06,48.46,283300,48.46
2014-09-17,47.96,48.87,47.47,48.31,587400,48.31
2014-09-16,49.33,49.62,47.60,47.85,275400,47.85
2014-09-15,49.92,50.20,48.82,49.38,314800,49.38
2014-09-12,49.70,51.11,49.43,50.04,682600,50.04
2014-09-11,48.61,48.68,47.73,48.57,207700,48.57
2014-09-10,47.32,48.67,47.28,48.41,349100,48.41
2014-09-09,47.49,48.00,46.48,47.33,290900,47.33
2014-09-08,48.09,48.14,46.02,47.54,193900,47.54
2014-09-05,47.97,48.32,47.63,48.04,258100,48.04
2014-09-04,48.60,48.92,48.11,48.18,169900,48.18
2014-09-03,49.60,49.68,48.27,48.39,278400,48.39
2014-09-02,49.89,50.28,49.25,49.34,270400,49.34
2014-08-29,48.82,49.71,48.03,49.60,148100,49.60
2014-08-28,49.86,50.19,48.74,48.78,147500,48.78
2014-08-27,49.97,50.40,49.97,50.09,206700,50.09
2014-08-26,49.10,50.14,49.01,50.12,341000,50.12
2014-08-25,50.23,50.23,48.82,49.10,244800,49.10
2014-08-22,50.31,50.71,49.85,49.89,183800,49.89
2014-08-21,50.30,50.43,49.52,50.27,211900,50.27
2014-08-20,50.66,51.00,50.12,50.34,205300,50.34
2014-08-19,50.25,51.04,50.24,50.78,391900,50.78
2014-08-18,49.73,50.34,49.51,50.27,318300,50.27
2014-08-15,50.76,50.76,49.05,49.28,424900,49.28
2014-08-14,50.16,50.83,49.63,50.37,294100,50.37
2014-08-13,50.55,50.99,50.22,50.31,257000,50.31
2014-08-12,49.78,50.50,49.44,50.26,266400,50.26
2014-08-11,49.37,50.14,49.24,49.87,206400,49.87
2014-08-08,48.94,49.29,48.73,49.02,157900,49.02
2014-08-07,48.56,49.19,48.12,48.87,218200,48.87
2014-08-06,47.58,48.65,47.45,48.31,285400,48.31
2014-08-05,46.61,48.02,46.42,47.82,388600,47.82
2014-08-04,47.68,47.68,46.37,46.89,458100,46.89
2014-08-01,51.79,51.79,47.10,47.63,615100,47.63
2014-07-31,50.56,50.87,50.00,50.14,304700,50.14
2014-07-30,51.40,51.74,50.75,51.26,232900,51.26
2014-07-29,51.70,52.22,51.14,51.36,354300,51.36
2014-07-28,51.75,52.40,51.20,51.66,184700,51.66
2014-07-25,51.20,51.85,50.79,51.73,170100,51.73
2014-07-24,50.34,51.92,50.34,51.74,320400,51.74
2014-07-23,50.27,50.80,49.83,50.13,88800,50.13
2014-07-22,50.33,51.18,49.96,50.25,124900,50.25
2014-07-21,49.46,50.64,49.46,49.90,241700,49.90
2014-07-18,49.68,50.74,49.63,50.36,156500,50.36
2014-07-17,50.05,50.81,49.40,49.95,195500,49.95
2014-07-16,51.18,51.22,50.05,50.38,176100,50.38
2014-07-15,51.46,51.69,50.68,50.82,134900,50.82
2014-07-14,51.19,51.79,50.55,51.53,133000,51.53
2014-07-11,50.70,51.12,50.38,50.66,105400,50.66
2014-07-10,51.20,51.35,50.25,50.85,219300,50.85
2014-07-09,51.56,52.40,51.26,52.22,182000,52.22
2014-07-08,55.22,55.22,51.01,51.45,218100,51.45
2014-07-07,52.15,52.15,51.23,51.65,233700,51.65
2014-07-03,51.98,52.46,51.43,52.23,85300,52.23
2014-07-02,51.72,52.18,51.16,51.85,141500,51.85
2014-07-01,52.00,52.73,51.79,51.85,186900,51.85
2014-06-30,50.30,52.07,50.30,51.85,311300,51.85
2014-06-27,50.54,50.93,49.99,50.54,281000,50.54
2014-06-26,50.90,51.18,50.32,51.00,188400,51.00
2014-06-25,51.02,52.26,50.71,50.93,218200,50.93
2014-06-24,51.22,52.06,50.86,51.22,186300,51.22
2014-06-23,51.30,51.49,50.73,51.43,141500,51.43
2014-06-20,52.46,52.61,50.60,51.29,438800,51.29
2014-06-19,52.38,52.82,51.56,52.00,260700,52.00
2014-06-18,50.75,52.46,50.31,52.17,243300,52.17
2014-06-17,49.96,51.07,49.94,50.85,304500,50.85
2014-06-16,49.80,50.18,49.63,49.91,370000,49.91
2014-06-13,49.89,50.26,49.12,49.93,172500,49.93
2014-06-12,50.74,50.74,49.08,49.62,306300,49.62
2014-06-11,50.82,51.73,50.17,50.93,213200,50.93
2014-06-10,51.11,51.44,50.31,50.95,159900,50.95
2014-06-09,50.90,52.30,50.83,51.21,159500,51.21
2014-06-06,51.52,52.23,50.88,51.02,154800,51.02
2014-06-05,50.72,51.62,50.27,51.17,190400,51.17
2014-06-04,49.95,51.15,49.87,50.71,308700,50.71
2014-06-03,48.42,50.70,48.05,50.41,376900,50.41
2014-06-02,48.45,48.96,47.69,48.55,246500,48.55
2014-05-30,49.19,49.27,48.05,48.39,193300,48.39
2014-05-29,49.48,49.72,48.92,49.04,160300,49.04
2014-05-28,49.68,50.56,49.09,49.15,197200,49.15
2014-05-27,48.70,50.08,48.14,49.90,415400,49.90
2014-05-23,47.94,48.98,47.63,48.34,295200,48.34
2014-05-22,48.45,49.23,47.77,47.87,218000,47.87
2014-05-21,47.42,49.64,47.24,48.43,407500,48.43
2014-05-20,49.35,49.63,46.88,47.28,729500,47.28
2014-05-19,50.10,50.84,49.43,49.66,288600,49.66
2014-05-16,49.88,50.86,49.80,50.46,360100,50.46
2014-05-15,48.93,50.33,48.29,50.16,411400,50.16
2014-05-14,50.08,50.49,49.09,49.29,335700,49.29
2014-05-13,52.64,54.19,50.17,50.33,305500,50.33
2014-05-12,50.46,53.34,50.30,52.62,315400,52.62
2014-05-09,50.26,51.99,46.58,50.25,835900,50.25
2014-05-08,52.13,54.02,51.06,51.27,408500,51.27
2014-05-07,55.68,55.98,52.24,52.29,461600,52.29
2014-05-06,56.35,57.07,55.38,55.53,174900,55.53
2014-05-05,55.88,57.04,55.41,56.79,187700,56.79
2014-05-02,56.83,59.56,54.09,56.48,224400,56.48
2014-05-01,56.99,57.82,55.54,56.49,318800,56.49
2014-04-30,57.29,58.15,56.96,57.26,188400,57.26
2014-04-29,57.34,58.10,54.74,57.51,151400,57.51
2014-04-28,57.93,57.93,55.08,56.87,302300,56.87
2014-04-25,58.52,59.09,57.45,57.58,189100,57.58
2014-04-24,60.42,60.42,58.59,58.93,188100,58.93
2014-04-23,60.94,61.44,59.76,59.99,143500,59.99
2014-04-22,60.32,61.81,59.53,60.94,118800,60.94
2014-04-21,60.46,60.60,59.79,60.41,94000,60.41
2014-04-17,60.23,61.46,59.68,60.46,139500,60.46
2014-04-16,60.29,60.75,59.21,60.67,204800,60.67
2014-04-15,59.56,60.05,57.62,59.72,208200,59.72
2014-04-14,58.55,59.43,57.49,59.21,209000,59.21
2014-04-11,60.09,61.74,57.64,57.83,333800,57.83
2014-04-10,62.69,63.60,60.14,60.69,150000,60.69
2014-04-09,62.22,63.10,61.18,62.96,127100,62.96
2014-04-08,60.50,61.92,59.94,61.45,144100,61.45
2014-04-07,62.36,63.48,59.66,60.25,268700,60.25
2014-04-04,66.00,66.00,62.78,62.78,450100,62.78
2014-04-03,65.61,66.04,64.74,65.72,157100,65.72
2014-04-02,65.12,65.64,64.49,65.34,106900,65.34
2014-04-01,64.51,65.44,64.08,65.03,152700,65.03
2014-03-31,63.62,64.52,63.31,64.25,170500,64.25
2014-03-28,62.83,64.00,62.08,63.07,317000,63.07
2014-03-27,63.44,63.63,62.18,62.88,205700,62.88
2014-03-26,65.13,65.13,63.17,63.23,211600,63.23
2014-03-25,66.33,67.00,64.79,64.85,257000,64.85
2014-03-24,67.48,67.91,65.05,66.16,135700,66.16
2014-03-21,69.54,70.14,67.38,67.55,232800,67.55
2014-03-20,68.04,69.71,67.90,69.55,168900,69.55
2014-03-19,68.62,68.65,67.73,68.29,134900,68.29
2014-03-18,67.42,68.92,67.17,68.61,117500,68.61
2014-03-17,67.38,67.76,66.81,67.30,151600,67.30
2014-03-14,66.32,67.23,66.32,66.90,138100,66.90
2014-03-13,66.36,67.82,65.88,66.69,321100,66.69
2014-03-12,66.37,66.38,65.43,65.87,360800,65.87
2014-03-11,68.30,68.69,66.50,66.55,228300,66.55
2014-03-10,67.28,68.39,66.82,68.11,348000,68.11
2014-03-07,66.95,67.64,66.44,67.23,150500,67.23
2014-03-06,66.93,67.10,66.04,66.83,216200,66.83
2014-03-05,67.00,68.24,65.89,66.79,358400,66.79
2014-03-04,65.14,66.96,64.80,66.79,302100,66.79
2014-03-03,63.64,64.24,62.75,64.20,191600,64.20
2014-02-28,64.17,64.35,63.80,64.08,172500,64.08
2014-02-27,64.29,64.47,63.81,63.99,357200,63.99
2014-02-26,64.34,65.55,63.95,64.29,178600,64.29
2014-02-25,64.43,64.81,63.76,64.13,269900,64.13
2014-02-24,64.96,65.17,64.27,64.32,295500,64.32
2014-02-21,64.48,65.54,63.90,64.73,262600,64.73
2014-02-20,64.00,64.72,63.28,64.05,292900,64.05
2014-02-19,62.42,64.50,62.05,63.82,371500,63.82
2014-02-18,61.54,63.09,61.38,62.78,529400,62.78
2014-02-14,60.62,61.51,60.12,61.42,225600,61.42
2014-02-13,59.51,60.69,59.51,60.67,134100,60.67
2014-02-12,59.24,60.17,59.00,59.93,424600,59.93
2014-02-11,59.08,59.94,57.76,59.24,205800,59.24
2014-02-10,58.35,61.30,58.07,59.25,389200,59.25
2014-02-07,58.05,60.00,54.79,58.55,1265800,58.55
2014-02-06,59.09,61.48,57.75,61.11,320400,61.11
2014-02-05,59.99,61.25,58.76,58.99,299900,58.99
2014-02-04,61.93,62.53,59.87,60.19,284800,60.19
2014-02-03,63.27,63.80,61.02,61.67,299800,61.67
2014-01-31,63.61,64.80,63.21,63.31,235300,63.31
2014-01-30,63.82,65.54,63.55,64.78,139200,64.78
2014-01-29,63.38,63.78,62.66,63.44,250400,63.44
2014-01-28,63.14,64.19,62.97,63.86,301200,63.86
2014-01-27,63.83,63.94,63.04,63.14,257900,63.14
2014-01-24,63.03,64.66,62.29,63.84,236200,63.84
2014-01-23,63.14,63.89,62.73,63.61,191800,63.61
2014-01-22,63.50,63.58,61.99,63.53,199500,63.53
2014-01-21,62.09,62.49,61.32,62.17,148400,62.17
2014-01-17,60.77,61.72,60.18,61.54,184600,61.54
2014-01-16,60.66,61.11,59.73,60.83,120500,60.83
2014-01-15,61.27,61.82,60.42,60.58,121400,60.58
2014-01-14,59.94,61.74,59.39,61.49,205200,61.49
2014-01-13,60.01,60.20,59.00,59.54,164600,59.54
2014-01-10,61.36,62.03,59.49,60.06,301800,60.06
2014-01-09,62.17,62.94,60.96,61.32,176000,61.32
2014-01-08,60.54,61.94,60.20,61.84,235100,61.84
2014-01-07,60.39,61.24,60.24,60.76,196100,60.76
2014-01-06,61.99,61.99,59.76,60.03,213300,60.03
2014-01-03,61.05,61.97,60.20,61.69,148200,61.69
2014-01-02,63.21,63.21,60.70,61.05,187200,61.05
2013-12-31,62.77,64.49,62.61,63.67,434300,63.67
2013-12-30,62.95,63.04,62.14,62.48,122100,62.48
2013-12-27,63.00,63.12,62.34,62.94,94800,62.94
2013-12-26,63.25,63.53,62.41,62.93,184800,62.93
2013-12-24,62.71,63.57,62.24,62.83,133600,62.83
2013-12-23,63.20,63.42,62.62,62.84,172300,62.84
2013-12-20,61.95,63.15,61.02,62.89,334000,62.89
2013-12-19,63.03,63.31,61.34,61.67,151100,61.67
2013-12-18,63.25,63.25,61.97,62.90,188900,62.90
2013-12-17,62.36,63.58,61.86,63.25,177000,63.25
2013-12-16,61.45,62.89,61.00,62.50,193800,62.50
2013-12-13,60.97,61.65,60.67,61.06,175200,61.06
2013-12-12,61.28,61.52,60.40,60.71,184500,60.71
2013-12-11,62.39,62.39,60.71,61.25,151400,61.25
2013-12-10,63.05,64.23,62.27,62.46,267000,62.46
2013-12-09,63.63,64.20,62.33,63.15,198800,63.15
2013-12-06,62.73,64.02,62.20,63.74,135000,63.74
2013-12-05,61.58,62.34,60.85,62.12,227500,62.12
2013-12-04,59.70,63.36,59.45,61.42,171300,61.42
2013-12-03,62.54,63.62,62.04,62.56,155100,62.56
2013-12-02,64.51,65.36,62.47,62.56,131900,62.56
2013-11-29,64.97,65.98,64.27,64.72,116100,64.72
2013-11-27,63.26,64.60,63.21,64.59,151700,64.59
2013-11-26,64.00,64.00,63.12,63.42,184800,63.42
2013-11-25,61.46,64.53,61.01,63.80,495700,63.80
2013-11-22,61.22,61.73,60.78,61.16,134600,61.16
2013-11-21,60.50,61.78,60.15,61.39,117900,61.39
2013-11-20,61.22,61.37,60.02,60.47,154800,60.47
2013-11-19,61.47,62.34,60.43,60.85,137500,60.85
2013-11-18,61.75,62.93,61.52,61.63,149100,61.63
2013-11-15,62.50,62.65,61.01,61.69,294800,61.69
2013-11-14,62.08,62.68,61.56,62.40,110400,62.40
2013-11-13,62.39,62.50,61.71,62.02,119200,62.02
2013-11-12,62.42,62.98,61.86,62.57,147500,62.57
2013-11-11,62.01,62.63,60.99,62.41,191800,62.41
2013-11-08,60.30,62.35,60.19,61.91,228600,61.91
2013-11-07,60.41,61.80,59.75,60.31,405400,60.31
2013-11-06,64.67,65.67,59.56,59.82,519500,59.82
2013-11-05,69.00,69.00,64.71,65.84,598600,65.84
2013-11-04,68.81,70.11,68.45,69.40,405100,69.40
2013-11-01,68.43,68.95,67.61,68.58,241500,68.58
2013-10-31,68.83,69.68,68.41,68.60,145600,68.60
2013-10-30,69.40,70.55,68.39,68.85,111300,68.85
2013-10-29,69.42,70.25,68.68,69.47,100400,69.47
2013-10-28,69.00,69.90,68.64,69.15,92500,69.15
2013-10-25,69.59,69.63,68.58,69.17,68700,69.17
2013-10-24,67.33,69.58,67.08,69.31,81100,69.31
2013-10-23,67.12,68.24,66.79,67.24,103000,67.24
2013-10-22,68.34,68.83,67.52,67.67,161300,67.67
2013-10-21,68.17,68.30,67.13,68.04,202600,68.04
2013-10-18,67.92,68.32,66.94,68.31,228000,68.31
2013-10-17,66.60,67.64,66.60,67.39,203200,67.39
2013-10-16,66.12,67.64,65.92,67.01,210800,67.01
2013-10-15,65.03,65.89,63.57,65.73,168300,65.73
2013-10-14,63.25,65.36,63.25,65.25,222800,65.25
2013-10-11,61.47,63.65,60.56,63.47,118800,63.47
2013-10-10,60.35,61.91,59.41,61.76,133000,61.76
2013-10-09,60.26,60.97,59.46,59.72,357800,59.72
2013-10-08,60.79,61.22,60.06,60.27,148900,60.27
2013-10-07,60.62,61.06,59.87,60.56,80900,60.56
2013-10-04,60.66,61.73,60.05,61.05,73200,61.05
2013-10-03,61.38,61.74,60.22,60.87,132000,60.87
2013-10-02,59.98,61.66,59.14,61.32,147600,61.32
2013-10-01,59.90,60.98,59.15,60.23,143100,60.23
2013-09-30,58.30,59.67,58.05,59.48,94600,59.48
2013-09-27,58.20,59.29,58.05,58.95,114400,58.95
2013-09-26,58.36,58.94,58.14,58.62,97000,58.62
2013-09-25,59.54,59.54,58.07,58.18,194300,58.18
2013-09-24,59.88,60.02,58.84,59.66,75000,59.66
2013-09-23,60.40,60.40,58.87,60.01,186400,60.01
2013-09-20,59.84,60.16,59.06,59.87,166000,59.87
2013-09-19,59.47,60.10,58.18,59.85,63200,59.85
2013-09-18,58.45,59.29,57.98,59.28,105600,59.28
2013-09-17,58.02,58.70,57.75,58.62,249900,58.62
2013-09-16,59.45,59.45,57.98,58.01,140200,58.01
2013-09-13,58.87,59.99,58.16,59.10,150700,59.10
2013-09-12,58.62,59.07,57.43,58.15,69900,58.15
2013-09-11,59.36,59.96,58.45,58.57,68000,58.57
2013-09-10,59.09,59.77,58.85,59.65,136600,59.65
2013-09-09,58.00,59.00,57.78,58.90,84800,58.90
2013-09-06,56.99,58.00,55.40,57.88,122600,57.88
2013-09-05,56.62,56.88,56.22,56.62,201000,56.62
2013-09-04,53.64,56.89,53.64,56.49,69300,56.49
2013-09-03,55.36,56.27,54.55,56.20,142500,56.20
2013-08-30,56.77,56.77,54.62,54.77,97600,54.77
2013-08-29,56.92,57.63,56.73,56.95,67200,56.95
2013-08-28,57.20,58.08,56.92,57.12,102500,57.12
2013-08-27,57.53,58.25,56.98,57.36,108800,57.36
2013-08-26,56.95,58.49,56.57,58.22,221200,58.22
2013-08-23,56.79,56.81,56.01,56.80,88300,56.80
2013-08-22,56.22,56.94,55.91,56.80,47900,56.80
2013-08-21,56.56,56.71,55.75,56.19,71800,56.19
2013-08-20,55.82,56.99,55.48,56.80,65600,56.80
2013-08-19,56.05,56.73,55.57,55.87,111900,55.87
2013-08-16,55.27,56.16,55.03,55.99,122000,55.99
2013-08-15,57.52,57.53,55.46,55.63,176100,55.63
2013-08-14,59.43,59.49,57.80,57.96,89000,57.96
2013-08-13,58.65,59.56,58.36,59.45,164400,59.45
2013-08-12,57.59,58.58,57.31,58.58,86600,58.58
2013-08-09,58.60,58.60,57.27,57.78,98600,57.78
2013-08-08,60.09,60.09,58.45,58.55,104500,58.55
2013-08-07,59.85,60.20,59.51,59.80,147300,59.80
2013-08-06,59.21,60.43,59.21,60.09,195300,60.09
2013-08-05,58.59,59.93,58.19,59.53,146900,59.53
2013-08-02,58.48,59.65,57.31,58.08,176400,58.08
2013-08-01,58.50,59.11,57.02,58.84,234800,58.84
2013-07-31,57.83,58.92,57.36,58.69,171700,58.69
2013-07-30,57.18,58.23,56.92,57.84,78900,57.84
2013-07-29,56.38,57.13,56.03,56.81,82100,56.81
2013-07-26,57.23,57.38,56.26,56.47,66700,56.47
2013-07-25,56.67,57.84,56.65,57.69,78400,57.69
2013-07-24,57.11,58.13,56.38,56.70,135800,56.70
2013-07-23,56.60,57.30,56.42,57.05,124700,57.05
2013-07-22,55.81,56.53,55.50,56.44,52000,56.44
2013-07-19,55.41,56.17,54.80,56.12,126800,56.12
2013-07-18,56.13,56.41,55.59,55.65,157800,55.65
2013-07-17,56.93,57.32,56.11,56.17,67100,56.17
2013-07-16,56.97,57.05,56.40,56.85,76600,56.85
2013-07-15,56.50,56.86,55.66,56.64,106500,56.64
2013-07-12,57.08,57.35,56.21,56.33,130700,56.33
2013-07-11,55.83,57.21,55.47,57.21,163800,57.21
2013-07-10,54.56,55.93,54.56,55.25,136000,55.25
2013-07-09,55.54,55.71,52.86,54.66,246000,54.66
2013-07-08,55.10,55.27,54.29,55.19,87100,55.19
2013-07-05,55.78,55.78,54.12,55.04,89900,55.04
2013-07-03,54.66,55.18,54.27,54.84,57500,54.84
2013-07-02,54.69,55.53,54.23,55.06,97100,55.06
2013-07-01,55.17,55.27,54.68,54.79,115600,54.79
2013-06-28,54.41,55.31,53.95,54.65,167900,54.65
2013-06-27,54.47,54.71,53.93,54.65,96500,54.65
2013-06-26,54.01,54.44,53.44,54.13,120000,54.13
2013-06-25,54.18,54.18,53.27,53.67,105200,53.67
2013-06-24,53.33,54.13,52.45,53.69,139400,53.69
2013-06-21,53.26,54.62,53.25,53.61,244400,53.61
2013-06-20,53.28,54.57,52.84,53.20,176900,53.20
2013-06-19,54.41,54.90,53.82,53.83,132500,53.83
2013-06-18,54.12,54.93,53.76,54.58,102800,54.58
2013-06-17,53.68,54.01,52.89,53.95,223100,53.95
2013-06-14,53.23,53.54,52.20,53.33,130900,53.33
2013-06-13,52.46,53.53,52.14,53.37,87700,53.37
2013-06-12,53.75,53.75,52.55,52.80,116200,52.80
2013-06-11,52.27,53.82,52.21,53.42,170900,53.42
2013-06-10,52.22,52.95,52.22,52.73,155000,52.73
2013-06-07,52.51,52.74,51.40,52.52,195700,52.52
2013-06-06,51.58,52.13,50.96,52.08,167400,52.08
2013-06-05,51.93,52.15,51.37,51.72,226900,51.72
2013-06-04,52.31,52.66,51.68,52.12,214100,52.12
2013-06-03,52.79,52.92,52.01,52.40,527200,52.40
2013-05-31,51.98,52.83,51.98,52.81,195900,52.81
2013-05-30,51.88,52.58,51.44,52.40,165100,52.40
2013-05-29,51.31,52.09,51.25,51.93,274700,51.93
2013-05-28,50.54,51.85,50.18,51.74,286100,51.74
2013-05-24,49.94,50.51,49.72,50.38,107300,50.38
2013-05-23,50.19,50.99,50.02,50.19,208900,50.19
2013-05-22,51.05,51.48,49.96,50.71,302500,50.71
2013-05-21,50.20,51.59,49.96,51.15,289600,51.15
2013-05-20,49.68,50.43,49.61,50.35,282200,50.35
2013-05-17,49.17,50.52,49.17,49.96,327500,49.96
2013-05-16,49.62,50.25,49.04,49.11,426800,49.11
2013-05-15,49.00,49.99,48.60,49.85,245700,49.85
2013-05-14,48.26,49.75,48.26,49.07,413400,49.07
2013-05-13,49.98,50.25,49.14,49.64,267000,49.64
2013-05-10,46.66,50.97,46.66,49.89,803000,49.89
2013-05-09,46.00,46.10,45.37,45.67,387400,45.67
2013-05-08,44.60,46.33,44.45,45.99,558500,45.99
2013-05-07,46.00,46.00,44.20,44.58,793700,44.58
2013-05-06,48.01,48.39,45.50,46.00,2380700,46.00
2013-05-03,50.04,50.04,47.98,48.11,360200,48.11
2013-05-02,49.04,50.18,48.92,49.54,186600,49.54
2013-05-01,48.94,49.22,48.56,48.78,250300,48.78
2013-04-30,48.54,49.20,48.09,49.15,228600,49.15
2013-04-29,47.19,48.49,46.88,48.47,159200,48.47
2013-04-26,47.17,47.41,46.92,47.15,153100,47.15
2013-04-25,46.90,47.30,46.81,47.16,337400,47.16
2013-04-24,47.02,47.20,46.54,46.82,178300,46.82
2013-04-23,47.35,48.03,46.62,47.15,225000,47.15
2013-04-22,47.25,47.40,46.29,47.07,264300,47.07
2013-04-19,47.74,48.00,46.89,47.06,313900,47.06
2013-04-18,49.39,49.63,47.55,47.87,258000,47.87
2013-04-17,51.19,51.44,49.05,49.19,260500,49.19
2013-04-16,51.96,51.96,51.24,51.41,202600,51.41
2013-04-15,52.32,52.32,51.27,51.66,297000,51.66
2013-04-12,52.54,52.98,52.01,52.62,304600,52.62
2013-04-11,52.68,53.16,52.31,52.90,373300,52.90
2013-04-10,50.68,52.69,50.33,52.57,179700,52.57
2013-04-09,50.98,51.20,50.42,50.56,111800,50.56
2013-04-08,50.93,51.00,50.37,50.92,108800,50.92
2013-04-05,50.38,51.19,50.21,50.94,101900,50.94
2013-04-04,50.50,51.21,49.79,51.13,120800,51.13
2013-04-03,51.43,51.43,50.21,50.36,182500,50.36
2013-04-02,52.26,52.47,51.16,51.25,133300,51.25
2013-04-01,52.62,53.07,51.35,51.97,169900,51.97
2013-03-28,52.48,52.90,51.93,52.52,135300,52.52
2013-03-27,51.43,52.36,50.89,52.35,140500,52.35
2013-03-26,51.31,51.75,50.73,51.73,97800,51.73
2013-03-25,51.36,51.48,50.80,51.08,190700,51.08
2013-03-22,50.00,51.54,50.00,51.16,254200,51.16
2013-03-21,49.62,50.11,48.89,50.00,110600,50.00
2013-03-20,49.81,50.24,49.47,49.89,73100,49.89
2013-03-19,49.52,49.70,49.23,49.54,204100,49.54
