Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,0.67,0.77,0.66,0.77,710100,0.77
2014-12-30,0.75,0.75,0.69,0.69,6600,0.69
2014-12-29,0.83,0.87,0.72,0.72,525900,0.72
2014-12-26,0.87,0.89,0.85,0.85,58900,0.85
2014-12-24,0.84,0.89,0.84,0.87,109700,0.87
2014-12-23,0.89,0.89,0.81,0.84,217600,0.84
2014-12-22,0.86,0.95,0.86,0.90,169500,0.90
2014-12-19,0.90,0.90,0.85,0.85,129600,0.85
2014-12-18,0.89,0.93,0.85,0.89,140800,0.89
2014-12-17,0.89,0.91,0.86,0.87,230700,0.87
2014-12-16,0.99,0.99,0.85,0.90,190100,0.90
2014-12-15,0.91,1.00,0.89,0.99,417200,0.99
2014-12-12,0.86,0.90,0.81,0.89,176500,0.89
2014-12-11,0.82,0.85,0.77,0.85,289000,0.85
2014-12-10,0.82,0.84,0.80,0.82,174600,0.82
2014-12-09,0.76,0.85,0.75,0.84,401200,0.84
2014-12-08,0.76,0.85,0.72,0.76,325700,0.76
2014-12-05,0.73,0.85,0.65,0.77,721300,0.77
2014-12-04,0.83,0.85,0.72,0.75,442900,0.75
2014-12-03,0.87,0.90,0.75,0.83,402600,0.83
2014-12-02,0.92,0.97,0.85,0.86,376300,0.86
2014-12-01,1.00,1.00,0.91,0.92,440500,0.92
2014-11-28,1.02,1.04,0.98,1.00,211000,1.00
2014-11-26,1.02,1.03,0.99,1.01,214900,1.01
2014-11-25,1.00,1.02,0.98,1.01,66600,1.01
2014-11-24,0.98,1.04,0.98,0.98,119100,0.98
2014-11-21,1.01,1.04,0.98,0.98,99900,0.98
2014-11-20,1.02,1.05,0.98,0.99,444600,0.99
2014-11-19,1.00,1.03,1.00,1.02,71000,1.02
2014-11-18,1.03,1.05,1.01,1.01,215200,1.01
2014-11-17,1.05,1.07,1.00,1.05,349200,1.05
2014-11-14,1.07,1.09,1.00,1.03,126200,1.03
2014-11-13,1.00,1.07,0.98,1.07,452900,1.07
2014-11-12,1.01,1.06,0.96,1.06,260000,1.06
2014-11-11,1.04,1.06,0.97,1.02,573800,1.02
2014-11-10,1.04,1.06,0.97,1.01,214100,1.01
2014-11-07,0.90,1.06,0.90,1.01,499100,1.01
2014-11-06,0.97,1.00,0.85,0.88,765800,0.88
2014-11-05,1.02,1.03,0.97,0.97,471100,0.97
2014-11-04,1.06,1.06,0.97,1.00,434100,1.00
2014-11-03,1.07,1.14,1.01,1.04,576700,1.04
2014-10-31,1.32,1.34,0.92,1.05,1085000,1.05
2014-10-30,1.25,1.32,1.25,1.28,107400,1.28
2014-10-29,1.34,1.38,1.25,1.25,195900,1.25
2014-10-28,1.49,1.49,1.34,1.37,296000,1.37
2014-10-27,1.47,1.52,1.47,1.48,103400,1.48
2014-10-24,1.51,1.51,1.47,1.48,96700,1.48
2014-10-23,1.38,1.53,1.38,1.48,218900,1.48
2014-10-22,1.35,1.38,1.28,1.38,46000,1.38
2014-10-21,1.35,1.38,1.30,1.32,34700,1.32
2014-10-20,1.32,1.35,1.29,1.35,43800,1.35
2014-10-17,1.21,1.37,1.21,1.34,223400,1.34
2014-10-16,1.24,1.25,1.18,1.19,124400,1.19
2014-10-15,1.18,1.26,1.17,1.24,87700,1.24
2014-10-14,1.18,1.28,1.16,1.18,117200,1.18
2014-10-13,1.17,1.19,1.15,1.17,36800,1.17
2014-10-10,1.18,1.24,1.12,1.16,159900,1.16
2014-10-09,1.26,1.26,1.18,1.19,89800,1.19
2014-10-08,1.34,1.35,1.19,1.24,185700,1.24
2014-10-07,1.44,1.44,1.33,1.33,136100,1.33
2014-10-06,1.53,1.56,1.43,1.43,111700,1.43
2014-10-03,1.59,1.59,1.51,1.52,68000,1.52
2014-10-02,1.50,1.57,1.46,1.53,108600,1.53
2014-10-01,1.57,1.57,1.48,1.48,96500,1.48
2014-09-30,1.61,1.80,1.55,1.55,115200,1.55
2014-09-29,1.62,1.70,1.61,1.61,147600,1.61
2014-09-26,1.65,1.67,1.61,1.62,81600,1.62
2014-09-25,1.67,1.70,1.61,1.62,157800,1.62
2014-09-24,1.73,1.75,1.66,1.67,37900,1.67
2014-09-23,1.69,1.93,1.69,1.71,303900,1.71
2014-09-22,1.69,1.74,1.64,1.68,35200,1.68
2014-09-19,1.68,1.69,1.61,1.68,227500,1.68
2014-09-18,1.73,1.73,1.67,1.69,101200,1.69
2014-09-17,1.75,1.78,1.70,1.70,155700,1.70
2014-09-16,1.76,1.77,1.71,1.73,89900,1.73
2014-09-15,1.83,1.86,1.75,1.75,116300,1.75
2014-09-12,1.86,1.92,1.78,1.81,112700,1.81
2014-09-11,1.95,1.98,1.85,1.87,177800,1.87
2014-09-10,2.07,2.07,1.89,1.95,295500,1.95
2014-09-09,1.91,2.25,1.88,2.10,1299000,2.10
2014-09-08,1.66,2.02,1.66,1.94,612200,1.94
2014-09-05,1.67,1.72,1.66,1.66,71800,1.66
2014-09-04,1.74,1.74,1.65,1.69,225200,1.69
2014-09-03,1.80,1.82,1.72,1.74,115900,1.74
2014-09-02,1.89,1.92,1.79,1.79,123700,1.79
2014-08-29,1.93,1.93,1.87,1.87,61200,1.87
2014-08-28,1.95,1.95,1.84,1.89,143900,1.89
2014-08-27,1.96,1.98,1.90,1.94,68500,1.94
2014-08-26,1.95,2.04,1.91,1.96,292700,1.96
2014-08-25,1.85,2.13,1.85,1.92,230000,1.92
2014-08-22,1.88,1.96,1.85,1.86,116400,1.86
2014-08-21,2.00,2.03,1.87,1.91,101300,1.91
2014-08-20,2.05,2.14,1.95,2.02,270900,2.02
2014-08-19,1.90,2.09,1.88,2.04,348300,2.04
2014-08-18,1.79,1.87,1.75,1.85,232500,1.85
2014-08-15,1.72,1.90,1.65,1.78,608600,1.78
2014-08-14,1.51,1.78,1.51,1.68,329300,1.68
2014-08-13,1.86,1.90,1.66,1.71,338400,1.71
2014-08-12,2.14,2.16,1.81,1.88,292000,1.88
2014-08-11,2.06,2.15,2.03,2.15,88700,2.15
2014-08-08,2.00,2.08,1.97,2.07,102300,2.07
2014-08-07,2.07,2.13,2.00,2.03,52700,2.03
2014-08-06,2.00,2.09,1.99,2.03,134100,2.03
2014-08-05,1.99,2.05,1.91,2.00,71800,2.00
2014-08-04,2.03,2.11,2.03,2.04,91900,2.04
2014-08-01,2.12,2.17,2.00,2.03,144900,2.03
2014-07-31,2.20,2.23,2.12,2.15,89800,2.15
2014-07-30,2.22,2.29,2.16,2.25,155600,2.25
2014-07-29,2.08,2.21,2.08,2.20,144600,2.20
2014-07-28,2.21,2.21,2.05,2.08,156500,2.08
2014-07-25,2.17,2.25,2.14,2.19,121200,2.19
2014-07-24,2.17,2.24,2.15,2.20,113300,2.20
2014-07-23,2.37,2.37,2.18,2.19,157000,2.19
2014-07-22,2.18,2.39,2.16,2.39,235900,2.39
2014-07-21,2.16,2.29,2.16,2.18,136000,2.18
2014-07-18,2.27,2.32,2.18,2.19,98100,2.19
2014-07-17,2.31,2.39,2.27,2.28,124900,2.28
2014-07-16,2.44,2.44,2.33,2.34,154400,2.34
2014-07-15,2.44,2.51,2.37,2.42,91400,2.42
2014-07-14,2.55,2.59,2.46,2.47,116700,2.47
2014-07-11,2.46,2.55,2.37,2.50,217900,2.50
2014-07-10,2.33,2.46,2.32,2.45,96100,2.45
2014-07-09,2.48,2.49,2.36,2.42,168800,2.42
2014-07-08,2.44,2.46,2.30,2.42,273700,2.42
2014-07-07,2.65,2.69,2.45,2.48,260400,2.48
2014-07-03,2.74,2.81,2.64,2.66,228400,2.66
2014-07-02,2.67,2.86,2.47,2.74,811600,2.74
2014-07-01,2.40,2.49,2.36,2.47,272300,2.47
2014-06-30,2.48,2.51,2.29,2.36,407200,2.36
2014-06-27,2.27,2.50,2.26,2.42,2966000,2.42
2014-06-26,2.38,2.40,2.24,2.29,282700,2.29
2014-06-25,2.27,2.42,2.12,2.37,478000,2.37
2014-06-24,2.47,2.59,2.25,2.27,567500,2.27
2014-06-23,2.47,2.53,2.39,2.42,311900,2.42
2014-06-20,2.52,2.60,2.42,2.47,360200,2.47
2014-06-19,2.53,2.55,2.45,2.54,184100,2.54
2014-06-18,2.60,2.65,2.45,2.53,385900,2.53
2014-06-17,2.44,2.70,2.34,2.56,937000,2.56
2014-06-16,2.40,2.44,2.33,2.40,236400,2.40
2014-06-13,2.45,2.49,2.40,2.42,199800,2.42
2014-06-12,2.55,2.58,2.28,2.45,539600,2.45
2014-06-11,2.61,2.64,2.41,2.54,867100,2.54
2014-06-10,2.21,2.63,2.16,2.62,1699200,2.62
2014-06-09,2.03,2.55,2.02,2.19,3300400,2.19
2014-06-06,1.71,1.99,1.65,1.95,1408800,1.95
2014-06-05,1.70,1.73,1.65,1.69,243800,1.69
2014-06-04,1.69,1.82,1.60,1.70,808300,1.70
2014-06-03,1.40,2.01,1.36,1.74,3346900,1.74
2014-06-02,1.47,1.47,1.35,1.40,422200,1.40
2014-05-30,1.49,1.51,1.44,1.45,139600,1.45
2014-05-29,1.53,1.53,1.47,1.49,169200,1.49
2014-05-28,1.51,1.53,1.50,1.51,91500,1.51
2014-05-27,1.56,1.56,1.50,1.52,110400,1.52
2014-05-23,1.51,1.53,1.49,1.51,148200,1.51
2014-05-22,1.52,1.54,1.49,1.50,162200,1.50
2014-05-21,1.58,1.58,1.46,1.49,341500,1.49
2014-05-20,1.70,1.70,1.58,1.58,199500,1.58
2014-05-19,1.65,1.70,1.64,1.68,133300,1.68
2014-05-16,1.66,1.69,1.57,1.67,298800,1.67
2014-05-15,1.67,1.74,1.66,1.67,281700,1.67
2014-05-14,1.77,1.81,1.69,1.71,295700,1.71
2014-05-13,1.65,1.88,1.63,1.76,832500,1.76
2014-05-12,2.04,2.27,2.04,2.10,594100,2.10
2014-05-09,2.12,2.12,2.01,2.04,259200,2.04
2014-05-08,2.22,2.25,2.14,2.15,92600,2.15
2014-05-07,2.23,2.24,2.10,2.21,198100,2.21
2014-05-06,2.27,2.33,2.18,2.24,176100,2.24
2014-05-05,2.23,2.28,2.10,2.26,161100,2.26
2014-05-02,2.28,2.36,2.22,2.24,164800,2.24
2014-05-01,2.30,2.39,2.21,2.26,154800,2.26
2014-04-30,2.22,2.41,2.15,2.32,328800,2.32
2014-04-29,2.45,2.45,2.20,2.21,465300,2.21
2014-04-28,2.51,2.57,2.36,2.42,252800,2.42
2014-04-25,2.56,2.56,2.46,2.49,147700,2.49
2014-04-24,2.69,2.69,2.44,2.59,188500,2.59
2014-04-23,2.64,2.79,2.62,2.66,294700,2.66
2014-04-22,2.63,2.73,2.61,2.63,190100,2.63
2014-04-21,2.75,2.79,2.61,2.62,191000,2.62
2014-04-17,2.74,2.82,2.66,2.74,169000,2.74
2014-04-16,2.86,2.86,2.74,2.75,234600,2.75
2014-04-15,2.93,2.95,2.72,2.84,390200,2.84
2014-04-14,3.05,3.10,2.91,2.91,129800,2.91
2014-04-11,2.91,3.03,2.87,2.99,140100,2.99
2014-04-10,3.27,3.29,2.95,2.95,260300,2.95
2014-04-09,3.12,3.30,3.12,3.27,156900,3.27
2014-04-08,2.96,3.14,2.96,3.11,261900,3.11
2014-04-07,3.05,3.08,2.92,2.96,318400,2.96
2014-04-04,3.13,3.26,3.01,3.08,243000,3.08
2014-04-03,3.22,3.23,3.11,3.12,250700,3.12
2014-04-02,3.41,3.47,3.22,3.23,143100,3.23
2014-04-01,3.38,3.49,3.37,3.39,134600,3.39
2014-03-31,3.24,3.45,3.21,3.39,184800,3.39
2014-03-28,3.21,3.31,3.18,3.23,112400,3.23
2014-03-27,3.10,3.21,3.02,3.18,143100,3.18
2014-03-26,3.30,3.40,3.11,3.11,361600,3.11
2014-03-25,3.32,3.36,3.21,3.27,60300,3.27
2014-03-24,3.45,3.45,3.27,3.30,167100,3.30
2014-03-21,3.39,3.50,3.39,3.43,223100,3.43
2014-03-20,3.39,3.40,3.32,3.36,157800,3.36
2014-03-19,3.50,3.58,3.36,3.41,144500,3.41
2014-03-18,3.50,3.59,3.41,3.48,186800,3.48
2014-03-17,3.40,3.50,3.38,3.50,206600,3.50
2014-03-14,3.33,3.46,3.29,3.38,102300,3.38
2014-03-13,3.39,3.50,3.31,3.33,133800,3.33
2014-03-12,3.45,3.46,3.31,3.39,170100,3.39
2014-03-11,3.50,3.60,3.46,3.48,129200,3.48
2014-03-10,3.49,3.54,3.47,3.50,121600,3.50
2014-03-07,3.52,3.57,3.47,3.50,111000,3.50
2014-03-06,3.51,3.54,3.45,3.49,99900,3.49
2014-03-05,3.44,3.53,3.42,3.51,209100,3.51
2014-03-04,3.45,3.47,3.40,3.41,183900,3.41
2014-03-03,3.38,3.44,3.31,3.39,98800,3.39
2014-02-28,3.49,3.49,3.37,3.40,107900,3.40
2014-02-27,3.40,3.50,3.39,3.49,89300,3.49
2014-02-26,3.46,3.49,3.25,3.37,631700,3.37
2014-02-25,3.65,3.73,3.42,3.44,223300,3.44
2014-02-24,3.70,3.75,3.65,3.67,77000,3.67
2014-02-21,3.66,3.73,3.55,3.67,77000,3.67
2014-02-20,3.62,3.66,3.55,3.63,64800,3.63
2014-02-19,3.69,3.73,3.55,3.61,124700,3.61
2014-02-18,3.67,3.74,3.62,3.72,57800,3.72
2014-02-14,3.70,3.73,3.65,3.67,111200,3.67
2014-02-13,3.60,3.74,3.57,3.71,61700,3.71
2014-02-12,3.83,3.83,3.60,3.63,63400,3.63
2014-02-11,3.58,3.90,3.58,3.77,160200,3.77
2014-02-10,3.62,3.74,3.50,3.56,178600,3.56
2014-02-07,3.36,3.87,3.30,3.62,369500,3.62
2014-02-06,3.26,3.37,3.26,3.30,118400,3.30
2014-02-05,3.38,3.41,3.23,3.24,91000,3.24
2014-02-04,3.26,3.43,3.16,3.38,196300,3.38
2014-02-03,3.49,3.53,3.20,3.24,283500,3.24
2014-01-31,3.70,3.76,3.45,3.47,448900,3.47
2014-01-30,3.69,3.82,3.67,3.75,100900,3.75
2014-01-29,3.82,3.86,3.65,3.67,170600,3.67
2014-01-28,3.90,3.92,3.78,3.83,230000,3.83
2014-01-27,3.96,4.02,3.80,3.90,154700,3.90
2014-01-24,4.07,4.07,3.88,3.97,171600,3.97
2014-01-23,4.07,4.13,3.97,4.08,97400,4.08
2014-01-22,4.01,4.19,3.95,4.05,79400,4.05
2014-01-21,4.15,4.15,3.92,3.97,187000,3.97
2014-01-17,4.18,4.30,4.00,4.09,190900,4.09
2014-01-16,4.06,4.15,4.00,4.15,117200,4.15
2014-01-15,4.03,4.12,3.95,4.03,176200,4.03
2014-01-14,3.97,4.12,3.95,3.98,229600,3.98
2014-01-13,3.77,3.98,3.61,3.92,241700,3.92
2014-01-10,3.92,3.92,3.75,3.81,128000,3.81
2014-01-09,4.16,4.18,3.78,3.84,421900,3.84
2014-01-08,4.34,4.34,4.09,4.14,285000,4.14
2014-01-07,4.25,4.38,4.25,4.34,172500,4.34
2014-01-06,4.53,4.60,4.17,4.23,357100,4.23
2014-01-03,4.34,4.51,4.24,4.50,361400,4.50
2014-01-02,4.05,4.32,4.00,4.31,335100,4.31
2013-12-31,4.40,4.48,3.92,4.07,561200,4.07
2013-12-30,3.93,4.42,3.90,4.38,550400,4.38
2013-12-27,3.86,4.04,3.85,3.91,274000,3.91
2013-12-26,3.67,3.85,3.65,3.82,156700,3.82
2013-12-24,3.70,3.74,3.59,3.65,50400,3.65
2013-12-23,3.77,3.80,3.66,3.69,456500,3.69
2013-12-20,3.66,3.75,3.61,3.72,346700,3.72
2013-12-19,3.54,3.74,3.54,3.63,159900,3.63
2013-12-18,3.55,3.58,3.45,3.56,76300,3.56
2013-12-17,3.54,3.59,3.45,3.54,129000,3.54
2013-12-16,3.46,3.59,3.44,3.54,171700,3.54
2013-12-13,3.33,3.46,3.33,3.43,167900,3.43
2013-12-12,3.42,3.50,3.31,3.32,167000,3.32
2013-12-11,3.50,3.63,3.37,3.42,238500,3.42
2013-12-10,3.44,3.58,3.42,3.50,250700,3.50
2013-12-09,3.62,3.73,3.45,3.46,165400,3.46
2013-12-06,3.75,3.79,3.58,3.58,146200,3.58
2013-12-05,3.76,3.87,3.67,3.68,155300,3.68
2013-12-04,3.78,3.85,3.58,3.77,215100,3.77
2013-12-03,3.60,3.85,3.60,3.79,317000,3.79
2013-12-02,3.80,3.80,3.50,3.59,388500,3.59
2013-11-29,3.79,3.87,3.73,3.82,56700,3.82
2013-11-27,3.87,3.87,3.62,3.76,246900,3.76
2013-11-26,3.71,3.97,3.70,3.85,261500,3.85
2013-11-25,3.68,3.79,3.63,3.69,146900,3.69
2013-11-22,3.72,3.81,3.64,3.68,158100,3.68
