Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,1.90,1.90,1.82,1.84,113200,1.84
2014-12-30,1.88,1.91,1.87,1.89,1600,1.89
2014-12-29,1.91,1.91,1.85,1.85,81900,1.85
2014-12-26,1.88,1.92,1.85,1.92,35500,1.92
2014-12-24,1.86,1.90,1.86,1.88,9400,1.88
2014-12-23,1.92,1.92,1.85,1.85,38200,1.85
2014-12-22,1.95,1.95,1.87,1.88,27300,1.88
2014-12-19,1.86,1.92,1.83,1.92,107900,1.92
2014-12-18,1.80,1.88,1.78,1.84,80500,1.84
2014-12-17,1.66,1.86,1.66,1.78,78500,1.78
2014-12-16,1.70,1.70,1.59,1.63,392600,1.63
2014-12-15,1.85,1.88,1.70,1.76,301600,1.76
2014-12-12,1.84,1.87,1.82,1.85,59200,1.85
2014-12-11,1.81,1.85,1.80,1.80,110400,1.80
2014-12-10,1.83,1.83,1.80,1.81,53900,1.81
2014-12-09,1.78,1.85,1.78,1.83,49500,1.83
2014-12-08,1.85,1.87,1.82,1.82,66500,1.82
2014-12-05,1.90,1.90,1.84,1.84,108400,1.84
2014-12-04,1.88,1.88,1.82,1.82,64400,1.82
2014-12-03,1.84,1.88,1.80,1.80,92000,1.80
2014-12-02,1.82,1.89,1.81,1.83,105800,1.83
2014-12-01,1.88,1.90,1.82,1.82,151500,1.82
2014-11-28,1.95,1.95,1.87,1.88,82700,1.88
2014-11-26,1.91,2.00,1.91,1.93,49600,1.93
2014-11-25,1.93,1.93,1.90,1.92,40400,1.92
2014-11-24,1.87,1.93,1.86,1.93,101200,1.93
2014-11-21,1.86,1.89,1.85,1.85,27000,1.85
2014-11-20,1.85,1.87,1.84,1.84,97800,1.84
2014-11-19,1.86,1.86,1.85,1.86,46300,1.86
2014-11-18,1.86,1.89,1.85,1.85,57200,1.85
2014-11-17,1.89,1.89,1.81,1.85,70900,1.85
2014-11-14,1.85,1.90,1.85,1.88,50300,1.88
2014-11-13,1.87,1.92,1.85,1.87,42200,1.87
2014-11-12,1.91,1.93,1.86,1.87,59600,1.87
2014-11-11,1.86,1.90,1.85,1.90,34800,1.90
2014-11-10,1.85,1.92,1.85,1.85,56500,1.85
2014-11-07,1.90,1.90,1.85,1.89,58300,1.89
2014-11-06,1.88,1.93,1.85,1.88,88200,1.88
2014-11-05,1.89,1.92,1.84,1.87,75900,1.87
2014-11-04,1.95,1.95,1.89,1.90,42700,1.90
2014-11-03,1.86,1.93,1.86,1.91,77300,1.91
2014-10-31,1.86,1.94,1.83,1.84,168900,1.84
2014-10-30,1.97,1.98,1.76,1.82,160200,1.82
2014-10-29,1.95,1.99,1.90,1.93,106000,1.93
2014-10-28,1.86,2.09,1.86,1.95,197900,1.95
2014-10-27,1.83,1.87,1.80,1.85,68300,1.85
2014-10-24,1.84,1.87,1.80,1.83,21000,1.83
2014-10-23,1.85,1.94,1.84,1.85,46700,1.85
2014-10-22,1.85,1.85,1.81,1.81,41000,1.81
2014-10-21,1.83,1.86,1.82,1.83,116300,1.83
2014-10-20,1.84,1.87,1.82,1.83,56700,1.83
2014-10-17,1.85,1.86,1.82,1.82,52200,1.82
2014-10-16,1.80,1.88,1.80,1.85,117200,1.85
2014-10-15,1.85,1.92,1.80,1.84,63200,1.84
2014-10-14,1.97,1.99,1.87,1.90,42600,1.90
2014-10-13,1.96,1.96,1.91,1.91,65400,1.91
2014-10-10,1.92,2.00,1.91,1.98,80400,1.98
2014-10-09,1.91,2.00,1.91,1.93,22800,1.93
2014-10-08,1.99,2.01,1.85,2.00,99400,2.00
2014-10-07,1.95,2.00,1.94,1.99,36700,1.99
2014-10-06,2.00,2.00,1.95,1.96,38600,1.96
2014-10-03,1.94,2.05,1.92,2.00,30200,2.00
2014-10-02,1.92,1.97,1.90,1.93,17300,1.93
2014-10-01,1.98,1.99,1.93,1.93,50200,1.93
2014-09-30,1.98,2.06,1.95,2.00,45900,2.00
2014-09-29,2.01,2.09,1.96,1.97,14400,1.97
2014-09-26,1.91,2.04,1.91,2.01,69500,2.01
