Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,6.69,6.92,6.69,6.73,342500,6.73
2014-12-30,6.84,6.92,6.69,6.69,7100,6.69
2014-12-29,6.94,7.20,6.92,6.97,462400,6.97
2014-12-26,6.66,6.92,6.53,6.92,429200,6.92
2014-12-24,6.58,6.73,6.56,6.61,147500,6.61
2014-12-23,6.76,6.76,6.49,6.55,371200,6.55
2014-12-22,6.69,6.79,6.44,6.74,215400,6.74
2014-12-19,6.38,6.77,6.29,6.69,750200,6.69
2014-12-18,6.20,6.44,6.05,6.39,469600,6.39
2014-12-17,5.83,6.16,5.83,6.13,657000,6.13
2014-12-16,6.10,6.26,5.82,5.83,452400,5.83
2014-12-15,6.45,6.60,6.10,6.13,362700,6.13
2014-12-12,6.41,6.61,6.24,6.40,347400,6.40
2014-12-11,6.39,6.53,6.20,6.40,472100,6.40
2014-12-10,6.58,6.60,6.34,6.35,474800,6.35
2014-12-09,6.38,6.74,6.37,6.61,288500,6.61
2014-12-08,6.50,6.75,6.43,6.46,197700,6.46
2014-12-05,6.38,6.56,6.34,6.50,239100,6.50
2014-12-04,6.56,6.75,6.30,6.37,274200,6.37
2014-12-03,6.60,6.75,6.51,6.55,190600,6.55
2014-12-02,6.50,6.79,6.50,6.60,258600,6.60
2014-12-01,6.66,6.92,6.42,6.44,230300,6.44
2014-11-28,6.90,6.94,6.64,6.66,144700,6.66
2014-11-26,6.62,6.98,6.56,6.90,273000,6.90
2014-11-25,6.73,6.95,6.57,6.63,406500,6.63
2014-11-24,6.55,6.88,6.45,6.72,360300,6.72
2014-11-21,6.75,6.75,6.37,6.50,338100,6.50
2014-11-20,6.50,6.71,6.47,6.62,272000,6.62
2014-11-19,6.75,6.83,6.51,6.53,241200,6.53
2014-11-18,6.69,6.88,6.67,6.83,247600,6.83
2014-11-17,6.74,7.03,6.66,6.69,365100,6.69
2014-11-14,6.74,6.90,6.55,6.79,424200,6.79
2014-11-13,6.90,7.20,6.73,6.77,736000,6.77
2014-11-12,6.71,7.00,6.55,6.95,776900,6.95
2014-11-11,6.10,7.04,5.93,6.93,3219400,6.93
2014-11-10,6.01,6.14,5.92,6.03,255300,6.03
2014-11-07,5.62,6.05,5.55,6.04,762700,6.04
2014-11-06,5.81,5.83,5.40,5.63,1356900,5.63
2014-11-05,6.62,6.62,6.11,6.21,443700,6.21
2014-11-04,6.56,6.69,6.38,6.57,394200,6.57
2014-11-03,6.65,6.74,6.38,6.64,450800,6.64
2014-10-31,7.00,7.00,6.62,6.63,506800,6.63
2014-10-30,6.73,6.98,6.58,6.94,425000,6.94
2014-10-29,6.99,6.99,6.62,6.75,379700,6.75
2014-10-28,7.03,7.05,6.92,7.00,363600,7.00
2014-10-27,6.71,6.99,6.59,6.97,303800,6.97
2014-10-24,6.61,6.83,6.59,6.78,237400,6.78
2014-10-23,6.66,6.88,6.57,6.65,333900,6.65
2014-10-22,6.95,6.95,6.59,6.61,257200,6.61
2014-10-21,6.93,6.94,6.64,6.85,379100,6.85
2014-10-20,6.66,7.00,6.61,6.90,227200,6.90
2014-10-17,7.46,7.46,6.61,6.74,598700,6.74
2014-10-16,6.78,7.45,6.50,7.35,725200,7.35
2014-10-15,6.39,6.88,6.16,6.88,445000,6.88
2014-10-14,6.12,6.52,6.03,6.48,561300,6.48
2014-10-13,6.03,6.25,5.80,6.09,554600,6.09
2014-10-10,6.02,6.32,5.80,6.06,509200,6.06
2014-10-09,5.82,6.12,5.75,6.07,717100,6.07
2014-10-08,5.52,5.98,5.52,5.85,753300,5.85
2014-10-07,5.57,5.72,5.43,5.65,610400,5.65
2014-10-06,5.73,5.75,5.48,5.68,388500,5.68
2014-10-03,5.61,5.75,5.45,5.68,328900,5.68
2014-10-02,5.34,5.51,5.22,5.49,527900,5.49
2014-10-01,5.47,5.60,5.22,5.33,969600,5.33
2014-09-30,5.86,6.00,5.42,5.49,1095200,5.49
2014-09-29,5.45,6.00,5.41,5.90,1361700,5.90
2014-09-26,5.51,5.75,5.27,5.41,3864200,5.41
2014-09-25,6.93,7.05,6.60,6.72,493000,6.72
2014-09-24,6.61,7.11,6.61,6.95,496000,6.95
2014-09-23,6.60,6.68,6.52,6.60,491700,6.60
2014-09-22,7.06,7.06,6.56,6.68,707200,6.68
2014-09-19,7.37,7.41,7.06,7.08,598100,7.08
2014-09-18,7.32,7.57,7.27,7.31,312100,7.31
2014-09-17,7.25,7.49,7.18,7.29,431100,7.29
2014-09-16,7.26,7.41,7.06,7.25,468800,7.25
2014-09-15,7.93,7.97,7.28,7.33,1124100,7.33
2014-09-12,8.00,8.09,7.85,7.93,657300,7.93
2014-09-11,7.93,8.24,7.84,8.01,567400,8.01
2014-09-10,7.83,7.92,7.66,7.89,507700,7.89
2014-09-09,8.04,8.25,7.77,7.84,779500,7.84
2014-09-08,7.39,8.11,7.39,8.09,969200,8.09
2014-09-05,7.50,7.56,7.36,7.46,537300,7.46
2014-09-04,7.51,7.62,7.46,7.50,557300,7.50
2014-09-03,7.50,7.64,7.38,7.46,699800,7.46
2014-09-02,7.20,7.54,7.14,7.47,642600,7.47
2014-08-29,7.15,7.33,7.01,7.15,415100,7.15
2014-08-28,7.23,7.49,6.96,7.12,773200,7.12
2014-08-27,6.96,7.45,6.87,7.25,1067000,7.25
2014-08-26,6.70,7.01,6.64,6.99,723500,6.99
2014-08-25,6.65,6.90,6.56,6.70,643800,6.70
2014-08-22,6.39,6.65,6.37,6.61,585700,6.61
2014-08-21,6.46,6.57,6.34,6.37,628900,6.37
2014-08-20,6.70,6.80,6.41,6.42,634300,6.42
2014-08-19,6.78,6.82,6.51,6.78,442300,6.78
2014-08-18,6.56,6.93,6.49,6.80,694600,6.80
2014-08-15,6.57,6.65,6.25,6.48,448600,6.48
2014-08-14,6.46,6.74,6.44,6.52,504400,6.52
2014-08-13,6.22,6.52,6.06,6.44,810700,6.44
2014-08-12,6.40,6.50,6.08,6.14,1360300,6.14
2014-08-11,6.49,6.64,6.40,6.45,635000,6.45
2014-08-08,6.30,6.51,6.23,6.47,426000,6.47
2014-08-07,6.40,6.40,6.14,6.32,1057400,6.32
2014-08-06,6.45,6.65,6.33,6.41,890400,6.41
2014-08-05,6.64,6.74,6.43,6.53,829600,6.53
2014-08-04,6.89,7.03,6.61,6.71,906400,6.71
2014-08-01,6.96,7.15,6.75,6.89,950000,6.89
2014-07-31,6.44,7.11,6.44,6.96,2354200,6.96
2014-07-30,6.51,6.69,6.31,6.52,1226100,6.52
2014-07-29,6.22,6.76,6.16,6.42,2600500,6.42
2014-07-28,6.87,7.33,6.11,6.39,15726500,6.39
2014-07-25,10.98,11.38,10.52,10.83,3997300,10.83
2014-07-24,10.80,10.86,10.10,10.22,1777100,10.22
2014-07-23,10.10,11.00,9.96,10.63,1882200,10.63
2014-07-22,10.18,10.28,9.92,9.96,635700,9.96
2014-07-21,10.06,10.42,9.89,10.08,1277300,10.08
2014-07-18,9.18,10.24,9.18,10.04,1306800,10.04
2014-07-17,9.57,9.60,8.98,8.99,1278800,8.99
2014-07-16,10.24,10.24,9.62,9.66,629100,9.66
2014-07-15,10.50,10.52,9.91,10.07,959600,10.07
2014-07-14,10.77,10.82,10.38,10.53,500400,10.53
2014-07-11,10.25,10.84,10.11,10.54,621600,10.54
2014-07-10,10.25,10.41,9.73,10.26,582400,10.26
2014-07-09,10.54,10.89,10.19,10.68,661500,10.68
2014-07-08,11.48,11.53,10.39,10.55,1082100,10.55
2014-07-07,11.60,11.65,10.92,11.16,1717600,11.16
2014-07-03,11.28,11.53,11.20,11.50,546900,11.50
2014-07-02,10.90,11.32,10.88,11.17,1070400,11.17
2014-07-01,10.30,10.94,10.22,10.86,846100,10.86
2014-06-30,10.41,10.50,10.10,10.25,658800,10.25
2014-06-27,10.07,10.25,9.95,10.25,544600,10.25
2014-06-26,10.07,10.20,9.92,10.15,420100,10.15
2014-06-25,10.15,10.29,9.81,10.03,967700,10.03
2014-06-24,10.61,10.68,10.15,10.22,600500,10.22
2014-06-23,10.30,10.70,10.30,10.52,674500,10.52
2014-06-20,10.66,10.74,10.17,10.37,780200,10.37
2014-06-19,11.17,11.20,10.51,10.61,713800,10.61
2014-06-18,10.70,11.52,10.61,11.18,826900,11.18
2014-06-17,10.51,10.99,10.30,10.70,1177700,10.70
2014-06-16,9.51,10.47,9.50,10.35,1314100,10.35
2014-06-13,9.22,9.66,9.01,9.50,686200,9.50
2014-06-12,8.99,9.24,8.92,9.16,678500,9.16
2014-06-11,8.63,9.26,8.59,8.99,858200,8.99
2014-06-10,8.57,8.68,8.45,8.66,533500,8.66
2014-06-09,8.25,8.84,8.13,8.59,920500,8.59
2014-06-06,8.84,8.90,8.13,8.30,1011300,8.30
2014-06-05,8.83,8.93,8.66,8.75,390700,8.75
2014-06-04,8.83,9.00,8.63,8.81,496800,8.81
2014-06-03,9.10,9.18,8.56,8.82,616700,8.82
