Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,12.25,12.50,12.11,12.11,109500,12.11
2014-12-30,12.20,12.29,12.15,12.25,70500,12.25
2014-12-29,12.10,12.36,12.05,12.34,78200,12.34
2014-12-26,12.34,12.47,12.26,12.26,99800,11.97
2014-12-24,12.30,12.42,12.30,12.35,33000,12.06
2014-12-23,12.42,12.43,12.18,12.40,57500,12.11
2014-12-22,12.66,12.66,12.15,12.46,87000,12.17
2014-12-19,12.55,12.85,12.55,12.57,51000,12.27
2014-12-18,12.44,12.65,12.26,12.51,32800,12.21
2014-12-17,12.32,12.65,12.20,12.31,14200,12.02
2014-12-16,12.21,12.27,11.98,12.26,114400,11.97
2014-12-15,12.33,12.57,12.24,12.25,25900,11.96
2014-12-12,12.57,12.57,12.25,12.30,55700,12.01
2014-12-11,12.41,12.75,12.41,12.56,22400,12.26
2014-12-10,12.67,12.87,12.32,12.33,22800,12.04
2014-12-09,12.60,12.78,12.45,12.67,56500,12.37
2014-12-08,13.02,13.09,12.61,12.67,57200,12.37
2014-12-05,13.04,13.07,12.86,12.98,15400,12.67
2014-12-04,13.08,13.10,12.93,12.93,30100,12.62
2014-12-03,13.03,13.18,13.00,13.00,29200,12.69
2014-12-02,12.99,13.05,12.90,12.98,29700,12.67
2014-12-01,13.27,13.27,12.84,12.90,23400,12.59
2014-11-28,13.40,13.40,13.05,13.39,25200,13.07
2014-11-26,13.20,13.39,13.02,13.26,51500,12.95
2014-11-25,13.04,13.20,12.83,13.19,57700,12.88
2014-11-24,13.10,13.10,12.86,12.97,29800,12.66
2014-11-21,13.10,13.10,12.99,13.06,32900,12.75
2014-11-20,13.06,13.11,12.94,13.00,36600,12.69
2014-11-19,13.07,13.17,12.96,13.15,31300,12.84
2014-11-18,13.10,13.18,12.99,13.18,33900,12.87
2014-11-17,13.15,13.15,13.01,13.03,10700,12.72
2014-11-14,13.04,13.19,13.02,13.15,10100,12.84
2014-11-13,13.15,13.19,13.02,13.03,20000,12.72
2014-11-12,13.21,13.22,13.12,13.20,15700,12.89
2014-11-11,13.21,13.21,13.12,13.18,6500,12.87
2014-11-10,13.22,13.22,13.11,13.11,16900,12.80
2014-11-07,13.10,13.27,13.06,13.24,27000,12.93
2014-11-06,13.19,13.25,13.06,13.07,23100,12.76
2014-11-05,13.06,13.27,13.06,13.20,16200,12.89
2014-11-04,13.25,13.25,12.97,13.08,34200,12.77
2014-11-03,13.12,13.26,12.96,13.26,34300,12.95
2014-10-31,12.90,13.15,12.72,13.15,60500,12.84
2014-10-30,12.82,12.97,12.81,12.94,43700,12.63
2014-10-29,12.97,12.99,12.69,12.80,120700,12.50
2014-10-28,13.06,13.24,12.85,12.97,89700,12.66
2014-10-27,13.22,13.22,13.01,13.07,40300,12.76
2014-10-24,13.14,13.15,12.80,13.03,13700,12.72
2014-10-23,13.23,13.29,12.78,13.01,38700,12.70
2014-10-22,13.10,13.26,13.08,13.26,19300,12.95
2014-10-21,12.31,13.12,12.31,13.10,60500,12.79
2014-10-20,12.71,12.97,12.66,12.90,27800,12.59
2014-10-17,13.13,13.26,12.91,12.97,27200,12.66
2014-10-16,12.20,13.05,12.20,12.99,63300,12.68
2014-10-15,12.76,12.78,12.12,12.44,172100,12.15
2014-10-14,12.83,13.01,12.71,12.83,83800,12.53
2014-10-13,13.16,13.17,12.69,12.78,64200,12.48
2014-10-10,13.26,13.56,13.02,13.03,115200,12.72
2014-10-09,13.36,13.40,13.25,13.31,19100,13.00
2014-10-08,13.45,13.45,13.33,13.40,32700,13.08
2014-10-07,13.46,13.47,13.36,13.44,34800,13.12
