Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,59.19,59.25,58.32,58.50,5748200,58.50
2014-12-30,59.27,59.27,59.02,59.03,1773300,59.03
2014-12-29,59.41,59.56,59.29,59.42,1271200,59.42
2014-12-26,59.47,59.64,59.35,59.55,726900,59.55
2014-12-24,59.38,59.44,59.23,59.31,925100,59.31
2014-12-23,59.18,59.34,59.09,59.20,2522900,59.20
2014-12-22,59.10,59.23,58.99,59.22,2569200,59.22
2014-12-19,58.91,59.14,58.61,58.87,2189100,58.87
2014-12-18,58.21,58.73,58.04,58.71,2985200,58.71
2014-12-17,56.61,57.64,56.61,57.46,4797700,57.46
2014-12-16,57.03,58.00,56.87,56.99,8379200,56.50
2014-12-15,58.05,58.16,56.97,57.16,2925100,56.67
2014-12-12,58.50,58.66,57.79,57.79,2015400,57.30
2014-12-11,58.75,59.31,58.69,58.78,1327400,58.28
2014-12-10,59.39,59.53,58.65,58.74,1562300,58.24
2014-12-09,59.34,59.69,59.15,59.64,4709300,59.13
2014-12-08,60.22,60.22,59.70,59.83,1268800,59.32
2014-12-05,60.49,60.51,60.28,60.39,1440100,59.87
2014-12-04,60.40,60.50,60.12,60.33,2324400,59.81
2014-12-03,60.32,60.50,60.24,60.47,908200,59.95
2014-12-02,60.12,60.34,60.04,60.31,2527200,59.79
2014-12-01,60.13,60.27,59.89,60.05,1393200,59.54
2014-11-28,60.42,60.56,60.32,60.43,775200,59.91
2014-11-26,60.67,60.82,60.62,60.80,720400,60.28
2014-11-25,60.72,60.75,60.50,60.56,1771500,60.04
2014-11-24,60.63,60.63,60.46,60.59,969000,60.07
2014-11-21,60.63,60.63,60.23,60.44,669500,59.92
2014-11-20,59.66,59.96,59.50,59.92,578200,59.41
2014-11-19,60.00,60.07,59.69,59.96,724400,59.45
2014-11-18,59.83,60.17,59.79,60.06,796900,59.55
2014-11-17,59.49,59.66,59.39,59.62,367100,59.11
2014-11-14,59.52,59.71,59.45,59.71,1108500,59.20
2014-11-13,59.67,59.82,59.39,59.63,1042200,59.12
2014-11-12,59.29,59.59,59.29,59.54,3081100,59.03
2014-11-11,59.60,59.73,59.50,59.73,1422200,59.22
2014-11-10,59.53,59.61,59.39,59.53,338800,59.02
2014-11-07,59.26,59.40,59.09,59.40,744300,58.89
2014-11-06,59.20,59.35,59.00,59.26,595000,58.75
2014-11-05,59.34,59.36,59.05,59.32,651100,58.81
2014-11-04,59.07,59.19,58.77,59.08,1337600,58.57
2014-11-03,59.42,59.50,59.24,59.36,1308300,58.85
2014-10-31,59.46,59.67,59.31,59.61,1484200,59.10
2014-10-30,58.19,58.98,58.19,58.83,1028700,58.33
2014-10-29,58.75,58.93,58.15,58.39,3362300,57.89
2014-10-28,58.33,58.66,58.23,58.65,951400,58.15
2014-10-27,57.71,57.99,57.55,57.92,1492600,57.42
2014-10-24,57.72,58.10,57.66,58.08,929000,57.58
2014-10-23,57.70,58.02,57.53,57.75,1512400,57.26
2014-10-22,57.55,57.73,57.09,57.11,1482500,56.62
2014-10-21,57.05,57.62,56.92,57.55,710900,57.06
2014-10-20,56.24,56.75,56.19,56.71,1408800,56.22
2014-10-17,56.22,56.57,56.01,56.31,1354800,55.83
2014-10-16,54.72,55.99,54.57,55.53,2372700,55.05
2014-10-15,55.49,55.84,54.55,55.69,6117400,55.21
2014-10-14,56.25,56.64,55.93,56.09,1734500,55.61
2014-10-13,56.68,56.95,55.98,56.01,1308400,55.53
2014-10-10,57.14,57.32,56.40,56.40,1409200,55.92
2014-10-09,58.37,58.39,57.22,57.27,3523800,56.78
2014-10-08,57.74,58.67,57.38,58.59,1720000,58.09
