Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,0.92,0.95,0.87,0.94,70300,0.94
2014-12-30,0.93,0.93,0.93,0.93,4000,0.93
2014-12-29,0.87,0.93,0.87,0.92,23100,0.92
2014-12-26,0.89,0.91,0.89,0.90,22400,0.90
2014-12-24,0.89,0.92,0.89,0.89,18100,0.89
2014-12-23,0.89,0.91,0.89,0.91,32600,0.91
2014-12-22,0.90,0.92,0.89,0.89,16800,0.89
2014-12-19,0.93,0.93,0.89,0.92,95800,0.92
2014-12-18,0.91,0.94,0.89,0.94,25100,0.94
2014-12-17,0.85,0.93,0.83,0.89,27000,0.89
2014-12-16,0.88,0.89,0.82,0.86,62900,0.86
2014-12-15,0.90,0.92,0.88,0.88,37100,0.88
2014-12-12,0.96,0.97,0.90,0.92,89100,0.92
2014-12-11,0.92,1.01,0.92,0.97,77500,0.97
2014-12-10,1.01,1.02,0.99,1.00,8300,1.00
2014-12-09,1.04,1.20,0.97,1.00,57000,1.00
2014-12-08,1.01,1.04,0.97,1.04,83800,1.04
2014-12-05,1.01,1.03,0.98,1.01,141100,1.01
2014-12-04,1.05,1.09,0.95,1.02,101700,1.02
2014-12-03,1.14,1.14,1.05,1.06,49200,1.06
2014-12-02,1.05,1.13,1.01,1.08,210500,1.08
2014-12-01,1.05,1.06,1.02,1.06,51600,1.06
2014-11-28,1.03,1.09,0.93,1.07,85200,1.07
2014-11-26,1.07,1.07,1.03,1.07,74800,1.07
2014-11-25,1.05,1.09,1.01,1.05,199200,1.05
2014-11-24,0.96,1.05,0.93,1.04,303400,1.04
2014-11-21,0.92,0.96,0.88,0.96,139700,0.96
2014-11-20,0.82,0.95,0.82,0.88,83300,0.88
2014-11-19,0.81,0.85,0.81,0.85,11800,0.85
2014-11-18,0.80,0.83,0.80,0.83,164400,0.83
2014-11-17,0.84,0.84,0.78,0.82,205400,0.82
2014-11-14,0.80,0.82,0.78,0.81,67900,0.81
2014-11-13,0.81,0.84,0.81,0.81,29600,0.81
2014-11-12,0.82,0.82,0.76,0.80,44100,0.80
2014-11-11,0.82,0.83,0.79,0.81,135400,0.81
2014-11-10,0.87,0.87,0.81,0.84,66300,0.84
2014-11-07,0.86,0.86,0.82,0.86,110200,0.86
2014-11-06,0.84,0.92,0.82,0.89,128000,0.89
2014-11-05,0.85,0.86,0.84,0.85,24200,0.85
2014-11-04,0.83,0.86,0.83,0.83,50100,0.83
2014-11-03,0.90,0.93,0.83,0.83,111200,0.83
2014-10-31,0.83,0.93,0.83,0.88,96300,0.88
2014-10-30,0.83,0.89,0.83,0.86,157600,0.86
2014-10-29,0.80,0.87,0.79,0.86,320600,0.86
2014-10-28,0.76,0.79,0.68,0.76,74500,0.76
2014-10-27,0.75,0.78,0.74,0.75,50600,0.75
2014-10-24,0.75,0.80,0.73,0.75,228600,0.75
2014-10-23,0.66,0.75,0.65,0.74,238200,0.74
2014-10-22,0.66,0.69,0.66,0.66,63300,0.66
2014-10-21,0.61,0.66,0.61,0.65,75900,0.65
2014-10-20,0.66,0.67,0.63,0.63,9200,0.63
2014-10-17,0.65,0.68,0.62,0.62,38200,0.62
2014-10-16,0.63,0.66,0.63,0.66,10200,0.66
2014-10-15,0.65,0.65,0.64,0.65,9800,0.65
2014-10-14,0.69,0.69,0.65,0.65,9300,0.65
