Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,84.38,84.87,83.36,83.37,1798200,83.37
2014-12-30,84.74,84.91,84.01,84.11,1427700,84.11
2014-12-29,85.02,85.24,84.82,84.87,1242600,84.87
2014-12-26,85.57,85.91,85.13,85.20,1006300,85.20
2014-12-24,85.13,85.61,85.03,85.24,1060300,85.24
2014-12-23,86.31,86.47,85.14,85.17,2340700,85.17
2014-12-22,84.72,85.72,84.61,85.70,1672100,85.70
2014-12-19,85.45,86.15,84.66,84.71,4230500,84.71
2014-12-18,85.87,85.94,85.03,85.68,3535500,85.68
2014-12-17,82.62,84.86,82.62,84.69,1906200,84.69
2014-12-16,82.77,84.07,82.43,82.91,1986400,82.91
2014-12-15,82.81,83.42,82.04,82.78,1841700,82.78
2014-12-12,83.47,84.65,82.50,82.50,2415600,82.50
2014-12-11,85.53,85.57,84.43,84.60,1976800,84.60
2014-12-10,84.56,85.54,83.98,84.13,2024900,84.13
2014-12-09,85.18,85.59,84.36,85.26,1941400,84.77
2014-12-08,85.36,86.01,85.05,85.59,1674200,85.10
2014-12-05,85.79,85.92,85.11,85.82,1792000,85.33
2014-12-04,86.06,86.42,85.73,86.06,1550900,85.57
2014-12-03,85.49,86.00,84.99,85.94,1875800,85.45
2014-12-02,86.45,86.54,85.62,85.80,1669300,85.31
2014-12-01,85.18,86.50,85.00,86.07,2055000,85.58
2014-11-28,85.26,86.26,84.81,85.64,1267300,85.15
2014-11-26,84.72,84.96,84.36,84.86,1997100,84.37
2014-11-25,84.69,85.07,84.49,84.52,1852600,84.03
2014-11-24,84.51,84.92,84.43,84.79,2295400,84.30
2014-11-21,85.22,85.22,83.81,84.14,2692000,83.66
2014-11-20,84.28,84.42,83.60,84.12,2507400,83.64
2014-11-19,84.79,84.79,84.06,84.27,2362400,83.79
2014-11-18,84.85,85.12,84.45,84.75,1807300,84.26
2014-11-17,84.70,85.08,84.54,84.84,1531800,84.35
2014-11-14,85.41,85.53,84.46,84.75,1853000,84.26
2014-11-13,85.43,85.89,84.98,85.41,1451600,84.92
2014-11-12,84.77,85.54,84.63,85.21,1516200,84.72
2014-11-11,85.09,85.32,84.64,84.95,1267100,84.46
2014-11-10,84.31,85.28,84.06,85.12,1611400,84.63
2014-11-07,84.87,84.98,83.68,84.38,2441300,83.90
2014-11-06,84.66,85.10,84.15,84.75,2126500,84.26
2014-11-05,83.78,84.38,83.33,84.30,2325900,83.82
2014-11-04,82.35,83.36,82.00,83.15,2508300,82.67
2014-11-03,81.50,82.47,81.48,81.74,2707500,81.27
2014-10-31,80.61,81.99,79.86,81.78,3712300,81.31
2014-10-30,77.89,79.39,77.30,78.95,2113800,78.50
2014-10-29,77.09,78.10,76.93,77.92,1357100,77.47
2014-10-28,76.94,77.32,76.22,77.26,2314800,76.82
2014-10-27,76.25,76.60,75.95,76.47,1103400,76.03
2014-10-24,75.78,76.25,75.47,76.20,1131800,75.76
2014-10-23,75.75,76.20,75.22,75.44,1462300,75.01
2014-10-22,75.01,75.18,74.56,74.61,1416100,74.18
2014-10-21,73.63,74.89,73.25,74.81,1565300,74.38
2014-10-20,72.54,73.39,72.35,73.35,2125400,72.93
2014-10-17,72.51,72.98,71.51,72.68,1700400,72.26
2014-10-16,70.79,72.15,70.69,71.63,2179300,71.22
2014-10-15,72.00,72.34,70.50,71.78,2482900,71.37
2014-10-14,72.56,72.98,72.25,72.64,2088100,72.22
2014-10-13,72.82,73.12,71.93,71.95,2058700,71.54
2014-10-10,73.25,73.82,72.65,72.66,2395900,72.24
2014-10-09,74.80,74.95,73.16,73.19,1972800,72.77
2014-10-08,73.50,74.98,73.26,74.78,2078800,74.35
2014-10-07,74.34,74.50,73.48,73.52,2233300,73.10
2014-10-06,74.96,75.04,74.29,74.52,2919500,74.09
2014-10-03,73.56,75.04,73.55,74.85,4475400,74.42
2014-10-02,71.71,72.63,71.51,72.50,3008000,72.08
2014-10-01,73.03,73.08,71.41,71.42,3540300,71.01
2014-09-30,83.34,83.45,82.70,83.08,2068600,72.52
2014-09-29,82.06,82.91,81.91,82.81,1482100,72.29
2014-09-26,82.24,82.76,81.80,82.59,1459500,72.09
2014-09-25,83.61,83.61,82.32,82.36,1519100,71.89
2014-09-24,82.52,84.06,82.39,83.93,1189700,73.26
2014-09-23,82.94,83.09,82.59,82.61,1094400,72.11
2014-09-22,83.42,83.77,82.77,83.09,1090600,72.53
2014-09-19,84.55,84.68,83.56,83.88,2696400,73.22
2014-09-18,83.49,84.31,83.31,84.19,1835800,73.49
2014-09-17,83.47,83.51,82.81,83.35,1625100,72.76
2014-09-16,82.56,83.56,82.56,83.41,1582600,72.81
2014-09-15,82.94,83.61,82.55,83.46,1412400,72.85
2014-09-12,83.26,83.38,82.33,83.02,1924800,72.47
2014-09-11,83.30,83.41,82.69,83.20,1534000,72.63
2014-09-10,83.32,83.65,82.92,83.61,1457400,72.98
2014-09-09,83.85,84.05,83.45,83.61,1140900,72.57
2014-09-08,83.91,84.48,83.74,84.09,980200,72.98
2014-09-05,83.69,84.37,83.62,84.34,1367900,73.20
2014-09-04,83.67,84.44,83.63,83.81,1006500,72.74
2014-09-03,84.09,84.16,83.60,83.78,1212700,72.71
2014-09-02,83.68,83.94,83.27,83.69,1374800,72.64
2014-08-29,83.95,83.95,82.91,83.48,1773300,72.45
2014-08-28,83.03,83.72,83.03,83.50,948000,72.47
2014-08-27,83.75,83.97,83.43,83.67,983300,72.62
2014-08-26,83.60,84.23,83.42,83.82,1217400,72.75
2014-08-25,83.63,83.94,83.27,83.62,962800,72.57
2014-08-22,84.05,84.20,83.28,83.49,1041600,72.46
2014-08-21,83.57,84.07,83.27,83.89,923700,72.81
2014-08-20,83.36,83.68,82.79,83.57,1228000,72.53
2014-08-19,83.01,83.55,82.95,83.43,958100,72.41
2014-08-18,82.62,83.33,82.51,83.25,1072400,72.25
2014-08-15,83.14,83.15,81.67,82.27,1885300,71.40
2014-08-14,83.78,83.78,81.69,82.39,905600,71.51
2014-08-13,81.74,82.07,81.17,82.00,1206300,71.17
2014-08-12,81.11,81.68,80.93,81.27,1165300,70.53
2014-08-11,81.21,81.74,81.16,81.34,1120300,70.60
2014-08-08,80.20,81.28,80.20,81.12,1463800,70.40
2014-08-07,80.68,80.97,79.81,80.07,1504300,69.49
2014-08-06,80.42,80.67,80.14,80.36,1184200,69.74
2014-08-05,81.23,81.23,80.16,80.48,1750900,69.85
2014-08-04,81.32,81.50,80.59,81.21,2411400,70.48
2014-08-01,80.87,81.83,80.87,81.54,1922300,70.77
2014-07-31,82.23,82.50,80.93,81.31,1865900,70.57
2014-07-30,82.33,82.46,81.71,82.15,1898900,71.30
2014-07-29,82.64,82.69,81.87,81.87,1505300,71.06
2014-07-28,82.47,82.61,81.91,82.49,1005200,71.59
2014-07-25,82.52,82.62,82.04,82.61,1364100,71.70
2014-07-24,81.60,82.51,81.59,82.43,1443800,71.54
2014-07-23,81.56,81.88,81.29,81.83,1188800,71.02
2014-07-22,81.16,81.79,81.03,81.68,949100,70.89
2014-07-21,80.59,81.07,80.41,80.98,1141800,70.28
2014-07-18,80.43,81.16,80.02,81.03,1583900,70.33
2014-07-17,80.04,80.53,79.86,79.96,1214900,69.40
2014-07-16,80.65,80.68,80.32,80.50,1121700,69.87
2014-07-15,80.35,80.71,79.89,80.34,1059600,69.73
2014-07-14,80.39,80.50,80.16,80.34,913000,69.73
2014-07-11,80.27,80.30,79.62,80.13,1217800,69.55
2014-07-10,80.80,80.80,79.77,80.15,1085700,69.56
2014-07-09,80.67,80.72,80.19,80.47,1074600,69.84
2014-07-08,80.36,80.80,80.12,80.47,1723800,69.84
2014-07-07,80.18,80.52,80.10,80.44,1255300,69.81
2014-07-03,80.00,80.61,80.00,80.59,883300,69.94
2014-07-02,80.01,80.35,79.61,80.22,1591100,69.62
2014-07-01,79.62,80.56,79.20,80.37,1871900,69.75
2014-06-30,79.13,79.49,78.82,79.28,1275500,68.81
2014-06-27,79.06,79.55,78.86,79.48,1553900,68.98
2014-06-26,79.28,79.28,78.63,79.11,1000200,68.66
2014-06-25,78.76,79.44,78.61,79.25,1182400,68.78
2014-06-24,79.15,79.63,78.85,79.06,1189600,68.62
2014-06-23,79.36,79.59,78.86,79.22,1049200,68.76
2014-06-20,78.86,79.66,78.50,79.45,3984800,68.96
2014-06-19,78.88,78.92,78.35,78.46,1875600,68.10
2014-06-18,78.22,78.70,77.92,78.61,2551400,68.23
2014-06-17,78.48,78.82,78.21,78.22,2226100,67.89
2014-06-16,78.47,79.13,78.45,78.65,1170100,68.26
2014-06-13,78.54,79.07,78.25,78.81,1233700,68.40
2014-06-12,78.08,78.63,77.95,78.25,1331900,67.91
2014-06-11,78.60,78.96,78.10,78.54,1827400,68.17
2014-06-10,79.72,80.37,79.37,79.40,2255400,68.50
2014-06-09,79.58,80.13,79.53,80.00,1460100,69.01
2014-06-06,79.17,79.67,78.80,79.61,1608700,68.68
2014-06-05,78.79,78.84,78.02,78.70,1725800,67.89
2014-06-04,78.33,78.84,78.08,78.83,2659100,68.00
2014-06-03,78.92,79.38,78.54,78.71,2615800,67.90
2014-06-02,79.65,79.92,79.15,79.38,1116700,68.48
2014-05-30,79.75,79.88,79.37,79.68,2530400,68.74
2014-05-29,79.18,79.57,78.90,79.56,1210500,68.63
2014-05-28,79.72,79.79,78.81,78.87,1426100,68.04
2014-05-27,79.01,79.30,78.86,79.30,1335400,68.41
2014-05-23,78.32,78.88,78.14,78.85,1103100,68.02
2014-05-22,77.89,78.28,77.52,78.08,1132200,67.36
2014-05-21,78.07,78.07,77.42,77.72,1481600,67.05
2014-05-20,78.15,78.15,77.37,77.56,1880500,66.91
2014-05-19,77.52,78.12,77.36,78.05,1277500,67.33
2014-05-16,76.91,77.84,76.45,77.81,2084100,67.12
2014-05-15,77.85,78.00,76.47,76.75,2406600,66.21
2014-05-14,79.02,79.10,77.94,78.09,1144500,67.37
2014-05-13,78.90,79.12,78.60,78.92,1416000,68.08
2014-05-12,77.99,79.12,77.99,78.89,1502800,68.06
2014-05-09,77.62,78.26,77.51,78.07,1540400,67.35
2014-05-08,77.32,78.17,77.14,77.85,2093000,67.16
2014-05-07,77.25,77.52,76.46,77.46,2406400,66.82
2014-05-06,77.44,77.60,76.97,77.06,1924100,66.48
2014-05-05,77.28,77.95,76.75,77.87,1389500,67.18
2014-05-02,77.70,78.20,77.30,77.54,2004600,66.89
2014-05-01,77.97,78.27,77.37,77.62,1469000,66.96
2014-04-30,76.05,78.35,76.04,77.96,2429500,67.25
2014-04-29,76.16,77.13,76.02,76.99,2152500,66.42
2014-04-28,76.04,76.53,74.99,75.68,2413700,65.29
2014-04-25,76.24,76.68,75.50,75.66,1637700,65.27
2014-04-24,76.84,77.02,76.32,76.62,1744900,66.10
2014-04-23,75.86,76.54,75.86,76.29,1582600,65.81
2014-04-22,76.13,76.61,75.76,76.33,1355100,65.85
2014-04-21,75.77,76.44,75.77,76.06,1054800,65.61
2014-04-17,75.24,76.45,75.20,76.31,2322900,65.83
2014-04-16,75.70,75.70,74.69,75.43,2195400,65.07
2014-04-15,74.30,75.13,73.80,75.08,2401900,64.77
2014-04-14,74.41,74.57,73.38,74.24,2255600,64.04
2014-04-11,74.67,75.29,73.69,73.73,3110000,63.60
2014-04-10,78.08,78.13,75.22,75.22,4243200,64.89
2014-04-09,75.47,75.96,75.06,75.88,1808300,65.46
2014-04-08,75.46,75.94,75.16,75.56,1896100,65.18
2014-04-07,75.97,76.19,75.02,75.27,1949900,64.93
2014-04-04,77.77,77.78,75.77,75.82,2304500,65.41
2014-04-03,77.98,78.00,77.02,77.37,1351500,66.74
2014-04-02,77.41,77.89,77.26,77.67,1898600,67.00
2014-04-01,77.05,77.53,76.64,77.50,2012800,66.86
2014-03-31,77.14,77.62,76.78,77.26,1653400,66.65
2014-03-28,77.01,77.67,76.57,76.95,1506000,66.38
2014-03-27,76.05,76.72,75.55,76.67,2465600,66.14
2014-03-26,77.10,77.25,76.20,76.20,1611900,65.73
2014-03-25,76.69,77.34,76.29,76.68,1823200,66.15
2014-03-24,77.86,78.00,76.16,76.45,2233000,65.95
2014-03-21,79.33,79.39,77.50,77.75,5282000,67.07
2014-03-20,77.85,78.52,77.66,78.34,1344000,67.58
2014-03-19,79.08,79.08,77.80,78.29,1577300,67.54
2014-03-18,78.37,79.04,78.28,78.99,1994300,68.14
2014-03-17,77.92,78.50,77.71,78.49,2947400,67.71
2014-03-14,77.54,77.81,76.81,77.55,2632100,66.90
2014-03-13,77.78,77.96,76.69,76.99,3153500,66.42
2014-03-12,77.27,77.77,77.00,77.69,1903500,67.02
2014-03-11,78.34,78.46,77.61,77.90,1555800,66.79
2014-03-10,78.59,78.72,77.77,78.21,1932400,67.05
2014-03-07,78.45,78.93,78.14,78.56,1830400,67.35
2014-03-06,77.88,78.23,77.64,78.03,1529200,66.90
2014-03-05,78.00,78.18,77.48,77.72,1894800,66.63
2014-03-04,77.70,78.52,77.56,78.45,2941500,67.26
2014-03-03,77.05,77.19,76.33,76.67,1996300,65.73
2014-02-28,77.88,78.47,77.20,77.78,2678200,66.68
2014-02-27,77.12,77.90,77.10,77.72,2288100,66.63
2014-02-26,77.45,77.52,76.81,77.42,2613300,66.38
2014-02-25,76.98,77.23,76.28,77.01,1770000,66.02
2014-02-24,76.31,77.48,76.20,76.80,1967300,65.84
2014-02-21,76.78,76.99,76.12,76.20,2227400,65.33
2014-02-20,76.24,76.89,75.86,76.51,1418300,65.60
2014-02-19,76.04,76.96,75.91,76.15,1825900,65.29
2014-02-18,76.45,76.57,75.76,76.49,2041800,65.58
2014-02-14,75.75,76.49,75.30,76.27,1944800,65.39
2014-02-13,75.25,76.28,75.20,76.21,2309300,65.34
2014-02-12,75.57,75.90,74.80,75.58,4587400,64.80
2014-02-11,74.12,74.90,74.01,74.66,2872700,64.01
2014-02-10,75.48,75.61,73.83,74.45,2287000,63.83
2014-02-07,74.40,74.96,73.95,74.89,1928800,64.21
2014-02-06,73.45,74.33,73.10,74.20,2685100,63.61
2014-02-05,76.32,76.32,72.69,73.53,3263300,63.04
2014-02-04,77.92,77.92,71.91,74.95,4449500,64.26
2014-02-03,76.61,76.78,73.79,74.08,3623500,63.51
2014-01-31,76.00,77.14,75.94,76.60,2120400,65.67
2014-01-30,76.95,77.64,76.35,77.30,1592500,66.27
2014-01-29,76.44,77.24,76.18,76.53,1866100,65.61
2014-01-28,76.38,77.20,76.21,77.03,1775900,66.04
2014-01-27,76.35,77.53,76.35,76.50,1976300,65.59
2014-01-24,78.81,78.82,76.96,76.97,2400900,65.99
2014-01-23,81.93,82.50,78.86,79.31,1633100,68.00
2014-01-22,80.41,80.72,80.04,80.38,1485700,68.91
2014-01-21,80.42,80.80,79.81,80.32,1649400,68.86
2014-01-17,79.52,80.34,79.44,79.97,3122100,68.56
2014-01-16,80.04,80.26,79.71,79.81,1196200,68.42
2014-01-15,80.00,80.64,79.71,80.09,2306600,68.66
2014-01-14,79.31,80.03,78.94,79.95,1830500,68.54
2014-01-13,80.28,80.33,78.84,79.05,2377700,67.77
2014-01-10,81.06,81.11,79.96,80.35,1679200,68.89
2014-01-09,83.00,83.00,80.53,80.63,1645500,69.13
2014-01-08,80.30,80.74,79.91,80.35,2130000,68.89
2014-01-07,79.98,81.02,79.89,80.78,1567500,69.26
2014-01-06,80.61,80.97,79.39,79.81,1748400,68.42
2014-01-03,80.21,81.37,80.00,80.73,2218900,69.21
2014-01-02,80.17,80.45,79.38,79.86,2239200,68.47
2013-12-31,81.24,81.55,80.65,80.80,1258100,69.27
2013-12-30,80.82,81.10,80.51,81.08,818600,69.51
2013-12-27,80.96,81.14,80.56,80.72,823500,69.20
2013-12-26,80.45,80.87,80.13,80.75,997000,69.23
2013-12-24,79.78,80.29,79.60,80.22,682900,68.78
2013-12-23,80.31,80.40,79.72,79.94,1624400,68.54
2013-12-20,79.42,80.24,78.98,79.97,4040400,68.56
2013-12-19,79.35,79.85,78.87,79.43,2828400,68.10
2013-12-18,77.72,79.15,77.12,79.09,3256300,67.81
2013-12-17,76.80,77.52,76.62,77.25,1950100,66.23
2013-12-16,77.53,77.97,77.19,77.52,1548100,66.46
2013-12-13,77.66,77.77,76.98,77.02,1884800,66.03
2013-12-12,77.21,77.75,77.10,77.15,3402400,66.14
2013-12-11,78.30,78.55,77.22,77.43,3309300,66.38
2013-12-10,78.86,79.05,78.36,78.51,2278500,66.90
2013-12-09,79.70,79.77,78.56,79.01,2705600,67.32
2013-12-06,79.45,79.77,79.13,79.66,2130700,67.88
2013-12-05,78.95,79.53,78.40,78.53,2527300,66.92
2013-12-04,79.89,80.14,78.74,79.33,2120200,67.60
2013-12-03,80.35,80.82,79.70,80.34,3243100,68.46
2013-12-02,79.95,80.13,79.44,79.57,1557600,67.80
2013-11-29,80.18,80.65,79.98,80.02,951100,68.19
2013-11-27,80.30,80.52,79.96,80.33,1211200,68.45
2013-11-26,83.18,83.82,79.80,80.31,2641900,68.43
2013-11-25,80.00,80.40,79.94,80.12,1921700,68.27
2013-11-22,79.65,80.04,79.56,80.01,1765900,68.18
2013-11-21,79.32,79.87,79.13,79.78,2192600,67.98
2013-11-20,79.91,80.13,78.81,79.05,3275500,67.36
2013-11-19,78.80,80.44,78.28,79.71,7722600,67.92
2013-11-18,77.36,77.70,77.14,77.36,2006200,65.92
2013-11-15,76.87,77.40,76.55,77.33,2674000,65.89
2013-11-14,76.64,77.43,76.51,76.97,2494800,65.59
2013-11-13,75.65,76.50,75.24,76.45,2775600,65.14
2013-11-12,75.69,75.90,75.39,75.72,2064600,64.52
2013-11-11,75.83,76.04,75.50,75.76,1328900,64.56
2013-11-08,75.44,76.03,75.21,76.01,1570900,64.77
2013-11-07,76.15,76.41,75.21,75.33,1745700,64.19
2013-11-06,75.34,76.05,75.32,75.83,1427700,64.61
2013-11-05,75.25,75.67,74.74,75.51,1329100,64.34
2013-11-04,75.72,75.91,74.95,75.51,1800900,64.34
2013-11-01,75.35,75.48,74.89,75.31,2109800,64.17
2013-10-31,74.26,75.25,74.01,75.03,3106100,63.93
2013-10-30,75.91,75.91,73.77,74.30,2471100,63.31
2013-10-29,76.04,76.66,75.57,76.35,1917400,65.06
2013-10-28,75.32,76.08,75.15,75.67,1877200,64.48
2013-10-25,75.31,75.71,74.96,75.51,1330100,64.34
2013-10-24,75.30,75.64,75.14,75.41,1583100,64.26
2013-10-23,75.24,75.31,74.83,75.11,1266100,64.00
2013-10-22,74.92,75.75,74.64,75.45,1556700,64.29
2013-10-21,73.99,74.75,73.89,74.70,1410800,63.65
2013-10-18,74.15,74.50,73.87,74.19,1962200,63.22
2013-10-17,73.41,74.15,73.25,74.08,1608800,63.12
2013-10-16,72.95,73.79,72.72,73.72,2066400,62.82
2013-10-15,72.54,72.71,72.18,72.32,2040200,61.62
2013-10-14,72.36,72.89,72.14,72.86,1124500,62.08
2013-10-11,71.26,72.53,71.22,72.51,1225600,61.79
2013-10-10,70.84,71.93,70.61,71.81,1597400,61.19
2013-10-09,70.25,70.60,69.91,70.28,1612100,59.89
2013-10-08,71.14,71.24,70.17,70.24,1712000,59.85
2013-10-07,70.89,71.35,70.52,71.02,1003000,60.52
2013-10-04,71.26,71.61,70.94,71.52,1413500,60.94
2013-10-03,71.71,72.00,70.89,71.10,1552000,60.58
2013-10-02,72.00,72.11,71.66,72.02,1970100,61.37
2013-10-01,72.58,72.58,71.89,72.16,1691800,61.49
2013-09-30,72.31,72.51,71.89,72.38,2005400,61.68
2013-09-27,72.70,72.73,71.61,72.56,1590000,61.83
2013-09-26,72.83,73.20,72.57,72.92,1366000,62.14
2013-09-25,73.09,73.22,72.32,72.52,1334900,61.79
2013-09-24,72.45,73.30,72.29,72.95,2185400,62.16
2013-09-23,74.20,74.62,72.71,73.13,3461500,62.31
2013-09-20,74.76,74.88,74.36,74.43,2742600,63.42
2013-09-19,74.89,74.95,74.48,74.68,1887800,63.63
2013-09-18,74.17,74.86,73.75,74.74,1884000,63.69
2013-09-17,74.24,74.41,73.90,74.16,2614100,63.19
2013-09-16,74.85,74.93,74.03,74.10,2229900,63.14
2013-09-13,74.23,74.33,73.46,74.09,2144100,63.13
2013-09-12,73.91,74.51,73.75,74.18,1521800,63.21
