Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,2.42,2.47,2.42,2.44,31000,2.44
2014-12-30,2.43,2.43,2.43,2.43,000,2.43
2014-12-29,2.42,2.47,2.41,2.42,24900,2.42
2014-12-26,2.48,2.50,2.45,2.47,6900,2.47
2014-12-24,2.45,2.50,2.43,2.49,14700,2.49
2014-12-23,2.47,2.50,2.41,2.50,22100,2.50
2014-12-22,2.57,2.57,2.47,2.49,45400,2.49
2014-12-19,2.56,2.58,2.50,2.58,8800,2.58
2014-12-18,2.55,2.60,2.53,2.54,12900,2.54
2014-12-17,2.55,2.59,2.54,2.54,3700,2.54
2014-12-16,2.52,2.55,2.50,2.54,8700,2.54
2014-12-15,2.49,2.57,2.47,2.54,19600,2.54
2014-12-12,2.50,2.54,2.49,2.54,23400,2.54
2014-12-11,2.59,2.63,2.56,2.56,10000,2.56
2014-12-10,2.60,2.66,2.52,2.52,26600,2.52
2014-12-09,2.57,2.65,2.57,2.63,11700,2.63
2014-12-08,2.55,2.55,2.48,2.55,17300,2.55
2014-12-05,2.57,2.57,2.48,2.55,7400,2.55
2014-12-04,2.59,2.59,2.55,2.57,5900,2.57
2014-12-03,2.48,2.55,2.48,2.55,2000,2.55
2014-12-02,2.42,2.60,2.42,2.51,12100,2.51
2014-12-01,2.63,2.66,2.41,2.41,38400,2.41
2014-11-28,2.67,2.70,2.66,2.66,30500,2.66
2014-11-26,2.69,2.69,2.69,2.69,2000,2.69
2014-11-25,2.62,2.70,2.62,2.70,15800,2.70
2014-11-24,2.66,2.66,2.61,2.64,14800,2.64
2014-11-21,2.63,2.65,2.55,2.65,28000,2.65
2014-11-20,2.62,2.65,2.62,2.64,11800,2.64
2014-11-19,2.60,2.65,2.51,2.64,16400,2.64
2014-11-18,2.63,2.64,2.61,2.64,6000,2.64
2014-11-17,2.57,2.65,2.56,2.63,28100,2.63
2014-11-14,2.44,2.58,2.43,2.58,24900,2.58
2014-11-13,2.52,2.54,2.50,2.53,3400,2.53
2014-11-12,2.54,2.55,2.54,2.55,2400,2.55
2014-11-11,2.49,2.58,2.49,2.58,17000,2.58
2014-11-10,2.51,2.58,2.46,2.55,44900,2.55
2014-11-07,2.40,2.53,2.40,2.52,21100,2.52
2014-11-06,2.43,2.50,2.40,2.50,11300,2.50
2014-11-05,2.39,2.43,2.39,2.43,900,2.43
2014-11-04,2.40,2.42,2.39,2.42,2500,2.42
2014-11-03,2.36,2.42,2.36,2.41,24400,2.41
2014-10-31,2.37,2.41,2.35,2.41,12400,2.41
2014-10-30,2.40,2.40,2.39,2.40,4100,2.40
2014-10-29,2.32,2.43,2.32,2.41,13300,2.41
2014-10-28,2.42,2.43,2.38,2.41,20400,2.41
2014-10-27,2.45,2.45,2.42,2.42,9200,2.42
2014-10-24,2.44,2.45,2.44,2.44,2300,2.44
2014-10-23,2.43,2.45,2.42,2.44,8700,2.44
2014-10-22,2.38,2.45,2.38,2.45,1000,2.45
2014-10-21,2.47,2.50,2.45,2.48,19200,2.48
2014-10-20,2.42,2.47,2.42,2.44,15500,2.44
2014-10-17,2.36,2.44,2.36,2.43,23400,2.43
2014-10-16,2.31,2.36,2.31,2.36,18200,2.36
2014-10-15,2.31,2.34,2.28,2.31,112500,2.31
2014-10-14,2.28,2.36,2.27,2.32,30600,2.32
2014-10-13,2.35,2.36,2.27,2.30,43200,2.30
2014-10-10,2.34,2.37,2.34,2.37,8300,2.37
2014-10-09,2.35,2.39,2.34,2.35,28500,2.35
2014-10-08,2.36,2.39,2.31,2.34,39200,2.34
2014-10-07,2.30,2.40,2.30,2.35,40000,2.35
2014-10-06,2.29,2.31,2.24,2.31,94400,2.31
2014-10-03,2.30,2.31,2.28,2.28,10200,2.28
2014-10-02,2.25,2.36,2.25,2.30,56400,2.30
2014-10-01,2.30,2.35,2.30,2.32,16900,2.32
2014-09-30,2.29,2.35,2.29,2.33,19500,2.33
2014-09-29,2.29,2.40,2.28,2.30,26400,2.30
2014-09-26,2.42,2.42,2.30,2.32,18800,2.32
2014-09-25,2.31,2.48,2.29,2.48,15300,2.48
2014-09-24,2.39,2.39,2.35,2.35,12800,2.35
2014-09-23,2.29,2.47,2.29,2.42,112100,2.42
2014-09-22,2.39,2.39,2.29,2.30,31600,2.30
2014-09-19,2.35,2.39,2.31,2.34,75600,2.34
2014-09-18,2.45,2.50,2.33,2.38,71600,2.38
2014-09-17,2.42,2.49,2.35,2.47,106700,2.47
2014-09-16,2.50,2.50,2.40,2.42,15600,2.42
2014-09-15,2.46,2.55,2.32,2.46,139300,2.46
2014-09-12,2.28,2.51,2.28,2.42,160400,2.42
2014-09-11,2.35,2.36,2.32,2.36,18800,2.36
2014-09-10,2.35,2.35,2.32,2.33,14400,2.33
2014-09-09,2.35,2.37,2.33,2.33,18300,2.33
2014-09-08,2.38,2.38,2.32,2.33,22300,2.33
2014-09-05,2.35,2.37,2.34,2.36,20800,2.36
2014-09-04,2.32,2.35,2.28,2.35,30900,2.35
2014-09-03,2.35,2.37,2.32,2.36,29800,2.36
2014-09-02,2.35,2.39,2.35,2.39,14000,2.39
2014-08-29,2.40,2.40,2.38,2.38,15600,2.38
2014-08-28,2.38,2.40,2.38,2.38,1500,2.38
2014-08-27,2.36,2.39,2.33,2.39,25500,2.39
2014-08-26,2.35,2.42,2.35,2.37,5100,2.37
2014-08-25,2.38,2.45,2.36,2.41,6300,2.41
2014-08-22,2.34,2.40,2.33,2.35,33400,2.35
2014-08-21,2.36,2.46,2.33,2.37,52400,2.37
2014-08-20,2.46,2.46,2.34,2.35,9800,2.35
2014-08-19,2.32,2.40,2.29,2.34,27200,2.34
2014-08-18,2.33,2.46,2.31,2.36,33900,2.36
2014-08-15,2.33,2.34,2.32,2.33,11800,2.33
2014-08-14,2.33,2.40,2.31,2.33,35300,2.33
2014-08-13,2.45,2.46,2.33,2.33,25400,2.33
2014-08-12,2.46,2.50,2.41,2.45,43200,2.45
2014-08-11,2.33,2.37,2.27,2.30,65600,2.30
2014-08-08,2.37,2.44,2.36,2.37,9300,2.37
2014-08-07,2.43,2.43,2.35,2.36,7400,2.36
2014-08-06,2.38,2.44,2.34,2.39,18900,2.39
2014-08-05,2.41,2.41,2.34,2.38,13800,2.38
2014-08-04,2.33,2.45,2.30,2.35,48700,2.35
2014-08-01,2.45,2.46,2.25,2.34,115200,2.34
2014-07-31,2.50,2.57,2.43,2.45,55300,2.45
2014-07-30,2.53,2.67,2.49,2.53,157100,2.53
2014-07-29,2.50,2.58,2.50,2.55,11000,2.55
2014-07-28,2.52,2.61,2.52,2.53,43600,2.53
2014-07-25,2.51,2.56,2.51,2.52,20800,2.52
2014-07-24,2.52,2.59,2.51,2.56,6500,2.56
2014-07-23,2.59,2.59,2.54,2.55,13300,2.55
2014-07-22,2.52,2.59,2.52,2.56,5400,2.56
2014-07-21,2.59,2.60,2.53,2.56,23500,2.56
2014-07-18,2.55,2.58,2.50,2.56,30900,2.56
2014-07-17,2.55,2.59,2.55,2.55,10300,2.55
2014-07-16,2.55,2.60,2.55,2.56,52100,2.56
2014-07-15,2.56,2.58,2.55,2.55,31700,2.55
2014-07-14,2.60,2.60,2.56,2.57,26900,2.57
2014-07-11,2.61,2.61,2.59,2.61,6300,2.61
2014-07-10,2.58,2.62,2.58,2.62,17700,2.62
2014-07-09,2.55,2.61,2.55,2.61,18000,2.61
2014-07-08,2.63,2.64,2.56,2.59,11600,2.59
2014-07-07,2.70,2.75,2.56,2.63,36200,2.63
2014-07-03,2.63,2.77,2.58,2.74,70400,2.74
2014-07-02,2.62,2.71,2.58,2.64,101400,2.64
2014-07-01,2.70,2.80,2.66,2.73,52200,2.73
2014-06-30,2.72,2.78,2.70,2.76,53900,2.76
2014-06-27,2.79,2.79,2.75,2.77,18900,2.77
2014-06-26,2.83,2.83,2.80,2.80,15700,2.80
2014-06-25,2.90,2.90,2.82,2.83,13900,2.83
2014-06-24,2.88,2.91,2.77,2.89,38500,2.89
2014-06-23,2.95,3.00,2.88,2.88,25500,2.88
2014-06-20,2.89,2.93,2.72,2.93,13200,2.93
2014-06-19,3.06,3.07,2.88,2.91,16300,2.91
2014-06-18,3.10,3.10,3.04,3.06,23100,3.06
2014-06-17,2.96,3.08,2.95,3.05,40600,3.05
2014-06-16,2.81,2.95,2.81,2.90,26400,2.90
2014-06-13,2.76,2.80,2.72,2.78,29000,2.78
2014-06-12,2.72,2.79,2.72,2.74,4700,2.74
2014-06-11,2.80,2.80,2.65,2.72,11600,2.72
2014-06-10,2.79,2.80,2.73,2.78,9500,2.78
2014-06-09,2.80,2.83,2.66,2.77,48900,2.77
