Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,112.03,115.85,111.63,112.04,439900,112.04
2014-12-30,115.80,115.90,111.95,112.20,22700,112.20
2014-12-29,114.48,116.33,113.55,115.60,540400,115.60
2014-12-26,111.28,115.16,110.71,114.43,571000,114.43
2014-12-24,105.13,111.35,105.00,109.67,673500,109.67
2014-12-23,119.10,119.10,101.16,107.22,2337300,107.22
2014-12-22,118.75,122.85,116.69,120.78,687200,120.78
2014-12-19,120.90,120.90,117.04,119.62,1641900,119.62
2014-12-18,119.33,120.00,115.04,119.72,849600,119.72
2014-12-17,107.79,116.30,107.26,116.08,1015600,116.08
2014-12-16,106.51,113.00,105.78,107.47,1153500,107.47
2014-12-15,121.10,121.66,110.21,111.23,1628700,111.23
2014-12-12,119.50,124.39,118.58,119.56,1102400,119.56
2014-12-11,114.00,122.92,113.74,119.20,2774400,119.20
2014-12-10,109.65,113.46,108.00,111.55,1033400,111.55
2014-12-09,106.56,110.86,104.08,110.56,776200,110.56
2014-12-08,108.50,113.82,106.62,107.30,1934700,107.30
2014-12-05,104.73,108.24,103.99,106.02,720500,106.02
2014-12-04,103.61,105.90,101.25,104.05,758200,104.05
2014-12-03,97.50,102.96,95.31,102.02,758900,102.02
2014-12-02,92.00,97.90,89.33,97.32,1040900,97.32
2014-12-01,100.72,102.50,95.00,96.27,924300,96.27
2014-11-28,103.67,111.60,100.00,100.81,998800,100.81
2014-11-26,98.50,102.89,97.69,102.44,699300,102.44
2014-11-25,96.77,98.36,96.13,98.03,563600,98.03
2014-11-24,94.93,97.98,94.58,96.74,616700,96.74
2014-11-21,94.30,97.36,92.71,94.84,722000,94.84
2014-11-20,94.15,95.97,91.52,93.01,1084400,93.01
2014-11-19,87.00,99.71,83.35,95.97,3900900,95.97
2014-11-18,84.83,86.37,83.29,83.81,510000,83.81
2014-11-17,83.14,86.54,82.98,84.88,430900,84.88
2014-11-14,86.01,86.51,82.86,84.06,408900,84.06
2014-11-13,87.39,88.59,85.41,86.49,568000,86.49
2014-11-12,83.22,89.50,81.87,86.87,1440600,86.87
2014-11-11,81.48,85.45,81.48,81.91,532800,81.91
2014-11-10,73.16,82.20,73.16,81.78,1085100,81.78
2014-11-07,84.89,84.91,70.39,72.06,1879500,72.06
2014-11-06,81.37,83.51,76.47,83.09,852300,83.09
2014-11-05,83.79,84.55,81.02,81.80,423300,81.80
2014-11-04,82.45,83.39,81.20,82.44,227800,82.44
2014-11-03,83.90,83.98,80.88,83.07,480600,83.07
2014-10-31,86.00,88.82,82.85,84.03,785900,84.03
2014-10-30,79.13,84.42,79.13,84.37,409300,84.37
2014-10-29,79.99,79.99,77.58,79.36,616400,79.36
2014-10-28,81.47,81.50,79.01,80.60,586700,80.60
2014-10-27,80.42,82.20,77.06,80.55,748700,80.55
2014-10-24,76.32,80.85,76.00,80.61,568300,80.61
2014-10-23,74.68,77.66,74.66,76.28,572000,76.28
2014-10-22,72.91,76.98,72.00,73.82,907500,73.82
2014-10-21,71.92,73.99,70.53,72.90,872800,72.90
2014-10-20,64.11,68.60,63.84,68.25,455300,68.25
2014-10-17,66.37,66.93,63.02,64.27,747800,64.27
2014-10-16,64.28,66.06,63.02,64.93,754200,64.93
2014-10-15,62.22,69.98,61.45,65.23,1858100,65.23
2014-10-14,63.15,65.00,61.56,62.07,709900,62.07
2014-10-13,61.19,64.21,59.78,62.53,449500,62.53
2014-10-10,62.18,63.80,59.52,60.88,403900,60.88
2014-10-09,64.09,65.24,61.48,62.70,494300,62.70
2014-10-08,61.47,64.61,60.51,64.38,397300,64.38
2014-10-07,61.14,62.39,59.50,61.57,333100,61.57
2014-10-06,63.03,63.89,61.10,61.57,468900,61.57
2014-10-03,64.19,65.60,62.45,63.66,398300,63.66
2014-10-02,62.00,63.98,59.00,63.38,819700,63.38
2014-10-01,61.50,62.55,58.55,62.14,942400,62.14
2014-09-30,66.49,67.02,60.36,61.35,1609100,61.35
2014-09-29,62.48,69.50,60.00,66.50,2004800,66.50
2014-09-26,55.00,66.98,54.95,63.76,4147600,63.76
2014-09-25,50.21,53.88,49.83,53.45,1048300,53.45
2014-09-24,48.26,50.75,47.50,50.24,538400,50.24
2014-09-23,46.11,49.12,45.81,48.00,420000,48.00
2014-09-22,49.00,49.00,46.04,47.35,413000,47.35
2014-09-19,49.00,50.98,48.50,48.91,1700900,48.91
2014-09-18,47.73,49.08,46.97,48.63,652800,48.63
2014-09-17,49.25,49.41,46.25,46.35,1544100,46.35
2014-09-16,43.70,45.05,42.34,44.48,414300,44.48
2014-09-15,43.97,43.97,41.86,43.40,310400,43.40
2014-09-12,45.10,45.99,44.03,44.22,324200,44.22
2014-09-11,46.80,47.38,45.58,46.40,149200,46.40
2014-09-10,45.07,47.30,45.07,47.27,348800,47.27
2014-09-09,45.23,46.57,44.85,45.07,224600,45.07
2014-09-08,43.78,45.92,43.00,45.49,183700,45.49
2014-09-05,44.79,44.79,42.57,43.78,243900,43.78
2014-09-04,45.76,46.62,44.69,44.96,248800,44.96
2014-09-03,46.44,47.24,45.37,45.66,383600,45.66
2014-09-02,46.60,46.87,45.66,46.29,799000,46.29
2014-08-29,45.09,46.51,45.00,46.22,228100,46.22
2014-08-28,44.99,46.56,44.81,45.01,199600,45.01
2014-08-27,44.75,46.22,44.39,45.44,249400,45.44
2014-08-26,44.04,45.30,43.77,44.48,369000,44.48
2014-08-25,43.94,44.96,43.53,44.02,246100,44.02
2014-08-22,40.12,44.00,39.64,43.66,438200,43.66
2014-08-21,40.20,40.56,39.65,40.35,276500,40.35
2014-08-20,41.24,41.94,40.26,40.42,160600,40.42
2014-08-19,43.10,43.85,41.25,41.78,242100,41.78
2014-08-18,41.86,44.17,41.22,43.06,265800,43.06
2014-08-15,41.72,42.16,40.38,41.40,276500,41.40
2014-08-14,41.77,42.25,40.29,41.29,280700,41.29
2014-08-13,39.15,42.16,39.15,41.85,324200,41.85
2014-08-12,40.12,40.71,38.76,38.92,259500,38.92
2014-08-11,38.38,41.53,38.38,40.29,335800,40.29
2014-08-08,37.09,38.25,36.44,38.04,160400,38.04
2014-08-07,37.65,39.95,36.54,37.10,250700,37.10
2014-08-06,37.87,38.70,37.18,37.51,288600,37.51
2014-08-05,38.30,39.95,37.69,38.32,297700,38.32
2014-08-04,39.25,39.86,38.02,38.59,263900,38.59
2014-08-01,40.25,40.36,38.21,38.92,283500,38.92
2014-07-31,39.43,40.71,38.68,40.30,316300,40.30
2014-07-30,40.41,41.03,39.33,40.09,349000,40.09
2014-07-29,38.37,40.50,37.95,39.90,304900,39.90
2014-07-28,38.32,38.84,37.06,38.27,202500,38.27
2014-07-25,38.28,38.84,38.02,38.21,136400,38.21
2014-07-24,39.68,40.18,38.41,38.51,262700,38.51
2014-07-23,37.83,39.48,37.00,39.36,329800,39.36
2014-07-22,37.94,38.99,36.91,37.05,391400,37.05
2014-07-21,36.90,38.24,35.39,37.76,296800,37.76
2014-07-18,33.14,37.50,33.01,37.14,512800,37.14
2014-07-17,34.50,34.63,33.02,33.21,589400,33.21
2014-07-16,37.50,37.88,34.55,34.72,432300,34.72
2014-07-15,37.00,38.03,36.21,37.64,436900,37.64
2014-07-14,38.01,38.03,36.71,36.97,253100,36.97
2014-07-11,38.18,38.46,36.61,37.43,351800,37.43
2014-07-10,38.29,39.18,36.33,38.29,493200,38.29
2014-07-09,39.59,41.02,38.06,39.40,410100,39.40
2014-07-08,41.72,41.72,39.00,39.58,492700,39.58
2014-07-07,43.79,44.23,41.79,41.99,248600,41.99
2014-07-03,44.93,46.02,43.71,44.22,142300,44.22
2014-07-02,45.72,46.49,44.58,44.72,281800,44.72
2014-07-01,47.13,47.91,45.26,45.62,486500,45.62
2014-06-30,45.94,47.29,45.32,45.82,380400,45.82
2014-06-27,43.56,46.10,43.36,45.91,1205100,45.91
2014-06-26,43.98,44.13,42.32,44.00,217700,44.00
2014-06-25,43.81,43.92,42.05,43.84,364300,43.84
2014-06-24,45.18,45.18,43.53,43.88,528200,43.88
2014-06-23,48.64,48.64,43.46,44.02,738600,44.02
2014-06-20,47.59,50.37,47.19,49.50,480200,49.50
2014-06-19,48.00,48.00,47.00,47.59,271500,47.59
2014-06-18,47.99,48.37,46.44,47.64,264000,47.64
2014-06-17,47.43,49.00,46.25,47.16,396400,47.16
2014-06-16,47.17,47.80,44.52,47.27,659600,47.27
2014-06-13,45.54,48.21,44.26,47.50,565500,47.50
2014-06-12,43.80,44.94,43.19,44.84,177900,44.84
2014-06-11,43.26,44.74,42.64,44.04,159600,44.04
2014-06-10,42.70,44.00,41.58,43.99,375200,43.99
2014-06-09,42.91,44.74,42.49,42.62,349600,42.62
2014-06-06,40.99,42.98,40.99,42.79,261400,42.79
2014-06-05,38.72,41.14,38.20,40.85,292900,40.85
2014-06-04,36.64,39.15,36.12,38.47,276600,38.47
2014-06-03,33.52,36.89,32.66,36.76,490400,36.76
2014-06-02,35.01,35.20,33.01,33.85,247400,33.85
2014-05-30,35.79,36.14,34.49,35.16,383000,35.16
2014-05-29,34.56,36.20,34.56,35.64,133800,35.64
2014-05-28,36.25,36.69,33.90,34.55,231100,34.55
2014-05-27,34.14,36.21,33.90,36.14,158400,36.14
2014-05-23,33.39,34.48,33.14,33.89,96200,33.89
2014-05-22,32.85,33.95,32.31,33.52,228300,33.52
2014-05-21,32.22,33.76,31.51,32.66,224800,32.66
2014-05-20,34.18,34.18,31.52,31.86,247500,31.86
2014-05-19,32.99,34.98,32.99,34.11,319100,34.11
2014-05-16,33.09,34.33,31.52,33.23,375900,33.23
2014-05-15,35.41,35.41,33.11,33.18,296200,33.18
2014-05-14,32.79,36.28,32.79,35.97,461900,35.97
2014-05-13,35.54,36.08,32.70,32.89,359900,32.89
2014-05-12,36.56,38.22,34.71,35.54,373500,35.54
2014-05-09,36.80,37.01,35.52,36.58,309900,36.58
2014-05-08,39.51,40.64,36.01,36.79,558700,36.79
2014-05-07,42.17,42.29,39.25,40.78,317400,40.78
2014-05-06,43.41,47.47,42.27,42.40,437500,42.40
2014-05-05,42.76,44.04,42.39,43.81,173100,43.81
2014-05-02,44.36,44.36,42.12,43.28,290100,43.28
2014-05-01,42.80,44.14,41.74,43.92,442800,43.92
2014-04-30,40.70,42.29,39.79,42.06,269800,42.06
2014-04-29,39.57,41.86,39.43,41.33,358300,41.33
2014-04-28,41.10,42.05,38.44,39.56,483100,39.56
2014-04-25,43.34,44.37,40.51,41.02,389500,41.02
2014-04-24,45.21,45.48,39.75,43.58,1899800,43.58
2014-04-23,47.06,48.94,45.85,46.34,534200,46.34
2014-04-22,41.49,47.70,41.44,47.54,472500,47.54
2014-04-21,40.50,41.69,39.82,41.21,189300,41.21
2014-04-17,39.45,42.53,38.76,40.67,371200,40.67
2014-04-16,40.80,40.80,38.76,39.21,332400,39.21
2014-04-15,43.90,45.42,37.87,40.00,640700,40.00
2014-04-14,44.06,45.90,42.62,43.90,215700,43.90
2014-04-11,44.45,46.00,43.00,43.32,439600,43.32
2014-04-10,46.00,48.29,44.60,44.84,503900,44.84
2014-04-09,46.85,48.98,46.00,48.42,369500,48.42
2014-04-08,45.12,47.65,43.86,46.90,797800,46.90
2014-04-07,43.25,46.00,41.37,45.35,2685300,45.35
2014-04-04,35.79,36.72,31.42,35.48,442800,35.48
2014-04-03,36.32,37.02,33.82,35.16,319800,35.16
2014-04-02,37.35,38.13,36.03,36.58,425200,36.58
2014-04-01,39.13,39.72,36.38,37.38,354000,37.38
2014-03-31,37.50,41.33,37.39,39.15,475500,39.15
2014-03-28,36.60,38.52,36.30,37.02,281800,37.02
2014-03-27,36.10,37.19,35.22,36.56,136300,36.56
2014-03-26,37.91,39.49,36.13,36.24,208500,36.24
2014-03-25,37.73,39.18,36.51,37.56,309600,37.56
2014-03-24,44.76,45.11,36.76,37.47,544600,37.47
