Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,49.29,49.34,49.14,49.34,2400,49.28
2014-12-30,49.18,49.34,49.18,49.18,8400,49.12
2014-12-29,49.19,49.34,49.19,49.34,2200,49.28
2014-12-26,49.22,49.34,49.18,49.28,2800,49.22
2014-12-24,49.14,49.29,49.14,49.29,2600,49.23
2014-12-23,49.34,49.34,49.21,49.24,5700,49.18
2014-12-22,49.33,49.35,49.17,49.17,14600,49.11
2014-12-19,49.34,49.34,49.10,49.18,3400,49.12
2014-12-18,49.31,49.37,49.15,49.36,8600,49.22
2014-12-17,49.14,49.31,49.01,49.17,3900,49.03
2014-12-16,49.08,49.28,49.05,49.24,10000,49.10
2014-12-15,49.15,49.25,49.14,49.21,2500,49.07
2014-12-12,49.10,49.33,49.10,49.13,2700,48.99
2014-12-11,49.23,49.48,49.23,49.46,7800,49.32
2014-12-10,49.59,49.59,49.23,49.32,4100,49.18
2014-12-09,49.68,49.68,49.41,49.42,19400,49.28
2014-12-08,49.54,49.72,49.48,49.72,2700,49.58
2014-12-05,49.45,49.65,49.44,49.57,11400,49.43
2014-12-04,49.69,49.85,49.52,49.85,2400,49.71
2014-12-03,49.51,49.62,49.50,49.50,4500,49.36
2014-12-02,49.39,49.73,49.39,49.50,3800,49.36
2014-12-01,49.62,49.62,49.40,49.41,4300,49.27
2014-11-28,49.43,49.53,49.43,49.53,2000,49.39
2014-11-26,49.53,49.54,49.39,49.52,4900,49.38
2014-11-25,49.41,49.53,49.39,49.39,9200,49.25
2014-11-24,49.40,49.54,49.40,49.51,2700,49.37
2014-11-21,49.47,49.47,49.33,49.43,4600,49.29
2014-11-20,49.50,49.50,49.46,49.46,6900,49.26
2014-11-19,49.57,49.58,49.43,49.45,12000,49.25
2014-11-18,49.66,49.66,49.49,49.56,5400,49.36
2014-11-17,49.64,49.64,49.44,49.58,22100,49.38
2014-11-14,49.49,49.59,49.43,49.58,7900,49.38
2014-11-13,49.45,49.60,49.44,49.44,4600,49.24
2014-11-12,49.28,49.61,49.28,49.60,8100,49.40
2014-11-11,49.57,49.70,49.50,49.67,7100,49.47
2014-11-10,49.59,49.66,49.53,49.66,5300,49.46
2014-11-07,49.64,49.68,49.51,49.68,4300,49.48
2014-11-06,49.50,49.63,49.50,49.52,5900,49.32
2014-11-05,49.67,49.67,49.51,49.54,11800,49.34
2014-11-04,49.70,49.72,49.55,49.61,8100,49.41
2014-11-03,49.53,49.60,49.52,49.52,6500,49.32
2014-10-31,49.78,49.78,49.52,49.65,7800,49.45
2014-10-30,49.60,49.68,49.51,49.67,4700,49.47
2014-10-29,49.56,49.61,49.45,49.45,87600,49.25
2014-10-28,49.47,49.56,49.47,49.55,3300,49.35
2014-10-27,49.48,49.48,49.43,49.47,3900,49.27
2014-10-24,49.79,49.79,49.36,49.36,3400,49.11
2014-10-23,49.59,49.60,49.46,49.60,4100,49.35
2014-10-22,49.51,49.62,49.42,49.45,3900,49.20
2014-10-21,49.42,49.60,49.42,49.44,6100,49.19
2014-10-20,49.59,49.59,49.38,49.38,2100,49.13
2014-10-17,49.51,49.60,49.31,49.31,4000,49.06
2014-10-16,49.11,49.68,49.11,49.66,5200,49.41
2014-10-15,49.36,49.57,49.32,49.32,4800,49.07
2014-10-14,49.67,49.68,49.60,49.60,2300,49.35
2014-10-13,49.99,49.99,49.37,49.71,6400,49.46
2014-10-10,49.54,49.71,49.45,49.69,4700,49.44
2014-10-09,49.64,49.67,49.41,49.66,5800,49.41
2014-10-08,49.76,49.77,49.60,49.60,4100,49.35
2014-10-07,49.79,49.79,49.59,49.76,3000,49.51
2014-10-06,49.78,49.78,49.66,49.66,4000,49.41
2014-10-03,49.80,49.80,49.55,49.76,5100,49.51
2014-10-02,49.54,49.77,49.54,49.57,1900,49.32
2014-10-01,49.68,49.68,49.53,49.66,5400,49.41
2014-09-30,49.82,49.85,49.64,49.80,23000,49.55
2014-09-29,49.51,49.82,49.51,49.80,7000,49.55
2014-09-26,49.78,49.83,49.72,49.73,4300,49.48
2014-09-25,49.80,49.80,49.71,49.78,9100,49.53
2014-09-24,49.79,49.85,49.73,49.73,2100,49.48
2014-09-23,49.87,49.87,49.68,49.78,4200,49.53
2014-09-22,49.79,49.81,49.70,49.78,7200,49.53
2014-09-19,49.77,49.79,49.67,49.79,8600,49.50
2014-09-18,49.86,49.86,49.80,49.84,4600,49.55
2014-09-17,49.72,49.86,49.60,49.85,3500,49.56
2014-09-16,49.78,49.80,49.69,49.80,7800,49.51
2014-09-15,49.77,49.81,49.62,49.63,7500,49.34
2014-09-12,49.98,50.01,49.86,50.01,5100,49.71
2014-09-11,49.78,49.78,49.75,49.78,2600,49.49
2014-09-10,49.81,49.83,49.71,49.83,1700,49.54
2014-09-09,49.90,49.90,49.76,49.86,11800,49.57
2014-09-08,49.86,50.05,49.76,49.96,14800,49.66
2014-09-05,49.98,49.99,49.89,49.89,218100,49.60
2014-09-04,49.92,50.12,49.92,49.96,1062700,49.66
2014-09-03,51.00,51.83,49.87,50.07,19100,49.77
2014-09-02,49.50,50.15,49.50,50.15,1700,49.85
2014-08-29,50.07,50.07,50.07,50.07,000,49.77
2014-08-28,50.07,50.07,50.07,50.07,000,49.77
2014-08-27,50.07,50.07,50.07,50.07,300,49.77
2014-08-26,50.18,50.18,50.18,50.18,700,49.88
2014-08-25,49.70,50.28,49.65,49.79,23700,49.50
2014-08-22,49.82,49.84,49.65,49.76,2000,49.39
2014-08-21,49.53,49.74,49.46,49.74,1300,49.37
2014-08-20,49.81,49.83,49.63,49.70,14100,49.33
2014-08-19,49.79,49.79,49.79,49.79,000,49.42
2014-08-18,49.77,49.82,49.77,49.79,3000,49.42
2014-08-15,49.66,49.70,49.66,49.70,700,49.33
2014-08-14,49.91,49.91,49.91,49.91,000,49.54
2014-08-13,49.91,49.91,49.91,49.91,000,49.54
2014-08-12,49.91,49.91,49.91,49.91,700,49.54
2014-08-11,49.85,49.85,49.85,49.85,000,49.48
2014-08-08,49.76,49.85,49.76,49.85,700,49.48
2014-08-07,49.73,49.80,49.58,49.77,8500,49.40
2014-08-06,49.69,49.73,49.64,49.64,900,49.27
2014-08-05,49.71,49.87,49.66,49.66,5700,49.29
2014-08-04,49.70,49.82,49.65,49.65,25500,49.28
2014-08-01,49.91,49.92,49.50,49.58,59300,49.21
2014-07-31,49.91,49.91,49.91,49.91,200,49.54
2014-07-30,49.90,50.02,49.85,50.02,11500,49.65
2014-07-29,50.11,50.12,50.11,50.12,300,49.75
2014-07-28,49.98,49.98,49.98,49.98,000,49.61
2014-07-25,49.98,49.98,49.98,49.98,100,49.61
2014-07-24,50.00,50.06,50.00,50.06,2900,49.69
2014-07-23,49.97,49.99,49.97,49.99,1400,49.62
2014-07-22,52.68,52.68,49.95,49.95,700,49.58
2014-07-21,49.98,49.98,49.98,49.98,100,49.61
2014-07-18,49.95,49.95,49.95,49.95,100,49.51
2014-07-17,50.00,50.00,49.65,49.73,15900,49.29
2014-07-16,49.90,50.02,49.80,50.01,11400,49.57
2014-07-15,49.95,50.13,49.94,50.13,10100,49.68
2014-07-14,50.00,50.12,50.00,50.06,11500,49.61
2014-07-11,49.80,50.06,49.80,49.97,21800,49.53
2014-07-10,49.92,50.18,49.92,50.06,18700,49.61
2014-07-09,50.01,50.06,49.85,50.06,13400,49.61
2014-07-08,49.70,50.02,49.70,49.93,35000,49.49
2014-07-07,49.77,49.77,49.76,49.76,1400,49.32
2014-07-03,50.16,50.16,50.04,50.09,13500,49.64
2014-07-02,50.19,50.19,49.96,50.12,16100,49.67
2014-07-01,49.94,50.08,49.92,50.07,22500,49.62
2014-06-30,49.93,50.04,49.92,50.04,13900,49.59
2014-06-27,50.01,50.09,49.90,50.00,8300,49.56
2014-06-26,49.93,49.93,49.93,49.93,100,49.49
2014-06-25,50.04,50.04,49.81,49.81,1500,49.37
2014-06-24,50.03,50.03,50.03,50.03,200,49.59
2014-06-23,50.08,50.08,50.08,50.08,000,49.63
2014-06-20,50.08,50.08,50.08,50.08,000,49.56
2014-06-19,50.08,50.08,50.08,50.08,000,49.56
2014-06-18,50.08,50.08,50.08,50.08,000,49.56
2014-06-17,50.08,50.08,50.08,50.08,000,49.56
2014-06-16,50.08,50.08,50.08,50.08,000,49.56
2014-06-13,50.06,50.08,50.06,50.08,300,49.56
2014-06-12,50.02,50.04,49.96,49.97,11200,49.45
2014-06-11,49.85,50.15,49.85,50.15,1600,49.63
2014-06-10,50.06,50.06,50.06,50.06,000,49.54
2014-06-09,50.00,50.06,50.00,50.06,400,49.54
2014-06-06,50.00,50.00,50.00,50.00,000,49.48
2014-06-05,49.95,50.03,49.95,50.00,4900,49.48
2014-06-04,50.05,50.05,49.90,49.92,4600,49.40
2014-06-03,49.95,50.06,49.95,50.02,13000,49.50
2014-06-02,49.94,50.00,49.94,49.97,2000,49.45
2014-05-30,49.85,50.03,49.85,50.03,17300,49.51
2014-05-29,49.90,49.99,49.90,49.98,14500,49.46
2014-05-28,49.90,49.97,49.90,49.97,800,49.45
2014-05-27,49.40,49.91,49.40,49.88,2800,49.36
2014-05-23,49.92,49.92,49.92,49.92,300,49.40
2014-05-22,50.03,50.03,50.03,50.03,000,49.44
2014-05-21,49.88,50.03,49.88,50.03,1100,49.44
2014-05-20,50.10,50.10,50.10,50.10,000,49.51
2014-05-19,50.10,50.10,50.10,50.10,000,49.51
2014-05-16,50.10,50.10,50.10,50.10,000,49.51
2014-05-15,51.00,51.00,50.00,50.10,2300,49.51
2014-05-14,50.06,50.06,50.06,50.06,100,49.47
2014-05-13,50.10,50.10,50.08,50.08,1500,49.49
2014-05-12,50.20,50.21,50.18,50.20,4200,49.60
2014-05-09,50.16,50.16,50.16,50.16,000,49.57
2014-05-08,50.13,50.23,50.13,50.16,2500,49.57
2014-05-07,50.16,50.16,49.89,49.89,9800,49.30
2014-05-06,50.20,50.20,50.20,50.20,200,49.60
2014-05-05,50.00,50.00,50.00,50.00,000,49.41
2014-05-02,50.00,50.00,50.00,50.00,000,49.41
2014-05-01,50.00,50.00,50.00,50.00,200,49.41
2014-04-30,50.08,50.08,50.08,50.08,000,49.49
2014-04-29,50.08,50.08,50.08,50.08,000,49.49
2014-04-28,50.08,50.08,50.08,50.08,200,49.49
2014-04-25,50.11,50.11,50.11,50.11,000,49.52
2014-04-24,50.10,50.11,50.10,50.11,300,49.52
2014-04-23,50.01,50.01,50.01,50.01,000,49.42
2014-04-22,50.01,50.01,50.01,50.01,000,49.42
2014-04-21,50.01,50.01,50.01,50.01,000,49.42
2014-04-17,50.01,50.01,50.01,50.01,000,49.34
2014-04-16,50.01,50.01,50.01,50.01,000,49.34
2014-04-15,50.01,50.01,50.01,50.01,000,49.34
2014-04-14,51.00,51.00,49.94,50.01,3100,49.34
2014-04-11,50.12,50.12,50.12,50.12,000,49.45
2014-04-10,50.12,50.12,50.12,50.12,000,49.45
2014-04-09,50.12,50.12,50.12,50.12,000,49.45
2014-04-08,50.12,50.12,50.12,50.12,000,49.45
2014-04-07,50.12,50.12,50.12,50.12,000,49.45
2014-04-04,50.12,50.12,50.12,50.12,000,49.45
2014-04-03,50.12,50.12,50.12,50.12,000,49.45
2014-04-02,50.12,50.12,50.12,50.12,000,49.45
2014-04-01,50.12,50.12,50.12,50.12,000,49.45
2014-03-31,50.12,50.12,50.12,50.12,000,49.45
2014-03-28,50.12,50.12,50.12,50.12,000,49.45
