Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,4.15,4.25,3.99,3.99,36100,3.99
2014-12-30,4.11,4.11,4.11,4.11,100,4.11
2014-12-29,3.70,3.73,3.49,3.63,9100,3.63
2014-12-26,3.40,3.61,3.35,3.48,26600,3.48
2014-12-24,3.38,3.38,3.08,3.20,10400,3.20
2014-12-23,3.18,3.41,3.00,3.30,29300,3.30
2014-12-22,2.99,3.48,2.90,3.23,14200,3.23
2014-12-19,3.15,3.15,2.91,3.00,30700,3.00
2014-12-18,3.03,3.49,3.02,3.14,84300,3.14
2014-12-17,3.07,3.09,2.97,3.02,18400,3.02
2014-12-16,3.00,3.12,2.90,2.99,12700,2.99
2014-12-15,3.25,3.25,2.92,2.98,7100,2.98
2014-12-12,3.05,3.23,3.05,3.22,9600,3.22
2014-12-11,2.96,3.18,2.88,3.17,7200,3.17
2014-12-10,2.79,3.20,2.77,2.91,65400,2.91
2014-12-09,2.69,3.07,2.43,2.66,56500,2.66
2014-12-08,2.85,2.95,2.67,2.67,11200,2.67
2014-12-05,2.81,2.97,2.80,2.87,18600,2.87
2014-12-04,3.00,3.00,2.74,2.74,15500,2.74
2014-12-03,2.93,3.06,2.68,2.97,33900,2.97
2014-12-02,3.00,3.00,2.67,2.68,39400,2.68
2014-12-01,3.06,3.06,2.92,2.93,4500,2.93
2014-11-28,3.05,3.05,3.00,3.00,700,3.00
2014-11-26,2.85,3.08,2.83,3.00,13600,3.00
2014-11-25,2.66,2.85,2.60,2.79,27800,2.79
2014-11-24,2.75,2.82,2.51,2.62,59700,2.62
2014-11-21,2.73,2.96,2.71,2.71,37000,2.71
2014-11-20,2.65,2.93,2.60,2.62,45900,2.62
2014-11-19,2.75,2.75,2.66,2.68,9000,2.68
2014-11-18,2.79,2.86,2.71,2.71,9600,2.71
2014-11-17,2.67,2.83,2.62,2.73,12000,2.73
2014-11-14,3.18,3.18,2.65,2.81,21600,2.81
2014-11-13,2.98,3.18,2.92,3.13,18000,3.13
2014-11-12,3.15,3.36,2.88,2.91,26000,2.91
2014-11-11,3.23,3.34,3.11,3.20,15600,3.20
2014-11-10,3.20,3.45,3.20,3.24,5600,3.24
2014-11-07,3.39,3.47,3.07,3.07,17700,3.07
2014-11-06,3.59,3.59,3.35,3.36,14100,3.36
2014-11-05,3.39,3.59,3.35,3.42,15100,3.42
2014-11-04,3.35,3.55,3.35,3.37,10500,3.37
2014-11-03,3.35,3.56,3.32,3.32,13400,3.32
2014-10-31,3.50,3.59,3.35,3.41,14900,3.41
2014-10-30,3.55,3.71,3.55,3.55,9900,3.55
2014-10-29,3.60,3.85,3.59,3.59,5600,3.59
2014-10-28,3.60,3.60,3.52,3.55,16500,3.55
2014-10-27,3.59,3.85,3.35,3.78,10300,3.78
2014-10-24,3.55,3.59,3.47,3.59,4000,3.59
2014-10-23,3.75,3.99,3.46,3.57,29500,3.57
2014-10-22,3.74,3.74,3.50,3.57,11200,3.57
2014-10-21,3.98,3.99,3.50,3.55,42000,3.55
2014-10-20,3.20,3.86,3.20,3.58,8000,3.58
2014-10-17,3.21,3.39,3.11,3.11,4100,3.11
2014-10-16,3.20,3.25,3.11,3.11,3300,3.11
2014-10-15,3.28,3.38,3.20,3.20,47400,3.20
2014-10-14,3.24,3.25,3.05,3.20,45500,3.20
