Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,56.42,57.36,55.85,55.91,221800,55.91
2014-12-30,56.26,56.85,56.25,56.36,12700,56.36
2014-12-29,56.57,57.04,56.29,56.33,272400,56.33
2014-12-26,57.33,57.52,56.49,56.66,146600,56.66
2014-12-24,57.00,57.64,56.89,57.01,142000,57.01
2014-12-23,57.32,57.35,55.80,56.84,322000,56.84
2014-12-22,56.74,57.33,56.21,56.88,299700,56.88
2014-12-19,56.27,57.21,55.89,56.83,683500,56.83
2014-12-18,56.44,56.64,55.55,56.10,491900,56.10
2014-12-17,54.84,55.57,54.01,55.45,639500,55.45
2014-12-16,55.69,56.13,54.87,55.08,423400,55.08
2014-12-15,56.07,56.11,54.99,55.41,539000,55.41
2014-12-12,55.90,56.75,55.58,55.73,446900,55.73
2014-12-11,56.96,57.67,56.44,56.46,460900,56.46
2014-12-10,57.52,57.70,56.51,56.57,692200,56.57
2014-12-09,56.00,57.72,55.56,57.63,532200,57.63
2014-12-08,56.60,57.35,56.60,56.84,619800,56.84
2014-12-05,56.30,56.87,56.11,56.79,467900,56.79
2014-12-04,56.39,56.74,56.00,56.33,658100,56.33
2014-12-03,57.39,57.39,55.96,56.32,938200,56.32
2014-12-02,56.00,57.13,55.76,57.00,504500,57.00
2014-12-01,56.74,56.81,55.84,55.85,646000,55.85
2014-11-28,57.34,57.58,56.76,56.90,646600,56.90
2014-11-26,56.95,57.38,56.85,57.34,867600,57.34
2014-11-25,57.54,57.71,56.58,57.30,1038400,57.30
2014-11-24,55.64,57.02,55.55,56.98,593900,56.98
2014-11-21,55.66,56.01,55.18,55.66,580200,55.66
2014-11-20,54.01,55.13,53.66,55.13,423000,55.13
2014-11-19,54.58,54.58,53.89,54.42,374600,54.42
2014-11-18,54.40,55.11,54.11,54.76,395700,54.76
2014-11-17,54.37,54.91,54.07,54.25,402700,54.25
2014-11-14,54.62,54.92,54.08,54.27,319700,54.27
2014-11-13,54.81,54.95,54.27,54.71,1042000,54.71
2014-11-12,53.11,54.91,53.11,54.86,920000,54.86
2014-11-11,52.28,53.60,52.01,53.57,534500,53.57
2014-11-10,52.63,53.21,52.01,52.37,585800,52.37
2014-11-07,52.77,52.80,52.14,52.39,611000,52.39
2014-11-06,51.81,52.70,51.64,52.63,412200,52.63
2014-11-05,52.57,52.98,51.71,51.84,351700,51.84
2014-11-04,51.95,52.42,51.76,52.23,506800,52.23
2014-11-03,52.77,53.05,51.79,51.81,674100,51.81
2014-10-31,52.49,52.88,52.06,52.62,577500,52.62
2014-10-30,51.90,52.31,51.27,51.95,487300,51.95
2014-10-29,52.10,52.45,51.65,52.18,568700,52.18
2014-10-28,51.32,52.83,50.94,52.21,661600,52.21
2014-10-27,51.02,51.47,50.79,51.32,700500,51.32
2014-10-24,51.92,53.23,50.56,51.50,2244300,51.50
2014-10-23,48.60,49.61,48.29,49.04,915100,49.04
2014-10-22,48.98,49.02,47.94,47.98,629300,47.98
2014-10-21,47.87,48.90,47.87,48.80,916300,48.80
2014-10-20,48.32,48.48,46.82,47.59,926700,47.59
2014-10-17,45.80,46.03,45.12,45.38,649700,45.38
2014-10-16,44.12,45.43,44.03,45.16,992600,45.16
2014-10-15,43.68,44.95,43.27,44.56,967700,44.56
2014-10-14,45.21,45.87,44.16,44.37,1132200,44.37
2014-10-13,45.11,46.96,44.76,44.96,884100,44.96
2014-10-10,46.56,47.02,45.19,45.22,1003100,45.22
2014-10-09,47.58,47.77,46.61,46.63,917900,46.63
2014-10-08,46.92,47.87,46.50,47.79,816600,47.79
2014-10-07,47.64,47.86,47.02,47.03,1019600,47.03
2014-10-06,48.76,48.93,47.83,47.86,1292700,47.86
2014-10-03,48.95,49.05,48.02,48.49,1741500,48.49
2014-10-02,49.94,50.11,47.61,48.80,2388500,48.80
2014-10-01,51.81,51.86,50.00,50.07,1216000,50.07
2014-09-30,53.23,53.51,51.66,51.68,839100,51.68
2014-09-29,52.52,53.43,52.52,53.12,561500,53.12
2014-09-26,52.97,53.42,52.46,53.19,784100,53.19
2014-09-25,53.59,53.91,52.76,52.83,462500,52.83
2014-09-24,53.04,53.87,52.70,53.80,605300,53.80
2014-09-23,53.64,53.92,52.91,52.93,320600,52.93
2014-09-22,54.60,54.97,53.88,53.94,515500,53.94
2014-09-19,54.48,54.97,54.37,54.88,844300,54.88
2014-09-18,54.09,54.77,53.79,54.37,321200,54.37
2014-09-17,54.25,54.44,53.50,53.90,312300,53.90
2014-09-16,53.70,54.27,53.04,54.17,855800,54.17
2014-09-15,54.91,55.17,53.61,53.78,383500,53.78
2014-09-12,55.33,55.71,54.76,54.90,384200,54.90
2014-09-11,55.13,55.58,55.02,55.55,457000,55.55
2014-09-10,54.82,55.54,54.82,55.32,498500,55.32
