Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,64.90,65.17,63.76,63.77,691100,63.77
2014-12-30,64.30,65.02,64.10,64.58,33300,64.58
2014-12-29,64.44,65.48,64.20,64.42,381900,64.42
2014-12-26,64.64,64.91,64.13,64.38,303100,64.38
2014-12-24,63.84,64.73,63.27,64.54,275200,64.54
2014-12-23,63.50,64.08,63.24,63.80,376800,63.80
2014-12-22,62.96,63.52,62.49,63.24,399900,63.24
2014-12-19,61.31,62.80,60.85,62.53,845300,62.53
2014-12-18,60.91,62.02,60.59,61.28,887100,61.28
2014-12-17,59.45,60.18,58.93,60.10,760400,60.10
2014-12-16,58.85,60.20,58.48,59.15,609900,59.15
2014-12-15,60.00,60.31,58.86,59.03,533400,59.03
2014-12-12,59.70,60.28,59.42,59.78,479500,59.78
2014-12-11,60.17,61.14,59.84,60.01,386600,60.01
2014-12-10,60.64,61.23,59.85,60.00,547800,60.00
2014-12-09,60.21,61.56,59.54,60.93,721400,60.93
2014-12-08,62.61,62.91,60.78,60.97,718800,60.97
2014-12-05,64.05,64.05,62.81,62.96,840100,62.96
2014-12-04,64.72,65.07,63.35,63.75,1316000,63.75
2014-12-03,64.04,65.18,63.73,64.90,958300,64.90
2014-12-02,64.27,64.67,63.73,63.81,481300,63.81
2014-12-01,64.50,64.70,63.74,63.99,674100,63.99
2014-11-28,63.85,65.05,63.37,64.86,243900,64.86
2014-11-26,63.93,64.15,63.52,64.01,307200,64.01
2014-11-25,62.16,63.94,61.97,63.84,675500,63.84
2014-11-24,62.03,62.50,61.77,62.12,784900,62.12
2014-11-21,63.02,63.02,61.98,62.01,604200,62.01
2014-11-20,62.00,62.63,61.58,62.52,219800,62.52
2014-11-19,62.44,62.59,61.58,62.05,423400,62.05
2014-11-18,62.34,63.04,62.26,62.48,551700,62.48
2014-11-17,61.84,62.50,61.47,62.41,650100,62.41
2014-11-14,60.64,62.09,60.39,61.86,534900,61.86
2014-11-13,61.52,62.02,60.37,60.87,831700,60.87
2014-11-12,60.84,61.82,60.65,61.40,492100,61.40
2014-11-11,60.99,61.48,60.13,61.39,559400,61.39
2014-11-10,61.72,62.48,61.05,61.20,862400,61.20
2014-11-07,61.19,62.79,60.64,61.94,1558900,61.94
2014-11-06,62.74,62.74,60.27,61.20,1343300,61.20
2014-11-05,59.38,60.02,58.65,59.94,835600,59.94
2014-11-04,60.95,61.21,58.78,59.14,770200,59.14
2014-11-03,60.86,61.74,60.82,61.32,521400,61.32
2014-10-31,61.48,61.49,60.34,60.65,542100,60.65
2014-10-30,60.62,61.13,59.73,60.48,488700,60.48
2014-10-29,60.79,61.11,60.21,60.72,627200,60.72
2014-10-28,59.11,60.20,59.11,59.97,366700,59.97
2014-10-27,58.99,59.34,58.40,59.14,441900,59.14
2014-10-24,58.45,59.50,58.22,59.12,413700,59.12
2014-10-23,58.84,59.05,58.08,58.44,882600,58.44
2014-10-22,59.59,59.90,58.10,58.73,786800,58.73
2014-10-21,57.31,59.30,57.31,59.28,1057300,59.28
2014-10-20,56.06,57.14,55.42,56.85,740300,56.85
2014-10-17,56.13,56.60,55.49,56.27,660700,56.27
2014-10-16,54.04,56.07,53.57,55.32,1032800,55.32
2014-10-15,54.15,55.65,53.16,55.00,1167000,55.00
2014-10-14,52.84,55.58,52.84,54.94,828000,54.94
2014-10-13,53.59,54.12,52.73,52.75,792900,52.75
2014-10-10,54.38,54.89,53.48,53.74,716600,53.74
2014-10-09,56.23,56.37,54.00,54.62,1119600,54.62
2014-10-08,55.88,56.58,54.81,56.44,527500,56.44
2014-10-07,56.33,56.68,55.87,55.92,578700,55.92
2014-10-06,57.05,57.54,56.37,56.71,408400,56.71
2014-10-03,56.60,57.69,56.15,56.95,727000,56.95
2014-10-02,56.61,56.95,54.61,56.34,720300,56.34
2014-10-01,58.13,58.25,55.90,56.54,1197800,56.54
2014-09-30,58.78,59.09,58.06,58.42,738000,58.42
2014-09-29,58.29,58.96,58.29,58.78,534400,58.78
2014-09-26,58.30,59.12,58.09,59.05,652200,59.05
2014-09-25,58.64,58.70,58.11,58.33,815400,58.33
2014-09-24,59.25,59.55,58.31,58.85,675200,58.85
2014-09-23,59.97,60.29,58.94,59.06,733700,59.06
2014-09-22,62.50,62.50,59.96,60.27,593700,60.27
2014-09-19,61.60,62.71,60.88,62.61,734000,62.61
2014-09-18,61.55,62.20,61.14,61.53,539500,61.53
2014-09-17,62.13,62.33,60.79,61.14,1112300,61.14
2014-09-16,61.58,62.28,61.16,62.16,1379700,62.16
2014-09-15,62.04,62.29,61.48,62.05,381000,62.05
2014-09-12,62.34,62.42,61.90,62.17,386500,62.17
2014-09-11,62.20,62.94,62.04,62.52,406900,62.52
2014-09-10,63.31,63.75,62.57,62.69,773700,62.69
2014-09-09,64.85,64.99,63.35,63.40,419700,63.40
2014-09-08,64.50,65.52,64.23,65.15,514100,65.15
2014-09-05,64.50,65.12,64.08,64.83,359600,64.83
2014-09-04,65.14,65.35,64.37,64.46,771000,64.46
2014-09-03,64.22,65.12,63.98,65.07,1321400,65.07
2014-09-02,62.56,64.53,62.55,64.11,988100,64.11
2014-08-29,63.17,63.17,62.18,62.58,276200,62.58
2014-08-28,63.11,63.57,62.82,62.94,282700,62.94
2014-08-27,63.98,63.98,63.02,63.45,664300,63.45
2014-08-26,63.43,64.31,63.11,63.84,428000,63.84
2014-08-25,63.46,63.85,62.80,63.46,436000,63.46
2014-08-22,63.21,63.35,62.57,62.92,318200,62.92
2014-08-21,62.76,63.52,62.50,63.30,710700,63.30
2014-08-20,61.89,62.99,61.66,62.83,407200,62.83
2014-08-19,61.86,62.17,61.45,61.95,392000,61.95
2014-08-18,61.32,61.98,60.95,61.88,472300,61.88
2014-08-15,60.98,61.96,60.44,60.95,434700,60.95
2014-08-14,60.52,61.00,60.00,60.90,447800,60.90
2014-08-13,59.89,60.77,59.29,60.50,527400,60.50
2014-08-12,59.90,60.49,59.16,59.62,573900,59.62
2014-08-11,59.00,60.76,58.66,59.85,847900,59.85
2014-08-08,58.94,59.91,58.39,58.95,832900,58.95
2014-08-07,60.01,61.20,58.09,58.30,1678500,58.30
2014-08-06,59.45,60.35,59.09,59.57,645700,59.57
2014-08-05,59.93,60.31,59.11,59.40,403500,59.40
2014-08-04,59.30,60.43,59.30,59.99,465100,59.99
2014-08-01,59.53,59.99,58.77,59.22,575400,59.22
2014-07-31,60.65,61.23,59.71,59.87,893200,59.87
2014-07-30,61.69,62.19,60.85,61.06,453700,61.06
2014-07-29,61.42,62.04,61.05,61.33,576800,61.33
2014-07-28,62.03,62.33,61.29,61.51,346300,61.51
2014-07-25,62.49,62.63,61.47,61.66,316300,61.66
2014-07-24,63.06,63.30,62.39,62.50,291900,62.50
2014-07-23,63.82,63.82,62.33,62.96,479900,62.96
