Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,42.67,42.88,42.17,42.36,83300,42.36
2014-12-30,42.55,42.84,42.32,42.46,54500,42.46
2014-12-29,42.15,42.96,42.15,42.48,51500,42.48
2014-12-26,42.42,42.42,41.99,42.10,29400,42.10
2014-12-24,42.34,42.35,41.82,42.19,16200,42.19
2014-12-23,42.48,42.81,41.89,42.12,40600,42.12
2014-12-22,41.70,42.24,41.43,42.23,38600,42.23
2014-12-19,42.13,42.17,41.59,41.78,150100,41.78
2014-12-18,41.81,42.39,41.52,42.23,46900,42.23
2014-12-17,41.14,41.69,40.62,41.48,81200,41.48
2014-12-16,41.15,42.00,40.79,40.85,76800,40.85
2014-12-15,41.49,41.77,40.34,41.26,87300,41.26
2014-12-12,41.75,42.09,41.12,41.27,93300,41.27
2014-12-11,42.25,42.99,42.00,42.15,63100,42.15
2014-12-10,42.92,42.92,41.90,41.97,65700,41.97
2014-12-09,42.24,44.04,42.24,43.95,112200,42.83
2014-12-08,43.79,44.04,42.29,42.59,110900,41.50
2014-12-05,43.70,44.29,43.59,43.95,70700,42.83
2014-12-04,43.19,43.89,42.18,43.67,113700,42.56
2014-12-03,42.80,43.69,42.49,43.13,114000,42.03
2014-12-02,41.90,43.38,41.90,42.93,138700,41.84
2014-12-01,41.79,42.44,41.53,41.85,219100,40.78
2014-11-28,42.94,44.00,41.59,41.69,92700,40.63
2014-11-26,42.24,43.14,42.07,42.74,89700,41.65
2014-11-25,42.50,42.87,41.93,42.09,138800,41.02
2014-11-24,41.66,42.62,41.44,42.47,110100,41.39
2014-11-21,41.35,41.59,40.95,41.43,149500,40.37
2014-11-20,40.50,41.00,40.50,40.93,105700,39.89
2014-11-19,40.82,41.47,40.25,40.75,79100,39.71
2014-11-18,40.95,41.25,40.90,40.90,60200,39.86
2014-11-17,41.38,41.75,40.74,40.92,58700,39.88
2014-11-14,41.50,41.74,41.22,41.45,67700,40.39
2014-11-13,41.37,41.85,41.24,41.45,72400,40.39
2014-11-12,41.02,41.69,41.01,41.49,97500,40.43
2014-11-11,41.21,41.50,40.92,41.24,69700,40.19
2014-11-10,41.16,41.69,40.84,41.12,93700,40.07
