Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,111.00,114.22,111.00,113.00,300,113.00
2014-12-30,111.90,111.90,111.90,111.90,000,111.90
2014-12-29,111.90,111.90,111.90,111.90,000,111.90
2014-12-26,111.90,111.90,111.90,111.90,000,111.90
2014-12-24,106.00,106.00,106.00,106.00,000,106.00
2014-12-23,111.90,111.90,111.90,111.90,53700,111.90
2014-12-22,110.23,118.50,110.23,118.50,47100,118.50
2014-12-19,109.00,109.99,109.00,109.99,14600,109.99
2014-12-18,103.94,103.94,103.94,103.94,000,103.94
2014-12-17,103.94,103.94,103.94,103.94,000,103.94
2014-12-16,103.94,103.94,103.94,103.94,000,103.94
2014-12-15,103.94,103.94,103.94,103.94,000,103.94
2014-12-12,104.04,104.09,103.70,103.94,3500,103.94
2014-12-11,103.16,105.27,103.16,105.27,500,105.27
2014-12-10,106.00,106.00,106.00,106.00,100,104.69
2014-12-09,104.39,106.92,104.39,106.70,15500,105.38
2014-12-08,106.53,106.53,106.53,106.53,000,105.21
2014-12-05,106.53,106.53,106.53,106.53,100,105.21
2014-12-04,107.04,107.04,107.04,107.04,000,105.71
2014-12-03,107.04,107.04,107.04,107.04,100,105.71
2014-12-02,107.88,107.88,107.88,107.88,1000,106.54
2014-12-01,109.09,109.09,107.50,107.50,2400,106.17
2014-11-28,108.66,108.93,108.66,108.93,200,107.58
2014-11-26,108.49,108.49,108.49,108.49,000,107.15
2014-11-25,108.49,108.49,108.49,108.49,9500,107.15
2014-11-24,108.83,108.83,108.83,108.83,32400,107.48
2014-11-21,107.36,107.45,107.31,107.39,1600,106.06
2014-11-20,106.88,106.88,106.88,106.88,100,105.56
2014-11-19,107.28,107.28,106.18,106.18,15100,104.86
2014-11-18,106.66,106.66,106.66,106.66,000,105.34
2014-11-17,106.66,106.66,106.66,106.66,1800,105.34
2014-11-14,105.77,105.82,105.77,105.82,200,104.51
2014-11-13,107.00,107.00,107.00,107.00,000,105.67
2014-11-12,107.00,107.00,107.00,107.00,000,105.67
