Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,8.96,8.99,8.77,8.85,40100,8.85
2014-12-30,8.98,8.99,8.98,8.99,200,8.99
2014-12-29,9.16,9.21,9.04,9.10,29600,9.10
2014-12-26,9.25,9.25,9.19,9.20,21800,9.20
2014-12-24,9.13,9.25,9.07,9.20,15500,9.20
2014-12-23,9.25,9.25,9.05,9.13,33000,9.13
2014-12-22,9.20,9.27,9.14,9.25,39700,9.25
2014-12-19,9.40,9.40,9.13,9.18,75000,9.18
2014-12-18,9.20,9.64,9.14,9.46,149200,9.46
2014-12-17,9.07,9.20,8.97,9.20,49000,9.20
2014-12-16,8.96,9.20,8.96,9.01,40000,9.01
2014-12-15,8.87,9.11,8.87,9.00,49400,9.00
2014-12-12,8.87,9.20,8.84,8.88,72100,8.88
2014-12-11,8.89,9.17,8.87,9.00,53500,9.00
2014-12-10,9.01,9.07,8.83,8.84,46100,8.84
2014-12-09,8.70,9.01,8.70,9.00,67700,9.00
2014-12-08,8.90,9.00,8.76,8.76,26000,8.76
2014-12-05,8.80,9.00,8.80,8.97,165100,8.97
2014-12-04,8.67,8.78,8.47,8.76,31300,8.76
2014-12-03,8.61,8.72,8.44,8.70,49200,8.70
2014-12-02,8.48,8.67,8.19,8.57,27700,8.57
2014-12-01,8.59,8.59,8.42,8.45,32300,8.45
2014-11-28,8.66,8.78,8.55,8.58,26800,8.58
2014-11-26,8.56,8.61,8.54,8.61,26200,8.61
2014-11-25,8.69,8.72,8.53,8.58,32200,8.58
2014-11-24,8.54,8.70,8.54,8.69,28100,8.69
2014-11-21,8.72,8.76,8.55,8.56,41800,8.56
2014-11-20,8.34,8.73,8.34,8.63,48300,8.63
2014-11-19,8.76,8.76,8.35,8.42,28700,8.42
2014-11-18,8.63,8.81,8.62,8.76,44600,8.76
2014-11-17,8.80,8.83,8.61,8.64,41800,8.64
2014-11-14,8.79,9.15,8.72,8.88,32000,8.88
2014-11-13,9.09,9.09,8.66,8.74,29500,8.74
2014-11-12,8.76,9.07,8.56,9.06,48600,9.06
2014-11-11,9.08,9.14,8.68,8.83,45200,8.83
2014-11-10,8.36,9.15,8.15,9.14,185600,9.14
2014-11-07,9.34,9.37,8.07,8.38,154600,8.38
2014-11-06,9.60,9.60,9.32,9.52,39300,9.52
2014-11-05,9.58,9.94,9.54,9.59,136100,9.59
2014-11-04,9.45,9.73,9.45,9.68,44600,9.68
2014-11-03,9.22,9.47,9.22,9.46,66700,9.46
2014-10-31,9.25,9.48,9.08,9.27,103400,9.27
2014-10-30,9.04,9.25,8.89,8.99,66600,8.99
2014-10-29,9.13,9.25,8.94,9.09,62400,9.09
2014-10-28,8.94,9.25,8.94,9.08,78500,9.08
2014-10-27,9.06,9.06,8.92,8.93,23600,8.93
2014-10-24,9.07,9.14,8.98,9.07,43500,9.07
2014-10-23,8.68,9.11,8.68,9.07,55300,9.07
2014-10-22,8.83,8.87,8.49,8.57,59400,8.57
2014-10-21,8.78,8.93,8.75,8.84,37400,8.84
2014-10-20,8.77,9.16,8.69,8.78,106700,8.78
2014-10-17,9.28,9.28,8.90,8.90,41700,8.90
2014-10-16,9.06,9.36,9.06,9.14,45900,9.14
2014-10-15,8.55,9.27,8.55,9.20,74900,9.20
2014-10-14,8.53,8.70,8.41,8.59,96500,8.59
2014-10-13,8.73,8.81,8.40,8.44,80800,8.44
2014-10-10,8.90,9.21,8.79,8.79,105500,8.79
2014-10-09,9.18,9.18,8.80,8.93,50800,8.93
2014-10-08,8.95,9.21,8.71,9.16,98800,9.16
2014-10-07,9.10,9.16,8.88,9.00,55400,9.00
2014-10-06,9.10,9.21,8.96,9.14,87800,9.14
2014-10-03,9.18,9.38,8.95,9.04,50100,9.04
2014-10-02,8.93,9.17,8.88,9.07,67800,9.07
2014-10-01,9.40,9.40,8.88,8.91,96800,8.91
2014-09-30,9.55,9.67,9.38,9.40,99600,9.40
2014-09-29,9.53,9.59,9.40,9.53,159000,9.53
2014-09-26,9.61,9.75,9.53,9.59,98800,9.59
2014-09-25,9.79,9.79,9.45,9.56,74100,9.56
2014-09-24,9.72,9.87,9.51,9.79,69200,9.79
2014-09-23,9.79,9.83,9.63,9.73,91600,9.73
2014-09-22,9.82,9.89,9.61,9.85,98200,9.85
2014-09-19,10.05,10.10,9.82,9.82,155700,9.82
2014-09-18,9.93,10.26,9.84,10.07,188500,10.07
2014-09-17,9.84,10.05,9.75,9.98,135700,9.98
2014-09-16,10.20,10.25,9.78,9.90,188300,9.90
2014-09-15,10.70,10.76,10.31,10.43,112500,10.43
2014-09-12,10.88,11.18,10.55,10.67,127200,10.67
2014-09-11,10.22,10.86,10.14,10.82,150400,10.82
2014-09-10,10.08,10.25,9.97,10.22,74700,10.22
2014-09-09,10.40,10.45,10.06,10.12,121400,10.12
2014-09-08,9.90,10.45,9.71,10.35,168200,10.35
2014-09-05,9.71,9.79,9.60,9.68,72000,9.68
2014-09-04,9.54,9.90,9.40,9.70,134400,9.70
2014-09-03,9.38,9.55,9.35,9.50,107000,9.50
2014-09-02,9.26,9.37,9.25,9.35,71900,9.35
2014-08-29,9.24,9.25,9.18,9.22,19600,9.22
2014-08-28,9.23,9.30,9.18,9.24,44200,9.24
2014-08-27,9.30,9.30,9.21,9.23,40800,9.23
2014-08-26,9.25,9.29,9.17,9.29,67600,9.29
2014-08-25,9.18,9.31,9.11,9.25,241300,9.25
2014-08-22,9.27,9.27,9.03,9.13,51900,9.13
2014-08-21,9.21,9.29,9.09,9.25,46900,9.25
2014-08-20,9.15,9.26,9.09,9.21,54100,9.21
2014-08-19,9.19,9.25,9.04,9.20,28400,9.20
2014-08-18,9.07,9.25,9.04,9.21,41300,9.21
2014-08-15,9.27,9.27,8.63,9.07,68200,9.07
2014-08-14,9.35,9.35,9.15,9.18,32600,9.18
2014-08-13,9.25,9.35,9.21,9.31,67100,9.31
2014-08-12,9.23,9.30,9.17,9.22,37200,9.22
2014-08-11,9.23,9.35,9.21,9.26,54900,9.26
