Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,0.99,1.02,0.95,1.00,426800,1.00
2014-12-30,1.00,1.02,0.96,0.96,7400,0.96
2014-12-29,1.06,1.08,0.99,0.99,348100,0.99
2014-12-26,1.00,1.05,0.98,1.03,216800,1.03
2014-12-24,0.95,1.02,0.95,1.01,58200,1.01
2014-12-23,0.95,1.05,0.95,0.98,268600,0.98
2014-12-22,1.00,1.15,0.96,0.99,347400,0.99
2014-12-19,1.02,1.03,0.92,0.95,667300,0.95
2014-12-18,1.06,1.11,0.98,1.00,410600,1.00
2014-12-17,1.07,1.10,1.06,1.06,118300,1.06
2014-12-16,1.11,1.11,1.06,1.08,161900,1.08
2014-12-15,1.16,1.20,1.12,1.12,117700,1.12
2014-12-12,1.13,1.19,1.12,1.16,28200,1.16
2014-12-11,1.12,1.20,1.12,1.14,82100,1.14
2014-12-10,1.14,1.21,1.12,1.13,173500,1.13
2014-12-09,1.18,1.18,1.12,1.13,109200,1.13
2014-12-08,1.19,1.25,1.17,1.18,89100,1.18
2014-12-05,1.18,1.34,1.12,1.21,252800,1.21
2014-12-04,1.16,1.21,1.11,1.16,109900,1.16
2014-12-03,1.18,1.28,1.16,1.18,58000,1.18
2014-12-02,1.19,1.24,1.14,1.19,124300,1.19
2014-12-01,1.20,1.27,1.10,1.13,332500,1.13
2014-11-28,1.26,1.32,1.18,1.18,122500,1.18
2014-11-26,1.30,1.33,1.28,1.30,139300,1.30
2014-11-25,1.33,1.35,1.30,1.31,80500,1.31
2014-11-24,1.39,1.40,1.32,1.34,116700,1.34
2014-11-21,1.40,1.40,1.32,1.37,89900,1.37
2014-11-20,1.33,1.40,1.28,1.37,891000,1.37
2014-11-19,1.29,1.44,1.25,1.33,140200,1.33
2014-11-18,1.25,1.41,1.25,1.30,253600,1.30
2014-11-17,1.33,1.37,1.26,1.27,383700,1.27
2014-11-14,1.39,1.55,1.31,1.32,220500,1.32
2014-11-13,1.46,1.48,1.38,1.40,85000,1.40
2014-11-12,1.50,1.53,1.45,1.48,88800,1.48
2014-11-11,1.53,1.55,1.46,1.52,128900,1.52
2014-11-10,1.53,1.53,1.40,1.46,132200,1.46
2014-11-07,1.52,1.52,1.45,1.48,134600,1.48
2014-11-06,1.52,1.53,1.48,1.53,47700,1.53
2014-11-05,1.60,1.60,1.48,1.52,172800,1.52
2014-11-04,1.55,1.60,1.52,1.58,70300,1.58
2014-11-03,1.50,1.55,1.50,1.53,93600,1.53
2014-10-31,1.60,1.60,1.46,1.48,127200,1.48
2014-10-30,1.63,1.63,1.57,1.58,60100,1.58
2014-10-29,1.62,1.70,1.62,1.63,78100,1.63
2014-10-28,1.62,1.65,1.57,1.62,90000,1.62
2014-10-27,1.64,1.67,1.55,1.61,105600,1.61
2014-10-24,1.59,1.70,1.55,1.62,87500,1.62
2014-10-23,1.53,1.64,1.50,1.57,154900,1.57
2014-10-22,1.53,1.54,1.46,1.54,112300,1.54
2014-10-21,1.72,1.72,1.52,1.56,115300,1.56
2014-10-20,1.96,1.96,1.47,1.64,399600,1.64
2014-10-17,1.29,1.70,1.29,1.64,270900,1.64
2014-10-16,1.21,1.33,1.21,1.29,67700,1.29
2014-10-15,1.28,1.38,1.14,1.25,84600,1.25
2014-10-14,1.27,1.39,1.22,1.32,138400,1.32
2014-10-13,1.14,1.33,1.12,1.29,315400,1.29
2014-10-10,1.39,1.39,1.21,1.24,228200,1.24
2014-10-09,1.41,1.42,1.37,1.38,93500,1.38
2014-10-08,1.44,1.48,1.38,1.41,168800,1.41
2014-10-07,1.46,1.49,1.39,1.40,106800,1.40
2014-10-06,1.45,1.51,1.42,1.49,118200,1.49
2014-10-03,1.40,1.62,1.40,1.44,359000,1.44
2014-10-02,1.42,1.43,1.33,1.41,160000,1.41
2014-10-01,1.50,1.51,1.41,1.43,208500,1.43
2014-09-30,1.51,1.52,1.50,1.51,38400,1.51
2014-09-29,1.51,1.52,1.50,1.52,47300,1.52
2014-09-26,1.57,1.61,1.50,1.51,135700,1.51
2014-09-25,1.63,1.63,1.57,1.57,92700,1.57
2014-09-24,1.61,1.67,1.58,1.62,131900,1.62
2014-09-23,1.59,1.62,1.58,1.62,99800,1.62
2014-09-22,1.65,1.67,1.57,1.58,255500,1.58
2014-09-19,1.70,1.72,1.64,1.64,142600,1.64
2014-09-18,1.76,1.79,1.70,1.71,151100,1.71
2014-09-17,1.74,1.83,1.74,1.77,184800,1.77
2014-09-16,1.75,1.77,1.74,1.76,139700,1.76
2014-09-15,1.81,1.84,1.77,1.77,136000,1.77
2014-09-12,1.83,1.85,1.80,1.84,77000,1.84
2014-09-11,1.86,1.89,1.82,1.83,51300,1.83
2014-09-10,1.86,1.89,1.82,1.87,76600,1.87
2014-09-09,1.82,1.86,1.80,1.84,109200,1.84
2014-09-08,1.82,1.89,1.82,1.83,65700,1.83
2014-09-05,1.83,1.86,1.82,1.84,103700,1.84
2014-09-04,1.87,1.88,1.83,1.84,146300,1.84
2014-09-03,1.88,1.92,1.85,1.88,135300,1.88
2014-09-02,1.90,2.00,1.88,1.89,133500,1.89
2014-08-29,1.88,1.94,1.88,1.90,131500,1.90
2014-08-28,1.88,1.91,1.88,1.89,52900,1.89
2014-08-27,1.90,1.96,1.88,1.88,203200,1.88
2014-08-26,1.92,1.97,1.91,1.95,91000,1.95
2014-08-25,1.90,1.97,1.90,1.93,300000,1.93
2014-08-22,1.81,1.94,1.76,1.86,190900,1.86
2014-08-21,1.88,1.89,1.79,1.83,376500,1.83
2014-08-20,1.90,1.92,1.87,1.88,183100,1.88
2014-08-19,1.97,1.97,1.89,1.90,152800,1.90
2014-08-18,1.98,2.01,1.94,1.96,199200,1.96
2014-08-15,1.96,1.98,1.90,1.96,76700,1.96
2014-08-14,1.98,1.98,1.92,1.95,28500,1.95
2014-08-13,1.98,1.98,1.91,1.93,137800,1.93
2014-08-12,2.07,2.14,1.93,2.00,288900,2.00
2014-08-11,1.94,2.00,1.93,1.97,107600,1.97
2014-08-08,1.90,1.95,1.86,1.95,124000,1.95
2014-08-07,1.92,1.94,1.88,1.92,71600,1.92
2014-08-06,1.85,1.93,1.82,1.89,105200,1.89
2014-08-05,1.81,1.87,1.77,1.85,249500,1.85
2014-08-04,1.93,1.95,1.72,1.84,287800,1.84
2014-08-01,1.90,1.93,1.88,1.89,354800,1.89
2014-07-31,1.88,1.94,1.87,1.90,129300,1.90
2014-07-30,1.92,1.96,1.87,1.90,159600,1.90
2014-07-29,1.95,1.98,1.89,1.92,40100,1.92
2014-07-28,1.98,1.98,1.91,1.95,44600,1.95
2014-07-25,1.93,2.00,1.91,1.97,82600,1.97
2014-07-24,1.93,1.95,1.89,1.92,138800,1.92
2014-07-23,1.94,1.97,1.90,1.95,144000,1.95
2014-07-22,1.87,1.96,1.87,1.94,61100,1.94
2014-07-21,1.92,1.94,1.85,1.89,94500,1.89
2014-07-18,1.90,1.97,1.90,1.93,133800,1.93
2014-07-17,2.00,2.01,1.85,1.92,213000,1.92
2014-07-16,2.06,2.07,2.00,2.01,71100,2.01
2014-07-15,2.09,2.09,1.99,2.04,117300,2.04
2014-07-14,2.07,2.09,2.07,2.08,54500,2.08
2014-07-11,2.10,2.13,2.07,2.09,37100,2.09
2014-07-10,2.08,2.13,2.05,2.08,110800,2.08
2014-07-09,2.09,2.13,2.06,2.13,67300,2.13
2014-07-08,2.15,2.15,2.09,2.09,73100,2.09
2014-07-07,2.20,2.25,2.05,2.14,312800,2.14
2014-07-03,2.18,2.25,2.18,2.22,17400,2.22
2014-07-02,2.22,2.25,2.16,2.19,98300,2.19
2014-07-01,2.25,2.26,2.21,2.22,42500,2.22
2014-06-30,2.25,2.27,2.22,2.25,67900,2.25
2014-06-27,2.22,2.28,2.22,2.27,76100,2.27
2014-06-26,2.16,2.25,2.12,2.24,97600,2.24
2014-06-25,2.18,2.21,2.15,2.18,91100,2.18
2014-06-24,2.22,2.22,2.19,2.20,63800,2.20
2014-06-23,2.20,2.23,2.20,2.21,55200,2.21
2014-06-20,2.24,2.28,2.21,2.23,95000,2.23
2014-06-19,2.26,2.29,2.22,2.26,82700,2.26
2014-06-18,2.29,2.29,2.21,2.26,177600,2.26
2014-06-17,2.38,2.38,2.25,2.26,247500,2.26
2014-06-16,2.41,2.43,2.33,2.36,294800,2.36
2014-06-13,2.35,2.36,2.24,2.34,161900,2.34
2014-06-12,2.34,2.38,2.34,2.35,192100,2.35
2014-06-11,2.28,2.35,2.27,2.34,137200,2.34
2014-06-10,2.18,2.32,2.18,2.30,211200,2.30
2014-06-09,2.22,2.28,2.15,2.22,154200,2.22
2014-06-06,2.21,2.24,2.18,2.22,68100,2.22
2014-06-05,2.19,2.25,2.18,2.20,117600,2.20
2014-06-04,2.24,2.30,2.20,2.22,60400,2.22
2014-06-03,2.23,2.34,2.18,2.23,133800,2.23
2014-06-02,2.31,2.35,2.23,2.25,81300,2.25
2014-05-30,2.35,2.35,2.30,2.33,113100,2.33
2014-05-29,2.34,2.39,2.31,2.37,95800,2.37
2014-05-28,2.33,2.37,2.25,2.35,207700,2.35
2014-05-27,2.23,2.34,2.21,2.31,350600,2.31
2014-05-23,2.25,2.28,2.21,2.25,33000,2.25
2014-05-22,2.18,2.28,2.18,2.23,158200,2.23
2014-05-21,2.12,2.21,2.12,2.21,71600,2.21
2014-05-20,2.12,2.17,2.10,2.10,86900,2.10
2014-05-19,2.21,2.22,2.13,2.15,68900,2.15
2014-05-16,2.15,2.20,2.09,2.20,90800,2.20
2014-05-15,2.15,2.22,2.10,2.16,52800,2.16
2014-05-14,2.22,2.30,2.13,2.17,183200,2.17
2014-05-13,2.27,2.34,2.21,2.25,143700,2.25
2014-05-12,2.19,2.27,2.19,2.26,135900,2.26
2014-05-09,2.23,2.28,2.20,2.21,85600,2.21
2014-05-08,2.26,2.27,2.21,2.22,63300,2.22
2014-05-07,2.20,2.32,2.18,2.28,170800,2.28
2014-05-06,2.22,2.28,2.17,2.20,122300,2.20
2014-05-05,2.12,2.22,2.10,2.21,112300,2.21
2014-05-02,2.20,2.21,2.14,2.14,105100,2.14
2014-05-01,2.21,2.28,2.20,2.21,73800,2.21
2014-04-30,2.26,2.30,2.21,2.22,122800,2.22
2014-04-29,2.32,2.34,2.25,2.28,66000,2.28
2014-04-28,2.31,2.39,2.23,2.30,157600,2.30
2014-04-25,2.35,2.36,2.28,2.28,134300,2.28
2014-04-24,2.34,2.41,2.28,2.36,167200,2.36
2014-04-23,2.40,2.41,2.25,2.38,131300,2.38
2014-04-22,2.42,2.45,2.38,2.40,144100,2.40
2014-04-21,2.40,2.47,2.31,2.40,257500,2.40
2014-04-17,2.36,2.43,2.24,2.38,308400,2.38
2014-04-16,2.03,2.44,2.01,2.39,1210700,2.39
2014-04-15,2.07,2.07,1.94,2.01,382800,2.01
2014-04-14,2.17,2.17,2.04,2.04,388200,2.04
2014-04-11,2.12,2.23,2.10,2.19,340100,2.19
2014-04-10,2.21,2.26,2.14,2.16,69100,2.16
