Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,22.00,22.00,22.00,22.00,000,22.00
2014-12-30,22.00,22.00,22.00,22.00,000,22.00
2014-12-29,22.00,22.00,22.00,22.00,000,22.00
2014-12-26,22.00,22.00,21.50,22.00,700,22.00
2014-12-24,22.44,22.44,22.44,22.44,100,22.44
2014-12-23,21.50,22.00,21.46,22.00,2000,22.00
2014-12-22,20.51,20.51,20.51,20.51,000,20.51
2014-12-19,20.02,20.75,20.02,20.51,3700,20.51
2014-12-18,20.90,21.15,20.90,21.15,800,21.15
2014-12-17,20.99,20.99,20.99,20.99,100,20.99
2014-12-16,20.70,20.70,20.70,20.70,600,20.70
2014-12-15,20.54,20.54,20.54,20.54,400,20.54
2014-12-12,20.28,20.28,20.28,20.28,100,20.28
2014-12-11,20.40,20.40,20.01,20.01,800,20.01
2014-12-10,21.60,21.60,21.60,21.60,000,21.60
2014-12-09,20.61,22.60,20.61,21.60,600,21.60
2014-12-08,20.51,21.10,20.51,21.10,400,21.10
2014-12-05,22.42,22.50,22.42,22.50,1500,22.50
2014-12-04,22.59,22.59,22.59,22.59,000,22.59
2014-12-03,22.59,22.59,22.59,22.59,000,22.59
2014-12-02,22.59,22.59,22.59,22.59,200,22.59
2014-12-01,21.70,22.00,19.53,22.00,4600,22.00
2014-11-28,23.00,23.00,23.00,23.00,200,23.00
2014-11-26,22.93,23.00,22.93,23.00,3100,23.00
2014-11-25,22.84,23.66,22.84,23.00,5700,23.00
2014-11-24,22.00,22.00,22.00,22.00,400,22.00
2014-11-21,21.99,21.99,21.99,21.99,100,21.99
2014-11-20,20.25,21.00,20.25,21.00,500,21.00
2014-11-19,21.50,21.50,21.50,21.50,600,21.50
2014-11-18,21.50,21.50,21.50,21.50,000,21.50
2014-11-17,21.50,21.50,21.50,21.50,200,20.98
2014-11-14,21.65,22.87,21.00,22.87,3100,22.32
2014-11-13,21.00,22.00,21.00,21.50,22700,20.98
2014-11-12,21.05,21.05,21.05,21.05,000,20.54
2014-11-11,21.05,21.05,21.05,21.05,000,20.54
2014-11-10,21.00,21.05,21.00,21.05,1300,20.54
2014-11-07,19.33,19.33,19.33,19.33,300,18.87
2014-11-06,21.00,21.00,21.00,21.00,000,20.50
2014-11-05,21.00,21.00,21.00,21.00,300,20.50
2014-11-04,21.50,21.50,21.50,21.50,000,20.98
2014-11-03,21.50,21.50,21.50,21.50,200,20.98
2014-10-31,20.00,21.50,20.00,21.50,4500,20.98
2014-10-30,20.01,20.01,20.00,20.00,200,19.52
2014-10-29,20.00,20.00,20.00,20.00,000,19.52
2014-10-28,20.00,20.00,20.00,20.00,500,19.52
2014-10-27,20.01,20.01,20.00,20.00,400,19.52
2014-10-24,21.00,21.00,21.00,21.00,000,20.50
2014-10-23,21.00,21.00,21.00,21.00,000,20.50
2014-10-22,19.22,21.00,19.22,21.00,1100,20.50
2014-10-21,19.28,19.28,19.28,19.28,3300,18.82
2014-10-20,17.95,17.95,17.95,17.95,000,17.52
2014-10-17,17.95,17.95,17.95,17.95,000,17.52
2014-10-16,17.95,17.95,17.95,17.95,200,17.52
2014-10-15,19.00,19.00,18.00,18.00,3200,17.57
2014-10-14,18.50,18.75,18.21,18.50,2300,18.06
2014-10-13,19.00,19.00,19.00,19.00,000,18.54
2014-10-10,20.04,20.04,17.04,19.00,2000,18.54
2014-10-09,21.51,21.51,21.51,21.51,400,20.99
2014-10-08,22.25,22.25,22.25,22.25,300,21.71
2014-10-07,20.98,20.98,20.98,20.98,100,20.48
2014-10-06,21.00,21.00,20.00,21.00,1900,20.50
2014-10-03,21.42,21.42,21.42,21.42,300,20.90
2014-10-02,21.45,21.45,21.33,21.33,1100,20.82
2014-10-01,21.40,21.40,21.39,21.40,500,20.89
2014-09-30,22.70,22.70,22.70,22.70,000,22.15
2014-09-29,22.96,22.96,21.41,22.70,1200,22.15
2014-09-26,21.31,21.31,21.31,21.31,000,20.80
2014-09-25,21.31,21.31,21.31,21.31,400,20.80
2014-09-24,21.43,21.51,21.43,21.49,500,20.97
2014-09-23,21.28,21.28,21.28,21.28,300,20.77
2014-09-22,21.24,23.00,21.24,23.00,1600,22.45
2014-09-19,21.06,21.06,21.00,21.00,300,20.50
2014-09-18,21.29,21.29,21.29,21.29,000,20.78
2014-09-17,21.29,21.29,21.29,21.29,200,20.78
2014-09-16,21.33,21.83,21.33,21.83,2100,21.31
2014-09-15,21.16,21.38,21.16,21.38,2200,20.87
2014-09-12,20.73,20.73,20.73,20.73,200,20.23
