Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,4.77,4.85,4.70,4.73,1302500,4.73
2014-12-30,4.82,4.90,4.76,4.76,60500,4.76
2014-12-29,4.72,4.84,4.72,4.83,992900,4.83
2014-12-26,4.68,4.79,4.64,4.75,657000,4.75
2014-12-24,4.56,4.69,4.55,4.64,1218600,4.64
2014-12-23,4.85,4.85,4.57,4.57,1672200,4.57
2014-12-22,4.85,4.88,4.68,4.82,1078700,4.82
2014-12-19,4.78,4.94,4.76,4.86,4393800,4.86
2014-12-18,4.79,4.81,4.70,4.80,1264600,4.80
2014-12-17,4.58,4.72,4.55,4.71,1943200,4.71
2014-12-16,4.61,4.82,4.50,4.59,1679200,4.59
2014-12-15,4.86,4.92,4.60,4.63,1927500,4.63
2014-12-12,4.87,4.96,4.85,4.86,1637800,4.86
2014-12-11,4.89,5.00,4.85,4.90,2347600,4.90
2014-12-10,4.91,4.97,4.77,4.85,3574600,4.85
2014-12-09,4.82,5.00,4.78,4.91,3674700,4.91
2014-12-08,4.93,5.04,4.79,4.90,6612500,4.90
2014-12-05,4.50,5.01,4.42,4.93,13784000,4.93
2014-12-04,4.76,4.84,4.38,4.47,17467100,4.47
2014-12-03,3.95,3.95,3.86,3.91,1122200,3.91
2014-12-02,3.90,4.02,3.87,3.95,1085300,3.95
2014-12-01,3.96,4.04,3.88,3.88,1295000,3.88
2014-11-28,3.97,4.19,3.96,4.03,1361000,4.03
2014-11-26,3.93,3.98,3.91,3.95,833500,3.95
2014-11-25,3.92,3.97,3.89,3.92,881800,3.92
2014-11-24,3.80,3.91,3.79,3.90,1143200,3.90
2014-11-21,3.80,3.87,3.73,3.76,1782700,3.76
2014-11-20,3.53,3.72,3.51,3.71,1294900,3.71
2014-11-19,3.66,3.68,3.51,3.53,799800,3.53
2014-11-18,3.64,3.75,3.62,3.67,896300,3.67
2014-11-17,3.55,3.70,3.55,3.63,890300,3.63
2014-11-14,3.69,3.69,3.54,3.56,720800,3.56
2014-11-13,3.82,3.87,3.68,3.68,1191300,3.68
2014-11-12,3.81,3.87,3.77,3.81,874500,3.81
2014-11-11,3.85,3.91,3.81,3.84,1329700,3.84
2014-11-10,3.85,3.98,3.83,3.84,2518100,3.84
