Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,34.40,35.10,33.58,33.79,305100,33.79
2014-12-30,33.89,34.73,33.70,34.15,13300,34.15
2014-12-29,33.26,34.44,32.60,33.89,270300,33.89
2014-12-26,33.93,34.77,32.91,33.40,445700,33.40
2014-12-24,29.49,34.37,29.09,33.81,707500,33.81
2014-12-23,31.42,31.96,28.20,29.44,1582600,29.44
2014-12-22,45.91,45.99,30.72,31.49,2667500,31.49
2014-12-19,48.00,48.45,47.10,47.54,495200,47.54
2014-12-18,49.80,49.80,47.32,47.87,962500,47.87
2014-12-17,47.58,51.53,46.97,51.36,258700,51.36
2014-12-16,48.39,48.83,46.33,47.56,183700,47.56
2014-12-15,49.37,49.84,48.14,48.66,141800,48.66
2014-12-12,49.05,50.30,48.02,49.25,151300,49.25
2014-12-11,49.48,50.84,49.07,49.72,132700,49.72
2014-12-10,50.45,51.15,48.25,48.99,292100,48.99
2014-12-09,48.31,51.07,48.02,50.93,236100,50.93
2014-12-08,49.99,51.31,48.61,49.06,209700,49.06
2014-12-05,49.78,50.61,48.33,50.36,230200,50.36
2014-12-04,47.64,49.93,46.61,49.50,412300,49.50
2014-12-03,48.46,49.79,47.05,47.64,282800,47.64
2014-12-02,48.52,49.49,47.78,48.61,254900,48.61
2014-12-01,52.14,52.79,48.40,48.52,315400,48.52
2014-11-28,54.10,54.47,52.00,52.28,155100,52.28
2014-11-26,54.66,54.66,53.69,54.13,177300,54.13
2014-11-25,55.88,56.47,54.10,54.30,183900,54.30
2014-11-24,56.39,57.48,55.37,55.96,593000,55.96
2014-11-21,56.54,57.49,55.67,55.88,457900,55.88
2014-11-20,52.48,56.55,52.48,55.97,595500,55.97
2014-11-19,52.30,53.18,51.62,53.04,287000,53.04
2014-11-18,52.30,53.10,50.83,52.60,781100,52.60
2014-11-17,51.07,53.68,49.23,52.32,931200,52.32
2014-11-14,54.45,54.75,50.86,51.76,1096000,51.76
2014-11-13,60.34,61.53,54.83,55.00,1093200,55.00
2014-11-12,59.97,65.00,55.66,60.50,2599100,60.50
2014-11-11,70.05,74.57,69.83,72.78,611000,72.78
2014-11-10,69.93,70.91,67.89,70.31,361900,70.31
2014-11-07,69.81,71.39,69.29,70.05,260300,70.05
2014-11-06,71.06,71.27,68.78,70.16,303200,70.16
2014-11-05,70.21,71.84,69.35,70.95,286400,70.95
2014-11-04,72.10,73.15,69.26,69.85,294300,69.85
2014-11-03,74.64,76.56,72.05,72.76,290300,72.76
2014-10-31,77.63,77.71,72.88,74.66,567400,74.66
2014-10-30,73.00,78.07,72.51,76.69,953200,76.69
2014-10-29,71.19,77.46,70.00,72.90,1057900,72.90
2014-10-28,71.59,72.50,69.72,71.86,572200,71.86
2014-10-27,72.61,73.53,69.64,71.59,816900,71.59
2014-10-24,71.89,74.00,70.30,73.33,609300,73.33
2014-10-23,69.60,73.69,66.14,71.74,924100,71.74
2014-10-22,77.26,80.47,68.41,69.11,1409800,69.11
2014-10-21,95.78,96.58,72.81,84.51,2350700,84.51
2014-10-20,93.86,96.00,93.86,94.83,246500,94.83
2014-10-17,95.19,96.31,93.44,94.05,237900,94.05
2014-10-16,92.34,95.50,90.25,93.74,355600,93.74
2014-10-15,92.36,95.00,90.84,93.93,364500,93.93
2014-10-14,93.25,94.75,91.15,93.78,265800,93.78
2014-10-13,94.95,96.32,91.84,92.18,226800,92.18
2014-10-10,94.46,96.50,93.21,95.04,283500,95.04
2014-10-09,98.78,99.64,94.87,94.91,327400,94.91
2014-10-08,97.59,99.19,96.84,98.74,342700,98.74
2014-10-07,100.76,101.07,97.53,97.73,260300,97.73
2014-10-06,102.25,103.63,101.32,101.82,220800,101.82
2014-10-03,101.53,103.83,101.53,101.99,202400,101.99
2014-10-02,96.71,100.49,93.71,100.40,290100,100.40
2014-10-01,101.16,101.16,96.12,96.87,352400,96.87
2014-09-30,100.90,102.24,100.65,100.80,200200,100.80
2014-09-29,101.36,102.84,99.78,100.98,235500,100.98
2014-09-26,101.64,103.53,101.08,102.71,194800,102.71
2014-09-25,102.53,102.65,99.53,101.22,295100,101.22
2014-09-24,100.79,104.00,99.70,102.43,223800,102.43
2014-09-23,101.11,103.01,98.77,100.80,267100,100.80
2014-09-22,100.49,102.35,100.10,101.69,196400,101.69
2014-09-19,106.82,107.92,100.85,101.43,392200,101.43
2014-09-18,103.16,107.19,102.69,106.10,314800,106.10
2014-09-17,101.97,103.65,101.34,102.46,260000,102.46
2014-09-16,101.77,103.34,100.27,102.27,216100,102.27
2014-09-15,102.16,104.25,100.46,101.79,311900,101.79
2014-09-12,104.00,106.05,102.20,102.49,287700,102.49
2014-09-11,102.18,104.45,102.18,103.69,235400,103.69
2014-09-10,102.29,103.91,101.01,102.29,208200,102.29
2014-09-09,104.44,104.44,101.87,101.89,297900,101.89
2014-09-08,104.87,106.13,104.19,104.95,212500,104.95
2014-09-05,101.32,105.01,101.32,104.60,190000,104.60
2014-09-04,101.94,104.49,100.93,101.32,264000,101.32
2014-09-03,102.43,103.86,101.43,102.02,249200,102.02
2014-09-02,100.62,102.36,99.33,101.86,267100,101.86
2014-08-29,95.50,100.25,95.26,99.93,296200,99.93
2014-08-28,95.51,96.19,94.37,95.64,206300,95.64
2014-08-27,94.90,95.76,93.86,95.65,185000,95.65
2014-08-26,92.32,94.78,91.72,94.64,180000,94.64
2014-08-25,90.38,94.12,90.09,91.80,234700,91.80
2014-08-22,90.28,90.99,88.85,89.96,168500,89.96
2014-08-21,88.72,90.85,87.79,90.58,132000,90.58
2014-08-20,89.29,89.90,88.02,88.75,117100,88.75
2014-08-19,89.15,90.44,88.13,89.64,82900,89.64
2014-08-18,87.89,89.06,84.89,88.67,355100,88.67
2014-08-15,87.45,87.85,86.68,87.00,220300,87.00
2014-08-14,89.00,89.94,87.24,87.38,243900,87.38
2014-08-13,87.93,89.30,87.16,89.09,159400,89.09
2014-08-12,86.00,88.82,84.95,88.17,267400,88.17
2014-08-11,86.90,89.66,86.70,86.76,192300,86.76
2014-08-08,84.31,88.18,83.37,86.42,253000,86.42
2014-08-07,86.61,86.65,83.84,83.98,233400,83.98
2014-08-06,84.06,87.54,84.06,86.69,412800,86.69
2014-08-05,87.91,90.59,83.57,84.05,698500,84.05
2014-08-04,103.65,105.07,83.45,88.65,1620500,88.65
2014-08-01,107.00,108.15,102.27,103.83,380000,103.83
2014-07-31,117.22,117.49,107.43,108.38,500600,108.38
2014-07-30,119.12,120.48,117.48,118.69,154200,118.69
2014-07-29,120.64,121.66,118.59,118.90,156800,118.90
2014-07-28,119.47,121.87,118.94,119.95,170000,119.95
2014-07-25,117.56,119.98,117.00,118.96,199900,118.96
2014-07-24,120.00,122.25,113.03,118.32,335400,118.32
2014-07-23,113.87,114.93,111.87,112.90,144700,112.90
2014-07-22,111.43,114.27,110.35,114.18,209800,114.18
2014-07-21,110.45,112.29,109.30,110.69,91200,110.69
2014-07-18,110.13,111.51,108.96,111.00,142900,111.00
2014-07-17,110.69,111.46,109.53,110.29,174100,110.29
2014-07-16,110.42,111.58,108.02,111.53,179900,111.53
2014-07-15,109.00,110.78,108.23,110.12,281500,110.12
2014-07-14,106.00,109.39,105.36,108.82,172400,108.82
2014-07-11,104.71,106.15,103.74,104.96,82600,104.96
2014-07-10,105.00,106.00,103.46,104.75,164400,104.75
2014-07-09,111.96,111.96,106.14,106.99,387600,106.99
2014-07-08,112.28,112.28,108.47,112.00,202700,112.00
2014-07-07,113.90,113.90,111.51,112.00,135100,112.00
2014-07-03,113.65,116.06,112.90,113.82,166400,113.82
2014-07-02,113.71,115.60,112.41,113.74,161300,113.74
2014-07-01,115.26,118.00,112.96,113.59,316300,113.59
2014-06-30,115.21,115.21,111.70,114.58,236400,114.58
2014-06-27,114.05,117.36,112.39,114.29,2211500,114.29
2014-06-26,113.82,114.53,110.68,114.00,158500,114.00
2014-06-25,113.68,115.53,112.93,114.24,123900,114.24
2014-06-24,115.60,117.67,113.77,114.35,168800,114.35
2014-06-23,114.76,118.12,114.07,117.72,139000,117.72
2014-06-20,116.09,117.63,113.53,115.64,191400,115.64
2014-06-19,117.23,118.09,113.54,115.41,111400,115.41
2014-06-18,117.16,118.29,115.51,117.04,130100,117.04
2014-06-17,119.81,121.70,117.06,117.53,238900,117.53
2014-06-16,110.57,120.50,109.17,120.36,261600,120.36
2014-06-13,113.82,113.82,109.69,110.23,136200,110.23
2014-06-12,112.80,114.57,111.81,113.09,94900,113.09
2014-06-11,114.59,115.32,111.05,112.72,134700,112.72
2014-06-10,117.55,118.95,115.10,116.04,119500,116.04
2014-06-09,116.97,118.40,115.94,118.28,84900,118.28
2014-06-06,115.43,118.25,115.13,116.96,86600,116.96
2014-06-05,112.04,115.67,110.84,114.76,128800,114.76
2014-06-04,108.50,114.16,108.50,112.29,144900,112.29
2014-06-03,110.29,110.34,108.19,108.96,162700,108.96
2014-06-02,110.20,111.80,109.04,110.05,148000,110.05
2014-05-30,110.40,111.69,109.73,110.21,164400,110.21
2014-05-29,109.56,111.93,109.05,110.40,202200,110.40
2014-05-28,110.29,111.25,108.50,109.96,181300,109.96
2014-05-27,104.18,110.42,104.18,110.21,237900,110.21
2014-05-23,102.55,104.21,102.22,103.50,100600,103.50
2014-05-22,101.20,105.00,100.50,102.41,115200,102.41
2014-05-21,99.63,100.76,97.88,100.73,154600,100.73
2014-05-20,104.99,105.60,99.05,99.15,254200,99.15
2014-05-19,104.18,105.81,104.18,105.44,173300,105.44
2014-05-16,105.94,107.01,102.93,103.94,126000,103.94
2014-05-15,103.47,105.43,100.51,105.11,140300,105.11
2014-05-14,102.86,105.73,100.76,103.30,213900,103.30
2014-05-13,105.00,106.99,101.03,101.86,167100,101.86
2014-05-12,100.81,105.43,100.81,105.09,134600,105.09
2014-05-09,100.18,101.58,99.29,100.86,146000,100.86
2014-05-08,95.24,101.50,95.24,100.03,190500,100.03
2014-05-07,97.96,98.51,94.56,95.36,228900,95.36
2014-05-06,101.00,102.60,97.77,98.08,272400,98.08
2014-05-05,102.15,103.24,100.65,101.28,146900,101.28
2014-05-02,102.57,104.25,101.70,103.42,126100,103.42
2014-05-01,102.62,102.90,99.82,102.21,308300,102.21
2014-04-30,101.00,103.92,100.00,103.71,259900,103.71
2014-04-29,102.79,103.56,100.12,100.93,348700,100.93
