Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,2.56,2.62,2.50,2.57,1126900,2.57
2014-12-30,2.54,2.59,2.53,2.57,29600,2.57
2014-12-29,2.70,2.70,2.51,2.58,1032700,2.58
2014-12-26,2.64,2.71,2.63,2.70,343400,2.70
2014-12-24,2.64,2.68,2.58,2.65,375700,2.65
2014-12-23,2.71,2.75,2.60,2.62,979900,2.62
2014-12-22,2.64,2.74,2.63,2.72,1364700,2.72
2014-12-19,2.63,2.66,2.55,2.63,1791300,2.63
2014-12-18,2.56,2.60,2.53,2.60,759300,2.60
2014-12-17,2.36,2.54,2.36,2.54,1775200,2.54
2014-12-16,2.39,2.44,2.34,2.37,1279300,2.37
2014-12-15,2.42,2.51,2.33,2.33,2333400,2.33
2014-12-12,2.41,2.49,2.39,2.40,1014400,2.40
2014-12-11,2.46,2.52,2.34,2.45,664200,2.45
2014-12-10,2.46,2.56,2.44,2.46,1703800,2.46
2014-12-09,2.45,2.55,2.43,2.46,2186100,2.46
2014-12-08,2.52,2.59,2.47,2.47,1502900,2.47
2014-12-05,2.48,2.55,2.48,2.52,1059400,2.52
2014-12-04,2.39,2.49,2.38,2.45,740100,2.45
2014-12-03,2.37,2.50,2.36,2.40,1983100,2.40
2014-12-02,2.30,2.41,2.28,2.36,887500,2.36
2014-12-01,2.30,2.41,2.29,2.30,1248800,2.30
2014-11-28,2.32,2.39,2.29,2.30,523500,2.30
2014-11-26,2.30,2.37,2.26,2.31,1060100,2.31
2014-11-25,2.29,2.41,2.25,2.30,1263400,2.30
2014-11-24,2.23,2.33,2.22,2.30,957000,2.30
2014-11-21,2.33,2.34,2.23,2.24,692800,2.24
2014-11-20,2.18,2.31,2.18,2.29,1141600,2.29
2014-11-19,2.25,2.28,2.17,2.20,702200,2.20
2014-11-18,2.27,2.31,2.25,2.26,485900,2.26
2014-11-17,2.30,2.32,2.07,2.28,1481400,2.28
2014-11-14,2.31,2.32,2.26,2.30,702800,2.30
2014-11-13,2.35,2.36,2.26,2.30,692600,2.30
2014-11-12,2.27,2.35,2.26,2.34,696400,2.34
2014-11-11,2.20,2.35,2.20,2.30,1195600,2.30
2014-11-10,2.18,2.28,2.12,2.22,1696800,2.22
2014-11-07,2.15,2.17,2.05,2.17,1252500,2.17
2014-11-06,2.16,2.19,2.04,2.15,1025900,2.15
2014-11-05,2.11,2.18,2.06,2.16,827900,2.16
2014-11-04,2.07,2.12,2.05,2.10,330800,2.10
2014-11-03,2.06,2.13,2.04,2.09,443500,2.09
2014-10-31,2.11,2.19,2.04,2.07,869700,2.07
2014-10-30,2.00,2.07,2.00,2.07,931000,2.07
2014-10-29,2.05,2.07,2.00,2.02,614100,2.02
2014-10-28,2.00,2.09,1.97,2.03,671300,2.03
2014-10-27,2.03,2.06,1.98,2.00,533900,2.00
2014-10-24,1.98,2.04,1.95,2.03,465900,2.03
2014-10-23,2.00,2.05,1.97,2.01,592200,2.01
2014-10-22,2.01,2.08,1.97,1.98,1231600,1.98
2014-10-21,2.01,2.03,1.93,2.00,792100,2.00
2014-10-20,2.00,2.05,1.92,1.99,624600,1.99
2014-10-17,2.19,2.19,2.00,2.00,962700,2.00
2014-10-16,1.99,2.20,1.99,2.16,1630400,2.16
2014-10-15,1.98,2.12,1.95,2.09,818600,2.09
2014-10-14,2.02,2.03,1.96,2.03,874400,2.03
2014-10-13,1.92,2.05,1.89,1.99,1031500,1.99
2014-10-10,1.85,1.94,1.85,1.91,661800,1.91
2014-10-09,1.98,2.00,1.87,1.88,889400,1.88
2014-10-08,1.95,1.98,1.87,1.97,589400,1.97
2014-10-07,1.98,2.04,1.93,1.94,516800,1.94
2014-10-06,2.07,2.08,2.00,2.01,1131300,2.01
2014-10-03,1.94,2.04,1.92,2.02,1242000,2.02
2014-10-02,1.91,1.95,1.88,1.91,1474400,1.91
2014-10-01,1.83,1.91,1.83,1.90,852800,1.90
2014-09-30,1.90,1.93,1.82,1.83,1412500,1.83
2014-09-29,1.92,1.94,1.86,1.87,1597900,1.87
2014-09-26,1.97,2.00,1.92,1.96,810200,1.96
2014-09-25,1.97,2.00,1.91,1.97,750300,1.97
2014-09-24,1.99,2.04,1.97,1.98,1121800,1.98
2014-09-23,2.02,2.05,1.95,2.00,1061300,2.00
2014-09-22,2.08,2.09,2.02,2.04,970700,2.04
2014-09-19,2.09,2.14,2.01,2.08,1619800,2.08
2014-09-18,2.15,2.16,2.08,2.09,583500,2.09
2014-09-17,2.07,2.20,2.07,2.14,891900,2.14
2014-09-16,2.15,2.20,2.06,2.08,1372000,2.08
2014-09-15,2.28,2.28,2.16,2.16,1012100,2.16
2014-09-12,2.25,2.30,2.22,2.28,935400,2.28
2014-09-11,2.20,2.26,2.20,2.26,533300,2.26
2014-09-10,2.21,2.23,2.19,2.21,437800,2.21
2014-09-09,2.25,2.25,2.20,2.20,595200,2.20
2014-09-08,2.16,2.27,2.12,2.26,921600,2.26
2014-09-05,2.11,2.17,2.08,2.15,465800,2.15
2014-09-04,2.14,2.16,2.10,2.12,886500,2.12
2014-09-03,2.28,2.29,2.15,2.16,740500,2.16
2014-09-02,2.37,2.37,2.22,2.27,1298000,2.27
2014-08-29,2.12,2.37,2.12,2.35,2112900,2.35
2014-08-28,2.09,2.15,2.07,2.13,1225100,2.13
2014-08-27,2.10,2.13,2.06,2.09,810500,2.09
2014-08-26,2.04,2.12,2.00,2.12,896200,2.12
2014-08-25,2.05,2.10,2.02,2.03,965600,2.03
2014-08-22,2.08,2.12,2.03,2.04,1132700,2.04
2014-08-21,2.03,2.10,2.01,2.08,741000,2.08
2014-08-20,2.03,2.06,2.02,2.04,790500,2.04
2014-08-19,2.12,2.15,2.05,2.06,826300,2.06
2014-08-18,2.17,2.17,2.11,2.13,547100,2.13
2014-08-15,2.20,2.20,2.12,2.14,1173600,2.14
2014-08-14,2.02,2.17,2.02,2.17,1499700,2.17
2014-08-13,1.98,2.03,1.95,2.03,1202100,2.03
2014-08-12,2.00,2.02,1.96,1.96,480900,1.96
2014-08-11,2.04,2.04,1.97,1.99,810900,1.99
2014-08-08,2.02,2.04,1.94,1.99,1302000,1.99
2014-08-07,2.10,2.10,1.93,2.04,2000000,2.04
2014-08-06,2.01,2.13,2.00,2.11,1183900,2.11
2014-08-05,2.02,2.07,2.01,2.04,664000,2.04
2014-08-04,1.94,2.05,1.89,2.05,1216000,2.05
2014-08-01,2.03,2.14,1.93,1.94,1750400,1.94
2014-07-31,2.00,2.05,1.95,2.04,1588000,2.04
2014-07-30,1.99,2.00,1.93,1.97,1554400,1.97
2014-07-29,1.99,2.06,1.94,1.96,2239200,1.96
2014-07-28,2.07,2.08,1.87,1.97,2693100,1.97
2014-07-25,2.10,2.12,2.00,2.05,2518000,2.05
2014-07-24,2.21,2.23,2.07,2.10,1760600,2.10
2014-07-23,2.21,2.26,2.17,2.18,1806700,2.18
2014-07-22,2.26,2.29,2.20,2.21,488900,2.21
2014-07-21,2.30,2.30,2.23,2.23,853100,2.23
2014-07-18,2.22,2.33,2.20,2.29,1147000,2.29
2014-07-17,2.23,2.33,2.15,2.19,2169400,2.19
2014-07-16,2.43,2.45,2.04,2.26,3781600,2.26
2014-07-15,2.49,2.58,2.43,2.44,1336500,2.44
2014-07-14,2.55,2.55,2.40,2.50,2104500,2.50
2014-07-11,2.61,2.64,2.52,2.54,1266000,2.54
2014-07-10,2.62,2.66,2.54,2.61,1212700,2.61
2014-07-09,2.65,2.71,2.64,2.67,1044100,2.67
2014-07-08,2.63,2.67,2.51,2.64,1676100,2.64
2014-07-07,2.85,2.87,2.62,2.64,1633300,2.64
2014-07-03,2.85,2.87,2.79,2.84,473900,2.84
2014-07-02,2.83,2.87,2.75,2.85,1525700,2.85
2014-07-01,2.66,2.73,2.62,2.71,1960900,2.71
2014-06-30,2.72,2.74,2.59,2.67,2254700,2.67
2014-06-27,2.70,2.76,2.70,2.72,1961700,2.72
2014-06-26,2.70,2.76,2.69,2.71,1591200,2.71
2014-06-25,2.74,2.82,2.70,2.72,2156700,2.72
2014-06-24,2.99,2.99,2.70,2.76,3286100,2.76
2014-06-23,3.05,3.06,3.00,3.01,536500,3.01
2014-06-20,3.09,3.09,3.01,3.04,816500,3.04
2014-06-19,3.11,3.17,3.02,3.06,918400,3.06
2014-06-18,3.14,3.15,3.05,3.11,533700,3.11
2014-06-17,3.11,3.16,3.05,3.16,630200,3.16
2014-06-16,3.04,3.20,3.03,3.09,639600,3.09
2014-06-13,3.13,3.13,3.02,3.07,726000,3.07
2014-06-12,3.16,3.16,3.07,3.10,641300,3.10
2014-06-11,3.06,3.18,3.04,3.15,1292200,3.15
2014-06-10,3.06,3.10,3.01,3.05,758300,3.05
2014-06-09,3.05,3.11,3.00,3.04,1258800,3.04
2014-06-06,2.96,3.10,2.93,3.07,963400,3.07
2014-06-05,2.85,3.00,2.83,2.91,914200,2.91
2014-06-04,2.90,2.90,2.81,2.85,642600,2.85
2014-06-03,2.87,2.97,2.75,2.89,1083800,2.89
2014-06-02,2.94,2.97,2.82,2.87,995300,2.87
2014-05-30,3.10,3.12,2.95,2.95,1142300,2.95
2014-05-29,3.14,3.17,3.06,3.09,812200,3.09
2014-05-28,3.10,3.20,3.06,3.14,830500,3.14
2014-05-27,3.01,3.14,2.90,3.10,972500,3.10
2014-05-23,3.02,3.03,2.96,3.00,634200,3.00
2014-05-22,3.00,3.01,2.91,3.01,738400,3.01
2014-05-21,2.95,3.00,2.90,2.97,843900,2.97
2014-05-20,2.88,2.95,2.83,2.93,1239200,2.93
2014-05-19,2.92,2.93,2.83,2.86,1136800,2.86
2014-05-16,2.87,2.93,2.80,2.93,776900,2.93
2014-05-15,2.92,2.95,2.83,2.88,779200,2.88
2014-05-14,3.09,3.12,2.94,2.94,1200200,2.94
2014-05-13,3.15,3.17,3.08,3.10,1332800,3.10
2014-05-12,3.07,3.15,2.98,3.15,2233300,3.15
2014-05-09,2.75,3.07,2.65,3.06,3248400,3.06
2014-05-08,2.82,2.92,2.76,2.82,2644000,2.82
2014-05-07,2.91,2.91,2.77,2.79,1623500,2.79
2014-05-06,2.81,2.97,2.77,2.92,1552800,2.92
2014-05-05,2.69,2.82,2.43,2.81,1865300,2.81
2014-05-02,2.81,2.83,2.72,2.74,1025600,2.74
2014-05-01,2.79,2.89,2.76,2.79,1292800,2.79
2014-04-30,2.90,2.90,2.75,2.78,1713100,2.78
2014-04-29,2.80,2.94,2.78,2.91,1375900,2.91
2014-04-28,2.87,2.90,2.76,2.77,1461000,2.77
2014-04-25,2.90,2.92,2.78,2.86,2112800,2.86
2014-04-24,2.96,2.98,2.88,2.92,614600,2.92
2014-04-23,2.90,3.00,2.86,2.94,727200,2.94
2014-04-22,3.05,3.08,2.89,2.90,1963500,2.90
2014-04-21,3.10,3.15,3.02,3.03,715500,3.03
2014-04-17,3.05,3.15,3.02,3.07,1054800,3.07
2014-04-16,3.07,3.08,2.94,3.04,1437400,3.04
2014-04-15,2.98,3.06,2.70,2.91,4151200,2.91
2014-04-14,3.08,3.14,2.93,2.99,2172300,2.99
2014-04-11,3.20,3.23,3.02,3.03,4202900,3.03
2014-04-10,3.44,3.45,3.24,3.24,2307000,3.24
2014-04-09,3.27,3.48,3.27,3.47,1308100,3.47
2014-04-08,3.32,3.43,3.26,3.27,1877600,3.27
2014-04-07,3.47,3.47,3.30,3.32,2131100,3.32
2014-04-04,3.52,3.54,3.40,3.48,2826700,3.48
2014-04-03,3.65,3.66,3.45,3.47,2269900,3.47
2014-04-02,3.58,3.73,3.58,3.65,1928200,3.65
2014-04-01,3.50,3.60,3.47,3.54,2272200,3.54
2014-03-31,3.55,3.61,3.37,3.50,3086700,3.50
2014-03-28,3.67,3.72,3.53,3.55,1763100,3.55
2014-03-27,3.62,3.78,3.56,3.64,1861100,3.64
2014-03-26,3.84,3.84,3.58,3.59,2071100,3.59
2014-03-25,3.81,3.87,3.74,3.82,1892900,3.82
2014-03-24,3.98,3.98,3.69,3.78,1762000,3.78
2014-03-21,4.04,4.07,3.87,3.93,1556400,3.93
2014-03-20,3.99,4.04,3.91,4.03,1093900,4.03
2014-03-19,3.99,4.05,3.89,4.02,1496700,4.02
2014-03-18,3.99,3.99,3.80,3.97,1873000,3.97
2014-03-17,4.07,4.10,3.98,3.98,1182200,3.98
2014-03-14,4.02,4.10,3.91,4.04,2096800,4.04
2014-03-13,4.31,4.33,4.02,4.02,2909800,4.02
2014-03-12,4.29,4.37,4.22,4.26,1584300,4.26
2014-03-11,4.38,4.40,4.18,4.27,2439800,4.27
2014-03-10,4.44,4.45,4.30,4.36,1326100,4.36
2014-03-07,4.51,4.57,4.35,4.40,1017000,4.40
2014-03-06,4.54,4.59,4.46,4.48,1153100,4.48
2014-03-05,4.58,4.60,4.45,4.51,1304400,4.51
2014-03-04,4.54,4.68,4.42,4.61,1328300,4.61
