Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,10.20,10.75,10.18,10.75,38100,10.75
2014-12-30,10.38,10.38,10.19,10.22,1500,10.22
2014-12-29,10.43,10.45,10.12,10.45,25700,10.45
2014-12-26,10.49,10.49,10.33,10.44,11400,10.44
2014-12-24,10.40,10.52,10.37,10.38,5700,10.38
2014-12-23,10.46,10.80,10.37,10.45,25600,10.45
2014-12-22,10.80,10.80,10.38,10.50,28700,10.50
2014-12-19,10.70,10.85,10.68,10.79,19200,10.79
2014-12-18,10.36,11.21,10.36,10.70,75100,10.70
2014-12-17,9.90,10.40,9.90,10.30,37500,10.30
2014-12-16,9.79,9.96,9.78,9.90,18200,9.90
2014-12-15,9.97,10.01,9.83,9.96,34100,9.96
2014-12-12,9.62,9.97,9.30,9.97,68500,9.97
2014-12-11,9.45,9.94,9.45,9.56,28400,9.56
2014-12-10,9.98,10.03,9.50,9.50,24200,9.50
2014-12-09,9.63,10.05,9.56,9.98,36300,9.98
2014-12-08,10.14,10.25,9.90,9.98,52100,9.98
2014-12-05,9.82,10.12,9.74,10.07,36100,10.07
2014-12-04,9.84,9.98,9.58,9.92,51300,9.92
2014-12-03,9.87,10.00,9.76,9.92,37700,9.92
2014-12-02,9.70,10.00,9.65,9.89,39500,9.89
2014-12-01,9.51,9.65,9.26,9.65,36200,9.65
2014-11-28,9.68,9.77,9.39,9.49,19200,9.49
2014-11-26,9.27,9.84,9.27,9.73,54700,9.73
2014-11-25,9.20,9.52,9.19,9.41,19800,9.41
2014-11-24,9.35,9.40,9.05,9.19,17400,9.19
2014-11-21,9.05,9.46,9.05,9.41,26100,9.41
2014-11-20,9.14,9.23,9.09,9.16,4100,9.16
2014-11-19,9.40,9.40,9.14,9.15,22400,9.15
2014-11-18,9.33,9.60,9.06,9.40,34900,9.40
2014-11-17,9.40,9.54,9.25,9.36,17300,9.36
2014-11-14,9.20,9.63,9.15,9.60,35400,9.60
2014-11-13,9.22,9.25,8.99,9.15,18600,9.15
2014-11-12,9.09,9.24,9.09,9.16,14300,9.16
2014-11-11,8.90,9.24,8.90,9.01,23700,9.01
2014-11-10,8.85,8.97,8.73,8.90,18200,8.90
2014-11-07,8.89,9.00,8.82,8.86,10800,8.86
2014-11-06,8.80,9.11,8.80,8.89,40900,8.89
2014-11-05,9.17,9.17,8.76,8.99,90200,8.99
2014-11-04,8.99,9.11,8.65,8.99,42100,8.99
2014-11-03,9.01,9.20,8.67,9.05,93200,9.05
2014-10-31,8.35,9.14,8.35,8.94,236500,8.94
2014-10-30,7.80,8.40,7.65,8.25,493200,8.25
2014-10-29,7.42,7.73,7.22,7.26,40400,7.26
2014-10-28,7.24,7.45,7.24,7.40,11900,7.40
2014-10-27,7.29,7.36,7.22,7.26,10900,7.26
2014-10-24,7.25,7.55,7.24,7.29,15600,7.29
2014-10-23,7.43,7.50,7.26,7.26,14300,7.26
2014-10-22,7.64,7.64,7.25,7.26,20100,7.26
2014-10-21,7.51,7.76,7.44,7.61,22400,7.61
2014-10-20,7.41,7.50,7.21,7.44,36600,7.44
2014-10-17,7.56,7.66,7.22,7.40,55500,7.40
2014-10-16,7.10,7.59,7.05,7.30,30900,7.30
2014-10-15,7.10,7.27,6.88,7.22,37500,7.22
2014-10-14,6.70,7.35,6.70,7.12,38000,7.12
2014-10-13,6.83,7.02,6.65,6.66,30900,6.66
2014-10-10,6.80,6.91,6.54,6.85,21800,6.85
2014-10-09,7.08,7.40,6.85,6.85,10900,6.85
2014-10-08,6.82,7.23,6.80,7.12,28200,7.12
2014-10-07,6.74,6.95,6.74,6.83,10500,6.83
2014-10-06,7.14,7.14,6.74,6.95,30000,6.95
2014-10-03,7.07,7.15,6.98,7.08,12900,7.08
2014-10-02,7.02,7.13,6.87,7.04,56400,7.04
2014-10-01,7.49,7.49,7.05,7.10,48600,7.10
2014-09-30,7.67,7.69,7.20,7.47,69100,7.47
2014-09-29,7.43,7.92,7.42,7.69,47500,7.69
2014-09-26,7.79,7.84,7.50,7.74,25100,7.74
2014-09-25,7.86,7.86,7.08,7.80,67400,7.80
2014-09-24,7.70,7.99,7.60,7.95,59800,7.95
2014-09-23,7.67,8.00,7.54,7.89,29200,7.89
2014-09-22,7.85,7.85,7.53,7.71,42200,7.71
2014-09-19,8.05,8.05,7.64,7.89,50800,7.89
2014-09-18,8.07,8.12,8.00,8.03,23700,8.03
2014-09-17,7.98,8.25,7.98,8.10,69400,8.10
2014-09-16,7.88,8.08,7.79,7.98,47600,7.98
2014-09-15,8.02,8.02,7.64,7.69,70100,7.69
2014-09-12,7.64,8.24,7.61,8.07,104800,8.07
2014-09-11,7.00,7.90,6.95,7.67,109600,7.67
2014-09-10,7.10,7.21,7.01,7.13,32000,7.13
2014-09-09,7.25,7.31,7.07,7.21,11300,7.21
2014-09-08,7.48,7.53,7.17,7.41,28200,7.41
2014-09-05,7.56,7.75,7.24,7.42,41100,7.42
2014-09-04,7.46,7.72,7.35,7.64,87300,7.64
2014-09-03,6.93,7.38,6.88,7.33,151300,7.33
2014-09-02,6.91,7.19,6.85,6.97,62800,6.97
2014-08-29,6.69,6.90,6.60,6.85,66500,6.85
2014-08-28,6.74,6.74,6.58,6.69,9500,6.69
2014-08-27,6.51,6.86,6.51,6.74,36700,6.74
2014-08-26,6.65,6.70,6.32,6.50,59100,6.50
2014-08-25,6.90,6.90,6.64,6.70,12200,6.70
2014-08-22,6.73,6.93,6.70,6.85,12000,6.85
2014-08-21,6.79,6.79,6.68,6.75,61900,6.75
2014-08-20,6.73,6.73,6.57,6.69,47900,6.69
2014-08-19,6.41,6.64,6.41,6.54,33900,6.54
2014-08-18,6.60,6.61,6.44,6.44,29400,6.44
2014-08-15,6.55,6.64,6.47,6.54,58300,6.54
2014-08-14,6.82,6.85,6.42,6.51,33600,6.51
2014-08-13,6.77,6.90,6.63,6.80,26700,6.80
2014-08-12,6.65,6.80,6.45,6.70,44200,6.70
2014-08-11,6.63,6.91,6.56,6.62,39700,6.62
2014-08-08,6.56,6.80,6.46,6.49,50100,6.49
2014-08-07,6.44,6.74,6.33,6.56,41100,6.56
2014-08-06,6.49,6.49,6.38,6.48,20800,6.48
2014-08-05,6.70,6.71,6.22,6.49,74200,6.49
2014-08-04,6.83,6.96,6.55,6.70,44200,6.70
2014-08-01,7.17,7.30,6.78,6.85,89100,6.85
2014-07-31,7.42,7.50,7.03,7.15,86500,7.15
2014-07-30,7.66,7.66,7.42,7.47,30800,7.47
2014-07-29,7.53,7.82,7.45,7.57,23500,7.57
2014-07-28,7.53,7.82,7.36,7.79,65600,7.79
2014-07-25,7.84,7.93,7.46,7.52,42000,7.52
2014-07-24,5.92,7.97,5.83,7.89,181000,7.89
2014-07-23,7.57,7.65,7.23,7.39,47700,7.39
2014-07-22,8.01,8.01,7.52,7.57,49800,7.57
2014-07-21,7.80,8.10,7.80,8.00,34500,8.00
2014-07-18,7.64,7.94,7.64,7.81,15100,7.81
2014-07-17,7.46,7.92,7.46,7.60,49800,7.60
2014-07-16,7.42,7.58,7.24,7.46,22000,7.46
2014-07-15,7.34,7.69,7.34,7.38,26700,7.38
2014-07-14,7.27,7.52,7.20,7.40,49600,7.40
2014-07-11,7.38,7.39,7.19,7.19,19000,7.19
2014-07-10,7.32,7.46,7.23,7.39,13000,7.39
2014-07-09,7.37,7.56,7.14,7.41,42300,7.41
2014-07-08,7.54,7.54,7.11,7.42,64100,7.42
2014-07-07,7.70,7.79,7.53,7.55,63500,7.55
2014-07-03,7.90,7.94,7.75,7.75,6000,7.75
2014-07-02,7.88,7.98,7.80,7.83,58600,7.83
2014-07-01,7.81,8.13,7.81,7.93,59200,7.93
2014-06-30,7.80,7.92,7.72,7.77,42700,7.77
