Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,14.59,14.94,14.55,14.57,38500,14.57
2014-12-30,14.44,14.62,14.40,14.52,600,14.52
2014-12-29,14.65,14.73,14.31,14.34,37800,14.34
2014-12-26,13.79,14.48,13.70,14.29,34600,14.29
2014-12-24,13.62,13.94,13.16,13.84,52000,13.84
2014-12-23,13.92,14.35,13.44,13.65,55800,13.65
2014-12-22,13.89,13.93,13.74,13.81,44400,13.81
2014-12-19,14.12,14.22,13.80,13.82,89800,13.82
2014-12-18,13.95,14.34,13.90,14.16,87900,14.16
2014-12-17,13.51,13.88,13.35,13.83,98000,13.83
2014-12-16,13.45,13.51,13.23,13.28,63100,13.28
2014-12-15,13.72,13.91,13.43,13.49,25200,13.49
2014-12-12,13.57,13.88,13.50,13.64,25500,13.64
2014-12-11,13.85,14.41,13.62,13.73,17500,13.73
2014-12-10,13.81,13.94,13.54,13.75,31500,13.75
2014-12-09,13.70,13.86,13.64,13.79,49800,13.79
2014-12-08,14.00,14.23,13.71,13.74,41300,13.74
2014-12-05,14.12,14.25,14.05,14.09,23500,14.09
2014-12-04,14.41,14.44,14.16,14.16,15900,14.16
2014-12-03,14.24,14.84,14.24,14.72,45900,14.72
2014-12-02,14.80,14.80,14.44,14.53,33300,14.53
2014-12-01,14.83,15.08,14.63,14.74,31700,14.74
2014-11-28,15.01,15.13,14.88,14.97,19600,14.97
2014-11-26,15.00,15.04,14.90,15.00,37900,15.00
2014-11-25,15.00,15.06,14.79,14.98,47700,14.98
2014-11-24,14.80,15.21,14.80,15.00,30100,15.00
2014-11-21,15.23,15.49,14.78,14.83,49800,14.83
2014-11-20,14.71,15.05,14.71,15.01,13800,15.01
2014-11-19,15.01,15.01,14.77,14.79,21100,14.79
2014-11-18,14.92,15.09,14.90,14.96,15300,14.96
2014-11-17,14.89,15.10,14.56,14.81,19700,14.81
2014-11-14,14.80,15.00,14.75,14.92,22600,14.92
2014-11-13,14.94,15.10,14.78,14.80,21600,14.80
2014-11-12,15.21,15.25,14.77,14.98,13600,14.98
2014-11-11,15.14,15.25,14.90,15.20,40200,15.20
2014-11-10,15.01,15.25,14.84,15.06,19700,15.06
2014-11-07,15.02,15.09,14.61,15.09,34000,15.09
2014-11-06,14.68,14.93,14.64,14.76,53000,14.76
2014-11-05,14.88,14.88,14.61,14.71,27700,14.71
2014-11-04,14.70,15.01,14.66,14.82,28900,14.82
2014-11-03,15.21,15.21,14.45,14.73,41500,14.73
2014-10-31,15.25,15.32,14.52,14.99,63100,14.99
2014-10-30,14.21,15.25,14.21,15.24,51500,15.24
2014-10-29,15.49,15.49,15.06,15.24,31000,15.24
2014-10-28,15.13,15.54,14.80,15.54,42900,15.54
2014-10-27,14.78,15.04,14.73,15.04,17300,15.04
2014-10-24,14.68,15.14,14.53,15.03,18500,15.03
2014-10-23,14.56,14.77,14.53,14.60,47600,14.60
2014-10-22,14.85,14.85,14.39,14.48,52400,14.48
2014-10-21,15.25,15.25,14.76,14.85,72700,14.85
2014-10-20,15.21,15.25,15.09,15.23,27000,15.23
2014-10-17,15.46,15.55,14.88,15.22,31100,15.22
2014-10-16,14.67,15.42,14.53,15.23,46000,15.23
2014-10-15,14.18,14.90,14.18,14.85,39400,14.85
2014-10-14,14.32,14.60,14.25,14.30,103000,14.30
2014-10-13,13.96,14.68,13.96,14.17,66400,14.17
2014-10-10,14.00,14.17,13.67,13.85,28000,13.85
2014-10-09,14.58,14.58,14.02,14.11,29900,14.11
2014-10-08,14.28,14.60,14.17,14.45,22000,14.45
2014-10-07,14.36,14.59,14.16,14.36,33400,14.36
2014-10-06,14.68,14.90,14.31,14.42,24700,14.42
2014-10-03,14.61,14.90,14.42,14.72,16500,14.72
2014-10-02,14.49,14.66,14.43,14.46,30200,14.46
2014-10-01,14.65,14.77,14.31,14.51,40200,14.51
2014-09-30,15.02,15.02,14.65,14.65,43300,14.65
2014-09-29,14.65,15.14,14.65,15.07,28100,15.07
2014-09-26,14.73,15.03,14.65,14.69,21400,14.69
2014-09-25,14.62,14.89,14.56,14.73,64400,14.73
2014-09-24,14.65,14.93,14.65,14.66,67400,14.66
2014-09-23,14.79,14.98,14.55,14.60,65800,14.60
2014-09-22,14.90,15.14,14.75,14.81,43200,14.81
2014-09-19,15.42,15.51,14.81,15.00,75100,15.00
2014-09-18,15.85,15.85,15.37,15.49,20000,15.49
2014-09-17,15.33,15.85,15.31,15.54,51300,15.54
2014-09-16,15.30,15.54,15.30,15.35,26000,15.35
2014-09-15,15.52,15.66,15.31,15.32,41100,15.32
2014-09-12,15.76,15.77,15.41,15.51,26000,15.51
2014-09-11,15.73,16.62,15.59,15.75,25500,15.75
2014-09-10,15.64,15.80,15.33,15.78,53800,15.78
2014-09-09,16.20,16.20,15.18,15.44,31000,15.44
2014-09-08,16.20,16.50,15.39,15.64,25800,15.64
2014-09-05,15.45,15.76,15.45,15.51,35500,15.51
2014-09-04,15.64,15.90,15.43,15.53,71700,15.53
2014-09-03,15.83,15.91,15.52,15.56,44900,15.56
2014-09-02,15.93,16.17,15.56,15.81,52700,15.81
2014-08-29,15.84,16.03,15.82,15.93,26400,15.93
2014-08-28,15.84,16.10,15.77,15.85,26500,15.85
2014-08-27,15.92,16.11,15.68,15.95,12800,15.95
2014-08-26,15.97,16.13,15.85,15.97,30600,15.97
