Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,14.49,14.56,14.29,14.38,339800,14.28
2014-12-30,14.39,14.52,14.33,14.39,186000,14.29
2014-12-29,14.23,14.58,14.14,14.39,336300,14.29
2014-12-26,14.07,14.31,14.00,14.20,236400,14.10
2014-12-24,14.04,14.09,13.89,13.99,178200,13.89
2014-12-23,13.83,14.15,13.65,13.96,521500,13.86
2014-12-22,13.76,13.83,13.62,13.72,466400,13.62
2014-12-19,13.96,13.96,13.50,13.75,3060200,13.65
2014-12-18,13.93,14.08,13.74,13.95,369200,13.85
2014-12-17,13.41,13.79,13.25,13.77,476400,13.67
2014-12-16,13.32,13.59,13.19,13.39,521900,13.29
2014-12-15,13.60,13.65,13.18,13.35,501800,13.25
2014-12-12,13.69,13.80,13.51,13.58,392100,13.48
2014-12-11,13.89,14.02,13.77,13.84,368500,13.74
2014-12-10,14.31,14.44,13.73,13.84,429400,13.74
2014-12-09,13.86,14.35,13.76,14.35,465400,14.25
2014-12-08,14.04,14.25,13.91,14.02,244200,13.92
2014-12-05,13.75,14.12,13.75,14.03,434600,13.93
2014-12-04,13.90,13.90,13.66,13.72,438700,13.62
2014-12-03,13.66,13.94,13.62,13.88,386700,13.78
2014-12-02,13.65,13.93,13.51,13.62,646200,13.52
2014-12-01,13.95,14.01,13.52,13.60,431100,13.50
2014-11-28,14.32,14.49,13.88,13.92,160500,13.82
2014-11-26,14.43,14.46,14.21,14.28,202600,14.18
2014-11-25,14.32,14.40,14.19,14.37,318000,14.27
2014-11-24,14.10,14.31,14.07,14.29,295700,14.19
2014-11-21,14.44,14.63,13.99,14.00,354300,13.90
2014-11-20,13.77,14.20,13.77,14.20,404500,14.10
2014-11-19,14.18,14.26,13.85,13.96,632900,13.86
2014-11-18,14.31,14.38,14.18,14.25,240700,14.15
2014-11-17,14.48,14.55,14.27,14.32,294200,14.22
2014-11-14,14.65,14.69,14.42,14.54,305400,14.43
2014-11-13,14.83,14.83,14.57,14.67,448900,14.56
2014-11-12,14.47,14.87,14.47,14.85,512200,14.74
2014-11-11,14.56,14.70,14.47,14.50,282000,14.39
2014-11-10,14.52,14.70,14.45,14.56,290300,14.45
2014-11-07,14.24,14.55,14.20,14.54,431100,14.43
2014-11-06,14.16,14.29,14.12,14.29,220300,14.19
2014-11-05,14.04,14.25,13.99,14.16,393600,14.06
2014-11-04,14.06,14.19,13.79,13.99,301200,13.89
2014-11-03,14.12,14.29,14.02,14.10,511400,14.00
2014-10-31,14.15,14.26,13.90,14.14,662000,14.04
2014-10-30,13.78,13.99,13.67,13.86,953200,13.76
2014-10-29,13.51,13.75,13.39,13.70,493500,13.60
2014-10-28,13.45,13.67,13.43,13.65,584400,13.45
2014-10-27,13.25,13.43,13.16,13.43,608800,13.23
2014-10-24,13.39,13.53,13.25,13.27,579500,13.08
2014-10-23,13.60,13.60,13.28,13.42,836900,13.22
2014-10-22,13.79,13.92,13.51,13.53,1483700,13.33
2014-10-21,14.32,14.91,14.00,14.01,1336800,13.81
2014-10-20,14.70,14.85,14.63,14.75,448900,14.54
2014-10-17,15.07,15.07,14.74,14.78,657800,14.57
2014-10-16,14.17,14.91,14.17,14.84,711300,14.62
2014-10-15,14.49,14.64,14.14,14.37,981400,14.16
2014-10-14,14.63,14.78,14.58,14.70,646500,14.49
2014-10-13,14.43,14.76,14.43,14.55,844400,14.34
2014-10-10,14.41,14.62,14.35,14.37,586200,14.16
2014-10-09,14.86,14.89,14.41,14.41,568200,14.20
2014-10-08,14.42,14.85,14.38,14.82,501200,14.60
2014-10-07,14.69,14.75,14.43,14.45,521300,14.24
2014-10-06,14.70,14.80,14.56,14.71,416700,14.50
2014-10-03,14.55,14.75,14.52,14.63,495000,14.42
2014-10-02,14.42,14.91,14.26,14.38,496600,14.17
2014-10-01,14.60,14.66,14.30,14.37,445100,14.16
2014-09-30,14.63,14.76,14.54,14.59,650400,14.38
2014-09-29,14.69,14.85,14.61,14.64,320000,14.43
2014-09-26,14.64,14.79,14.59,14.77,312700,14.56
2014-09-25,14.79,14.87,14.61,14.63,361900,14.42
2014-09-24,14.86,14.96,14.70,14.77,486300,14.56
2014-09-23,15.00,15.08,14.77,14.77,712800,14.56
2014-09-22,14.96,15.10,14.85,14.98,846400,14.76
2014-09-19,15.28,15.51,14.98,14.99,869000,14.77
2014-09-18,15.00,15.43,14.85,15.25,356100,15.03
2014-09-17,15.00,15.17,14.83,14.92,429700,14.70
2014-09-16,15.00,15.17,14.81,14.95,482000,14.73
2014-09-15,15.30,15.30,15.00,15.01,315700,14.79
2014-09-12,15.07,15.33,14.99,15.30,562800,15.08
2014-09-11,14.75,15.13,14.69,15.04,469700,14.82
2014-09-10,14.69,14.86,14.69,14.78,422400,14.57
2014-09-09,14.80,14.82,14.65,14.65,373900,14.44
2014-09-08,14.72,14.84,14.67,14.80,337000,14.58
2014-09-05,14.70,14.83,14.63,14.74,406300,14.53
2014-09-04,14.75,14.98,14.71,14.73,363400,14.52
2014-09-03,14.73,14.87,14.62,14.75,482500,14.54
2014-09-02,14.70,14.89,14.60,14.73,360900,14.52
2014-08-29,14.39,14.61,14.26,14.60,777300,14.39
2014-08-28,14.60,14.77,14.37,14.38,319000,14.17
2014-08-27,14.75,14.84,14.61,14.64,202500,14.43
2014-08-26,14.80,14.86,14.58,14.77,698100,14.56
2014-08-25,14.91,15.00,14.74,14.75,400800,14.54
2014-08-22,14.86,14.99,14.76,14.89,317000,14.67
2014-08-21,14.64,14.95,14.50,14.83,294400,14.61
2014-08-20,14.69,14.69,14.44,14.64,317300,14.43
2014-08-19,14.70,14.81,14.64,14.74,304900,14.53
2014-08-18,14.63,14.77,14.49,14.71,459900,14.50
2014-08-15,14.77,14.83,14.43,14.45,675700,14.24
2014-08-14,14.88,14.93,14.63,14.65,403300,14.44
2014-08-13,14.44,14.86,14.44,14.86,543600,14.64
2014-08-12,14.55,14.62,14.35,14.40,456400,14.19
2014-08-11,14.79,14.81,14.58,14.60,534900,14.39
2014-08-08,14.64,14.88,14.59,14.73,518300,14.52
2014-08-07,14.83,14.88,14.61,14.63,529700,14.42
2014-08-06,14.50,14.84,14.44,14.81,703600,14.59
2014-08-05,14.39,14.68,14.38,14.55,502400,14.34
2014-08-04,14.71,14.77,14.38,14.47,444400,14.26
2014-08-01,15.07,15.31,14.59,14.65,472000,14.44
2014-07-31,15.06,15.32,14.83,15.02,892400,14.80
2014-07-30,14.85,15.22,14.81,15.18,408900,14.96
2014-07-29,14.78,14.91,14.70,14.88,392600,14.57
