Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,4.62,4.89,4.58,4.89,45500,4.89
2014-12-30,4.82,4.89,4.52,4.67,71600,4.67
2014-12-29,4.95,5.00,4.57,4.94,13900,4.94
2014-12-26,5.14,5.19,5.08,5.15,21500,4.76
2014-12-24,5.13,5.15,5.11,5.12,7800,4.73
2014-12-23,5.10,5.17,5.06,5.15,75600,4.76
2014-12-22,5.10,5.20,5.10,5.20,14900,4.80
2014-12-19,5.11,5.14,5.10,5.14,5800,4.75
2014-12-18,5.08,5.15,5.08,5.14,62600,4.75
2014-12-17,4.98,5.10,4.92,5.08,60100,4.69
2014-12-16,5.00,5.07,4.97,5.04,43400,4.65
2014-12-15,5.03,5.03,4.98,4.99,52700,4.61
2014-12-12,5.01,5.04,4.90,4.98,22000,4.60
2014-12-11,4.96,5.10,4.93,4.93,28500,4.55
2014-12-10,5.04,5.12,4.91,4.94,17900,4.56
2014-12-09,5.07,5.15,5.01,5.03,28800,4.64
2014-12-08,5.07,5.29,5.07,5.27,8700,4.87
2014-12-05,5.07,5.28,5.07,5.13,16400,4.74
2014-12-04,5.15,5.15,5.15,5.15,000,4.76
2014-12-03,5.12,5.39,5.12,5.15,18700,4.76
2014-12-02,5.00,5.24,5.00,5.07,12300,4.68
2014-12-01,5.06,5.23,5.00,5.00,33000,4.62
2014-11-28,5.17,5.23,5.02,5.02,12100,4.63
2014-11-26,5.04,5.24,5.01,5.06,13400,4.67
2014-11-25,5.02,5.15,5.02,5.11,24200,4.72
2014-11-24,5.28,5.31,5.04,5.04,44100,4.65
2014-11-21,5.01,5.32,5.01,5.32,17300,4.91
2014-11-20,5.13,5.20,5.00,5.07,29600,4.68
2014-11-19,5.10,5.14,5.06,5.10,7400,4.71
2014-11-18,5.04,5.26,5.04,5.15,28900,4.76
2014-11-17,4.94,5.22,4.94,5.09,24000,4.70
2014-11-14,5.10,5.32,4.96,4.97,33300,4.59
2014-11-13,5.14,5.14,5.10,5.13,1100,4.74
2014-11-12,5.08,5.16,4.90,5.11,21200,4.72
2014-11-11,5.05,5.05,5.04,5.05,17700,4.66
2014-11-10,5.07,5.09,5.02,5.03,15300,4.64
2014-11-07,4.99,5.06,4.99,5.03,16100,4.64
2014-11-06,5.03,5.10,4.94,5.00,29200,4.62
2014-11-05,5.21,5.21,4.95,5.03,19700,4.64
2014-11-04,4.94,5.08,4.86,4.95,39500,4.57
2014-11-03,4.87,5.12,4.86,5.02,30000,4.63
2014-10-31,4.82,4.89,4.82,4.83,22700,4.46
2014-10-30,4.83,4.83,4.73,4.79,36800,4.42
2014-10-29,4.85,4.85,4.75,4.77,15500,4.40
2014-10-28,4.81,4.84,4.70,4.80,8500,4.43
2014-10-27,4.83,4.85,4.72,4.82,11700,4.45
2014-10-24,4.77,4.88,4.75,4.84,20900,4.47
2014-10-23,4.77,4.90,4.70,4.78,18600,4.41
2014-10-22,4.75,4.86,4.68,4.78,15400,4.41
2014-10-21,4.66,4.75,4.66,4.73,6100,4.37
2014-10-20,4.66,4.89,4.66,4.66,21300,4.30
2014-10-17,4.69,4.77,4.65,4.74,5900,4.38
2014-10-16,4.72,4.75,4.65,4.65,7500,4.29
2014-10-15,4.85,4.89,4.67,4.76,18500,4.39
