Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,2.64,2.71,2.56,2.63,109500,2.63
2014-12-30,2.67,2.78,2.63,2.65,56800,2.65
2014-12-29,2.76,2.80,2.65,2.69,60900,2.69
2014-12-26,2.67,2.80,2.66,2.76,98600,2.76
2014-12-24,2.68,2.75,2.62,2.64,42400,2.64
2014-12-23,2.65,2.75,2.61,2.70,99800,2.70
2014-12-22,2.67,2.75,2.62,2.66,78200,2.66
2014-12-19,2.70,2.74,2.57,2.65,134100,2.65
2014-12-18,2.65,2.78,2.64,2.68,84800,2.68
2014-12-17,2.66,2.68,2.56,2.65,115600,2.65
2014-12-16,2.68,2.69,2.53,2.63,72800,2.63
2014-12-15,2.76,2.82,2.64,2.67,57800,2.67
2014-12-12,2.65,2.83,2.64,2.74,55600,2.74
2014-12-11,2.69,2.80,2.67,2.68,161000,2.68
2014-12-10,2.88,2.88,2.65,2.68,171600,2.68
2014-12-09,2.84,2.94,2.80,2.90,155500,2.90
2014-12-08,3.00,3.00,2.85,2.89,133900,2.89
2014-12-05,2.82,3.00,2.80,2.97,368000,2.97
2014-12-04,2.80,2.85,2.73,2.84,348500,2.84
2014-12-03,2.65,2.83,2.58,2.73,393400,2.73
2014-12-02,2.52,2.65,2.46,2.62,113600,2.62
2014-12-01,2.57,2.57,2.44,2.50,109700,2.50
2014-11-28,2.64,2.66,2.57,2.57,96700,2.57
2014-11-26,2.59,2.66,2.58,2.62,67800,2.62
2014-11-25,2.60,2.65,2.53,2.61,91100,2.61
2014-11-24,2.53,2.69,2.53,2.59,140900,2.59
2014-11-21,2.55,2.65,2.48,2.56,121100,2.56
2014-11-20,2.50,2.60,2.35,2.60,285100,2.60
2014-11-19,2.39,2.50,2.38,2.49,621400,2.49
2014-11-18,2.35,2.39,2.35,2.38,150700,2.38
2014-11-17,2.29,2.38,2.29,2.37,127200,2.37
2014-11-14,2.34,2.38,2.34,2.35,70500,2.35
2014-11-13,2.33,2.36,2.30,2.34,62400,2.34
2014-11-12,2.34,2.37,2.26,2.37,87400,2.37
2014-11-11,2.29,2.39,2.29,2.33,125500,2.33
2014-11-10,2.38,2.39,2.31,2.31,145600,2.31
2014-11-07,2.39,2.40,2.31,2.38,114700,2.38
2014-11-06,2.41,2.43,2.37,2.39,155100,2.39
2014-11-05,2.29,2.47,2.00,2.44,446100,2.44
2014-11-04,2.39,2.48,2.29,2.43,570000,2.43
2014-11-03,2.39,2.41,2.38,2.39,41100,2.39
2014-10-31,2.40,2.41,2.33,2.38,58800,2.38
2014-10-30,2.39,2.41,2.35,2.39,42600,2.39
2014-10-29,2.37,2.40,2.35,2.38,62700,2.38
2014-10-28,2.36,2.37,2.35,2.36,45600,2.36
2014-10-27,2.34,2.38,2.31,2.36,50600,2.36
2014-10-24,2.35,2.38,2.31,2.34,35900,2.34
2014-10-23,2.32,2.37,2.32,2.36,70000,2.36
2014-10-22,2.27,2.33,2.27,2.30,28000,2.30
2014-10-21,2.33,2.37,2.30,2.33,102100,2.33
2014-10-20,2.35,2.37,2.30,2.31,76300,2.31
2014-10-17,2.33,2.37,2.27,2.37,157900,2.37
2014-10-16,2.31,2.33,2.26,2.33,96400,2.33
2014-10-15,2.31,2.35,2.31,2.33,71800,2.33
2014-10-14,2.35,2.37,2.28,2.34,62600,2.34
2014-10-13,2.30,2.34,2.25,2.34,100500,2.34
2014-10-10,2.34,2.35,2.25,2.28,154400,2.28
2014-10-09,2.36,2.38,2.30,2.33,59800,2.33
2014-10-08,2.36,2.38,2.35,2.36,82100,2.36
2014-10-07,2.35,2.41,2.35,2.38,208800,2.38
2014-10-06,2.33,2.41,2.32,2.33,58400,2.33
2014-10-03,2.41,2.43,2.33,2.34,48200,2.34
2014-10-02,2.37,2.45,2.32,2.40,95500,2.40
2014-10-01,2.48,2.50,2.27,2.35,211200,2.35
2014-09-30,2.49,2.52,2.45,2.49,54200,2.49
2014-09-29,2.41,2.52,2.37,2.48,117100,2.48
2014-09-26,2.56,2.57,2.45,2.46,136400,2.46
2014-09-25,2.66,2.66,2.51,2.56,159700,2.56
2014-09-24,2.69,2.69,2.58,2.67,169800,2.67
2014-09-23,2.65,2.71,2.63,2.68,181000,2.68
2014-09-22,2.65,2.73,2.61,2.68,213200,2.68
2014-09-19,2.72,2.73,2.60,2.69,305600,2.69
2014-09-18,2.67,2.73,2.65,2.71,195700,2.71
2014-09-17,2.72,2.74,2.63,2.69,283900,2.69
2014-09-16,2.59,2.73,2.57,2.72,442600,2.72
2014-09-15,2.34,2.59,2.32,2.57,1069700,2.57
2014-09-12,2.29,2.35,2.28,2.33,231600,2.33
2014-09-11,2.27,2.32,2.27,2.30,68100,2.30
2014-09-10,2.43,2.43,2.25,2.29,73900,2.29
2014-09-09,2.31,2.31,2.25,2.25,134000,2.25
2014-09-08,2.23,2.35,2.17,2.32,369900,2.32
2014-09-05,2.11,2.25,2.11,2.24,150900,2.24
2014-09-04,2.25,2.27,2.13,2.19,144300,2.19
2014-09-03,2.21,2.33,2.16,2.22,143800,2.22
2014-09-02,2.20,2.22,2.14,2.21,129300,2.21
2014-08-29,2.11,2.22,2.11,2.16,98700,2.16
2014-08-28,2.15,2.15,2.12,2.13,76500,2.13
2014-08-27,2.26,2.26,2.11,2.17,250100,2.17
2014-08-26,2.20,2.20,2.13,2.19,146200,2.19
2014-08-25,2.22,2.27,2.19,2.20,144700,2.20
2014-08-22,2.12,2.20,2.12,2.18,58100,2.18
2014-08-21,2.20,2.22,2.13,2.14,166600,2.14
2014-08-20,2.21,2.23,2.17,2.19,140000,2.19
2014-08-19,2.30,2.32,2.20,2.22,121000,2.22
2014-08-18,2.30,2.34,2.29,2.29,193100,2.29
2014-08-15,2.34,2.34,2.25,2.29,127000,2.29
2014-08-14,2.43,2.43,2.27,2.32,189000,2.32
2014-08-13,2.40,2.47,2.33,2.39,483000,2.39
2014-08-12,2.18,2.44,2.16,2.36,1090900,2.36
2014-08-11,2.18,2.25,2.17,2.25,142700,2.25
2014-08-08,2.18,2.21,2.05,2.18,226800,2.18
2014-08-07,2.27,2.37,2.20,2.22,141700,2.22
2014-08-06,2.26,2.30,2.23,2.27,160800,2.27
2014-08-05,2.32,2.32,2.25,2.31,164800,2.31
2014-08-04,2.29,2.32,2.21,2.32,189500,2.32
2014-08-01,2.23,2.37,2.12,2.21,150400,2.21
2014-07-31,2.32,2.41,2.14,2.22,396000,2.22
2014-07-30,2.35,2.44,2.30,2.38,211500,2.38
2014-07-29,2.26,2.40,2.21,2.35,414600,2.35
2014-07-28,2.27,2.27,2.20,2.22,136600,2.22
2014-07-25,2.20,2.30,2.18,2.25,153600,2.25
2014-07-24,2.17,2.34,2.12,2.22,630600,2.22
2014-07-23,2.12,2.19,2.08,2.18,497700,2.18
2014-07-22,2.09,2.13,2.09,2.12,162300,2.12
2014-07-21,1.93,2.14,1.91,2.09,604900,2.09
2014-07-18,1.90,1.96,1.90,1.92,89000,1.92
2014-07-17,1.93,1.96,1.91,1.92,120500,1.92
