Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,8.44,8.50,7.90,8.50,4000,8.33
2014-12-30,8.55,8.64,8.22,8.26,5100,8.10
2014-12-29,8.17,8.75,7.90,8.55,40200,8.38
2014-12-26,7.95,8.20,7.83,8.20,5800,8.04
2014-12-24,7.87,8.13,7.87,7.95,4300,7.79
2014-12-23,7.75,8.13,7.75,7.95,14700,7.79
2014-12-22,7.90,8.38,7.87,7.90,4000,7.75
2014-12-19,7.60,7.70,7.60,7.70,4300,7.55
2014-12-18,7.65,7.85,7.60,7.70,3700,7.55
2014-12-17,8.41,8.41,8.10,8.10,2200,7.94
2014-12-16,7.52,8.00,7.52,7.66,2100,7.51
2014-12-15,8.03,8.03,7.66,7.93,10000,7.77
2014-12-12,8.18,8.20,8.00,8.06,12700,7.90
2014-12-11,8.15,8.23,8.15,8.18,4200,8.02
2014-12-10,8.30,8.33,8.20,8.20,16800,8.04
2014-12-09,8.37,8.37,8.30,8.30,3200,8.14
2014-12-08,8.75,8.75,8.30,8.31,5600,8.15
2014-12-05,8.55,8.82,8.55,8.80,4800,8.63
2014-12-04,8.41,8.41,8.41,8.41,000,8.25
2014-12-03,8.50,8.74,7.63,8.41,17200,8.25
2014-12-02,8.45,8.46,8.44,8.44,2500,8.27
2014-12-01,8.77,8.77,8.35,8.44,5300,8.27
2014-11-28,8.85,9.07,8.75,8.80,8100,8.63
2014-11-26,8.85,8.85,8.85,8.85,600,8.68
2014-11-25,8.75,8.80,8.75,8.80,1000,8.63
2014-11-24,8.90,8.98,8.71,8.77,9100,8.60
2014-11-21,8.68,9.05,8.68,9.05,4300,8.87
2014-11-20,8.65,9.51,8.60,8.86,4900,8.69
2014-11-19,9.02,9.02,8.60,8.65,9300,8.48
2014-11-18,9.00,9.01,9.00,9.01,1200,8.83
2014-11-17,9.29,9.29,9.00,9.00,2700,8.82
2014-11-14,9.25,9.25,9.00,9.00,6300,8.82
2014-11-13,8.77,9.35,8.77,9.22,3900,9.04
2014-11-12,9.34,9.34,9.34,9.34,000,9.16
2014-11-11,8.90,9.67,8.90,9.34,1200,9.16
2014-11-10,8.88,8.88,8.88,8.88,000,8.71
2014-11-07,8.88,8.88,8.88,8.88,300,8.71
2014-11-06,8.80,8.85,8.76,8.76,3800,8.59
2014-11-05,9.25,9.25,8.65,8.82,4100,8.65
2014-11-04,8.98,8.98,8.98,8.98,000,8.80
2014-11-03,9.25,9.25,8.96,8.98,6300,8.80
2014-10-31,9.00,9.12,8.80,9.04,1900,8.86
2014-10-30,9.20,9.20,9.20,9.20,000,8.84
2014-10-29,8.82,9.20,8.82,9.20,4400,8.84
2014-10-28,8.90,9.14,8.90,9.14,2300,8.79
2014-10-27,9.00,9.05,8.56,8.56,5700,8.23
2014-10-24,9.62,9.68,8.84,9.19,3700,8.83
2014-10-23,8.82,8.82,8.65,8.65,4400,8.32
2014-10-22,8.96,8.96,8.53,8.54,9800,8.21
2014-10-21,8.71,9.69,8.71,8.99,14400,8.64
2014-10-20,8.61,9.09,8.61,9.09,2600,8.74
2014-10-17,8.50,8.89,8.49,8.64,24700,8.31
2014-10-16,8.75,8.75,8.75,8.75,1100,8.41
2014-10-15,8.15,9.06,7.01,9.00,14300,8.65
2014-10-14,9.44,9.48,8.93,8.93,16800,8.58
2014-10-13,9.46,9.46,9.46,9.46,000,9.09
2014-10-10,9.30,9.62,9.30,9.46,6000,9.09
2014-10-09,9.38,9.45,9.31,9.31,2400,8.95
2014-10-08,9.45,9.60,9.30,9.45,9000,9.08
2014-10-07,9.45,9.45,9.45,9.45,1500,9.08
2014-10-06,9.42,9.55,9.40,9.55,2300,9.18
2014-10-03,9.32,9.66,9.30,9.66,4700,9.29
2014-10-02,9.41,9.41,9.41,9.41,200,9.05
2014-10-01,9.49,9.55,9.49,9.50,2800,9.13
2014-09-30,9.60,9.60,9.60,9.60,2000,9.23
2014-09-29,9.60,9.60,9.60,9.60,2300,9.23
2014-09-26,9.30,9.51,9.30,9.50,1200,9.13
2014-09-25,9.90,9.90,9.90,9.90,500,9.52
2014-09-24,10.00,10.00,9.65,9.65,7700,9.28
2014-09-23,9.71,9.71,9.71,9.71,300,9.33
2014-09-22,9.95,9.95,9.95,9.95,300,9.57
2014-09-19,9.70,9.70,9.70,9.70,000,9.33
2014-09-18,9.64,9.94,9.45,9.70,24900,9.33
2014-09-17,9.55,9.84,9.55,9.55,14100,9.18
2014-09-16,9.76,9.93,9.30,9.74,47400,9.36
2014-09-15,9.90,10.00,9.90,9.93,5700,9.55
2014-09-12,9.98,10.00,9.98,10.00,1700,9.61
2014-09-11,9.87,10.04,9.82,10.00,1700,9.61
2014-09-10,10.04,10.05,10.01,10.04,8200,9.65
2014-09-09,10.05,10.05,10.02,10.02,1100,9.63
2014-09-08,10.00,10.05,10.00,10.04,5400,9.65
2014-09-05,10.00,10.00,9.82,9.98,2600,9.59
2014-09-04,10.05,10.05,9.84,10.00,2700,9.61
2014-09-03,9.90,10.05,9.90,10.05,3200,9.66
2014-09-02,9.97,9.97,9.97,9.97,600,9.58
2014-08-29,10.02,10.30,9.98,10.06,13800,9.67
2014-08-28,10.01,10.18,9.96,10.05,19400,9.66
2014-08-27,10.07,10.07,10.07,10.07,000,9.68
2014-08-26,10.07,10.07,10.07,10.07,4100,9.68
2014-08-25,9.99,10.07,9.93,10.07,11800,9.68
2014-08-22,9.92,9.92,9.90,9.90,400,9.52
2014-08-21,10.00,10.02,10.00,10.00,4300,9.61
2014-08-20,9.85,10.05,9.85,10.05,700,9.66
2014-08-19,9.79,10.05,9.78,9.96,7200,9.58
2014-08-18,10.05,10.05,10.05,10.05,000,9.66
2014-08-15,10.04,10.05,10.04,10.05,800,9.66
2014-08-14,9.97,10.00,9.97,10.00,15300,9.61
2014-08-13,9.97,10.05,9.97,10.00,19300,9.61
2014-08-12,10.20,10.20,9.84,10.00,15400,9.61
2014-08-11,10.14,10.14,10.11,10.14,800,9.75
2014-08-08,9.47,9.85,9.47,9.85,1200,9.47
2014-08-07,9.85,9.85,9.85,9.85,000,9.47
2014-08-06,9.75,9.85,9.73,9.85,22600,9.47
2014-08-05,9.95,9.95,9.75,9.75,1200,9.37
2014-08-04,9.75,9.75,9.75,9.75,000,9.37
2014-08-01,9.75,9.75,9.75,9.75,000,9.37
2014-07-31,10.05,10.05,9.75,9.75,2000,9.37
2014-07-30,10.18,10.18,10.05,10.18,6900,9.61
2014-07-29,10.16,10.16,10.16,10.16,000,9.60
2014-07-28,10.16,10.16,10.16,10.16,000,9.60
2014-07-25,10.16,10.16,10.16,10.16,000,9.60
2014-07-24,10.17,10.17,10.16,10.16,2900,9.60
2014-07-23,10.09,10.20,10.09,10.20,6700,9.63
2014-07-22,9.90,9.90,9.90,9.90,000,9.35
2014-07-21,9.90,9.90,9.83,9.90,3100,9.35
2014-07-18,10.00,10.00,10.00,10.00,000,9.44
2014-07-17,10.00,10.00,10.00,10.00,500,9.44
2014-07-16,9.91,10.00,9.91,10.00,2100,9.44
2014-07-15,9.91,9.91,9.91,9.91,000,9.36
2014-07-14,10.03,10.03,9.90,9.91,6000,9.36
2014-07-11,10.00,10.00,9.94,10.00,7700,9.44
2014-07-10,9.66,9.67,9.65,9.66,2000,9.12
2014-07-09,10.00,10.00,9.87,10.00,42200,9.44
2014-07-08,9.71,10.00,9.69,10.00,11000,9.44
2014-07-07,10.25,10.25,9.68,9.92,2400,9.37
2014-07-03,10.25,10.25,10.25,10.25,000,9.68
2014-07-02,10.28,10.28,10.20,10.25,15000,9.68
2014-07-01,9.94,10.50,9.94,10.50,6900,9.92
2014-06-30,9.99,9.99,9.99,9.99,100,9.44
2014-06-27,9.85,9.85,9.85,9.85,000,9.30
2014-06-26,9.95,9.98,9.85,9.85,1900,9.30
2014-06-25,9.75,9.85,9.75,9.85,2500,9.30
2014-06-24,9.80,9.85,9.66,9.66,3700,9.12
2014-06-23,9.86,9.94,9.76,9.76,4600,9.22
2014-06-20,9.80,9.80,9.80,9.80,100,9.26
2014-06-19,9.76,9.76,9.75,9.75,600,9.21
2014-06-18,9.75,9.75,9.75,9.75,800,9.21
2014-06-17,9.76,9.85,9.75,9.76,3800,9.22
2014-06-16,9.73,9.75,9.71,9.71,500,9.17
2014-06-13,9.80,9.80,9.80,9.80,000,9.26
2014-06-12,9.80,9.80,9.80,9.80,400,9.26
2014-06-11,10.02,10.02,9.81,9.81,400,9.27
2014-06-10,9.81,9.90,9.81,9.90,6000,9.35
2014-06-09,9.77,9.78,9.75,9.75,2600,9.21
2014-06-06,10.00,10.00,10.00,10.00,000,9.44
2014-06-05,10.00,10.00,10.00,10.00,600,9.44
2014-06-04,9.66,9.66,9.66,9.66,000,9.12
2014-06-03,9.66,9.66,9.66,9.66,400,9.12
2014-06-02,9.70,9.90,9.70,9.90,5200,9.35
2014-05-30,9.80,9.99,9.70,9.71,19000,9.17
2014-05-29,10.00,10.00,9.75,10.00,1600,9.44
2014-05-28,9.83,10.00,9.83,10.00,55300,9.44
2014-05-27,9.88,9.88,9.85,9.85,1200,9.30
2014-05-23,9.85,9.85,9.85,9.85,000,9.30
2014-05-22,9.85,9.85,9.85,9.85,000,9.30
2014-05-21,9.85,9.85,9.85,9.85,000,9.30
2014-05-20,9.65,9.85,9.65,9.85,1100,9.30
2014-05-19,9.60,9.75,9.60,9.75,4500,9.21
2014-05-16,9.86,9.86,9.36,9.37,7300,8.85
2014-05-15,10.35,10.35,10.35,10.35,200,9.78
2014-05-14,9.84,9.90,9.80,9.80,5600,9.26
2014-05-13,9.88,9.90,9.85,9.90,1600,9.35
2014-05-12,9.92,10.35,9.81,9.85,7700,9.30
2014-05-09,9.36,9.75,9.04,9.69,56700,9.15
2014-05-08,9.75,9.75,9.11,9.25,14100,8.74
2014-05-07,9.80,9.94,9.67,9.90,25000,9.35
2014-05-06,9.90,9.90,9.90,9.90,000,9.35
2014-05-05,9.78,9.94,9.78,9.90,16400,9.35
2014-05-02,9.81,9.81,9.79,9.80,1100,9.26
2014-05-01,9.94,9.94,9.88,9.91,8100,9.36
2014-04-30,10.15,10.15,10.00,10.00,31600,9.28
2014-04-29,10.15,10.15,9.98,10.00,13100,9.28
2014-04-28,9.96,10.00,9.96,10.00,2600,9.28
2014-04-25,10.00,10.00,10.00,10.00,3000,9.28
2014-04-24,10.00,10.00,10.00,10.00,1000,9.28
2014-04-23,9.99,10.00,9.99,10.00,5700,9.28
2014-04-22,10.00,10.00,10.00,10.00,1500,9.28
2014-04-21,10.00,10.00,9.99,9.99,7700,9.27
2014-04-17,9.96,10.00,9.90,10.00,1400,9.28
2014-04-16,9.96,9.96,9.96,9.96,000,9.24
2014-04-15,10.02,10.02,9.96,9.96,2700,9.24
2014-04-14,10.15,10.15,10.15,10.15,000,9.41
2014-04-11,10.10,10.40,9.96,10.15,28200,9.41
2014-04-10,9.96,9.96,9.96,9.96,000,9.24
2014-04-09,9.96,9.96,9.96,9.96,000,9.24
2014-04-08,9.91,10.05,9.91,9.96,700,9.24
2014-04-07,11.41,11.41,10.45,10.45,1400,9.69
2014-04-04,9.89,9.89,9.89,9.89,1900,9.17
2014-04-03,9.75,9.90,9.75,9.90,1300,9.18
2014-04-02,9.96,10.00,9.96,10.00,4300,9.28
2014-04-01,9.78,9.96,9.73,9.96,11800,9.24
2014-03-31,9.90,9.97,9.89,9.94,23600,9.22
2014-03-28,9.90,9.96,9.88,9.96,139300,9.24
2014-03-27,9.91,10.01,9.91,9.92,1700,9.20
2014-03-26,9.91,9.96,9.90,9.96,4900,9.24
2014-03-25,9.90,9.90,9.90,9.90,000,9.18
2014-03-24,9.90,9.90,9.90,9.90,1500,9.18
2014-03-21,9.90,9.96,9.90,9.96,19000,9.24
2014-03-20,9.91,9.91,9.90,9.90,34800,9.18
2014-03-19,10.10,10.10,9.60,9.90,375000,9.18
2014-03-18,10.05,10.19,9.90,9.90,28400,9.18
2014-03-17,9.90,9.96,9.62,9.90,24000,9.18
2014-03-14,9.67,10.20,9.62,9.95,24200,9.23
2014-03-13,9.65,9.90,9.65,9.90,2700,9.18
2014-03-12,9.81,9.92,9.73,9.92,3100,9.20
2014-03-11,9.62,9.90,9.62,9.90,23000,9.18
2014-03-10,10.00,10.00,9.90,9.96,37100,9.24
2014-03-07,9.63,9.90,9.53,9.90,103900,9.18
2014-03-06,9.83,9.90,9.60,9.78,37900,9.07
2014-03-05,9.65,9.90,9.57,9.90,41400,9.18
2014-03-04,9.62,9.90,9.50,9.62,41900,8.92
2014-03-03,9.84,10.10,9.66,9.66,35400,8.96
2014-02-28,9.75,9.75,9.75,9.75,000,9.04
2014-02-27,9.75,9.75,9.75,9.75,600,9.04
2014-02-26,9.75,9.75,9.75,9.75,100,9.04
2014-02-25,9.59,9.80,9.59,9.76,2100,9.05
2014-02-24,9.70,9.74,9.70,9.70,5800,9.00
2014-02-21,9.63,9.75,9.63,9.70,4300,9.00
2014-02-20,9.78,9.78,9.53,9.60,67900,8.90
