Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,43.41,43.87,42.99,43.26,244600,43.26
2014-12-30,44.01,44.38,43.07,43.21,92400,43.21
2014-12-29,44.92,45.01,43.84,44.13,135100,44.13
2014-12-26,44.86,45.00,44.43,44.94,84100,44.94
2014-12-24,44.70,45.00,44.63,44.81,50900,44.81
2014-12-23,44.02,44.97,43.74,44.57,136600,44.57
2014-12-22,43.47,43.97,43.36,43.84,146600,43.84
2014-12-19,43.59,43.92,43.36,43.45,420300,43.45
2014-12-18,44.10,44.85,43.46,43.69,286800,43.69
2014-12-17,42.65,43.52,42.33,43.50,171000,43.50
2014-12-16,42.78,43.06,42.50,42.65,179200,42.65
2014-12-15,43.17,43.39,42.73,42.81,140100,42.81
2014-12-12,43.35,44.11,43.01,43.10,159500,43.10
2014-12-11,44.21,44.68,43.86,43.93,130600,43.93
2014-12-10,44.62,44.72,43.87,44.00,206800,44.00
2014-12-09,43.27,44.94,43.10,44.85,231100,44.85
2014-12-08,43.74,44.12,43.52,43.75,294100,43.75
2014-12-05,43.64,44.09,43.45,43.90,131200,43.90
2014-12-04,42.54,44.05,42.53,43.66,515500,43.66
2014-12-03,42.67,42.71,42.21,42.54,310400,42.54
2014-12-02,42.60,43.03,42.34,42.59,284300,42.59
2014-12-01,42.53,42.82,42.37,42.55,211100,42.55
2014-11-28,42.81,43.03,42.41,42.44,228500,42.44
2014-11-26,42.16,42.89,42.16,42.88,213500,42.88
2014-11-25,42.27,42.75,42.18,42.24,150900,42.24
2014-11-24,41.94,42.43,41.61,42.39,271900,42.27
2014-11-21,42.06,42.21,41.35,41.78,179200,41.66
2014-11-20,41.38,41.60,41.29,41.45,180600,41.33
2014-11-19,41.94,41.94,41.16,41.43,313300,41.31
2014-11-18,42.46,42.90,41.90,41.98,249100,41.86
2014-11-17,43.40,43.62,42.44,42.45,309400,42.33
2014-11-14,43.15,43.66,43.04,43.58,362800,43.46
2014-11-13,43.71,44.04,43.18,43.21,170100,43.09
2014-11-12,43.74,44.07,43.52,43.82,198700,43.70
2014-11-11,44.42,44.55,43.77,44.13,291900,44.01
2014-11-10,44.50,44.75,44.10,44.75,148600,44.62
2014-11-07,45.00,45.18,44.32,44.82,163500,44.69
2014-11-06,44.92,45.51,44.74,44.97,219600,44.84
2014-11-05,45.06,45.24,44.80,45.02,172700,44.89
2014-11-04,45.17,45.53,44.74,44.96,240100,44.83
2014-11-03,44.35,45.86,44.05,45.33,397300,45.20
2014-10-31,43.01,44.68,42.78,44.50,667200,44.37
2014-10-30,41.74,43.15,41.63,42.11,513100,41.99
2014-10-29,41.60,41.79,40.80,41.18,200300,41.06
2014-10-28,40.73,41.57,40.61,41.50,407200,41.38
2014-10-27,40.30,40.72,40.04,40.54,89100,40.43
2014-10-24,40.62,41.06,40.42,40.59,128400,40.48
2014-10-23,40.18,40.79,40.14,40.48,118000,40.37
2014-10-22,40.56,40.57,39.70,39.79,90900,39.68
2014-10-21,39.79,40.54,39.42,40.43,104000,40.32
2014-10-20,39.47,40.07,39.18,39.70,137400,39.59
2014-10-17,40.17,40.17,39.28,39.66,157100,39.55
2014-10-16,38.73,39.99,38.37,39.59,242100,39.48
2014-10-15,38.72,39.61,38.70,39.28,308800,39.17
2014-10-14,39.03,39.80,38.70,39.33,248500,39.22
2014-10-13,37.51,38.74,37.39,38.62,155500,38.51
2014-10-10,37.62,38.26,37.38,37.48,216200,37.37
2014-10-09,38.32,38.77,37.73,37.86,159500,37.75
2014-10-08,38.10,38.45,37.78,38.41,190000,38.30
2014-10-07,39.09,39.09,38.14,38.19,173400,38.08
2014-10-06,39.37,39.56,38.78,39.34,182000,39.23
2014-10-03,39.75,40.06,39.28,39.33,252600,39.22
2014-10-02,39.19,39.61,39.14,39.36,177900,39.25
2014-10-01,39.30,39.44,38.93,39.14,326200,39.03
2014-09-30,39.23,39.45,38.92,39.29,366700,39.18
2014-09-29,38.01,39.31,37.67,39.28,118500,39.17
2014-09-26,38.30,38.59,38.00,38.43,70700,38.32
2014-09-25,38.90,39.06,38.03,38.27,132900,38.16
2014-09-24,38.45,39.22,38.06,39.00,104700,38.89
2014-09-23,38.91,39.13,38.31,38.34,171100,38.23
2014-09-22,39.27,39.55,39.04,39.11,191400,39.00
2014-09-19,39.85,40.33,39.26,39.45,307500,39.34
2014-09-18,39.42,39.79,39.12,39.65,118600,39.54
2014-09-17,38.91,39.57,38.72,39.33,168600,39.22
2014-09-16,39.19,39.36,38.64,38.95,90700,38.84
2014-09-15,39.88,40.13,38.86,39.18,194200,39.07
2014-09-12,40.83,40.83,39.53,39.72,231400,39.61
2014-09-11,40.02,40.99,40.02,40.71,88500,40.59
2014-09-10,40.21,40.34,39.99,40.25,62900,40.14
2014-09-09,40.33,40.47,39.99,40.15,101500,40.04
2014-09-08,40.20,40.57,40.05,40.40,159000,40.29
2014-09-05,40.03,40.31,39.87,40.15,94200,40.04
2014-09-04,40.25,40.64,40.13,40.24,225800,40.13
2014-09-03,39.49,40.39,39.30,40.12,239200,40.01
2014-09-02,39.11,39.55,38.56,39.32,167200,39.21
2014-08-29,38.59,39.27,38.42,38.89,205700,38.78
2014-08-28,38.55,38.76,38.30,38.59,127300,38.48
2014-08-27,37.20,38.80,37.20,38.61,204800,38.50
2014-08-26,37.15,37.47,36.90,37.13,261100,37.02
2014-08-25,37.44,37.64,36.92,37.34,107400,37.11
2014-08-22,37.10,37.47,36.96,37.30,155600,37.07
2014-08-21,36.88,37.16,36.54,37.09,98800,36.87
2014-08-20,37.37,37.40,36.81,36.89,124700,36.67
2014-08-19,37.20,37.58,37.12,37.55,194300,37.32
2014-08-18,36.84,37.21,36.59,37.08,115600,36.86
2014-08-15,37.01,37.01,36.15,36.46,208500,36.24
2014-08-14,36.62,36.83,36.38,36.66,84400,36.44
2014-08-13,36.53,36.94,36.25,36.58,72000,36.36
2014-08-12,36.52,36.85,36.19,36.36,103700,36.14
2014-08-11,36.89,37.30,36.41,36.77,121800,36.55
2014-08-08,36.53,37.21,36.52,36.68,225500,36.46
2014-08-07,36.73,36.99,36.05,36.53,134400,36.31
2014-08-06,36.41,36.98,36.41,36.63,238500,36.41
2014-08-05,36.35,36.93,36.17,36.59,110200,36.37
2014-08-04,36.82,36.82,36.10,36.54,250100,36.32
2014-08-01,36.86,37.13,36.37,36.70,274500,36.48
2014-07-31,35.35,37.90,35.35,36.71,374700,36.49
2014-07-30,35.32,35.85,34.97,35.63,233800,35.41
2014-07-29,34.52,35.14,34.44,34.98,270700,34.77
2014-07-28,34.05,34.85,33.64,34.42,138000,34.21
2014-07-25,34.22,34.23,33.89,34.03,192400,33.82
2014-07-24,34.34,34.81,34.08,34.55,154400,34.34
2014-07-23,34.61,34.74,34.17,34.27,81500,34.06
2014-07-22,34.66,34.99,34.24,34.57,221700,34.36
2014-07-21,34.43,34.59,33.97,34.46,137500,34.25
2014-07-18,33.87,34.72,33.62,34.66,140300,34.45
2014-07-17,34.36,34.55,33.91,33.97,155000,33.76
2014-07-16,35.20,35.20,34.50,34.52,79500,34.31
2014-07-15,35.13,35.33,34.67,34.98,203200,34.77
2014-07-14,35.55,35.70,35.17,35.42,63300,35.21
2014-07-11,35.04,35.29,34.83,35.17,79300,34.96
2014-07-10,34.69,35.35,34.50,35.17,160000,34.96
2014-07-09,35.24,35.64,34.91,35.25,256400,35.04
2014-07-08,35.88,36.20,34.97,35.15,270800,34.94
2014-07-07,36.29,36.63,35.98,36.00,152000,35.78
2014-07-03,36.52,36.58,36.22,36.44,95700,36.22
2014-07-02,36.62,36.82,36.34,36.43,87000,36.21
2014-07-01,35.80,37.09,35.52,36.70,155100,36.48
2014-06-30,36.00,36.00,35.63,35.74,126200,35.52
2014-06-27,35.31,36.22,35.31,36.16,171100,35.94
2014-06-26,35.51,35.68,35.12,35.56,85500,35.35
2014-06-25,35.35,35.71,35.32,35.54,91000,35.33
2014-06-24,35.37,35.82,35.15,35.45,249400,35.24
2014-06-23,35.35,35.69,35.28,35.39,124400,35.18
2014-06-20,35.49,35.49,35.18,35.30,298600,35.09
2014-06-19,35.84,36.07,35.19,35.47,159900,35.26
2014-06-18,36.16,36.33,35.52,35.66,154200,35.44
2014-06-17,35.39,36.20,35.32,36.18,132400,35.96
2014-06-16,35.07,35.46,34.83,35.45,73100,35.24
2014-06-13,34.95,35.05,34.74,34.99,91800,34.78
2014-06-12,35.33,35.38,34.53,34.76,141300,34.55
2014-06-11,35.31,35.77,35.00,35.40,72700,35.19
2014-06-10,33.77,35.89,33.77,35.60,75100,35.39
2014-06-09,35.69,36.20,35.19,36.04,78300,35.82
2014-06-06,35.19,35.74,34.53,35.73,126600,35.51
2014-06-05,34.29,35.00,34.09,34.96,226600,34.75
2014-06-04,34.03,34.37,33.80,34.27,123700,34.06
2014-06-03,34.02,34.32,33.83,34.21,250200,34.00
2014-06-02,34.25,34.34,33.76,34.15,147700,33.94
2014-05-30,35.36,35.36,34.20,34.25,157200,34.04
2014-05-29,34.97,35.30,34.63,35.24,138700,35.03
2014-05-28,34.58,35.23,34.27,34.87,201700,34.66
2014-05-27,34.43,35.09,34.21,34.79,99600,34.58
2014-05-23,33.74,34.29,33.60,34.19,106300,33.98
2014-05-22,33.61,33.86,33.38,33.79,116600,33.47
2014-05-21,33.65,33.79,33.24,33.62,142100,33.30
2014-05-20,33.90,33.97,33.06,33.37,266300,33.05
2014-05-19,33.18,34.10,32.95,33.98,133200,33.65
2014-05-16,32.96,33.31,32.42,33.29,160600,32.97
2014-05-15,32.20,33.19,31.63,33.02,264300,32.70
2014-05-14,33.00,33.00,32.27,32.40,170600,32.09
2014-05-13,33.46,33.46,33.05,33.07,206800,32.75
2014-05-12,32.50,33.64,32.50,33.45,128400,33.13
2014-05-09,31.77,32.58,31.67,32.41,106100,32.10
2014-05-08,32.64,32.84,31.81,31.92,259300,31.61
2014-05-07,32.51,32.81,32.25,32.75,295700,32.44
2014-05-06,32.51,32.75,32.19,32.49,283100,32.18
2014-05-05,32.46,32.76,32.10,32.65,162400,32.34
2014-05-02,32.46,33.10,32.31,32.78,421100,32.47
2014-05-01,30.73,32.37,30.28,32.31,354800,32.00
2014-04-30,29.75,30.54,29.42,30.45,248200,30.16
2014-04-29,30.02,30.25,29.78,29.95,211200,29.66
2014-04-28,30.26,30.48,29.62,29.87,268800,29.58
2014-04-25,30.46,30.80,30.06,30.11,284200,29.82
2014-04-24,30.85,30.85,30.37,30.64,238400,30.35
2014-04-23,30.95,30.95,30.50,30.66,314200,30.37
2014-04-22,31.41,31.44,30.81,31.01,331800,30.71
2014-04-21,31.65,31.93,31.27,31.46,71300,31.16
2014-04-17,31.12,31.84,30.93,31.60,149800,31.30
2014-04-16,31.39,31.51,30.91,31.23,233500,30.93
2014-04-15,30.96,31.31,30.39,31.19,297300,30.89
2014-04-14,30.82,30.99,30.50,30.86,164900,30.56
2014-04-11,30.70,31.76,30.22,30.45,231800,30.16
2014-04-10,31.87,32.02,30.97,31.01,303300,30.71
2014-04-09,31.84,32.04,31.56,31.89,126300,31.58
2014-04-08,31.74,31.93,31.41,31.74,259100,31.44
