Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,1.69,1.75,1.62,1.62,161300,1.62
2014-12-30,1.65,1.68,1.61,1.67,139300,1.67
2014-12-29,1.64,1.73,1.62,1.66,173300,1.66
2014-12-26,1.68,1.77,1.68,1.68,105600,1.68
2014-12-24,1.72,1.72,1.66,1.68,84000,1.68
2014-12-23,1.65,1.69,1.58,1.69,255300,1.69
2014-12-22,1.70,1.72,1.64,1.66,250400,1.66
2014-12-19,1.71,1.75,1.68,1.72,128700,1.72
2014-12-18,1.76,1.77,1.68,1.69,216300,1.69
2014-12-17,1.77,1.78,1.69,1.74,356200,1.74
2014-12-16,1.88,1.89,1.70,1.73,1356800,1.73
2014-12-15,1.82,1.87,1.62,1.63,391400,1.63
2014-12-12,1.84,1.95,1.65,1.73,586600,1.73
2014-12-11,1.57,1.85,1.57,1.83,1369800,1.83
2014-12-10,1.61,1.63,1.54,1.55,81800,1.55
2014-12-09,1.60,1.66,1.51,1.59,385700,1.59
2014-12-08,1.77,1.82,1.55,1.56,1908100,1.56
2014-12-05,1.38,1.55,1.37,1.48,584900,1.48
2014-12-04,1.25,1.42,1.23,1.38,149000,1.38
2014-12-03,1.21,1.28,1.21,1.25,56600,1.25
2014-12-02,1.26,1.28,1.21,1.23,94700,1.23
2014-12-01,1.22,1.33,1.22,1.24,78600,1.24
2014-11-28,1.24,1.38,1.20,1.29,31600,1.29
2014-11-26,1.22,1.27,1.22,1.25,65500,1.25
2014-11-25,1.26,1.28,1.23,1.25,65400,1.25
2014-11-24,1.24,1.30,1.23,1.27,93000,1.27
2014-11-21,1.30,1.34,1.25,1.27,57200,1.27
2014-11-20,1.24,1.30,1.23,1.28,42100,1.28
2014-11-19,1.27,1.29,1.25,1.25,89300,1.25
2014-11-18,1.26,1.32,1.23,1.29,68800,1.29
2014-11-17,1.33,1.33,1.26,1.28,105000,1.28
2014-11-14,1.36,1.38,1.31,1.34,30100,1.34
2014-11-13,1.30,1.40,1.30,1.35,73900,1.35
2014-11-12,1.33,1.38,1.30,1.33,68000,1.33
2014-11-11,1.35,1.40,1.30,1.37,83400,1.37
2014-11-10,1.40,1.40,1.35,1.35,87900,1.35
2014-11-07,1.48,1.48,1.41,1.43,36400,1.43
2014-11-06,1.42,1.47,1.39,1.45,64700,1.45
2014-11-05,1.41,1.45,1.40,1.40,112500,1.40
2014-11-04,1.42,1.42,1.37,1.37,60000,1.37
2014-11-03,1.48,1.48,1.35,1.41,167200,1.41
2014-10-31,1.33,1.46,1.33,1.40,82900,1.40
2014-10-30,1.33,1.45,1.33,1.40,121400,1.40
2014-10-29,1.35,1.38,1.34,1.37,66600,1.37
2014-10-28,1.35,1.37,1.33,1.34,56600,1.34
2014-10-27,1.34,1.37,1.30,1.37,147000,1.37
2014-10-24,1.36,1.40,1.33,1.36,49900,1.36
2014-10-23,1.34,1.37,1.31,1.36,46400,1.36
2014-10-22,1.35,1.39,1.33,1.33,33300,1.33
2014-10-21,1.36,1.36,1.27,1.36,85800,1.36
2014-10-20,1.35,1.36,1.26,1.34,95300,1.34
2014-10-17,1.40,1.44,1.33,1.37,161800,1.37
2014-10-16,1.37,1.44,1.35,1.38,110700,1.38
2014-10-15,1.36,1.42,1.33,1.40,30000,1.40
2014-10-14,1.35,1.47,1.35,1.37,30800,1.37
2014-10-13,1.40,1.42,1.32,1.38,23400,1.38
