Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,7.36,7.55,7.35,7.41,196700,7.35
2014-12-30,7.38,7.52,7.28,7.36,131800,7.30
2014-12-29,7.49,7.58,7.06,7.39,180900,7.33
2014-12-26,7.59,7.75,7.44,7.51,92300,7.45
2014-12-24,7.15,7.55,7.15,7.52,76500,7.46
2014-12-23,7.11,7.30,7.06,7.12,184700,7.06
2014-12-22,7.32,7.37,7.06,7.09,178500,7.03
2014-12-19,7.27,7.33,7.12,7.28,359100,7.22
2014-12-18,7.20,7.33,7.09,7.20,203800,7.14
2014-12-17,7.18,7.33,7.08,7.12,191600,7.06
2014-12-16,7.15,7.39,7.06,7.15,204600,7.09
2014-12-15,7.22,7.44,7.08,7.17,156800,7.11
2014-12-12,6.87,7.45,6.87,7.23,177300,7.17
2014-12-11,7.00,7.32,6.87,6.93,247600,6.88
2014-12-10,7.06,7.15,6.87,6.96,182300,6.91
2014-12-09,6.69,7.09,6.59,7.06,215000,7.00
2014-12-08,6.93,7.01,6.69,6.74,271200,6.69
2014-12-05,6.94,7.20,6.88,6.92,301100,6.87
2014-12-04,7.54,7.54,6.95,6.98,395700,6.93
2014-12-03,7.76,7.79,7.45,7.52,337200,7.46
2014-12-02,8.00,8.02,7.54,7.78,222100,7.72
2014-12-01,8.29,8.36,7.73,7.97,443000,7.91
2014-11-28,8.34,8.71,8.26,8.42,161000,8.35
2014-11-26,8.35,8.43,8.11,8.33,160300,8.26
2014-11-25,8.63,8.71,8.25,8.29,219000,8.23
2014-11-24,8.45,8.64,8.39,8.62,101700,8.55
2014-11-21,8.61,8.86,8.41,8.44,257100,8.37
2014-11-20,8.50,9.23,8.33,8.60,605200,8.53
2014-11-19,8.61,9.00,8.61,8.90,187900,8.83
2014-11-18,8.76,8.92,8.66,8.68,120100,8.61
2014-11-17,8.75,8.87,8.63,8.78,65100,8.71
2014-11-14,8.59,8.84,8.51,8.78,69300,8.71
2014-11-13,8.82,8.96,8.60,8.63,85800,8.56
2014-11-12,8.60,8.85,8.57,8.85,100600,8.78
2014-11-11,8.46,8.66,8.33,8.62,69200,8.55
2014-11-10,8.68,8.85,8.33,8.45,114200,8.38
2014-11-07,8.41,8.72,8.41,8.66,124400,8.59
2014-11-06,8.53,8.72,8.37,8.42,140600,8.35
2014-11-05,8.68,9.05,8.42,8.59,93700,8.52
2014-11-04,8.75,8.84,8.66,8.67,73200,8.60
2014-11-03,8.96,9.11,8.76,8.79,130100,8.72
2014-10-31,8.75,8.91,8.69,8.81,133500,8.74
2014-10-30,8.49,8.66,8.46,8.65,108800,8.58
2014-10-29,8.69,8.81,8.44,8.49,236600,8.42
2014-10-28,8.75,9.00,8.61,8.72,181300,8.65
2014-10-27,8.96,8.98,8.61,8.73,138000,8.66
2014-10-24,9.39,9.48,8.90,9.01,242500,8.94
2014-10-23,9.49,9.67,9.39,9.41,116900,9.34
2014-10-22,9.74,9.80,9.36,9.43,218300,9.36
2014-10-21,9.49,9.80,9.49,9.75,222400,9.67
2014-10-20,9.01,9.45,9.01,9.41,252100,9.34
2014-10-17,9.13,9.18,8.80,9.06,231400,8.99
2014-10-16,8.62,9.26,8.62,9.01,352200,8.94
2014-10-15,8.58,8.99,8.11,8.70,218700,8.63
2014-10-14,8.31,8.75,8.20,8.71,247000,8.59
2014-10-13,8.10,8.44,8.00,8.25,180200,8.14
2014-10-10,8.10,8.45,8.09,8.13,187000,8.02
2014-10-09,8.59,8.70,8.15,8.16,256600,8.05
2014-10-08,8.97,9.11,8.13,8.69,416600,8.57
2014-10-07,9.19,9.21,8.95,8.98,257800,8.86
2014-10-06,9.11,9.30,8.96,9.19,225900,9.07
2014-10-03,8.60,9.05,8.60,9.05,189400,8.93
2014-10-02,8.25,8.69,8.20,8.55,250700,8.43
2014-10-01,8.34,8.43,8.25,8.28,224300,8.17
2014-09-30,8.51,8.52,8.31,8.36,308200,8.25
2014-09-29,8.49,8.69,8.37,8.55,128000,8.43
2014-09-26,8.57,8.73,8.49,8.57,174500,8.45
2014-09-25,8.38,8.70,8.03,8.58,427200,8.46
2014-09-24,8.61,8.72,8.35,8.44,267000,8.33
2014-09-23,8.84,8.93,8.48,8.64,285800,8.52
2014-09-22,9.07,9.09,8.77,8.86,297000,8.74
2014-09-19,9.12,9.15,8.98,9.13,234900,9.01
2014-09-18,9.15,9.15,8.97,9.09,171600,8.97
2014-09-17,9.12,9.26,9.10,9.15,74800,9.03
2014-09-16,9.07,9.34,9.07,9.14,72400,9.02
2014-09-15,9.24,9.33,9.03,9.12,175700,9.00
2014-09-12,9.40,9.57,9.18,9.23,154200,9.11
