Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,13.93,13.99,13.32,13.34,52000,13.34
2014-12-30,13.94,13.94,13.80,13.85,600,13.85
2014-12-29,13.80,13.93,13.73,13.83,35500,13.83
2014-12-26,13.88,14.07,13.52,13.93,29100,13.93
2014-12-24,13.99,13.99,13.74,13.79,13500,13.79
2014-12-23,14.13,14.20,13.67,13.78,39000,13.78
2014-12-22,14.01,14.23,14.00,14.07,29500,14.07
2014-12-19,14.33,14.33,13.85,14.00,67500,14.00
2014-12-18,13.94,14.48,13.82,14.41,103400,14.41
2014-12-17,13.36,13.87,13.34,13.81,92100,13.81
2014-12-16,13.08,13.61,13.07,13.30,54100,13.30
2014-12-15,13.39,13.46,13.09,13.17,53500,13.17
2014-12-12,13.38,13.60,13.35,13.37,35200,13.37
2014-12-11,13.27,13.64,13.24,13.54,50400,13.54
2014-12-10,13.65,13.65,13.06,13.16,60800,13.16
2014-12-09,13.05,13.70,13.05,13.66,52400,13.66
2014-12-08,13.26,13.60,13.09,13.20,56900,13.20
2014-12-05,13.03,13.53,12.99,13.40,31800,13.40
2014-12-04,13.27,13.27,12.88,13.08,54500,13.08
2014-12-03,13.41,13.69,13.14,13.25,109700,13.25
2014-12-02,13.30,13.48,13.20,13.37,57300,13.37
2014-12-01,13.55,13.62,13.20,13.25,63100,13.25
2014-11-28,13.66,13.84,13.45,13.54,20600,13.54
2014-11-26,13.37,13.76,13.34,13.71,91300,13.71
2014-11-25,13.43,13.64,13.31,13.45,62900,13.45
2014-11-24,13.60,13.60,13.20,13.54,65400,13.54
2014-11-21,13.75,13.77,13.54,13.58,57300,13.58
2014-11-20,13.64,13.79,13.54,13.54,59900,13.54
2014-11-19,13.76,13.86,13.61,13.71,82500,13.71
2014-11-18,13.82,14.02,13.77,13.79,81700,13.79
2014-11-17,13.81,14.00,13.71,13.85,60800,13.85
2014-11-14,13.73,14.09,13.70,13.81,59800,13.81
2014-11-13,13.67,13.74,13.57,13.72,89100,13.72
2014-11-12,13.62,13.75,13.51,13.64,87200,13.64
2014-11-11,13.85,13.90,13.56,13.68,70500,13.68
2014-11-10,13.56,13.87,13.56,13.83,67100,13.83
2014-11-07,13.46,13.60,13.11,13.59,113100,13.59
2014-11-06,14.12,14.51,13.12,13.40,218500,13.40
2014-11-05,14.45,14.74,14.24,14.60,118000,14.60
2014-11-04,14.06,14.72,14.06,14.46,87700,14.46
2014-11-03,13.87,14.45,13.79,14.18,84900,14.18
2014-10-31,14.44,14.78,13.85,13.88,136300,13.88
2014-10-30,15.39,15.50,13.94,14.71,203600,14.71
2014-10-29,16.49,16.77,15.36,15.76,251600,15.76
2014-10-28,16.53,17.21,16.48,17.16,111100,17.16
2014-10-27,16.84,16.93,16.16,16.41,89800,16.41
2014-10-24,16.68,16.94,16.55,16.89,37000,16.89
2014-10-23,16.59,16.96,16.46,16.68,65000,16.68
2014-10-22,16.95,16.95,16.35,16.75,56500,16.75
2014-10-21,16.99,17.10,16.81,16.95,60100,16.95
2014-10-20,16.70,17.00,16.70,16.95,66500,16.95
2014-10-17,17.32,17.32,16.33,16.72,115600,16.72
2014-10-16,16.92,17.41,16.52,17.09,72200,17.09
2014-10-15,17.19,17.39,16.11,17.10,240600,17.10
2014-10-14,17.52,17.89,17.18,17.47,226800,17.47
2014-10-13,16.57,17.77,16.27,17.46,290300,17.46
2014-10-10,16.02,16.75,15.22,16.71,230700,16.71
2014-10-09,15.66,16.21,14.95,16.15,195300,16.15
2014-10-08,15.12,15.92,14.75,15.76,215100,15.76
2014-10-07,14.85,15.30,14.53,15.16,114900,15.16
2014-10-06,15.17,15.17,14.51,14.86,100400,14.86
2014-10-03,14.63,15.30,14.60,15.06,196100,15.06
2014-10-02,13.76,14.68,13.56,14.63,105300,14.63
2014-10-01,14.33,14.65,13.76,13.80,111100,13.80
2014-09-30,14.10,15.33,14.10,14.40,216900,14.40
2014-09-29,13.30,14.12,13.30,14.11,119100,14.11
2014-09-26,13.05,13.50,13.05,13.38,27900,13.38
2014-09-25,13.19,13.30,12.95,13.05,72100,13.05
2014-09-24,13.12,13.31,13.06,13.25,48100,13.25
2014-09-23,13.22,13.37,12.89,13.13,46400,13.13
2014-09-22,13.40,13.54,13.08,13.26,47000,13.26
2014-09-19,13.77,13.90,13.23,13.42,68600,13.42
2014-09-18,13.27,13.75,13.26,13.74,58100,13.74
2014-09-17,12.98,13.32,12.81,13.26,66600,13.26
2014-09-16,12.72,12.99,12.63,12.83,70000,12.83
2014-09-15,12.69,12.69,12.28,12.49,30000,12.49
2014-09-12,12.87,12.91,12.51,12.65,26600,12.65
2014-09-11,12.86,12.95,12.63,12.82,27100,12.82
2014-09-10,12.47,12.99,12.47,12.90,22600,12.90
