Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,32.50,33.22,32.11,32.13,250900,32.13
2014-12-30,32.04,32.46,31.63,32.37,138100,32.37
2014-12-29,31.83,32.42,31.41,32.02,188200,32.02
2014-12-26,31.82,32.26,31.55,31.73,175400,31.73
2014-12-24,31.28,31.88,31.14,31.82,88500,31.82
2014-12-23,31.46,31.79,30.72,31.27,168500,31.27
2014-12-22,30.00,31.58,30.00,31.29,357600,31.29
2014-12-19,30.27,30.77,29.72,29.91,743500,29.91
2014-12-18,29.00,31.00,28.31,30.35,526000,30.35
2014-12-17,28.65,28.82,28.27,28.50,312400,28.50
2014-12-16,27.68,28.58,27.58,28.44,317000,28.44
2014-12-15,27.27,28.07,27.24,27.83,362200,27.83
2014-12-12,28.77,28.77,27.15,27.62,347600,27.62
2014-12-11,27.68,28.11,27.40,27.48,139800,27.48
2014-12-10,27.11,27.98,26.32,27.51,464100,27.51
2014-12-09,27.80,28.10,26.76,27.38,343200,27.38
2014-12-08,28.02,28.98,27.76,27.93,149000,27.93
2014-12-05,28.06,28.53,28.06,28.24,117900,28.24
2014-12-04,28.55,28.79,28.03,28.07,102200,28.07
2014-12-03,28.33,28.70,28.33,28.51,162700,28.51
2014-12-02,28.15,28.81,28.15,28.43,72300,28.43
2014-12-01,28.20,28.65,28.03,28.11,134800,28.11
2014-11-28,28.42,28.99,28.29,28.30,101800,28.30
2014-11-26,28.61,28.69,28.15,28.43,139000,28.43
2014-11-25,28.79,28.90,28.35,28.54,88200,28.54
2014-11-24,28.61,28.99,28.52,28.67,133900,28.67
2014-11-21,28.83,28.93,28.37,28.45,121000,28.45
2014-11-20,27.65,28.91,27.60,28.49,276300,28.49
2014-11-19,27.94,28.01,27.52,27.79,394600,27.79
2014-11-18,28.28,28.75,27.91,27.95,214800,27.95
2014-11-17,28.00,28.58,27.97,28.21,433200,28.21
2014-11-14,29.00,29.00,27.76,28.01,290200,28.01
2014-11-13,29.11,29.58,28.93,28.98,301900,28.98
2014-11-12,28.52,29.19,28.40,29.03,451500,29.03
2014-11-11,28.76,29.08,28.30,28.57,207800,28.57
2014-11-10,29.01,29.33,28.62,28.80,224400,28.80
2014-11-07,29.13,29.39,28.53,28.91,115700,28.91
2014-11-06,29.38,29.74,29.16,29.19,140500,29.19
2014-11-05,29.67,30.09,29.33,29.42,115100,29.42
2014-11-04,29.46,29.78,29.10,29.53,94500,29.53
2014-11-03,30.22,30.50,29.37,29.53,176200,29.53
2014-10-31,30.44,30.44,29.71,30.04,152200,30.04
2014-10-30,29.42,30.25,29.40,29.93,124400,29.93
2014-10-29,29.27,29.85,29.20,29.56,176300,29.56
2014-10-28,28.93,29.65,28.57,29.32,366100,29.32
2014-10-27,29.15,29.25,28.66,28.82,162600,28.82
2014-10-24,29.37,29.38,29.01,29.33,74200,29.33
2014-10-23,29.09,29.71,29.00,29.25,117500,29.25
2014-10-22,29.23,29.61,28.75,28.83,155300,28.83
2014-10-21,29.44,29.46,28.58,29.25,126500,29.25
2014-10-20,28.22,29.40,28.00,29.27,183700,29.27
2014-10-17,28.80,28.80,27.71,28.24,159400,28.24
2014-10-16,28.43,28.66,27.60,28.44,144100,28.44
2014-10-15,27.97,28.95,27.60,28.78,212600,28.78
2014-10-14,28.89,28.89,28.08,28.18,167200,28.18
2014-10-13,28.41,28.95,28.32,28.64,159000,28.64
2014-10-10,27.80,29.07,27.80,28.30,241300,28.30
2014-10-09,28.71,28.72,27.95,27.96,183500,27.96
2014-10-08,27.18,28.79,27.00,28.62,174800,28.62
2014-10-07,27.55,27.56,27.11,27.14,134400,27.14
2014-10-06,28.18,28.49,27.42,27.77,245500,27.77
2014-10-03,28.04,28.51,27.84,28.22,107100,28.22
2014-10-02,27.51,27.95,27.20,27.79,89900,27.79
2014-10-01,28.11,28.17,27.39,27.56,164600,27.56
2014-09-30,28.48,28.60,27.93,28.06,251000,28.06
2014-09-29,27.87,28.41,27.83,28.39,95800,28.39
2014-09-26,28.01,28.69,27.68,28.09,113000,28.09
2014-09-25,28.33,28.33,27.01,27.98,262700,27.98
2014-09-24,28.03,28.35,27.96,28.30,68900,28.30
2014-09-23,28.24,28.40,27.90,27.99,154000,27.99
2014-09-22,28.16,28.36,27.90,28.25,144100,28.25
2014-09-19,28.38,28.51,27.89,28.15,250900,28.15
2014-09-18,28.55,28.80,28.26,28.40,197700,28.40
2014-09-17,28.89,28.97,28.35,28.37,197600,28.37
2014-09-16,28.81,29.08,28.76,28.97,110300,28.97
2014-09-15,28.91,29.11,28.50,28.81,112300,28.81
2014-09-12,29.23,29.26,28.76,28.84,141900,28.84
2014-09-11,28.94,29.29,28.76,29.16,177500,29.16
2014-09-10,29.51,29.51,28.81,29.09,180800,29.09
2014-09-09,29.52,29.78,29.40,29.41,130300,29.41
2014-09-08,29.84,30.22,29.63,29.69,124500,29.69
2014-09-05,29.38,30.07,29.37,29.89,217200,29.89
2014-09-04,29.48,29.72,29.26,29.49,196000,29.49
2014-09-03,29.51,30.05,29.18,29.53,268500,29.53
2014-09-02,29.27,29.48,28.82,29.42,372900,29.42
2014-08-29,29.58,29.68,29.02,29.05,371700,29.05
2014-08-28,32.50,32.50,29.33,29.60,616200,29.60
2014-08-27,33.75,34.00,31.89,32.60,309800,32.60
2014-08-26,31.81,32.12,31.58,32.08,279400,32.08
2014-08-25,32.18,32.32,31.61,31.78,170000,31.78
2014-08-22,31.49,32.37,31.25,32.01,281600,32.01
2014-08-21,31.60,31.89,30.84,31.59,104300,31.59
2014-08-20,32.23,32.45,31.50,31.71,171300,31.71
2014-08-19,32.62,32.72,32.35,32.46,199600,32.46
2014-08-18,32.40,32.94,32.14,32.57,130200,32.57
2014-08-15,32.80,32.80,31.96,32.09,158600,32.09
2014-08-14,32.12,32.59,32.04,32.54,136500,32.54
2014-08-13,31.94,32.16,31.77,32.09,269900,32.09
2014-08-12,31.79,32.15,31.57,31.88,258500,31.88
2014-08-11,32.13,32.38,31.88,32.01,163500,32.01
2014-08-08,31.70,32.50,31.60,32.16,245100,32.16
2014-08-07,31.99,32.00,31.52,31.77,301700,31.77
2014-08-06,31.53,31.99,31.36,31.90,141800,31.90
2014-08-05,31.38,31.81,31.23,31.61,123600,31.61
2014-08-04,31.80,31.80,30.89,31.46,177200,31.46
2014-08-01,31.51,31.84,31.31,31.76,204800,31.76
2014-07-31,31.80,31.91,31.03,31.39,195100,31.39
2014-07-30,30.99,31.98,30.93,31.93,189100,31.93
2014-07-29,31.26,31.35,30.77,30.96,149800,30.96
2014-07-28,30.78,31.27,30.47,31.16,126100,31.16
2014-07-25,30.50,31.10,30.50,30.82,290400,30.82
2014-07-24,30.63,30.98,30.58,30.75,141400,30.75
2014-07-23,30.54,30.92,30.20,30.70,80700,30.70
2014-07-22,30.31,30.94,30.11,30.44,117200,30.44
2014-07-21,30.26,30.52,29.58,30.24,274700,30.24
2014-07-18,30.42,30.71,30.15,30.47,184500,30.47
2014-07-17,30.45,30.92,30.40,30.53,155900,30.53
2014-07-16,30.51,30.75,30.38,30.51,125900,30.51
2014-07-15,30.67,31.16,29.92,30.40,138500,30.40
2014-07-14,30.67,31.08,30.45,30.54,159600,30.54
2014-07-11,30.81,30.95,30.19,30.40,129300,30.40
2014-07-10,30.36,30.98,30.00,30.94,255900,30.94
2014-07-09,31.22,31.39,30.61,30.90,257100,30.90
2014-07-08,30.97,31.48,30.66,31.08,219600,31.08
2014-07-07,31.40,31.63,30.81,31.02,228500,31.02
2014-07-03,31.35,31.74,31.16,31.38,126300,31.38
2014-07-02,30.47,31.16,30.40,31.13,153600,31.13
2014-07-01,30.22,30.69,30.03,30.41,360300,30.41
2014-06-30,30.82,30.82,29.61,30.22,198700,30.22
2014-06-27,29.26,30.28,29.26,30.23,321000,30.23
2014-06-26,29.43,29.59,28.94,29.45,206400,29.45
2014-06-25,29.31,29.81,29.30,29.50,172700,29.50
2014-06-24,29.41,29.90,29.27,29.51,194200,29.51
2014-06-23,29.45,29.68,29.21,29.56,138200,29.56
2014-06-20,29.45,29.66,29.20,29.49,259400,29.49
2014-06-19,29.41,29.63,29.15,29.49,157700,29.49
2014-06-18,29.57,29.82,28.73,29.28,231400,29.28
2014-06-17,29.11,30.00,29.06,29.63,333400,29.63
2014-06-16,29.23,29.51,28.82,29.20,197200,29.20
2014-06-13,29.26,29.41,28.86,29.12,183700,29.12
2014-06-12,29.50,30.49,29.15,29.26,205900,29.26
2014-06-11,30.38,30.47,29.57,29.63,373000,29.63
2014-06-10,31.46,31.50,30.57,30.61,347000,30.61
2014-06-09,31.65,32.44,31.40,31.60,439200,31.60
2014-06-06,32.66,32.87,31.50,31.64,663500,31.64
2014-06-05,27.62,32.82,27.50,32.74,1985500,32.74
2014-06-04,26.32,27.21,26.10,26.78,366900,26.78
2014-06-03,26.37,26.77,26.10,26.34,576900,26.34
2014-06-02,26.87,26.88,26.33,26.35,200600,26.35
2014-05-30,27.24,27.24,26.74,26.76,176900,26.76
2014-05-29,27.20,27.35,26.62,27.14,121700,27.14
2014-05-28,27.36,27.68,27.12,27.24,135800,27.24
2014-05-27,27.30,27.63,27.02,27.43,127700,27.43
2014-05-23,26.92,27.24,26.65,27.06,119600,27.06
2014-05-22,26.81,27.35,26.61,26.85,527000,26.85
2014-05-21,27.00,27.28,26.67,26.86,272100,26.86
2014-05-20,26.60,27.44,26.45,26.85,654500,26.85
2014-05-19,26.20,26.68,26.20,26.60,266300,26.60
2014-05-16,24.95,26.16,24.92,26.08,353800,26.08
2014-05-15,24.70,25.05,24.19,25.01,229000,25.01
2014-05-14,24.91,25.13,24.52,24.74,234000,24.74
2014-05-13,25.14,25.85,24.98,25.01,202100,25.01
2014-05-12,25.21,25.67,25.07,25.13,385100,25.13
2014-05-09,24.98,25.25,24.92,25.17,205100,25.17
2014-05-08,25.27,25.45,24.99,25.07,233500,25.07
2014-05-07,25.39,25.57,25.08,25.27,219700,25.27
2014-05-06,25.46,25.73,25.33,25.36,169200,25.36
2014-05-05,25.41,25.63,25.34,25.47,201600,25.47
2014-05-02,25.52,25.78,25.39,25.54,153900,25.54
2014-05-01,25.30,25.76,25.18,25.53,243300,25.53
2014-04-30,25.35,25.43,25.04,25.40,272500,25.40
2014-04-29,25.78,25.78,25.31,25.47,216400,25.47
2014-04-28,26.11,26.29,25.10,25.66,278400,25.66
2014-04-25,26.57,26.92,25.76,26.05,262500,26.05
2014-04-24,27.81,27.81,26.43,26.70,247300,26.70
2014-04-23,27.25,27.52,27.00,27.06,106700,27.06
2014-04-22,27.40,27.71,27.00,27.26,172600,27.26
2014-04-21,27.14,27.55,27.00,27.38,132700,27.38
2014-04-17,27.22,27.38,26.71,27.20,167100,27.20
2014-04-16,27.53,27.79,26.71,27.39,269700,27.39
2014-04-15,27.57,27.60,26.78,27.23,227900,27.23
2014-04-14,28.14,28.18,27.12,27.41,180400,27.41
2014-04-11,27.74,28.32,27.67,27.88,206400,27.88
2014-04-10,28.28,28.56,27.42,28.00,294300,28.00
2014-04-09,28.04,28.41,27.80,28.36,260100,28.36
2014-04-08,27.33,28.09,27.16,28.01,458200,28.01
2014-04-07,27.67,28.08,27.03,27.39,440600,27.39
2014-04-04,28.60,28.70,27.56,27.81,383200,27.81
2014-04-03,28.72,28.86,28.29,28.49,299300,28.49
2014-04-02,28.64,28.99,28.41,28.61,378400,28.61
2014-04-01,27.64,28.65,27.60,28.45,456300,28.45
2014-03-31,28.13,28.21,27.62,27.68,228000,27.68
2014-03-28,28.08,28.44,27.67,27.93,170800,27.93
2014-03-27,28.36,28.84,27.81,28.05,296600,28.05
2014-03-26,27.39,29.02,27.39,28.26,524000,28.26
2014-03-25,27.47,27.58,27.19,27.27,197200,27.27
2014-03-24,26.88,27.50,26.88,27.21,383900,27.21
2014-03-21,26.76,26.89,26.51,26.79,285400,26.79
2014-03-20,26.78,27.34,26.70,26.77,161100,26.77
2014-03-19,27.25,27.40,26.79,26.86,133900,26.86
2014-03-18,26.81,27.35,26.70,27.25,192900,27.25
2014-03-17,26.51,26.89,26.48,26.78,217100,26.78
2014-03-14,25.99,26.52,25.93,26.45,243000,26.45
2014-03-13,26.50,26.75,25.83,26.11,341000,26.11
2014-03-12,25.50,26.57,25.47,26.39,364100,26.39
2014-03-11,25.39,25.62,25.08,25.51,439100,25.51
2014-03-10,24.78,25.11,24.71,25.04,293500,25.04
2014-03-07,25.02,25.15,24.71,24.76,357300,24.76
2014-03-06,24.85,25.16,24.80,25.02,403700,25.02
2014-03-05,26.09,26.09,24.76,24.84,774800,24.84
2014-03-04,25.25,26.50,25.03,26.16,626000,26.16
2014-03-03,24.84,25.11,24.63,25.03,480600,25.03
2014-02-28,25.59,25.73,25.25,25.26,355300,25.26
2014-02-27,25.88,26.00,25.41,25.55,276100,25.55
