Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,3.85,3.85,3.85,3.85,300,3.85
2014-12-30,3.92,3.92,3.92,3.92,000,3.92
2014-12-29,3.80,3.80,3.80,3.80,500,3.80
2014-12-26,3.81,3.81,3.81,3.81,200,3.81
2014-12-24,3.82,3.82,3.82,3.82,300,3.82
2014-12-23,3.83,3.83,3.83,3.83,200,3.83
2014-12-22,3.83,4.00,3.83,4.00,1100,4.00
2014-12-19,3.90,3.99,3.82,3.89,12800,3.89
2014-12-18,4.00,4.00,3.83,3.86,30200,3.86
2014-12-17,3.76,3.98,3.76,3.86,20200,3.86
2014-12-16,3.70,3.89,3.70,3.78,36200,3.78
2014-12-15,3.70,3.82,3.70,3.82,9500,3.82
2014-12-12,3.69,3.85,3.60,3.71,11200,3.71
2014-12-11,3.72,3.81,3.72,3.81,1000,3.81
2014-12-10,3.82,3.82,3.82,3.82,000,3.82
2014-12-09,3.82,3.82,3.82,3.82,300,3.82
2014-12-08,3.86,3.86,3.67,3.67,400,3.67
2014-12-05,3.78,3.78,3.78,3.78,100,3.78
2014-12-04,3.77,3.85,3.76,3.85,800,3.85
2014-12-03,3.85,3.85,3.85,3.85,000,3.85
2014-12-02,3.90,3.93,3.85,3.85,2700,3.85
2014-12-01,4.02,4.02,3.72,3.72,5100,3.72
2014-11-28,3.83,4.14,3.83,4.14,1400,4.14
2014-11-26,3.89,3.94,3.80,3.81,2900,3.81
2014-11-25,3.80,4.00,3.80,3.86,25600,3.86
2014-11-24,3.78,3.87,3.78,3.84,700,3.84
2014-11-21,3.77,3.77,3.75,3.75,12800,3.75
2014-11-20,3.75,3.75,3.75,3.75,000,3.75
2014-11-19,3.56,3.75,3.56,3.75,69400,3.75
2014-11-18,3.73,3.74,3.60,3.70,4700,3.70
2014-11-17,3.70,3.74,3.70,3.72,800,3.72
2014-11-14,3.53,3.56,3.51,3.53,1700,3.53
2014-11-13,3.61,3.61,3.57,3.57,300,3.57
2014-11-12,3.65,3.65,3.52,3.52,600,3.52
2014-11-11,3.63,3.70,3.63,3.70,300,3.70
2014-11-10,3.75,3.75,3.75,3.75,000,3.75
2014-11-07,3.65,3.75,3.65,3.75,1000,3.75
2014-11-06,3.53,3.60,3.53,3.60,3000,3.60
2014-11-05,3.44,3.55,3.32,3.41,7200,3.41
2014-11-04,3.60,3.60,3.50,3.50,500,3.50
2014-11-03,3.44,3.52,3.38,3.52,13400,3.52
2014-10-31,3.56,3.56,3.44,3.44,11400,3.44
2014-10-30,3.52,3.56,3.51,3.56,1400,3.56
2014-10-29,3.58,3.58,3.58,3.58,1000,3.58
2014-10-28,3.57,3.59,3.43,3.59,9400,3.59
2014-10-27,3.77,3.81,3.77,3.81,2200,3.81
2014-10-24,3.55,3.84,3.55,3.83,300,3.83
2014-10-23,3.55,3.55,3.55,3.55,1000,3.55
2014-10-22,3.55,3.55,3.55,3.55,2500,3.55
2014-10-21,3.66,3.68,3.56,3.62,4200,3.62
2014-10-20,3.52,3.52,3.52,3.52,000,3.52
2014-10-17,3.52,3.52,3.52,3.52,1000,3.52
2014-10-16,3.53,3.67,3.52,3.55,1200,3.55
2014-10-15,3.63,3.63,3.51,3.59,6200,3.59
2014-10-14,3.78,3.78,3.78,3.78,000,3.78
2014-10-13,3.78,3.78,3.78,3.78,000,3.78
2014-10-10,3.78,3.78,3.78,3.78,1000,3.78
2014-10-09,3.67,3.80,3.62,3.78,1100,3.78
