Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,182.10,184.10,180.23,180.38,224400,180.38
2014-12-30,183.15,183.76,180.50,181.66,247000,181.66
2014-12-29,182.53,183.98,181.93,183.93,219600,183.93
2014-12-26,182.06,183.29,181.00,183.08,188700,183.08
2014-12-24,182.15,183.73,181.26,182.07,264600,182.07
2014-12-23,179.79,181.36,178.11,181.13,240700,181.13
2014-12-22,179.43,179.83,176.99,179.19,356700,179.19
2014-12-19,174.72,179.98,173.45,178.41,600000,178.41
2014-12-18,174.00,174.00,171.21,173.39,266900,173.39
2014-12-17,168.71,172.68,167.50,172.55,268000,172.55
2014-12-16,168.18,169.90,167.18,167.72,297200,167.72
2014-12-15,170.22,171.64,167.01,168.98,349800,168.98
2014-12-12,167.29,171.89,167.00,169.89,332900,169.89
2014-12-11,169.29,171.37,167.76,168.39,273300,168.39
2014-12-10,169.41,172.22,167.81,167.94,392900,167.94
2014-12-09,165.89,170.56,165.31,170.10,368900,170.10
2014-12-08,168.53,170.39,167.43,168.51,233800,168.51
2014-12-05,170.55,170.73,168.08,169.59,283800,169.59
2014-12-04,171.00,171.00,168.08,169.77,321600,169.77
2014-12-03,169.19,170.23,168.24,169.55,343600,169.55
2014-12-02,166.32,170.38,165.01,169.87,378800,169.87
2014-12-01,170.28,170.75,166.25,166.32,332500,166.32
2014-11-28,167.56,171.09,166.63,170.21,316500,170.21
2014-11-26,167.27,167.52,165.46,166.61,324600,166.61
2014-11-25,167.89,169.74,167.14,167.46,483800,167.46
2014-11-24,164.74,168.00,164.29,167.29,380600,167.29
2014-11-21,164.76,164.76,162.58,163.83,275100,163.83
2014-11-20,161.15,164.41,161.15,163.08,304000,163.08
2014-11-19,161.99,164.20,161.14,161.39,441600,161.39
2014-11-18,159.30,163.10,158.65,160.86,552000,160.86
2014-11-17,162.18,162.60,159.44,159.79,375200,159.79
2014-11-14,162.00,164.00,161.86,162.67,263500,162.67
2014-11-13,163.50,164.48,161.89,162.95,433500,162.95
2014-11-12,162.17,163.33,159.80,163.00,564700,163.00
2014-11-11,160.00,162.73,159.65,162.57,841300,162.57
2014-11-10,157.83,159.48,156.98,159.23,456700,159.23
2014-11-07,156.36,157.61,155.11,157.51,438700,157.51
2014-11-06,154.59,156.87,154.33,156.08,513900,156.08
2014-11-05,153.19,154.23,151.76,153.87,490800,153.87
2014-11-04,148.52,153.70,148.41,152.78,590600,152.78
2014-11-03,149.00,149.99,148.23,149.12,436300,149.12
2014-10-31,151.84,151.86,148.50,149.28,559000,149.28
2014-10-30,149.24,150.63,148.50,150.04,638100,150.04
2014-10-29,150.98,152.50,148.34,149.35,921500,149.35
2014-10-28,145.00,153.26,143.86,151.68,2690100,151.68
2014-10-27,136.38,136.60,132.73,133.82,1546900,133.82
2014-10-24,129.84,135.50,129.00,135.40,1045900,135.40
2014-10-23,130.28,131.52,128.42,129.00,643300,129.00
2014-10-22,131.98,132.31,128.80,129.44,700400,129.44
2014-10-21,132.86,133.53,130.43,131.59,549600,131.59
2014-10-20,130.20,132.85,130.11,132.56,436900,132.56
2014-10-17,132.55,133.00,129.34,130.32,558000,130.32
2014-10-16,125.96,131.02,125.08,130.98,694300,130.98
2014-10-15,124.82,128.47,123.92,127.52,731300,127.52
2014-10-14,122.86,127.02,122.67,126.34,735100,126.34
2014-10-13,123.78,125.21,122.15,122.96,521400,122.96
2014-10-10,123.90,127.24,122.77,123.74,694300,123.74
2014-10-09,126.31,126.89,124.00,124.13,656600,124.13
2014-10-08,125.21,127.41,125.21,127.27,799100,127.27
2014-10-07,130.69,131.00,125.03,125.27,1094600,125.27
2014-10-06,133.85,134.65,128.80,131.62,1112800,131.62
2014-10-03,137.01,139.00,135.82,137.11,525500,137.11
2014-10-02,132.00,135.66,131.99,135.50,547000,135.50
2014-10-01,134.31,134.55,131.76,131.93,468800,131.93
2014-09-30,135.55,136.49,134.14,134.27,402600,134.27
2014-09-29,134.42,136.12,134.05,135.38,343100,135.38
2014-09-26,134.12,136.15,134.12,135.37,295900,135.37
2014-09-25,136.18,137.68,133.46,133.93,480500,133.93
2014-09-24,134.00,136.74,133.51,136.06,677600,136.06
2014-09-23,135.43,135.98,132.90,132.95,546900,132.95
2014-09-22,139.80,139.80,135.51,135.52,490200,135.52
2014-09-19,140.96,142.55,139.88,140.73,454500,140.73
2014-09-18,141.70,141.70,139.84,140.91,259000,140.91
2014-09-17,140.90,142.87,139.52,141.06,375700,141.06
2014-09-16,139.86,141.65,139.02,141.03,360700,141.03
2014-09-15,143.99,144.03,138.21,140.50,801200,140.50
2014-09-12,147.08,147.57,144.43,144.49,359400,144.49
2014-09-11,148.32,148.94,147.38,147.66,282500,147.66
2014-09-10,146.60,148.97,146.58,148.70,312100,148.70
2014-09-09,147.83,148.19,146.61,146.67,226500,146.67
2014-09-08,146.82,147.81,146.33,147.63,153500,147.63
2014-09-05,145.77,147.12,144.45,147.05,270500,147.05
2014-09-04,144.56,147.20,144.56,146.21,200500,146.21
