Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,6.99,7.21,6.99,7.09,80800,7.09
2014-12-30,7.02,7.02,6.83,6.95,600,6.95
2014-12-29,7.02,7.19,7.00,7.02,52400,7.02
2014-12-26,7.06,7.16,7.06,7.09,24100,7.09
2014-12-24,6.99,7.19,6.99,7.01,47700,7.01
2014-12-23,6.96,7.09,6.96,7.01,40100,7.01
2014-12-22,7.00,7.11,6.91,6.97,48600,6.97
2014-12-19,6.90,7.14,6.82,6.98,58300,6.98
2014-12-18,7.18,7.28,6.98,6.99,32500,6.99
2014-12-17,6.97,7.25,6.96,7.15,34100,7.15
2014-12-16,6.74,7.04,6.70,6.96,47600,6.96
2014-12-15,7.08,7.19,6.73,6.73,104800,6.73
2014-12-12,7.24,7.24,7.06,7.09,57700,7.09
2014-12-11,7.16,7.32,7.13,7.27,74800,7.27
2014-12-10,7.17,7.22,7.02,7.07,60400,7.07
2014-12-09,7.22,7.22,6.90,7.20,181100,7.20
2014-12-08,7.83,7.83,7.25,7.27,135100,7.27
2014-12-05,7.55,8.08,7.54,7.84,143700,7.84
2014-12-04,7.85,7.92,7.57,7.60,45200,7.60
2014-12-03,7.61,7.84,7.59,7.80,67800,7.80
2014-12-02,7.51,7.67,7.40,7.59,75600,7.59
2014-12-01,7.80,7.80,7.34,7.45,161600,7.45
2014-11-28,7.83,7.91,7.71,7.80,25300,7.80
2014-11-26,8.01,8.01,7.74,7.81,312900,7.81
2014-11-25,7.96,8.12,7.89,7.98,81800,7.98
2014-11-24,8.00,8.11,7.90,8.04,102400,8.04
2014-11-21,8.28,8.34,7.94,8.07,65800,8.07
2014-11-20,7.90,8.12,7.66,8.11,243400,8.11
2014-11-19,8.51,8.52,7.93,8.00,149900,8.00
2014-11-18,8.45,8.62,8.27,8.58,142700,8.58
2014-11-17,8.83,8.95,8.35,8.45,217700,8.45
2014-11-14,9.30,9.30,8.83,8.93,110000,8.93
2014-11-13,9.25,9.38,9.15,9.26,60400,9.26
2014-11-12,9.80,9.80,9.11,9.24,172300,9.24
2014-11-11,9.50,9.66,9.42,9.61,92800,9.61
2014-11-10,9.24,9.53,9.17,9.45,133100,9.45
2014-11-07,9.29,9.32,9.00,9.14,75000,9.14
2014-11-06,8.82,9.29,8.78,9.29,95300,9.29
2014-11-05,9.07,9.14,8.70,8.75,129200,8.75
2014-11-04,9.18,9.32,9.06,9.07,40400,9.07
2014-11-03,9.19,9.38,9.13,9.18,112800,9.18
2014-10-31,8.99,9.19,8.99,9.19,67100,9.19
2014-10-30,9.12,9.12,8.84,8.89,60900,8.89
2014-10-29,9.12,9.21,8.86,9.12,41300,9.12
2014-10-28,9.00,9.19,8.98,9.16,61200,9.16
2014-10-27,9.27,9.27,8.80,8.95,88900,8.95
2014-10-24,9.25,9.33,9.16,9.27,30400,9.27
2014-10-23,9.00,9.21,8.95,9.16,75700,9.16
2014-10-22,8.97,8.98,8.81,8.93,25700,8.93
2014-10-21,8.86,9.11,8.83,8.95,56400,8.95
2014-10-20,8.71,9.05,8.71,8.88,83500,8.88
2014-10-17,8.88,9.17,8.69,8.81,66800,8.81
2014-10-16,9.05,9.05,8.63,8.81,96100,8.81
2014-10-15,9.20,9.38,8.74,9.01,84100,9.01
2014-10-14,9.15,9.45,9.15,9.23,76300,9.23
2014-10-13,8.95,9.16,8.60,9.15,159500,9.15
2014-10-10,9.22,9.22,8.78,9.02,114800,9.02
2014-10-09,8.96,9.20,8.74,9.17,124800,9.17
2014-10-08,8.77,9.04,8.51,9.01,81600,9.01
2014-10-07,9.11,9.16,8.76,8.79,86500,8.79
2014-10-06,8.90,9.18,8.65,9.14,182100,9.14
2014-10-03,9.30,9.43,8.89,8.97,70000,8.97
2014-10-02,8.98,9.24,8.88,9.21,60000,9.21
2014-10-01,9.16,9.19,8.90,8.98,70400,8.98
2014-09-30,9.37,9.46,8.85,9.18,213100,9.18
2014-09-29,9.32,9.67,9.24,9.46,102500,9.46
2014-09-26,9.40,9.55,9.39,9.53,62900,9.53
2014-09-25,9.53,9.76,9.30,9.36,140400,9.36
2014-09-24,9.58,9.67,9.51,9.60,92600,9.60
2014-09-23,10.12,10.12,9.50,9.67,167800,9.67
2014-09-22,10.00,10.27,9.84,10.19,168200,10.19
2014-09-19,10.45,10.56,9.86,9.99,162900,9.99
2014-09-18,10.43,10.67,10.37,10.44,78300,10.44
2014-09-17,10.31,10.60,10.27,10.44,89200,10.44
2014-09-16,10.58,10.58,10.21,10.31,75400,10.31
2014-09-15,10.60,10.85,10.38,10.58,186500,10.58
2014-09-12,10.58,10.66,10.16,10.50,151800,10.50
2014-09-11,9.95,10.86,9.86,10.51,274100,10.51
2014-09-10,9.91,10.20,9.80,9.99,82800,9.99
2014-09-09,10.50,10.60,9.85,9.91,257600,9.91
2014-09-08,10.37,10.66,10.16,10.47,394400,10.47
2014-09-05,9.73,10.09,9.67,10.07,246100,10.07
2014-09-04,9.52,9.85,9.47,9.70,221000,9.70
2014-09-03,9.70,9.74,9.40,9.54,145400,9.54
2014-09-02,9.34,9.68,9.30,9.67,416900,9.67
2014-08-29,9.26,9.28,9.03,9.24,49900,9.24
2014-08-28,9.13,9.26,8.99,9.23,92900,9.23
2014-08-27,9.08,9.24,8.85,9.13,120900,9.13
2014-08-26,9.08,9.48,8.81,9.03,498900,9.03
2014-08-25,9.00,9.18,8.97,9.10,97900,9.10
2014-08-22,8.96,9.20,8.93,9.08,71300,9.08
2014-08-21,9.16,9.26,9.05,9.11,42700,9.11
2014-08-20,9.31,9.33,9.10,9.18,46000,9.18
2014-08-19,9.26,9.48,9.19,9.32,123800,9.32
2014-08-18,9.06,9.42,9.04,9.15,153800,9.15
2014-08-15,8.58,9.07,8.39,9.03,121000,9.03
2014-08-14,8.35,8.75,8.32,8.55,86100,8.55
2014-08-13,8.84,8.89,8.26,8.36,139100,8.36
2014-08-12,8.59,8.83,8.52,8.63,103300,8.63
2014-08-11,8.53,8.66,8.36,8.56,130500,8.56
2014-08-08,8.61,8.68,8.50,8.61,37600,8.61
2014-08-07,8.74,9.06,8.54,8.63,32700,8.63
2014-08-06,8.59,8.77,8.52,8.74,26600,8.74
2014-08-05,8.50,8.88,8.41,8.63,62400,8.63
2014-08-04,8.65,8.77,8.52,8.57,105800,8.57
2014-08-01,8.82,8.96,8.50,8.68,99600,8.68
2014-07-31,9.05,9.12,8.80,8.82,84100,8.82
2014-07-30,9.13,9.38,9.03,9.09,47200,9.09
2014-07-29,9.25,9.45,8.96,9.13,100100,9.13
2014-07-28,9.62,9.62,9.10,9.26,95500,9.26
2014-07-25,9.10,9.62,8.90,9.50,184600,9.50
2014-07-24,9.50,9.50,9.11,9.15,78000,9.15
2014-07-23,9.67,9.77,9.15,9.53,104200,9.53
2014-07-22,9.67,9.87,9.50,9.62,217500,9.62
2014-07-21,8.80,9.81,8.80,9.39,457300,9.39
2014-07-18,8.67,8.79,8.61,8.77,37000,8.77
2014-07-17,8.73,8.82,8.55,8.63,49800,8.63
2014-07-16,8.57,8.88,8.57,8.73,50300,8.73
2014-07-15,8.50,8.68,8.47,8.47,57400,8.47
2014-07-14,8.49,8.76,8.49,8.50,97800,8.50
2014-07-11,8.63,8.77,8.52,8.52,52400,8.52
2014-07-10,8.71,8.88,8.55,8.66,49500,8.66
2014-07-09,8.77,9.24,8.77,8.82,38700,8.82
2014-07-08,9.15,9.23,8.67,8.80,61700,8.80
2014-07-07,8.89,9.23,8.83,9.09,156200,9.09
2014-07-03,8.90,8.92,8.83,8.83,47000,8.83
2014-07-02,8.71,8.94,8.69,8.81,60400,8.81
2014-07-01,8.71,8.87,8.67,8.73,52800,8.73
2014-06-30,8.70,8.81,8.50,8.69,75000,8.69
2014-06-27,8.79,8.89,8.67,8.70,40400,8.70
2014-06-26,8.79,8.85,8.67,8.79,49500,8.79
2014-06-25,8.67,8.81,8.53,8.77,45500,8.77
2014-06-24,8.85,8.97,8.50,8.67,103300,8.67
2014-06-23,8.81,9.24,8.81,8.97,127600,8.79
2014-06-20,8.78,8.79,8.67,8.76,66000,8.58
2014-06-19,8.91,9.00,8.66,8.76,83200,8.58
2014-06-18,8.96,8.98,8.74,8.86,56700,8.68
2014-06-17,8.66,9.10,8.66,8.93,117700,8.75
2014-06-16,8.78,8.88,8.50,8.69,103400,8.52
2014-06-13,8.64,8.80,8.53,8.64,49900,8.47
2014-06-12,8.80,8.91,8.58,8.64,61800,8.47
