Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,5.21,5.24,5.15,5.19,70300,5.19
2014-12-30,5.16,5.16,5.13,5.13,400,5.13
2014-12-29,5.17,5.20,5.11,5.18,30500,5.18
2014-12-26,5.13,5.23,5.13,5.20,29200,5.20
2014-12-24,5.14,5.15,5.07,5.14,16400,5.14
2014-12-23,5.19,5.19,5.05,5.12,32800,5.12
2014-12-22,5.14,5.19,5.03,5.18,49700,5.18
2014-12-19,4.96,5.25,4.94,5.17,198900,5.17
2014-12-18,5.00,5.01,4.92,4.98,57900,4.98
2014-12-17,4.78,4.98,4.78,4.97,91300,4.97
2014-12-16,4.78,4.90,4.76,4.79,38700,4.79
2014-12-15,4.82,4.85,4.70,4.78,45000,4.78
2014-12-12,4.69,4.80,4.69,4.78,44300,4.78
2014-12-11,4.71,4.80,4.66,4.77,44500,4.77
2014-12-10,4.77,4.80,4.64,4.70,67200,4.70
2014-12-09,4.71,4.92,4.65,4.80,81300,4.80
2014-12-08,4.77,4.81,4.75,4.76,25600,4.76
2014-12-05,4.61,4.82,4.58,4.80,79600,4.80
2014-12-04,4.88,4.88,4.60,4.62,577800,4.62
2014-12-03,4.82,4.92,4.77,4.87,35900,4.87
2014-12-02,4.71,4.90,4.65,4.83,50800,4.83
2014-12-01,4.88,4.88,4.67,4.69,43200,4.69
2014-11-28,4.97,4.97,4.88,4.88,31000,4.88
2014-11-26,4.92,4.97,4.89,4.96,29200,4.96
2014-11-25,4.95,4.96,4.89,4.94,15000,4.94
2014-11-24,4.89,4.98,4.87,4.97,49500,4.97
2014-11-21,4.92,4.95,4.85,4.86,55200,4.86
2014-11-20,4.75,4.93,4.70,4.84,73600,4.84
2014-11-19,4.83,4.95,4.75,4.76,65000,4.76
2014-11-18,4.78,4.95,4.74,4.85,62100,4.85
2014-11-17,4.81,4.81,4.61,4.75,93700,4.75
2014-11-14,4.85,4.86,4.80,4.82,29500,4.82
2014-11-13,4.92,4.97,4.83,4.85,33600,4.85
2014-11-12,4.96,4.99,4.92,4.93,57000,4.93
2014-11-11,5.11,5.11,4.96,4.99,112700,4.99
2014-11-10,5.04,5.15,5.00,5.11,52500,5.11
2014-11-07,5.06,5.06,5.00,5.02,27100,5.02
2014-11-06,5.03,5.07,5.01,5.06,33000,5.06
2014-11-05,5.02,5.05,4.90,5.04,30200,5.04
2014-11-04,4.95,5.01,4.90,4.95,43400,4.95
2014-11-03,5.11,5.11,4.96,4.98,109600,4.98
2014-10-31,5.08,5.11,5.01,5.11,152600,5.11
2014-10-30,5.03,5.07,4.97,5.07,165100,5.07
2014-10-29,4.93,5.09,4.93,5.05,64300,5.05
