Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,10.30,10.30,10.30,10.30,000,10.30
2014-12-30,10.30,10.30,10.30,10.30,000,10.30
2014-12-29,10.30,10.30,10.30,10.30,000,10.30
2014-12-26,10.29,10.30,10.29,10.30,2000,10.30
2014-12-24,10.15,10.15,10.15,10.15,000,10.15
2014-12-23,10.18,10.18,10.18,10.18,000,10.18
2014-12-22,10.18,10.18,10.18,10.18,000,10.18
2014-12-19,10.18,10.18,10.18,10.18,000,10.18
2014-12-18,10.18,10.18,10.18,10.18,000,10.18
2014-12-17,10.18,10.18,10.18,10.18,200,10.18
2014-12-16,10.30,10.30,10.30,10.30,000,10.30
2014-12-15,10.30,10.30,10.30,10.30,000,10.30
2014-12-12,10.30,10.30,10.30,10.30,300,10.30
2014-12-11,10.20,10.20,10.20,10.20,000,10.20
2014-12-10,10.25,10.25,10.20,10.20,200,10.20
2014-12-09,10.30,10.30,10.30,10.30,000,10.30
2014-12-08,10.22,10.31,10.22,10.30,900,10.30
2014-12-05,10.06,10.23,10.06,10.23,3800,10.23
2014-12-04,10.18,10.18,10.18,10.18,1200,10.18
2014-12-03,10.09,10.09,10.09,10.09,000,10.09
2014-12-02,10.09,10.09,10.09,10.09,000,10.09
2014-12-01,10.09,10.09,10.09,10.09,000,10.09
2014-11-28,10.09,10.09,10.09,10.09,000,10.09
2014-11-26,10.09,10.09,10.09,10.09,000,10.09
2014-11-25,10.09,10.09,10.09,10.09,000,10.09
2014-11-24,10.09,10.09,10.09,10.09,000,10.09
2014-11-21,10.07,10.09,10.07,10.09,4200,10.09
2014-11-20,10.05,10.05,10.05,10.05,3200,10.05
2014-11-19,10.13,10.13,10.13,10.13,000,10.13
2014-11-18,10.13,10.13,10.13,10.13,000,10.13
2014-11-17,10.13,10.13,10.13,10.13,000,10.13
2014-11-14,10.13,10.13,10.13,10.13,000,10.13
2014-11-13,10.13,10.13,10.13,10.13,000,10.13
2014-11-12,10.13,10.13,10.13,10.13,000,10.13
2014-11-11,10.13,10.13,10.13,10.13,000,10.13
2014-11-10,10.13,10.13,10.13,10.13,000,10.13
2014-11-07,10.13,10.13,10.13,10.13,000,10.13
2014-11-06,10.13,10.13,10.13,10.13,000,10.13
2014-11-05,10.13,10.13,10.13,10.13,000,10.13
2014-11-04,10.13,10.13,10.13,10.13,000,10.13
2014-11-03,10.13,10.13,10.13,10.13,000,10.13
2014-10-31,10.13,10.13,10.13,10.13,000,10.13
2014-10-30,10.13,10.13,10.13,10.13,000,10.13
2014-10-29,10.13,10.13,10.13,10.13,000,10.13
2014-10-28,10.13,10.13,10.13,10.13,000,10.13
2014-10-27,10.13,10.13,10.13,10.13,000,10.13
2014-10-24,10.13,10.13,10.13,10.13,000,10.13
2014-10-23,10.13,10.13,10.13,10.13,000,10.13
2014-10-22,10.13,10.13,10.13,10.13,000,10.13
2014-10-21,10.13,10.13,10.13,10.13,000,10.13
2014-10-20,10.13,10.13,10.13,10.13,000,10.13
2014-10-17,10.13,10.13,10.13,10.13,000,10.13
2014-10-16,10.13,10.13,10.13,10.13,000,10.13
2014-10-15,10.13,10.13,10.13,10.13,000,10.13
2014-10-14,10.13,10.13,10.13,10.13,000,10.13
2014-10-13,10.13,10.13,10.13,10.13,000,10.13
2014-10-10,10.13,10.13,10.13,10.13,000,10.13
2014-10-09,10.09,10.13,10.09,10.13,1600,10.13
2014-10-08,10.09,10.10,10.09,10.10,800,10.10
2014-10-07,10.04,10.04,10.04,10.04,000,10.04
2014-10-06,10.10,10.11,10.04,10.04,6500,10.04
2014-10-03,10.14,10.14,10.14,10.14,000,10.14
