Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,23.68,24.71,23.27,23.51,1254700,23.51
2014-12-30,22.40,23.17,22.14,23.04,117100,23.04
2014-12-29,21.41,22.65,21.31,22.39,596100,22.39
2014-12-26,20.54,21.68,20.48,21.61,464400,21.61
2014-12-24,20.04,20.68,19.79,20.66,242100,20.66
2014-12-23,21.42,21.73,19.27,19.88,955700,19.88
2014-12-22,21.90,21.90,20.70,21.40,775900,21.40
2014-12-19,21.00,21.45,19.86,21.31,1141200,21.31
2014-12-18,19.65,20.70,19.46,20.51,1179500,20.51
2014-12-17,18.20,19.15,18.20,19.13,406000,19.13
2014-12-16,18.23,18.73,18.05,18.17,399200,18.17
2014-12-15,19.10,19.34,18.27,18.43,552900,18.43
2014-12-12,18.39,19.61,18.20,19.00,633500,19.00
2014-12-11,18.25,18.94,18.25,18.53,670800,18.53
2014-12-10,18.44,18.63,17.87,18.25,860300,18.25
2014-12-09,15.99,18.45,15.60,18.44,1388400,18.44
2014-12-08,15.00,16.21,14.95,16.06,1578200,16.06
2014-12-05,14.00,14.48,13.83,14.42,596500,14.42
2014-12-04,13.72,13.78,13.45,13.71,371700,13.71
2014-12-03,13.93,13.98,13.61,13.70,266000,13.70
2014-12-02,13.76,14.19,13.45,13.88,413400,13.88
2014-12-01,14.25,14.25,13.65,13.68,324800,13.68
2014-11-28,14.72,14.83,14.33,14.39,186600,14.39
2014-11-26,13.90,14.67,13.90,14.54,582300,14.54
2014-11-25,13.91,14.00,13.65,13.90,502400,13.90
2014-11-24,13.94,14.08,13.53,13.77,816100,13.77
2014-11-21,13.73,13.87,13.56,13.63,177300,13.63
2014-11-20,13.08,13.72,13.08,13.43,291400,13.43
2014-11-19,13.85,14.05,13.05,13.22,335000,13.22
2014-11-18,13.68,14.22,13.68,13.93,172100,13.93
2014-11-17,13.47,13.96,13.47,13.63,148300,13.63
2014-11-14,14.21,14.21,13.55,13.60,250900,13.60
2014-11-13,14.32,14.80,14.00,14.16,340400,14.16
2014-11-12,14.00,14.27,13.97,14.17,272900,14.17
2014-11-11,13.84,14.38,13.71,14.05,227000,14.05
2014-11-10,13.82,13.94,13.64,13.80,200400,13.80
2014-11-07,13.94,14.00,13.58,13.76,267000,13.76
2014-11-06,13.96,14.26,13.75,14.00,252600,14.00
2014-11-05,14.00,14.49,13.80,13.99,381800,13.99
2014-11-04,14.41,14.41,13.61,14.02,699200,14.02
2014-11-03,13.61,13.93,13.36,13.51,263100,13.51
2014-10-31,14.06,14.40,13.59,13.60,614500,13.60
2014-10-30,12.86,14.48,12.72,13.69,984700,13.69
2014-10-29,12.40,12.60,12.17,12.43,163000,12.43
2014-10-28,12.52,12.66,12.23,12.52,267500,12.52
2014-10-27,12.37,12.50,12.12,12.45,103400,12.45
2014-10-24,12.39,12.54,12.25,12.46,215700,12.46
2014-10-23,11.91,12.42,11.80,12.32,205900,12.32
2014-10-22,12.23,12.30,11.86,11.88,152600,11.88
2014-10-21,12.37,12.37,11.99,12.19,125200,12.19
2014-10-20,12.50,12.59,12.01,12.22,299500,12.22
2014-10-17,12.83,12.84,12.17,12.25,647500,12.25
2014-10-16,11.35,12.86,11.35,12.66,357000,12.66
2014-10-15,11.25,11.67,11.10,11.60,319400,11.60
2014-10-14,11.75,11.86,11.33,11.42,190600,11.42
2014-10-13,11.84,12.00,11.33,11.59,264700,11.59
2014-10-10,12.06,12.40,11.75,11.84,249200,11.84
2014-10-09,12.55,12.65,12.08,12.16,186400,12.16
2014-10-08,12.64,12.68,11.90,12.61,405000,12.61
2014-10-07,12.80,13.30,12.30,12.66,483800,12.66
2014-10-06,12.78,13.73,12.51,12.92,1144400,12.92
2014-10-03,11.85,12.65,11.68,12.49,527900,12.49
2014-10-02,11.31,11.74,11.05,11.63,445100,11.63
2014-10-01,11.02,11.52,10.86,11.35,717600,11.35
2014-09-30,10.82,11.04,10.70,10.96,377800,10.96
2014-09-29,10.47,10.85,10.35,10.80,404500,10.80
2014-09-26,10.06,11.23,10.05,10.89,633100,10.89
2014-09-25,10.08,10.08,9.75,10.00,115900,10.00
2014-09-24,9.67,10.18,9.67,10.10,130400,10.10
2014-09-23,9.94,10.02,9.67,9.71,81400,9.71
2014-09-22,9.85,10.02,9.61,9.98,183200,9.98
2014-09-19,10.22,10.39,9.90,9.92,195400,9.92
2014-09-18,10.05,10.24,9.97,10.15,81000,10.15
2014-09-17,9.91,10.15,9.74,9.96,56700,9.96
2014-09-16,9.78,10.01,9.65,9.91,108200,9.91
2014-09-15,10.00,10.00,9.68,9.79,92600,9.79
2014-09-12,10.18,10.18,9.92,10.01,94900,10.01
2014-09-11,9.93,10.22,9.87,10.17,94900,10.17
2014-09-10,9.92,10.10,9.90,10.02,121200,10.02
2014-09-09,10.26,10.26,9.93,9.95,97900,9.95
