Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,14.24,14.24,14.19,14.19,300,14.19
2014-12-30,14.03,14.03,14.03,14.03,400,14.03
2014-12-29,14.32,14.44,13.94,14.05,6800,14.05
2014-12-26,14.34,14.65,14.22,14.24,8500,14.24
2014-12-24,14.33,14.74,14.30,14.34,13800,14.34
2014-12-23,14.39,14.77,14.20,14.30,9300,14.30
2014-12-22,14.48,14.69,14.37,14.38,3200,14.38
2014-12-19,14.82,15.00,14.35,14.35,24800,14.35
2014-12-18,14.34,14.81,14.26,14.81,13700,14.81
2014-12-17,14.30,14.45,14.20,14.30,9800,14.30
2014-12-16,14.47,14.47,14.20,14.23,10100,14.23
2014-12-15,14.26,14.50,14.20,14.50,2000,14.50
2014-12-12,14.20,14.41,14.20,14.40,600,14.40
2014-12-11,14.38,14.38,14.06,14.06,800,14.06
2014-12-10,14.16,14.22,14.16,14.22,1300,14.22
2014-12-09,14.40,14.40,14.40,14.40,000,14.40
2014-12-08,14.30,14.78,14.30,14.40,1000,14.40
2014-12-05,14.62,14.78,14.60,14.78,2200,14.78
2014-12-04,14.28,14.28,14.28,14.28,000,14.28
2014-12-03,14.13,14.29,14.13,14.28,3400,14.28
2014-12-02,14.37,14.37,14.37,14.37,000,14.37
2014-12-01,14.13,14.50,14.08,14.37,14700,14.37
2014-11-28,14.33,14.33,14.17,14.17,200,14.17
2014-11-26,14.29,14.30,14.29,14.30,400,14.30
2014-11-25,14.58,14.63,14.58,14.60,1800,14.18
2014-11-24,14.83,14.83,14.61,14.61,700,14.19
2014-11-21,14.57,14.70,14.57,14.70,400,14.28
2014-11-20,14.63,14.63,14.63,14.63,200,14.21
2014-11-19,14.76,14.76,14.76,14.76,000,14.34
2014-11-18,14.77,14.77,14.76,14.76,1500,14.34
2014-11-17,14.61,14.95,14.49,14.90,13600,14.47
2014-11-14,14.87,14.87,14.87,14.87,000,14.44
2014-11-13,14.71,15.04,14.67,14.87,10700,14.44
2014-11-12,15.04,15.04,15.04,15.04,000,14.61
2014-11-11,15.04,15.04,15.04,15.04,000,14.61
2014-11-10,14.79,15.04,14.65,15.04,2300,14.61
2014-11-07,14.85,14.85,14.85,14.85,300,14.42
2014-11-06,14.71,14.71,14.71,14.71,000,14.29
2014-11-05,14.78,14.78,14.71,14.71,600,14.29
2014-11-04,14.76,14.91,14.76,14.91,500,14.48
2014-11-03,15.04,15.04,15.04,15.04,000,14.61
2014-10-31,15.11,15.23,14.88,15.04,2000,14.61
2014-10-30,15.13,15.23,14.70,15.01,2300,14.58
2014-10-29,14.63,14.68,14.63,14.68,1300,14.26
2014-10-28,15.17,15.17,14.71,14.71,4600,14.29
2014-10-27,15.00,15.00,15.00,15.00,1000,14.57
2014-10-24,14.93,15.27,14.93,15.00,2900,14.57
2014-10-23,15.04,15.04,15.04,15.04,600,14.61
2014-10-22,14.95,15.08,14.67,15.08,18300,14.65
2014-10-21,14.55,14.88,14.55,14.88,2000,14.45
2014-10-20,14.58,14.71,14.58,14.71,700,14.29
2014-10-17,14.36,14.57,14.36,14.55,2900,14.13
2014-10-16,14.50,14.57,14.50,14.57,1100,14.15
2014-10-15,14.75,14.75,14.70,14.70,1900,14.28
2014-10-14,14.65,14.96,14.65,14.67,3900,14.25
2014-10-13,14.60,14.77,14.51,14.69,1400,14.27
2014-10-10,15.01,15.01,14.77,14.77,1900,14.35
2014-10-09,15.00,15.00,14.67,14.94,2600,14.51
2014-10-08,14.93,14.93,14.67,14.79,2500,14.36
2014-10-07,14.82,14.88,14.63,14.79,5100,14.36
2014-10-06,14.85,14.85,14.67,14.78,1300,14.35
2014-10-03,14.77,14.89,14.64,14.80,2700,14.37
2014-10-02,14.78,14.78,14.78,14.78,800,14.35
2014-10-01,14.81,14.84,14.68,14.84,2200,14.41
2014-09-30,14.87,14.87,14.58,14.84,2500,14.41
2014-09-29,14.71,14.71,14.71,14.71,200,14.29
2014-09-26,14.79,14.97,14.75,14.97,2400,14.54
2014-09-25,14.96,14.97,14.81,14.97,1900,14.54
2014-09-24,14.96,14.96,14.96,14.96,300,14.53
2014-09-23,14.71,14.96,14.58,14.93,5400,14.50
2014-09-22,14.80,14.89,14.76,14.76,5800,14.34
2014-09-19,14.63,14.80,14.63,14.66,5200,14.24
2014-09-18,14.84,14.88,14.61,14.70,7100,14.28
2014-09-17,14.92,14.95,14.59,14.76,11200,14.34
2014-09-16,14.54,14.75,14.54,14.75,8900,14.33
2014-09-15,14.63,14.89,14.59,14.73,5800,14.31
2014-09-12,14.35,14.93,14.35,14.65,10600,14.23
2014-09-11,14.83,14.94,14.75,14.80,7200,14.37
2014-09-10,14.75,15.00,14.70,14.85,11200,14.42
2014-09-09,14.64,15.01,14.56,14.86,21800,14.43
2014-09-08,14.41,14.64,14.41,14.50,800,14.08
2014-09-05,14.44,14.55,14.39,14.55,3700,14.13
2014-09-04,14.50,14.61,14.45,14.57,3500,14.15
2014-09-03,14.30,14.44,14.30,14.44,1700,14.02
2014-09-02,14.38,14.63,14.34,14.61,5000,14.19
2014-08-29,14.57,14.61,14.26,14.55,3800,14.13
2014-08-28,14.34,14.48,14.30,14.36,3500,13.95
2014-08-27,14.31,14.40,14.31,14.40,1900,13.99
2014-08-26,14.50,14.50,14.50,14.50,400,14.08
2014-08-25,14.34,14.35,14.26,14.26,4700,13.85
2014-08-22,14.35,14.35,14.35,14.35,200,13.94
2014-08-21,14.16,14.34,14.16,14.32,1700,13.91
2014-08-20,14.32,14.35,14.25,14.31,2100,13.90
2014-08-19,14.35,14.35,14.26,14.35,3300,13.94
2014-08-18,14.39,14.39,14.26,14.37,1000,13.96
2014-08-15,14.59,14.59,14.32,14.37,2500,13.96
2014-08-14,14.35,14.42,14.26,14.33,4200,13.92
2014-08-13,14.34,14.47,14.27,14.36,2100,13.95
2014-08-12,14.44,14.61,14.38,14.38,1800,13.97
2014-08-11,14.45,14.61,14.39,14.61,4100,14.19
2014-08-08,14.77,14.77,14.77,14.77,300,14.35
