Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,3.69,3.69,3.50,3.50,14800,3.50
2014-12-30,3.52,3.52,3.52,3.52,100,3.52
2014-12-29,3.50,3.85,3.50,3.52,8500,3.52
2014-12-26,3.75,3.97,3.60,3.75,25700,3.75
2014-12-24,3.76,3.99,3.75,3.99,14500,3.99
2014-12-23,3.65,4.12,3.50,3.89,98300,3.89
2014-12-22,2.80,4.44,2.80,3.75,283700,3.75
2014-12-19,2.69,2.80,2.68,2.80,6300,2.80
2014-12-18,2.78,2.98,2.65,2.72,17900,2.72
2014-12-17,2.75,2.75,2.65,2.65,19400,2.65
2014-12-16,2.83,2.84,2.63,2.69,8900,2.69
2014-12-15,2.84,2.84,2.52,2.52,8300,2.52
2014-12-12,2.84,2.84,2.70,2.70,1400,2.70
2014-12-11,2.64,2.83,2.50,2.83,21900,2.83
2014-12-10,2.54,2.63,2.50,2.60,6600,2.60
2014-12-09,2.63,2.71,2.62,2.64,7700,2.64
2014-12-08,2.62,2.62,2.62,2.62,400,2.62
2014-12-05,2.89,2.89,2.89,2.89,400,2.89
2014-12-04,2.89,2.93,2.80,2.89,10400,2.89
2014-12-03,2.95,2.95,2.90,2.93,3500,2.93
2014-12-02,2.67,2.86,2.67,2.86,12800,2.86
2014-12-01,2.77,2.81,2.66,2.81,7100,2.81
2014-11-28,2.78,2.78,2.78,2.78,100,2.78
2014-11-26,2.65,2.65,2.65,2.65,300,2.65
2014-11-25,2.70,2.70,2.70,2.70,000,2.70
2014-11-24,2.72,2.72,2.70,2.70,8100,2.70
2014-11-21,2.74,2.88,2.65,2.88,7200,2.88
2014-11-20,2.70,2.89,2.62,2.67,8800,2.67
2014-11-19,2.97,2.97,2.76,2.76,6300,2.76
2014-11-18,2.96,3.08,2.80,2.80,23300,2.80
2014-11-17,3.00,3.00,2.96,2.96,7700,2.96
2014-11-14,3.02,3.02,3.00,3.00,3900,3.00
2014-11-13,3.00,3.05,2.92,3.04,6600,3.04
2014-11-12,3.12,3.14,3.08,3.08,3100,3.08
2014-11-11,3.06,3.06,3.00,3.00,4500,3.00
2014-11-10,3.25,3.28,3.12,3.12,3800,3.12
2014-11-07,3.12,3.30,3.03,3.30,3300,3.30
2014-11-06,3.33,3.33,3.16,3.18,49300,3.18
2014-11-05,3.19,3.53,3.03,3.33,56400,3.33
2014-11-04,3.20,3.21,3.19,3.19,10400,3.19
2014-11-03,3.36,3.36,3.30,3.30,3000,3.30
2014-10-31,3.22,3.26,3.22,3.26,1000,3.26
2014-10-30,3.07,3.21,2.95,3.18,7700,3.18
2014-10-29,2.90,3.08,2.90,3.08,700,3.08
2014-10-28,3.43,3.43,2.91,2.91,11900,2.91
2014-10-27,3.40,3.40,3.35,3.40,2000,3.40
2014-10-24,3.38,3.40,3.10,3.40,7300,3.40
2014-10-23,3.10,3.42,3.05,3.42,8900,3.42
2014-10-22,3.06,3.09,3.06,3.09,1300,3.09
2014-10-21,3.01,3.12,3.00,3.08,5400,3.08
2014-10-20,3.23,3.23,3.10,3.10,3300,3.10
2014-10-17,3.06,3.22,3.06,3.17,6700,3.17
2014-10-16,3.15,3.20,3.10,3.10,2300,3.10
2014-10-15,3.31,3.31,3.00,3.01,4900,3.01
2014-10-14,3.37,3.43,3.32,3.32,7200,3.32
2014-10-13,3.45,3.46,3.36,3.36,10400,3.36
2014-10-10,3.55,3.55,3.40,3.43,14400,3.43
2014-10-09,3.74,3.74,3.58,3.58,11300,3.58
2014-10-08,3.87,3.87,3.66,3.68,2300,3.68
2014-10-07,3.78,3.90,3.76,3.90,7200,3.90
2014-10-06,3.59,3.90,3.55,3.85,22700,3.85
2014-10-03,3.35,3.47,3.32,3.46,1200,3.46
2014-10-02,3.60,3.65,3.31,3.31,9900,3.31
2014-10-01,3.64,3.65,3.50,3.50,3400,3.50
2014-09-30,3.50,3.86,3.50,3.85,10700,3.85
2014-09-29,3.80,3.80,3.30,3.31,18600,3.31
2014-09-26,4.00,4.00,3.81,3.99,3700,3.99
2014-09-25,3.90,4.00,3.90,3.90,3800,3.90
2014-09-24,4.20,4.20,3.70,4.10,7600,4.10
2014-09-23,4.17,4.25,4.17,4.18,7100,4.18
2014-09-22,4.21,4.41,4.17,4.17,8000,4.17
2014-09-19,4.85,4.85,4.21,4.31,1800,4.31
2014-09-18,4.85,4.85,4.10,4.19,9500,4.19
2014-09-17,4.26,4.80,4.05,4.45,16300,4.45
2014-09-16,5.02,5.20,4.08,4.20,9000,4.20
2014-09-15,4.65,4.70,4.30,4.35,2500,4.35
2014-09-12,5.25,5.50,5.20,5.21,1700,5.21
