Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,8.32,8.43,8.26,8.33,186800,8.33
2014-12-30,8.37,8.37,8.22,8.22,2700,8.22
2014-12-29,8.52,8.66,8.39,8.44,183700,8.44
2014-12-26,8.54,8.79,8.54,8.69,87900,8.69
2014-12-24,8.60,8.75,8.54,8.58,97700,8.58
2014-12-23,8.85,8.90,8.67,8.75,232600,8.75
2014-12-22,8.74,9.09,8.63,8.94,339200,8.94
2014-12-19,8.46,9.05,8.16,8.83,1532800,8.83
2014-12-18,8.28,8.62,8.04,8.45,401100,8.45
2014-12-17,8.07,8.13,7.90,8.01,213900,8.01
2014-12-16,7.89,8.23,7.88,7.98,172600,7.98
2014-12-15,8.40,8.52,7.85,7.99,262800,7.99
2014-12-12,8.06,8.38,8.06,8.27,131800,8.27
2014-12-11,8.21,8.45,7.99,8.13,117600,8.13
2014-12-10,8.40,8.50,8.20,8.24,120800,8.24
2014-12-09,8.14,8.65,8.03,8.39,230100,8.39
2014-12-08,8.10,8.83,8.10,8.33,492100,8.33
2014-12-05,7.50,8.23,7.31,8.05,499200,8.05
2014-12-04,6.94,7.45,6.93,7.40,237500,7.40
2014-12-03,6.73,6.97,6.73,6.84,83100,6.84
2014-12-02,6.91,6.91,6.73,6.75,166400,6.75
2014-12-01,6.81,6.84,6.49,6.67,251000,6.67
2014-11-28,7.10,7.25,6.92,6.97,72200,6.97
2014-11-26,7.10,7.14,6.93,7.08,99600,7.08
2014-11-25,7.03,7.13,6.91,7.10,180300,7.10
2014-11-24,7.05,7.27,7.05,7.07,178200,7.07
2014-11-21,7.08,7.30,6.85,7.17,270400,7.17
2014-11-20,6.70,7.16,6.65,7.10,279000,7.10
2014-11-19,6.50,6.83,6.43,6.70,222000,6.70
2014-11-18,6.46,6.57,6.27,6.48,252300,6.48
2014-11-17,6.48,6.65,6.40,6.44,109500,6.44
2014-11-14,6.60,6.65,6.35,6.55,172700,6.55
2014-11-13,6.71,6.85,6.61,6.62,131200,6.62
2014-11-12,6.71,6.88,6.52,6.83,251300,6.83
2014-11-11,6.92,6.95,6.77,6.84,188300,6.84
2014-11-10,7.02,7.20,6.98,7.01,146700,7.01
2014-11-07,7.13,7.18,6.99,7.13,113700,7.13
2014-11-06,7.04,7.17,6.95,7.11,260900,7.11
2014-11-05,7.14,7.26,6.95,7.04,127200,7.04
2014-11-04,7.28,7.40,7.21,7.25,82400,7.25
2014-11-03,7.27,7.53,7.20,7.40,211700,7.40
2014-10-31,7.52,7.77,6.93,7.14,327300,7.14
2014-10-30,7.44,7.55,7.30,7.49,197100,7.49
2014-10-29,7.93,7.96,7.30,7.46,377800,7.46
2014-10-28,7.89,8.17,7.81,8.12,160600,8.12
2014-10-27,7.78,8.06,7.76,7.91,113100,7.91
2014-10-24,7.89,8.02,7.76,7.79,62400,7.79
2014-10-23,7.79,8.02,7.71,7.89,111100,7.89
2014-10-22,7.79,7.88,7.64,7.67,65900,7.67
2014-10-21,7.75,7.89,7.66,7.83,85500,7.83
2014-10-20,7.59,7.89,7.59,7.70,97800,7.70
2014-10-17,8.14,8.20,7.75,7.79,66500,7.79
