Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,11.50,11.50,11.37,11.45,45700,11.45
2014-12-30,11.50,11.56,11.44,11.49,23700,11.49
2014-12-29,11.50,11.50,11.41,11.49,37800,11.49
2014-12-26,11.40,11.50,11.40,11.48,15900,11.48
2014-12-24,11.47,11.47,11.32,11.36,9000,11.36
2014-12-23,11.31,11.50,11.31,11.43,37500,11.43
2014-12-22,11.33,11.50,11.33,11.48,29400,11.48
2014-12-19,11.19,11.50,11.19,11.36,380100,11.36
2014-12-18,11.14,11.34,10.90,11.23,62100,11.23
2014-12-17,10.94,11.10,10.84,11.07,73700,11.07
2014-12-16,10.98,11.19,10.02,10.95,42900,10.95
2014-12-15,11.21,11.23,10.92,10.96,41000,10.96
2014-12-12,11.36,11.36,11.10,11.17,48300,11.17
2014-12-11,11.41,11.46,11.34,11.43,19600,11.43
2014-12-10,11.40,11.50,11.37,11.38,51400,11.38
2014-12-09,11.17,11.46,11.15,11.46,32000,11.46
2014-12-08,11.36,11.40,11.18,11.26,36100,11.26
2014-12-05,11.14,11.41,11.14,11.35,31400,11.35
2014-12-04,11.20,11.34,11.10,11.16,20300,11.16
2014-12-03,11.25,11.29,11.16,11.18,32000,11.18
2014-12-02,11.21,11.30,11.19,11.28,33500,11.28
2014-12-01,11.22,11.34,11.17,11.23,26200,11.23
2014-11-28,11.26,11.45,11.19,11.20,30900,11.20
2014-11-26,11.26,11.30,11.20,11.30,54900,11.30
2014-11-25,11.32,11.40,11.19,11.22,22700,11.22
2014-11-24,11.31,11.36,11.19,11.29,18700,11.29
2014-11-21,11.37,11.39,11.16,11.22,45200,11.22
2014-11-20,11.06,11.28,11.05,11.25,19200,11.25
2014-11-19,11.35,11.40,11.10,11.11,16700,11.11
2014-11-18,11.42,11.49,11.24,11.40,52800,11.40
2014-11-17,11.36,11.50,11.28,11.36,43600,11.36
2014-11-14,11.38,11.45,11.37,11.39,28900,11.39
2014-11-13,11.40,11.42,11.36,11.40,46800,11.40
2014-11-12,11.32,11.40,11.32,11.40,26300,11.40
2014-11-11,11.35,11.40,11.31,11.38,35100,11.38
2014-11-10,11.35,11.35,11.24,11.35,33800,11.35
2014-11-07,11.32,11.35,11.14,11.35,62300,11.35
2014-11-06,11.27,11.34,11.27,11.30,46400,11.30
2014-11-05,11.35,11.37,11.32,11.34,42200,11.29
2014-11-04,11.30,11.35,11.29,11.34,24200,11.29
2014-11-03,11.35,11.35,11.32,11.35,39500,11.30
2014-10-31,11.34,11.35,11.24,11.34,83300,11.29
2014-10-30,11.14,11.25,11.14,11.19,64300,11.14
2014-10-29,11.19,11.22,11.15,11.20,48000,11.15
2014-10-28,11.18,11.23,11.12,11.21,73000,11.16
2014-10-27,11.11,11.21,10.96,11.12,30700,11.07
2014-10-24,11.20,11.20,11.11,11.17,47800,11.12
2014-10-23,11.10,11.20,11.10,11.16,54900,11.11
2014-10-22,11.10,11.14,11.01,11.05,42400,11.00
2014-10-21,11.10,11.15,11.01,11.12,67100,11.07
2014-10-20,10.99,11.10,10.99,11.09,86100,11.04
2014-10-17,11.08,11.10,11.00,11.05,76500,11.00
2014-10-16,10.82,11.05,10.82,11.04,98200,10.99
2014-10-15,10.80,10.94,10.80,10.93,87500,10.88
