Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,27.50,27.87,27.50,27.66,4700,27.66
2014-12-30,27.80,28.00,27.80,27.82,800,27.82
2014-12-29,28.26,28.26,27.77,27.81,1800,27.81
2014-12-26,28.30,28.30,28.10,28.30,2000,28.30
2014-12-24,27.65,28.10,27.56,27.64,3200,27.64
2014-12-23,27.56,28.27,27.56,28.00,1400,28.00
2014-12-22,28.07,28.07,27.40,27.46,7100,27.46
2014-12-19,28.26,28.30,27.38,27.38,13900,27.38
2014-12-18,28.30,28.30,27.90,27.93,2800,27.93
2014-12-17,28.28,28.30,27.90,28.00,1800,28.00
2014-12-16,28.28,28.30,28.00,28.30,2900,28.04
2014-12-15,28.27,28.30,28.25,28.25,700,27.99
2014-12-12,28.30,28.30,28.14,28.14,400,27.88
2014-12-11,28.28,28.30,28.00,28.14,1100,27.88
2014-12-10,27.93,28.00,27.91,28.00,2000,27.74
2014-12-09,27.96,28.30,27.90,28.30,1500,28.04
2014-12-08,28.26,28.29,27.91,27.96,1600,27.70
2014-12-05,27.96,28.30,27.96,27.97,1500,27.71
2014-12-04,28.26,28.28,27.75,27.75,500,27.50
2014-12-03,27.76,28.29,27.76,28.28,500,28.02
2014-12-02,27.56,28.29,27.56,28.18,600,27.92
2014-12-01,27.85,28.26,27.77,28.26,1100,28.00
2014-11-28,28.29,28.29,28.29,28.29,000,28.03
2014-11-26,28.29,28.29,28.29,28.29,000,28.03
2014-11-25,28.30,28.30,28.09,28.29,3200,28.03
2014-11-24,28.40,28.40,28.20,28.20,2100,27.94
2014-11-21,28.46,28.46,28.43,28.43,500,28.17
2014-11-20,28.20,28.45,28.20,28.20,600,27.94
2014-11-19,28.20,28.45,28.20,28.20,3000,27.94
2014-11-18,28.46,28.47,28.25,28.45,2800,28.19
2014-11-17,28.49,28.49,28.20,28.46,1600,28.20
2014-11-14,28.32,28.49,28.32,28.35,1400,28.09
2014-11-13,28.27,28.27,28.27,28.27,000,28.01
2014-11-12,28.27,28.27,28.27,28.27,000,28.01
2014-11-11,28.21,28.27,28.21,28.27,400,28.01
2014-11-10,28.21,28.21,28.21,28.21,000,27.95
2014-11-07,28.21,28.33,28.20,28.21,3600,27.95
2014-11-06,28.20,28.35,28.20,28.35,1000,28.09
2014-11-05,28.25,28.50,28.23,28.23,800,27.97
2014-11-04,28.20,28.39,28.06,28.06,1700,27.80
2014-11-03,28.34,28.48,28.23,28.23,400,27.97
2014-10-31,28.50,28.50,28.25,28.25,2800,27.99
2014-10-30,28.40,28.40,28.40,28.40,200,28.14
2014-10-29,28.18,28.48,28.04,28.48,3000,28.22
2014-10-28,28.00,28.25,28.00,28.18,10800,27.92
2014-10-27,28.07,28.42,28.00,28.00,1900,27.74
2014-10-24,28.39,28.50,28.07,28.10,2900,27.84
2014-10-23,28.30,30.70,28.15,28.15,6500,27.89
2014-10-22,28.00,28.84,28.00,28.03,1000,27.77
2014-10-21,28.20,28.45,28.02,28.06,1400,27.80
2014-10-20,28.00,28.87,28.00,28.33,3200,28.07
2014-10-17,28.87,29.44,28.87,29.44,1400,29.17
2014-10-16,28.94,28.95,28.01,28.14,1100,27.88
2014-10-15,28.06,28.06,28.06,28.06,100,27.80
2014-10-14,28.30,28.30,28.03,28.06,600,27.80
2014-10-13,28.21,28.29,28.00,28.04,1600,27.78
2014-10-10,28.03,28.30,28.00,28.02,1500,27.76
2014-10-09,28.28,28.30,28.04,28.04,1100,27.78
2014-10-08,28.00,28.27,28.00,28.02,1300,27.76
2014-10-07,28.57,28.57,28.10,28.10,400,27.84
2014-10-06,28.20,28.86,28.14,28.20,5500,27.94
2014-10-03,28.61,28.92,28.06,28.06,1400,27.80
2014-10-02,28.80,28.85,28.80,28.85,200,28.58
2014-10-01,29.24,29.24,28.00,28.00,2300,27.74
2014-09-30,28.06,28.56,28.06,28.09,2700,27.83
2014-09-29,28.81,30.10,28.79,28.82,3000,28.56
2014-09-26,29.22,30.10,29.07,29.36,1500,29.09
2014-09-25,30.25,30.25,28.06,29.12,600,28.85
2014-09-24,28.02,28.61,28.00,28.21,4700,27.95
2014-09-23,28.02,28.49,28.00,28.18,5400,27.92
2014-09-22,28.07,28.07,28.07,28.07,100,27.81
2014-09-19,28.14,28.49,28.11,28.49,2700,28.23
2014-09-18,28.39,28.41,28.21,28.21,2600,27.95
2014-09-17,28.05,28.49,28.05,28.30,4600,28.04
2014-09-16,27.95,28.25,27.76,28.05,9300,27.79
2014-09-15,28.01,28.21,28.01,28.05,1100,27.79
2014-09-12,28.49,28.50,28.16,28.23,600,27.71
2014-09-11,28.12,28.50,28.12,28.40,1100,27.88
2014-09-10,28.30,28.50,28.30,28.40,3400,27.88
2014-09-09,28.30,28.30,28.15,28.25,2200,27.73
2014-09-08,28.40,28.40,28.30,28.37,1700,27.85
2014-09-05,28.36,28.40,28.25,28.26,1000,27.74
2014-09-04,28.21,28.50,28.21,28.29,5200,27.77
2014-09-03,28.10,28.58,28.10,28.18,1100,27.66
2014-09-02,28.15,28.70,28.05,28.26,1200,27.74
2014-08-29,28.69,28.69,28.01,28.01,900,27.50
2014-08-28,28.75,28.75,28.02,28.04,3800,27.53
2014-08-27,28.02,28.74,28.02,28.41,1100,27.89
2014-08-26,28.38,28.41,28.19,28.41,500,27.89
2014-08-25,28.48,28.75,28.24,28.37,2000,27.85
2014-08-22,28.45,28.50,27.60,28.21,2300,27.69
2014-08-21,27.57,28.73,27.57,27.84,15500,27.33
2014-08-20,27.80,27.80,27.55,27.57,3800,27.07
2014-08-19,27.85,27.85,27.50,27.54,700,27.04
2014-08-18,27.84,27.88,27.37,27.37,1100,26.87
2014-08-15,27.38,27.38,27.26,27.26,2000,26.76
2014-08-14,27.44,27.76,27.01,27.21,12500,26.71
2014-08-13,27.21,27.50,27.00,27.00,2300,26.51
2014-08-12,27.01,27.60,27.00,27.00,2500,26.51
2014-08-11,27.01,27.01,27.01,27.01,600,26.52
2014-08-08,27.03,27.58,27.02,27.09,2400,26.59
2014-08-07,27.29,27.90,27.00,27.06,9600,26.56
2014-08-06,27.51,28.00,27.00,27.48,7200,26.98
2014-08-05,27.25,27.28,27.00,27.01,6200,26.52
2014-08-04,27.20,28.23,27.03,27.03,2100,26.54
