Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,21.06,21.28,20.85,20.86,26200,20.86
2014-12-30,20.83,21.09,20.79,21.02,30500,21.02
2014-12-29,21.50,21.57,21.02,21.09,21200,21.09
2014-12-26,21.41,21.75,21.00,21.67,21500,21.67
2014-12-24,21.20,21.47,21.20,21.41,4800,21.41
2014-12-23,21.03,21.23,20.95,21.22,37500,21.22
2014-12-22,20.57,21.04,20.33,20.94,13700,20.94
2014-12-19,20.41,21.03,20.00,20.61,83400,20.61
2014-12-18,20.80,20.80,20.21,20.39,28200,20.39
2014-12-17,20.13,20.78,20.13,20.70,38900,20.70
2014-12-16,19.93,20.39,19.90,20.00,152600,20.00
2014-12-15,20.14,20.28,20.00,20.10,37600,20.10
2014-12-12,20.00,20.46,19.34,20.16,80000,20.16
2014-12-11,21.37,21.48,20.10,20.19,85300,20.19
2014-12-10,22.05,22.19,21.37,21.49,34000,21.49
2014-12-09,21.95,22.28,21.79,22.20,27900,22.20
2014-12-08,22.73,22.73,21.96,22.06,61800,22.06
2014-12-05,22.52,22.86,22.26,22.63,22200,22.63
2014-12-04,22.67,22.67,21.93,22.51,33000,22.51
2014-12-03,22.47,22.92,22.04,22.70,33700,22.70
2014-12-02,21.97,22.75,21.90,22.63,38700,22.63
2014-12-01,21.95,22.27,21.90,22.02,35100,22.02
2014-11-28,22.31,22.54,22.00,22.01,18000,22.01
2014-11-26,21.88,22.31,21.88,22.30,23500,22.30
2014-11-25,22.06,22.06,21.59,21.82,24000,21.82
2014-11-24,21.59,22.42,21.59,21.88,34600,21.88
2014-11-21,22.00,22.75,21.48,21.73,37800,21.73
2014-11-20,21.07,21.86,20.75,21.75,29500,21.75
2014-11-19,21.52,21.59,20.27,21.10,76400,21.10
2014-11-18,21.28,21.87,21.28,21.65,58700,21.65
2014-11-17,22.25,22.25,21.38,21.55,54600,21.55
2014-11-14,22.57,22.57,22.20,22.26,46100,22.26
2014-11-13,23.50,23.50,22.78,22.89,52300,22.56
2014-11-12,22.90,23.72,22.90,23.51,49800,23.18
2014-11-11,23.16,23.22,22.59,22.91,47200,22.58
2014-11-10,24.50,24.50,23.00,23.37,74800,23.04
2014-11-07,24.31,24.74,23.51,24.48,40200,24.13
