Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,0.80,0.80,0.80,0.80,1100,0.80
2014-12-30,0.80,0.80,0.80,0.80,500,0.80
2014-12-29,0.88,0.88,0.79,0.80,22400,0.80
2014-12-26,0.87,0.88,0.87,0.88,500,0.88
2014-12-24,0.83,0.83,0.83,0.83,000,0.83
2014-12-23,0.85,0.85,0.85,0.85,200,0.85
2014-12-22,0.83,0.88,0.80,0.88,3700,0.88
2014-12-19,0.92,0.99,0.90,0.90,2600,0.90
2014-12-18,0.81,0.81,0.81,0.81,000,0.81
2014-12-17,0.88,0.88,0.81,0.81,1600,0.81
2014-12-16,0.80,0.80,0.78,0.78,3300,0.78
2014-12-15,0.80,0.80,0.79,0.79,2000,0.79
2014-12-12,0.80,0.80,0.80,0.80,100,0.80
2014-12-11,0.80,0.80,0.80,0.80,400,0.80
2014-12-10,0.70,0.88,0.70,0.80,4400,0.80
2014-12-09,0.70,0.70,0.70,0.70,1000,0.70
2014-12-08,0.70,0.70,0.70,0.70,1700,0.70
2014-12-05,0.70,0.70,0.70,0.70,500,0.70
2014-12-04,0.70,0.70,0.69,0.69,600,0.69
2014-12-03,0.65,0.65,0.65,0.65,000,0.65
2014-12-02,0.65,0.65,0.65,0.65,000,0.65
2014-12-01,0.65,0.65,0.65,0.65,000,0.65
2014-11-28,0.65,0.65,0.65,0.65,000,0.65
2014-11-26,0.65,0.65,0.65,0.65,000,0.65
2014-11-25,0.65,0.65,0.65,0.65,000,0.65
2014-11-24,0.65,0.65,0.65,0.65,200,0.65
2014-11-21,0.68,0.68,0.58,0.58,600,0.58
2014-11-20,0.69,0.69,0.69,0.69,200,0.69
2014-11-19,0.70,0.70,0.66,0.67,4600,0.67
2014-11-18,0.80,0.80,0.80,0.80,200,0.80
2014-11-17,0.72,0.72,0.72,0.72,000,0.72
2014-11-14,0.70,0.72,0.70,0.72,6400,0.72
2014-11-13,0.80,0.80,0.80,0.80,000,0.80
