Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,6.02,6.10,5.84,5.95,163700,5.95
2014-12-30,6.06,6.09,6.00,6.06,4900,6.06
2014-12-29,5.96,6.09,5.96,5.99,55000,5.99
2014-12-26,6.00,6.07,5.89,5.94,39700,5.94
2014-12-24,5.96,6.14,5.89,5.90,28800,5.90
2014-12-23,6.01,6.07,5.80,5.97,46000,5.97
2014-12-22,6.16,6.41,6.01,6.02,78300,6.02
2014-12-19,6.14,6.23,5.98,6.17,271100,6.17
2014-12-18,6.17,6.31,6.10,6.14,72000,6.14
2014-12-17,5.90,6.23,5.90,6.11,111700,6.11
2014-12-16,6.02,6.16,5.80,5.91,44400,5.91
2014-12-15,6.25,6.50,5.94,6.00,89700,6.00
2014-12-12,6.19,6.35,6.06,6.22,78000,6.22
2014-12-11,6.14,6.66,6.10,6.21,177700,6.21
2014-12-10,6.13,6.14,6.00,6.09,52500,6.09
2014-12-09,6.13,6.26,6.04,6.13,77700,6.13
2014-12-08,6.19,6.25,5.97,6.14,118800,6.14
2014-12-05,6.02,6.36,6.02,6.18,80700,6.18
2014-12-04,6.01,6.45,5.94,6.01,85200,6.01
2014-12-03,6.23,6.38,6.00,6.05,110100,6.05
2014-12-02,6.47,6.74,6.19,6.20,86800,6.20
2014-12-01,6.72,6.72,6.43,6.49,139700,6.49
2014-11-28,6.70,6.79,6.70,6.76,14800,6.76
2014-11-26,6.56,6.75,6.50,6.68,110200,6.68
2014-11-25,6.67,6.72,6.50,6.63,65300,6.63
2014-11-24,6.45,6.71,6.41,6.62,86100,6.62
2014-11-21,6.42,6.49,6.30,6.35,66300,6.35
2014-11-20,6.07,6.45,6.06,6.40,123600,6.40
2014-11-19,5.80,6.16,5.77,6.07,173400,6.07
2014-11-18,5.51,5.65,5.51,5.55,192100,5.55
2014-11-17,5.58,5.66,5.52,5.52,194700,5.52
2014-11-14,5.87,5.98,5.50,5.66,157600,5.66
2014-11-13,5.92,5.97,5.67,5.78,108300,5.78
2014-11-12,6.13,6.19,5.96,5.97,73300,5.97
2014-11-11,7.00,7.00,5.91,6.14,132300,6.14
2014-11-10,6.78,6.99,6.49,6.77,65800,6.77
2014-11-07,6.57,6.95,6.48,6.75,67200,6.75
2014-11-06,6.31,6.67,6.29,6.55,57300,6.55
2014-11-05,6.59,6.59,6.25,6.28,74700,6.28
2014-11-04,6.25,6.54,6.25,6.52,101300,6.52
2014-11-03,5.92,6.22,5.90,6.21,66600,6.21
