Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,4.25,4.32,4.16,4.23,578400,4.23
2014-12-30,4.20,4.33,4.17,4.21,64100,4.21
2014-12-29,4.21,4.26,4.14,4.24,631400,4.24
2014-12-26,4.16,4.21,4.07,4.20,445700,4.20
2014-12-24,4.23,4.38,4.11,4.11,364200,4.11
2014-12-23,4.11,4.27,4.05,4.24,670400,4.24
2014-12-22,4.29,4.34,4.09,4.09,787000,4.09
2014-12-19,4.25,4.36,4.16,4.29,1820000,4.29
2014-12-18,4.20,4.28,4.10,4.26,1434200,4.26
2014-12-17,3.82,4.16,3.78,4.12,2133500,4.12
2014-12-16,3.85,3.90,3.74,3.78,1451200,3.78
2014-12-15,3.88,4.03,3.82,3.85,1736800,3.85
2014-12-12,3.77,3.96,3.71,3.87,1093100,3.87
2014-12-11,3.65,3.96,3.63,3.84,1996200,3.84
2014-12-10,3.70,3.79,3.59,3.62,1298100,3.62
2014-12-09,3.63,3.78,3.60,3.73,1162700,3.73
2014-12-08,3.80,3.81,3.64,3.68,1249200,3.68
2014-12-05,3.71,3.86,3.68,3.80,926800,3.80
2014-12-04,3.80,3.80,3.65,3.72,945600,3.72
2014-12-03,3.82,3.92,3.77,3.81,1560500,3.81
2014-12-02,3.77,3.79,3.67,3.78,1098500,3.78
2014-12-01,3.98,3.99,3.73,3.75,1178800,3.75
2014-11-28,4.11,4.11,3.97,3.99,775600,3.99
2014-11-26,3.92,4.10,3.89,4.08,1441900,4.08
2014-11-25,3.98,4.07,3.83,3.91,1289800,3.91
2014-11-24,3.80,4.17,3.76,3.98,3149500,3.98
2014-11-21,3.76,3.84,3.70,3.77,1166400,3.77
2014-11-20,3.63,3.85,3.58,3.69,2970400,3.69
2014-11-19,3.54,3.70,3.42,3.68,1913500,3.68
2014-11-18,3.53,3.63,3.51,3.55,1330600,3.55
2014-11-17,3.64,3.91,3.50,3.54,1553700,3.54
2014-11-14,3.34,3.68,3.32,3.66,2333800,3.66
2014-11-13,3.33,3.36,3.20,3.33,2257900,3.33
2014-11-12,3.33,3.39,3.27,3.35,1332300,3.35
2014-11-11,3.20,3.39,2.88,3.33,9064100,3.33
2014-11-10,3.42,3.59,3.27,3.29,2295000,3.29
2014-11-07,3.30,3.41,3.27,3.41,1295500,3.41
2014-11-06,3.39,3.45,3.30,3.31,1102100,3.31
2014-11-05,3.48,3.49,3.36,3.41,1557400,3.41
2014-11-04,3.64,3.66,3.43,3.44,1577800,3.44
2014-11-03,3.86,3.87,3.63,3.67,1184700,3.67
2014-10-31,3.74,3.88,3.62,3.86,2945500,3.86
2014-10-30,3.75,3.80,3.57,3.62,2009700,3.62
2014-10-29,3.87,3.90,3.72,3.77,1334100,3.77
2014-10-28,3.73,3.94,3.68,3.88,1926500,3.88
2014-10-27,3.82,3.88,3.69,3.70,1610000,3.70
2014-10-24,3.81,3.89,3.76,3.85,984500,3.85
2014-10-23,3.82,3.88,3.73,3.79,1675000,3.79
2014-10-22,3.90,3.92,3.76,3.76,1994800,3.76
2014-10-21,3.83,3.93,3.75,3.88,2983400,3.88
2014-10-20,3.70,3.87,3.68,3.80,2844300,3.80
2014-10-17,3.65,3.86,3.63,3.70,2856900,3.70
2014-10-16,3.25,3.59,3.25,3.57,2333500,3.57
2014-10-15,3.11,3.31,3.10,3.29,7917600,3.29
2014-10-14,3.07,3.20,3.02,3.17,5399400,3.17
2014-10-13,3.12,3.19,3.03,3.04,2344900,3.04
2014-10-10,3.34,3.40,3.11,3.11,1778700,3.11
2014-10-09,3.48,3.52,3.32,3.37,2507900,3.37
2014-10-08,3.39,3.51,3.34,3.50,1557800,3.50
2014-10-07,3.39,3.44,3.35,3.40,3037900,3.40
2014-10-06,3.52,3.59,3.37,3.42,4068400,3.42
2014-10-03,3.64,3.85,3.49,3.51,2320100,3.51
2014-10-02,3.82,3.87,3.51,3.58,2707700,3.58
2014-10-01,4.03,4.07,3.79,3.83,1946600,3.83
2014-09-30,4.04,4.13,3.98,4.03,3097900,4.03
2014-09-29,4.02,4.11,3.97,4.05,2579200,4.05
2014-09-26,4.06,4.11,4.01,4.09,1232100,4.09
2014-09-25,4.04,4.08,3.98,4.05,3146200,4.05
2014-09-24,4.07,4.10,4.01,4.05,1294700,4.05
2014-09-23,4.10,4.21,4.01,4.08,4159900,4.08
2014-09-22,4.18,4.20,4.08,4.11,3096900,4.11
2014-09-19,4.35,4.42,4.13,4.21,3256800,4.21
2014-09-18,4.31,4.44,4.29,4.35,2432200,4.35
2014-09-17,3.97,4.41,3.95,4.31,3979700,4.31
2014-09-16,4.08,4.12,3.81,3.96,9022100,3.96
2014-09-15,4.11,4.17,4.01,4.09,3746200,4.09
2014-09-12,4.18,4.18,4.10,4.13,2120800,4.13
2014-09-11,4.08,4.20,4.06,4.16,4039100,4.16
2014-09-10,4.19,4.20,4.12,4.12,2040800,4.12
2014-09-09,4.24,4.30,4.16,4.19,2667900,4.19
2014-09-08,4.28,4.40,4.23,4.26,2279500,4.26
2014-09-05,4.40,4.45,4.26,4.31,4670300,4.31
2014-09-04,4.39,4.53,4.30,4.39,6239200,4.39
2014-09-03,4.49,4.58,4.31,4.38,4510500,4.38
2014-09-02,4.61,4.63,4.37,4.45,1801700,4.45
2014-08-29,4.68,4.70,4.53,4.59,2021500,4.59
2014-08-28,4.74,4.80,4.58,4.68,1954900,4.68
2014-08-27,4.68,4.81,4.64,4.77,3293800,4.77
2014-08-26,4.64,4.70,4.55,4.67,2848200,4.67
2014-08-25,4.82,5.01,4.61,4.63,4090000,4.63
2014-08-22,4.79,4.92,4.71,4.80,1543700,4.80
2014-08-21,4.96,5.00,4.70,4.78,2534600,4.78
2014-08-20,4.67,5.07,4.63,4.96,7376600,4.96
2014-08-19,4.76,4.84,4.68,4.68,2131400,4.68
2014-08-18,4.70,4.87,4.66,4.74,2638800,4.74
2014-08-15,4.70,4.80,4.56,4.66,2536700,4.66
2014-08-14,4.57,4.92,4.57,4.64,4187000,4.64
2014-08-13,4.33,4.64,4.33,4.58,3434100,4.58
2014-08-12,4.21,4.49,4.20,4.29,3339200,4.29
2014-08-11,4.53,4.70,4.22,4.22,2928700,4.22
2014-08-08,4.25,4.67,4.15,4.48,4460500,4.48
2014-08-07,4.64,4.81,4.15,4.24,4814900,4.24
2014-08-06,5.06,5.16,4.41,4.63,5881100,4.63
2014-08-05,5.29,5.34,5.03,5.17,2758000,5.17
2014-08-04,5.11,5.32,5.10,5.31,1942600,5.31
2014-08-01,5.18,5.20,4.98,5.08,2091000,5.08
2014-07-31,5.34,5.43,5.18,5.18,1474100,5.18
2014-07-30,5.30,5.42,5.22,5.42,1611600,5.42
2014-07-29,5.24,5.33,5.24,5.25,1683100,5.25
2014-07-28,5.45,5.52,5.23,5.25,2062600,5.25
2014-07-25,5.57,5.68,5.44,5.45,1483500,5.45
2014-07-24,5.67,5.89,5.58,5.60,2757000,5.60
2014-07-23,5.80,5.87,5.64,5.67,1880800,5.67
2014-07-22,5.80,6.02,5.77,5.80,2917800,5.80
2014-07-21,5.96,5.97,5.69,5.73,3362100,5.73
2014-07-18,5.97,6.01,5.91,5.99,2815000,5.99
2014-07-17,6.09,6.24,5.93,5.99,1184800,5.99
2014-07-16,6.15,6.21,6.05,6.13,963600,6.13
2014-07-15,6.25,6.30,6.04,6.09,1286900,6.09
2014-07-14,6.27,6.40,6.19,6.22,770200,6.22
2014-07-11,6.13,6.28,6.12,6.22,713100,6.22
2014-07-10,6.05,6.23,6.02,6.13,1071100,6.13
2014-07-09,6.17,6.29,6.16,6.17,873800,6.17
2014-07-08,6.40,6.41,6.08,6.13,1263900,6.13
2014-07-07,6.59,6.59,6.39,6.44,974300,6.44
2014-07-03,6.59,6.62,6.51,6.60,550700,6.60
2014-07-02,6.56,6.66,6.53,6.56,964900,6.56
2014-07-01,6.61,6.69,6.54,6.57,2207200,6.57
2014-06-30,6.60,6.75,6.52,6.59,1511400,6.59
2014-06-27,6.47,6.70,6.46,6.60,6988400,6.60
2014-06-26,6.40,6.61,6.37,6.53,2375400,6.53
2014-06-25,6.23,6.64,6.15,6.38,2735400,6.38
2014-06-24,6.55,6.66,6.26,6.30,2132800,6.30
2014-06-23,6.67,6.77,6.43,6.59,4036400,6.59
2014-06-20,6.54,6.70,6.47,6.67,2604500,6.67
2014-06-19,6.59,6.68,6.49,6.67,1453200,6.67
2014-06-18,6.38,6.58,6.30,6.54,996400,6.54
2014-06-17,6.23,6.46,6.15,6.36,2708900,6.36
2014-06-16,6.26,6.35,6.19,6.25,1594500,6.25
2014-06-13,6.34,6.42,6.17,6.25,784500,6.25
2014-06-12,6.40,6.46,6.31,6.31,1179600,6.31
2014-06-11,6.54,6.61,6.42,6.45,784300,6.45
2014-06-10,6.56,6.59,6.38,6.56,807300,6.56
2014-06-09,6.58,6.62,6.50,6.60,753800,6.60
2014-06-06,6.66,6.72,6.57,6.59,857000,6.59
2014-06-05,6.44,6.82,6.36,6.61,1947300,6.61
2014-06-04,6.32,6.52,6.29,6.43,2302600,6.43
2014-06-03,6.29,6.53,6.18,6.39,3277300,6.39
