Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,13.15,13.93,13.00,13.32,170700,13.32
2014-12-30,11.91,13.17,11.66,13.13,11100,13.13
2014-12-29,11.96,12.31,11.72,11.83,138000,11.83
2014-12-26,11.81,12.22,11.47,11.72,65000,11.72
2014-12-24,11.63,12.22,11.27,11.76,50000,11.76
2014-12-23,12.30,12.31,11.61,11.65,92000,11.65
2014-12-22,12.71,13.12,12.14,12.31,238000,12.31
2014-12-19,12.07,13.05,11.80,12.72,634100,12.72
2014-12-18,12.39,12.50,11.81,12.00,242400,12.00
2014-12-17,10.71,12.71,10.71,12.25,719800,12.25
2014-12-16,10.48,11.02,10.48,10.58,162500,10.58
2014-12-15,11.32,11.56,10.31,10.47,288500,10.47
2014-12-12,11.08,11.67,10.78,11.22,110700,11.22
2014-12-11,11.34,11.52,11.05,11.19,163500,11.19
2014-12-10,12.04,12.38,10.63,11.36,238000,11.36
2014-12-09,12.11,12.25,11.74,12.18,200000,12.18
2014-12-08,12.22,12.52,12.11,12.19,125700,12.19
2014-12-05,12.30,12.81,11.94,12.28,394000,12.28
2014-12-04,12.60,13.15,12.25,12.30,158100,12.30
2014-12-03,13.15,13.24,12.60,12.69,99400,12.69
2014-12-02,12.70,13.41,12.67,13.15,222000,13.15
2014-12-01,12.60,12.79,12.45,12.61,116900,12.61
2014-11-28,12.72,12.84,12.50,12.60,41100,12.60
2014-11-26,12.52,12.78,12.38,12.68,58200,12.68
2014-11-25,12.77,12.93,12.42,12.55,180700,12.55
2014-11-24,12.92,13.11,12.62,12.76,148000,12.76
2014-11-21,13.03,13.14,12.74,12.96,61100,12.96
2014-11-20,12.73,12.94,12.37,12.87,329500,12.87
2014-11-19,12.37,12.95,12.12,12.81,191900,12.81
2014-11-18,12.69,13.25,12.60,13.07,69000,13.07
2014-11-17,12.94,13.00,12.38,12.61,65800,12.61
2014-11-14,13.23,13.23,12.67,13.04,91400,13.04
2014-11-13,12.95,13.61,12.95,13.24,124400,13.24
2014-11-12,12.31,13.43,12.31,12.83,169700,12.83
2014-11-11,13.39,13.57,13.09,13.20,73400,13.20
2014-11-10,13.03,13.70,13.03,13.37,93300,13.37
2014-11-07,14.44,14.44,12.53,13.10,247700,13.10
2014-11-06,14.29,14.56,14.20,14.38,77100,14.38
2014-11-05,14.68,15.03,14.05,14.36,155200,14.36
2014-11-04,14.74,14.90,14.36,14.62,112200,14.62
2014-11-03,14.68,15.00,14.67,14.80,99300,14.80
2014-10-31,14.90,15.32,14.20,14.63,216500,14.63
2014-10-30,14.72,14.99,14.29,14.64,114900,14.64
2014-10-29,13.80,14.80,13.80,14.61,163400,14.61
2014-10-28,13.80,13.98,13.67,13.84,60200,13.84
2014-10-27,13.75,13.97,13.56,13.76,51800,13.76
2014-10-24,13.76,14.03,13.67,13.78,40000,13.78
2014-10-23,13.65,14.48,13.32,13.76,109700,13.76
2014-10-22,13.60,13.62,13.28,13.56,76600,13.56
2014-10-21,13.68,13.68,13.44,13.56,47100,13.56
2014-10-20,13.28,13.88,13.13,13.56,53700,13.56
2014-10-17,13.32,13.68,12.66,13.43,78900,13.43
2014-10-16,12.91,13.66,12.01,13.05,60900,13.05
2014-10-15,12.12,13.39,11.55,13.18,106600,13.18
2014-10-14,12.13,12.48,11.92,12.39,238600,12.39
2014-10-13,12.48,12.53,11.85,11.96,151700,11.96
2014-10-10,12.93,13.02,12.28,12.42,117800,12.42
2014-10-09,13.68,13.68,12.89,13.00,62100,13.00
2014-10-08,12.88,14.06,12.88,13.76,128100,13.76
2014-10-07,12.91,13.17,12.51,13.02,143200,13.02
2014-10-06,13.84,13.98,12.86,13.00,120600,13.00
2014-10-03,13.80,14.50,13.30,13.84,192900,13.84
2014-10-02,13.08,13.80,12.82,13.74,86500,13.74
2014-10-01,12.65,13.28,12.58,13.16,113900,13.16
2014-09-30,13.46,13.46,12.20,12.61,236200,12.61
