Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,1.12,1.14,1.12,1.12,90100,1.12
2014-12-30,1.13,1.13,1.12,1.12,200,1.12
2014-12-29,1.19,1.24,1.06,1.12,246800,1.12
2014-12-26,1.20,1.24,1.13,1.20,55100,1.20
2014-12-24,1.16,1.25,1.15,1.17,187200,1.17
2014-12-23,1.10,1.14,1.10,1.10,54200,1.10
2014-12-22,1.10,1.15,1.10,1.10,89200,1.10
2014-12-19,1.14,1.19,1.08,1.11,202000,1.11
2014-12-18,1.13,1.19,1.11,1.17,39600,1.17
2014-12-17,1.11,1.16,1.10,1.15,113600,1.15
2014-12-16,1.16,1.20,1.08,1.12,104900,1.12
2014-12-15,1.24,1.26,1.17,1.19,131300,1.19
2014-12-12,1.25,1.27,1.20,1.21,45000,1.21
2014-12-11,1.25,1.29,1.25,1.25,27500,1.25
2014-12-10,1.30,1.30,1.26,1.27,47100,1.27
2014-12-09,1.30,1.35,1.29,1.31,56900,1.31
2014-12-08,1.32,1.40,1.28,1.33,107900,1.33
2014-12-05,1.29,1.41,1.29,1.37,454700,1.37
2014-12-04,1.27,1.30,1.27,1.29,56300,1.29
2014-12-03,1.30,1.30,1.28,1.30,42800,1.30
2014-12-02,1.30,1.30,1.26,1.28,38100,1.28
2014-12-01,1.29,1.34,1.27,1.29,18900,1.29
2014-11-28,1.33,1.33,1.24,1.27,60100,1.27
2014-11-26,1.28,1.30,1.27,1.27,13800,1.27
2014-11-25,1.28,1.35,1.26,1.27,129600,1.27
2014-11-24,1.36,1.38,1.35,1.35,78900,1.35
2014-11-21,1.40,1.41,1.36,1.38,95500,1.38
2014-11-20,1.35,1.43,1.35,1.41,92300,1.41
2014-11-19,1.31,1.35,1.31,1.35,5900,1.35
2014-11-18,1.35,1.38,1.29,1.35,71300,1.35
2014-11-17,1.34,1.38,1.32,1.37,59600,1.37
2014-11-14,1.32,1.39,1.32,1.35,75300,1.35
2014-11-13,1.32,1.37,1.30,1.33,64000,1.33
2014-11-12,1.38,1.39,1.31,1.35,106900,1.35
2014-11-11,1.35,1.39,1.31,1.36,51900,1.36
2014-11-10,1.39,1.39,1.30,1.30,42400,1.30
2014-11-07,1.36,1.45,1.29,1.40,108200,1.40
2014-11-06,1.41,1.44,1.33,1.39,178300,1.39
2014-11-05,1.25,1.43,1.25,1.37,806200,1.37
2014-11-04,1.26,1.27,1.19,1.25,91400,1.25
2014-11-03,1.21,1.27,1.20,1.21,22000,1.21
2014-10-31,1.20,1.24,1.17,1.22,140000,1.22
2014-10-30,1.23,1.28,1.20,1.20,25400,1.20
2014-10-29,1.21,1.25,1.20,1.25,20500,1.25
2014-10-28,1.22,1.25,1.19,1.24,48800,1.24
2014-10-27,1.21,1.25,1.21,1.24,24300,1.24
2014-10-24,1.21,1.25,1.21,1.21,135300,1.21
2014-10-23,1.23,1.27,1.21,1.21,38100,1.21
2014-10-22,1.30,1.30,1.22,1.24,14400,1.24
2014-10-21,1.20,1.29,1.20,1.28,11700,1.28
2014-10-20,1.24,1.29,1.20,1.21,34100,1.21
2014-10-17,1.24,1.29,1.24,1.26,12000,1.26
2014-10-16,1.29,1.29,1.19,1.26,7800,1.26
2014-10-15,1.19,1.26,1.18,1.25,152600,1.25
2014-10-14,1.18,1.34,1.17,1.24,117600,1.24
2014-10-13,1.30,1.30,1.17,1.25,76700,1.25
2014-10-10,1.29,1.30,1.15,1.29,236900,1.29
2014-10-09,1.37,1.37,1.27,1.29,20500,1.29
2014-10-08,1.28,1.38,1.26,1.34,77700,1.34
2014-10-07,1.30,1.32,1.26,1.28,39100,1.28
2014-10-06,1.31,1.31,1.28,1.30,32400,1.30
