Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,9.04,9.24,8.93,9.01,38100,9.01
2014-12-30,8.89,9.10,8.89,9.05,20500,9.05
2014-12-29,9.15,9.25,8.88,9.10,106700,9.10
2014-12-26,8.84,9.15,8.84,8.97,52100,8.97
2014-12-24,8.65,8.90,8.65,8.90,14800,8.90
2014-12-23,9.00,9.00,8.10,8.75,63000,8.75
2014-12-22,9.20,9.20,8.75,9.06,117900,9.06
2014-12-19,8.90,9.12,8.90,9.12,155300,9.12
2014-12-18,8.78,9.14,8.75,9.09,130900,9.09
2014-12-17,8.72,9.00,8.50,8.88,79200,8.88
2014-12-16,8.63,9.20,8.50,8.86,129400,8.86
2014-12-15,8.78,9.15,8.67,9.00,278400,9.00
2014-12-12,9.25,9.42,8.50,8.80,3331300,8.80
