Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,45.20,45.40,44.45,44.54,256800,44.54
2014-12-30,45.00,45.32,44.67,44.95,117700,44.95
2014-12-29,44.68,45.50,44.68,45.02,166700,45.02
2014-12-26,44.76,45.21,44.57,44.84,283200,44.84
2014-12-24,45.38,45.55,44.75,44.76,87000,44.76
2014-12-23,45.32,45.87,44.68,45.38,162800,45.38
2014-12-22,44.50,45.02,44.46,44.99,130100,44.99
2014-12-19,44.88,44.96,43.84,44.47,429100,44.47
2014-12-18,45.15,45.40,44.67,44.86,424000,44.86
2014-12-17,44.50,45.41,44.30,45.12,553800,45.12
2014-12-16,43.79,43.97,43.08,43.33,432000,43.33
2014-12-15,44.04,44.51,43.52,43.86,313200,43.86
2014-12-12,44.06,44.75,44.01,44.05,274700,44.05
2014-12-11,44.54,45.45,44.44,44.67,173600,44.67
2014-12-10,44.44,45.23,44.22,44.42,188900,44.42
2014-12-09,44.00,45.01,43.70,44.49,265500,44.49
2014-12-08,44.74,44.95,44.07,44.40,178400,44.40
2014-12-05,44.37,44.84,44.29,44.60,154600,44.60
2014-12-04,44.93,45.25,44.14,44.37,150200,44.37
2014-12-03,44.49,45.17,44.35,44.87,274800,44.87
2014-12-02,43.84,44.49,43.26,44.44,170300,44.44
2014-12-01,44.81,45.06,43.62,43.66,298300,43.66
2014-11-28,44.64,45.51,44.42,45.05,113700,45.05
2014-11-26,44.19,44.65,44.19,44.40,165300,44.40
2014-11-25,44.48,44.99,44.03,44.31,305300,44.31
2014-11-24,43.27,44.58,43.27,44.54,293600,44.54
2014-11-21,43.81,44.21,43.27,43.31,232900,43.31
2014-11-20,43.50,43.87,42.94,43.31,657800,43.31
2014-11-19,42.30,43.84,41.77,43.67,658200,43.67
2014-11-18,41.26,41.87,41.26,41.65,925500,41.65
2014-11-17,41.13,41.58,40.99,41.45,437500,41.30
2014-11-14,40.96,41.28,40.83,41.14,485800,40.99
2014-11-13,40.83,41.18,40.59,41.01,371000,40.86
2014-11-12,40.75,41.00,40.38,40.82,299100,40.67
2014-11-11,40.56,42.55,40.48,40.76,324600,40.61
2014-11-10,40.55,40.70,40.28,40.59,264600,40.44
2014-11-07,40.56,40.80,40.17,40.41,269600,40.26
2014-11-06,40.11,40.31,39.42,40.14,285300,39.99
2014-11-05,39.38,40.20,39.25,40.01,240300,39.87
2014-11-04,39.24,39.46,38.73,39.13,367300,38.99
2014-11-03,38.75,39.56,38.55,39.47,364500,39.33
2014-10-31,39.00,39.62,38.07,38.54,990000,38.40
2014-10-30,37.29,37.53,36.55,37.38,269400,37.24
2014-10-29,36.19,37.43,35.98,37.32,247100,37.18
2014-10-28,35.97,36.16,35.62,35.99,282100,35.86
2014-10-27,35.68,36.18,35.41,36.14,152300,36.01
2014-10-24,36.01,36.02,35.73,35.95,134800,35.82
2014-10-23,36.12,36.84,35.81,35.94,213800,35.81
2014-10-22,35.66,36.66,35.66,35.89,228600,35.76
2014-10-21,35.55,35.82,35.21,35.65,356700,35.52
2014-10-20,35.01,35.50,34.89,35.29,206400,35.16
2014-10-17,35.60,35.72,34.93,35.20,276000,35.07
2014-10-16,34.67,35.26,34.42,35.10,349300,34.97
2014-10-15,35.16,35.48,34.25,35.13,227600,35.00
2014-10-14,35.33,35.94,35.33,35.65,192000,35.52
2014-10-13,35.68,35.94,35.01,35.06,308700,34.93
2014-10-10,35.42,36.09,35.42,35.82,355500,35.69
2014-10-09,35.92,36.30,35.45,35.52,215900,35.39
2014-10-08,35.80,36.22,35.62,35.97,370300,35.84
2014-10-07,36.42,36.52,35.84,35.90,143100,35.77
2014-10-06,37.12,37.16,36.44,36.45,134400,36.32
2014-10-03,36.95,37.37,36.57,36.88,241100,36.75
2014-10-02,35.32,36.65,35.00,36.64,133900,36.51
2014-10-01,35.94,35.94,35.23,35.42,116600,35.29
2014-09-30,35.57,36.02,35.14,35.78,155200,35.65
2014-09-29,36.75,37.45,35.48,35.62,201000,35.49
2014-09-26,72.88,74.73,72.11,74.27,112600,37.00
2014-09-25,73.75,73.75,72.45,72.70,81600,36.22
2014-09-24,73.63,74.15,72.81,73.75,142400,36.74
2014-09-23,73.88,74.47,73.47,73.73,100000,36.73
2014-09-22,74.77,74.87,73.21,74.01,127400,36.87
2014-09-19,76.73,76.73,74.88,74.90,139200,37.31
2014-09-18,75.85,76.38,75.51,76.24,73800,37.98
2014-09-17,76.37,76.87,75.34,75.61,104400,37.67
2014-09-16,75.06,76.44,74.38,76.24,111200,37.98
2014-09-15,75.72,75.87,74.82,75.31,109000,37.52
2014-09-12,76.20,76.64,75.55,75.97,85800,37.85
2014-09-11,76.10,76.59,75.98,76.52,121400,38.12
2014-09-10,76.21,76.46,75.22,76.43,94000,38.08
2014-09-09,77.32,77.32,76.01,76.10,155600,37.91
2014-09-08,76.80,77.59,76.80,77.47,87800,38.59
2014-09-05,76.38,77.20,76.00,77.11,130400,38.42
2014-09-04,76.18,77.21,76.18,76.87,102400,38.30
2014-09-03,76.79,77.08,76.07,76.14,75600,37.93
2014-09-02,76.38,76.78,75.86,76.53,115400,38.13
2014-08-29,76.53,76.70,75.85,76.16,89600,37.94
2014-08-28,76.87,77.47,76.13,76.65,68200,38.19
2014-08-27,77.83,77.91,76.97,77.27,146800,38.50
2014-08-26,78.14,78.19,77.62,78.00,110600,38.86
2014-08-25,78.57,78.66,77.87,78.14,178400,38.93
2014-08-22,78.29,78.44,77.93,77.97,164000,38.84
2014-08-21,78.90,78.90,78.00,78.42,133800,39.07
2014-08-20,78.90,79.38,78.44,78.79,133800,39.25
2014-08-19,77.92,79.07,77.55,78.93,312800,39.32
2014-08-18,75.30,77.95,75.15,77.62,242200,38.67
2014-08-15,75.76,75.98,73.50,74.27,120800,37.00
2014-08-14,75.23,75.81,75.13,75.22,87000,37.47
2014-08-13,75.05,75.46,74.71,75.06,168200,37.39
2014-08-12,75.07,75.56,74.38,74.70,192600,37.21
2014-08-11,74.85,76.36,74.32,75.25,131600,37.35
2014-08-08,74.56,75.00,74.02,74.56,193600,37.01
2014-08-07,75.36,75.70,74.18,74.31,85600,36.88
2014-08-06,74.62,75.30,74.01,74.98,149400,37.22
2014-08-05,74.20,75.17,74.18,74.92,175400,37.19
2014-08-04,74.65,75.18,74.50,74.92,128000,37.19
2014-08-01,74.76,75.39,73.81,74.45,143800,36.95
2014-07-31,76.07,77.46,74.66,74.76,212200,37.11
2014-07-30,77.66,78.82,76.32,77.00,284000,38.22
2014-07-29,77.80,79.12,76.26,77.40,536000,38.42
2014-07-28,76.14,77.61,75.27,77.14,232000,38.29
2014-07-25,78.33,82.25,74.67,75.78,856800,37.61
2014-07-24,82.57,83.67,82.23,83.25,227800,41.32
2014-07-23,81.98,82.49,81.62,82.27,219800,40.83
2014-07-22,80.84,82.40,80.63,82.22,124600,40.81
2014-07-21,79.64,81.01,79.41,80.41,188400,39.91
2014-07-18,79.83,81.12,79.81,80.65,315800,40.03
2014-07-17,80.19,80.79,79.37,80.00,141600,39.71
2014-07-16,81.01,81.01,80.02,80.29,380400,39.85
2014-07-15,82.03,82.15,80.55,80.69,100200,40.05
2014-07-14,82.08,82.27,81.46,81.73,63800,40.57
2014-07-11,82.30,82.95,81.10,81.60,116800,40.50
2014-07-10,83.14,83.94,82.14,82.55,240800,40.97
2014-07-09,84.34,85.33,83.90,84.19,100800,41.79
2014-07-08,84.32,84.73,83.42,84.19,103000,41.79
2014-07-07,85.12,85.38,84.24,84.53,74200,41.96
2014-07-03,84.10,85.27,84.10,85.19,60600,42.28
2014-07-02,83.87,84.71,83.15,84.07,150800,41.73
2014-07-01,82.70,84.42,82.10,83.99,203200,41.69
2014-06-30,82.31,82.80,81.44,82.65,132200,41.02
2014-06-27,82.33,83.54,82.18,82.25,649200,40.82
2014-06-26,82.66,83.10,82.18,82.92,102800,41.16
2014-06-25,83.15,83.78,82.45,82.87,151000,41.13
2014-06-24,84.14,85.01,83.12,83.32,169000,41.35
2014-06-23,84.32,84.63,83.43,84.01,100200,41.70
2014-06-20,84.00,84.34,83.41,84.20,154000,41.79
2014-06-19,84.24,84.47,82.75,83.90,76400,41.64
2014-06-18,84.42,84.42,83.34,83.94,115800,41.66
2014-06-17,83.41,84.81,82.57,84.30,75800,41.84
2014-06-16,82.81,83.66,82.81,83.25,92400,41.32
2014-06-13,83.56,83.95,82.45,83.06,125000,41.23
2014-06-12,84.12,84.12,82.67,83.21,65400,41.30
2014-06-11,85.42,85.50,84.20,84.42,61200,41.90
2014-06-10,85.72,85.86,85.27,85.85,60600,42.61
2014-06-09,85.37,85.86,85.25,85.86,163000,42.62
2014-06-06,85.86,85.89,84.62,85.12,136800,42.25
2014-06-05,84.53,85.90,83.91,85.51,191400,42.44
2014-06-04,84.05,86.99,83.84,84.78,86600,42.08
2014-06-03,83.88,84.64,83.75,84.22,125800,41.80
2014-06-02,83.51,84.19,82.55,84.02,93600,41.70
2014-05-30,83.64,84.09,83.13,83.57,159600,41.48
2014-05-29,83.90,83.97,83.43,83.66,67400,41.52
2014-05-28,84.40,85.43,83.73,83.96,116200,41.67
2014-05-27,84.18,85.00,84.00,84.81,100600,42.09
2014-05-23,82.96,83.59,82.65,83.51,116800,41.45
2014-05-22,83.04,84.03,82.58,83.59,142800,41.49
2014-05-21,83.97,83.97,82.51,82.69,182600,41.04
2014-05-20,84.09,84.09,82.50,83.60,306800,41.49
2014-05-19,83.87,84.89,83.87,84.57,66000,41.98
2014-05-16,83.61,84.39,83.50,83.96,123200,41.67
2014-05-15,84.25,84.25,82.30,83.61,122600,41.50
2014-05-14,85.71,85.71,84.36,84.75,136600,42.06
2014-05-13,85.42,86.31,85.42,85.75,189000,42.56
2014-05-12,85.02,86.40,84.47,85.69,201000,42.39
2014-05-09,83.95,85.24,83.88,84.89,140600,42.00
2014-05-08,84.00,85.59,83.70,84.32,195200,41.71
2014-05-07,84.58,84.78,82.52,84.28,203000,41.69
2014-05-06,85.54,86.80,84.63,84.92,204000,42.01
2014-05-05,84.97,86.87,84.51,85.50,224400,42.30
2014-05-02,85.96,86.99,85.29,86.49,542800,42.79
2014-05-01,83.01,86.32,82.94,86.12,416600,42.60
2014-04-30,87.00,89.96,85.15,85.98,944400,42.54
2014-04-29,79.57,82.22,79.02,81.94,211600,40.54
2014-04-28,80.20,80.45,77.44,79.65,210200,39.40
2014-04-25,80.84,81.91,79.33,80.20,197800,39.68
2014-04-24,82.91,82.91,80.94,81.10,170400,40.12
2014-04-23,82.50,83.83,82.29,82.64,210400,40.88
2014-04-22,81.66,83.08,81.44,82.36,212400,40.74
2014-04-21,81.68,82.49,80.97,81.55,49200,40.34
