Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,0.98,0.98,0.91,0.93,6000,0.93
2014-12-30,1.02,1.02,1.02,1.02,000,1.02
2014-12-29,1.03,1.04,0.87,1.03,12000,1.03
2014-12-26,0.99,1.03,0.99,1.03,2100,1.03
2014-12-24,0.89,0.89,0.89,0.89,1000,0.89
2014-12-23,0.93,0.93,0.93,0.93,2500,0.93
2014-12-22,1.01,1.01,0.85,0.95,4000,0.95
2014-12-19,1.01,1.01,1.01,1.01,200,1.01
2014-12-18,0.94,0.99,0.94,0.99,8000,0.99
2014-12-17,0.92,0.92,0.92,0.92,000,0.92
2014-12-16,0.91,0.92,0.86,0.92,3800,0.92
2014-12-15,0.99,1.05,0.82,0.91,20400,0.91
2014-12-12,1.05,1.06,1.00,1.00,20000,1.00
2014-12-11,1.00,1.00,1.00,1.00,300,1.00
2014-12-10,1.00,1.00,0.98,0.98,2600,0.98
2014-12-09,1.06,1.06,1.04,1.04,4900,1.04
2014-12-08,1.05,1.05,1.05,1.05,300,1.05
2014-12-05,0.99,1.00,0.96,0.96,500,0.96
2014-12-04,1.06,1.06,0.96,0.97,6800,0.97
2014-12-03,1.04,1.04,1.00,1.00,10700,1.00
2014-12-02,1.06,1.06,1.04,1.04,5100,1.04
2014-12-01,1.06,1.06,1.04,1.05,1400,1.05
2014-11-28,1.01,1.09,0.97,1.00,24400,1.00
2014-11-26,1.08,1.14,0.96,0.96,57900,0.96
2014-11-25,1.03,1.03,0.97,0.97,11000,0.97
2014-11-24,0.97,0.97,0.97,0.97,000,0.97
2014-11-21,0.99,1.05,0.96,0.97,46300,0.97
2014-11-20,0.96,1.04,0.92,0.92,52200,0.92
2014-11-19,0.88,0.98,0.88,0.96,15100,0.96
2014-11-18,0.94,0.94,0.86,0.92,1400,0.92
2014-11-17,0.96,0.96,0.79,0.86,17200,0.86
2014-11-14,0.77,0.96,0.77,0.93,45100,0.93
2014-11-13,0.82,0.82,0.77,0.77,7500,0.77
2014-11-12,0.84,0.84,0.80,0.80,1700,0.80
2014-11-11,0.80,0.80,0.80,0.80,400,0.80
2014-11-10,0.85,0.85,0.80,0.80,400,0.80
2014-11-07,0.82,0.87,0.81,0.85,1800,0.85
2014-11-06,0.83,0.83,0.79,0.80,7500,0.80
2014-11-05,0.91,0.94,0.76,0.78,45700,0.78
2014-11-04,0.94,0.95,0.85,0.85,4600,0.85
2014-11-03,0.92,0.95,0.92,0.92,900,0.92
2014-10-31,0.98,1.02,0.89,0.92,19700,0.92
2014-10-30,0.98,1.03,0.96,1.03,26700,1.03
2014-10-29,1.00,1.04,0.99,1.04,20400,1.04
2014-10-28,0.86,1.03,0.82,1.02,45300,1.02
2014-10-27,0.91,0.92,0.78,0.91,17200,0.91
2014-10-24,0.91,0.93,0.89,0.89,7400,0.89
2014-10-23,0.90,0.90,0.90,0.90,000,0.90
2014-10-22,0.90,0.90,0.90,0.90,000,0.90
2014-10-21,0.90,0.90,0.90,0.90,000,0.90
2014-10-20,0.86,0.90,0.86,0.90,1100,0.90
2014-10-17,0.84,0.84,0.84,0.84,1900,0.84
2014-10-16,0.75,0.75,0.75,0.75,000,0.75
2014-10-15,0.73,0.82,0.73,0.75,4500,0.75
2014-10-14,0.86,0.86,0.86,0.86,000,0.86
2014-10-13,0.89,0.91,0.86,0.86,8300,0.86
2014-10-10,0.86,0.86,0.86,0.86,000,0.86
2014-10-09,0.86,0.86,0.86,0.86,1200,0.86
2014-10-08,0.92,0.92,0.92,0.92,000,0.92
2014-10-07,0.92,0.92,0.92,0.92,000,0.92
2014-10-06,0.92,0.92,0.92,0.92,000,0.92
2014-10-03,0.92,0.92,0.92,0.92,000,0.92
2014-10-02,0.92,0.92,0.92,0.92,000,0.92
2014-10-01,0.92,0.92,0.92,0.92,000,0.92
2014-09-30,0.92,0.92,0.92,0.92,000,0.92
2014-09-29,0.90,0.93,0.90,0.92,2600,0.92
2014-09-26,0.91,0.91,0.90,0.90,5300,0.90
2014-09-25,0.93,0.93,0.93,0.93,000,0.93
2014-09-24,0.93,0.93,0.93,0.93,000,0.93
2014-09-23,0.93,0.93,0.93,0.93,000,0.93
2014-09-22,0.91,0.94,0.90,0.93,2000,0.93
2014-09-19,0.95,0.95,0.95,0.95,000,0.95
2014-09-18,0.97,0.97,0.95,0.95,500,0.95
2014-09-17,0.92,0.92,0.92,0.92,000,0.92
2014-09-16,0.91,0.94,0.90,0.92,4200,0.92
2014-09-15,0.92,0.92,0.90,0.90,3200,0.90
2014-09-12,0.93,0.95,0.93,0.95,1100,0.95
2014-09-11,0.93,0.95,0.93,0.95,300,0.95
2014-09-10,0.93,0.95,0.93,0.95,700,0.95
2014-09-09,0.92,0.96,0.92,0.95,400,0.95
2014-09-08,0.95,0.96,0.95,0.96,3300,0.96
2014-09-05,0.95,0.95,0.95,0.95,000,0.95
2014-09-04,0.95,0.95,0.95,0.95,000,0.95
2014-09-03,0.95,0.95,0.95,0.95,000,0.95
2014-09-02,0.91,0.95,0.91,0.95,2100,0.95
2014-08-29,0.92,0.95,0.92,0.92,2200,0.92
2014-08-28,0.92,0.92,0.92,0.92,2000,0.92
2014-08-27,0.92,0.92,0.92,0.92,10900,0.92
2014-08-26,0.96,0.96,0.95,0.95,700,0.95
2014-08-25,0.90,0.90,0.90,0.90,200,0.90
2014-08-22,0.92,0.92,0.92,0.92,000,0.92
2014-08-21,0.95,0.95,0.91,0.92,1200,0.92
2014-08-20,0.95,0.95,0.95,0.95,300,0.95
2014-08-19,0.95,0.95,0.91,0.94,7200,0.94
2014-08-18,0.95,0.95,0.95,0.95,000,0.95
2014-08-15,0.94,0.95,0.92,0.95,11800,0.95
2014-08-14,0.94,0.95,0.88,0.92,5400,0.92
2014-08-13,0.93,0.94,0.87,0.93,19300,0.93
2014-08-12,0.92,0.92,0.86,0.90,45300,0.90
2014-08-11,0.94,0.94,0.92,0.92,2900,0.92
2014-08-08,0.94,0.94,0.94,0.94,200,0.94
2014-08-07,0.95,0.95,0.95,0.95,200,0.95
2014-08-06,0.91,0.95,0.90,0.90,1000,0.90
2014-08-05,0.96,0.96,0.92,0.92,1600,0.92
2014-08-04,0.94,0.94,0.94,0.94,1500,0.94
2014-08-01,0.95,0.95,0.95,0.95,100,0.95
2014-07-31,0.97,0.97,0.97,0.97,000,0.97
2014-07-30,0.98,0.98,0.97,0.97,4900,0.97
2014-07-29,0.99,1.01,0.97,0.97,9800,0.97
2014-07-28,1.00,1.00,0.95,0.96,4300,0.96
2014-07-25,0.95,1.01,0.94,0.96,45300,0.96
2014-07-24,1.00,1.00,0.94,0.95,1200,0.95
2014-07-23,0.99,1.00,0.94,0.97,85100,0.97
2014-07-22,0.96,1.02,0.92,0.95,158000,0.95
2014-07-21,0.95,0.99,0.90,0.95,158400,0.95
2014-07-18,0.95,0.95,0.95,0.95,100,0.95
2014-07-17,0.95,0.95,0.95,0.95,100,0.95
2014-07-16,0.95,0.95,0.91,0.95,1500,0.95
2014-07-15,0.95,0.95,0.95,0.95,100,0.95
2014-07-14,0.92,0.95,0.92,0.95,500,0.95
2014-07-11,0.93,0.93,0.90,0.91,8700,0.91
2014-07-10,0.93,0.95,0.92,0.93,7400,0.93
2014-07-09,0.95,0.95,0.91,0.93,4100,0.93
2014-07-08,0.95,0.95,0.95,0.95,400,0.95
2014-07-07,0.97,0.97,0.91,0.94,19000,0.94
2014-07-03,1.01,1.01,1.01,1.01,000,1.01
2014-07-02,1.01,1.01,1.01,1.01,000,1.01
2014-07-01,1.01,1.01,1.01,1.01,1000,1.01
2014-06-30,1.03,1.03,0.98,1.01,6100,1.01
2014-06-27,1.02,1.03,1.02,1.03,3400,1.03
2014-06-26,1.04,1.10,1.01,1.03,4700,1.03
2014-06-25,1.04,1.14,1.00,1.13,12500,1.13
2014-06-24,1.04,1.05,1.04,1.05,1000,1.05
2014-06-23,1.00,1.00,1.00,1.00,600,1.00
2014-06-20,0.95,1.08,0.95,1.00,29700,1.00
2014-06-19,0.95,1.09,0.95,1.08,46400,1.08
2014-06-18,1.00,1.01,1.00,1.01,20500,1.01
2014-06-17,0.93,1.02,0.93,0.96,7600,0.96
2014-06-16,0.99,1.00,0.92,1.00,26200,1.00
2014-06-13,1.05,1.05,1.00,1.00,700,1.00
2014-06-12,0.97,0.99,0.95,0.95,3500,0.95
2014-06-11,0.91,0.96,0.90,0.96,2800,0.96
2014-06-10,0.95,0.96,0.95,0.95,1000,0.95
2014-06-09,0.94,0.95,0.94,0.95,200,0.95
2014-06-06,0.93,0.97,0.93,0.97,18200,0.97
2014-06-05,0.93,0.93,0.91,0.91,2400,0.91
2014-06-04,0.92,0.92,0.92,0.92,000,0.92
2014-06-03,0.91,0.92,0.88,0.92,2600,0.92
2014-06-02,0.88,0.91,0.88,0.91,600,0.91
2014-05-30,0.94,0.94,0.94,0.94,000,0.94
2014-05-29,0.94,0.94,0.94,0.94,000,0.94
2014-05-28,0.94,0.94,0.87,0.94,5500,0.94
2014-05-27,0.96,0.96,0.87,0.94,10700,0.94
2014-05-23,1.03,1.03,1.03,1.03,000,1.03
2014-05-22,1.03,1.03,1.03,1.03,000,1.03
2014-05-21,1.03,1.03,1.03,1.03,2400,1.03
2014-05-20,1.03,1.03,1.03,1.03,000,1.03
2014-05-19,1.03,1.03,1.03,1.03,000,1.03
