Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,7.77,8.03,7.60,8.00,1022200,7.80
2014-12-30,7.69,7.87,7.69,7.82,591500,7.63
2014-12-29,7.78,7.87,7.67,7.80,630400,7.61
2014-12-26,7.81,7.89,7.71,7.81,293200,7.62
2014-12-24,7.83,7.88,7.70,7.81,306100,7.62
2014-12-23,7.86,7.89,7.66,7.86,427700,7.67
2014-12-22,7.83,7.89,7.62,7.82,476800,7.63
2014-12-19,7.75,7.85,7.53,7.83,3232600,7.64
2014-12-18,7.87,8.08,7.50,7.67,1080000,7.48
2014-12-17,7.10,7.72,7.08,7.69,804000,7.50
2014-12-16,7.01,7.39,6.90,7.12,890300,6.95
2014-12-15,7.43,7.57,7.09,7.10,984200,6.93
2014-12-12,7.03,7.34,6.98,7.31,952100,7.13
2014-12-11,6.80,7.23,6.80,7.15,992200,6.97
2014-12-10,6.99,7.00,6.69,6.79,1156100,6.62
2014-12-09,6.68,7.17,6.54,7.04,767500,6.87
2014-12-08,7.55,7.64,6.87,6.90,1298200,6.73
2014-12-05,7.85,7.90,7.60,7.65,689400,7.46
2014-12-04,8.01,8.14,7.80,7.84,487200,7.65
2014-12-03,7.89,8.16,7.85,7.93,774100,7.74
2014-12-02,7.71,7.99,7.62,7.95,633600,7.76
2014-12-01,7.75,7.95,7.64,7.73,1135000,7.54
2014-11-28,7.91,7.97,7.67,7.82,364900,7.63
2014-11-26,8.16,8.25,8.05,8.14,372700,7.94
2014-11-25,8.10,8.25,8.08,8.22,384900,8.02
2014-11-24,8.00,8.10,7.86,8.10,572900,7.90
2014-11-21,8.15,8.26,7.98,7.99,586800,7.79
2014-11-20,8.04,8.16,7.90,8.11,530600,7.91
2014-11-19,7.95,8.18,7.84,8.15,528400,7.95
2014-11-18,8.16,8.40,8.15,8.21,439100,8.01
2014-11-17,8.27,8.36,8.11,8.22,346400,8.02
2014-11-14,8.19,8.35,8.01,8.22,674800,8.02
2014-11-13,8.66,8.70,8.20,8.27,625100,8.07
2014-11-12,8.65,8.80,8.55,8.70,406900,8.49
