Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,31.82,32.60,31.50,32.22,1316900,32.22
2014-12-30,31.74,32.49,31.74,31.82,69700,31.82
2014-12-29,31.92,32.45,31.64,31.86,1280700,31.86
2014-12-26,32.79,32.97,31.85,31.99,1109700,31.99
2014-12-24,32.52,33.12,32.21,32.64,714400,32.64
2014-12-23,32.23,33.39,32.17,32.56,2090500,32.56
2014-12-22,31.22,32.26,31.11,32.13,1644900,32.13
2014-12-19,31.04,31.39,30.71,31.21,2841300,31.21
2014-12-18,30.55,31.40,30.55,30.90,1787900,30.90
2014-12-17,30.05,30.32,29.59,30.16,4308400,30.16
2014-12-16,30.17,31.28,29.99,30.03,2140300,30.03
2014-12-15,30.34,30.88,29.84,30.27,2045300,30.27
2014-12-12,30.16,30.74,29.54,30.16,2462900,30.16
2014-12-11,31.57,31.74,30.27,30.33,3568900,30.33
2014-12-10,31.48,32.01,31.48,31.73,2510800,31.73
2014-12-09,31.00,32.00,30.62,31.78,2412400,31.78
2014-12-08,34.20,34.21,31.45,31.52,4037900,31.52
2014-12-05,34.08,34.54,33.93,34.27,1805600,34.27
2014-12-04,35.25,35.35,33.88,33.93,2393800,33.93
2014-12-03,34.05,35.68,34.05,35.22,2254400,35.22
2014-12-02,34.32,34.80,33.76,34.17,2439900,34.17
2014-12-01,36.08,36.23,34.06,34.28,2984800,34.28
2014-11-28,36.77,37.00,35.83,36.34,1274900,36.34
2014-11-26,36.44,37.26,36.41,36.74,1953900,36.74
2014-11-25,36.76,36.95,36.17,36.46,2154900,36.46
2014-11-24,35.36,36.60,35.33,36.56,2835500,36.56
2014-11-21,35.20,35.97,35.03,35.51,2415600,35.51
2014-11-20,34.95,35.11,34.55,34.80,2184500,34.80
2014-11-19,35.10,35.45,34.64,35.14,1676300,35.14
2014-11-18,35.11,35.99,35.06,35.10,2341400,35.10
2014-11-17,35.34,35.68,34.41,35.06,2602100,35.06
2014-11-14,35.08,35.71,34.54,35.57,2629600,35.57
2014-11-13,34.99,37.15,34.65,35.07,5138000,35.07
2014-11-12,33.64,35.00,33.24,34.88,3936400,34.88
2014-11-11,33.63,34.15,33.36,33.92,1761500,33.92
2014-11-10,32.67,33.80,32.63,33.67,2774100,33.67
2014-11-07,32.43,32.95,32.20,32.62,2398700,32.62
2014-11-06,32.62,33.05,32.09,32.49,2182000,32.49
2014-11-05,32.43,32.95,31.82,32.63,2474600,32.63
