Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,9.20,9.30,8.64,8.89,937900,8.89
2014-12-30,9.43,10.00,9.01,9.09,1077600,9.09
2014-12-29,9.16,9.90,9.00,9.31,1601300,9.31
2014-12-26,10.80,11.20,9.50,9.60,2695700,9.60
2014-12-24,13.42,13.54,11.05,11.25,2675200,10.61
2014-12-23,13.10,14.15,12.25,14.12,6341600,13.32
2014-12-22,11.44,14.97,10.92,12.34,11207800,11.64
2014-12-19,9.70,11.85,9.35,11.67,7846500,11.01
2014-12-18,9.44,9.74,8.85,9.20,5222200,8.68
2014-12-17,7.25,10.04,7.08,8.78,24377400,8.28
2014-12-16,6.95,6.95,6.81,6.81,59600,6.43
2014-12-15,6.94,7.05,6.88,6.92,121800,6.53
2014-12-12,7.01,7.01,6.93,6.95,10900,6.56
2014-12-11,7.00,7.15,7.00,7.06,14600,6.66
2014-12-10,7.05,7.13,7.00,7.00,20700,6.60
2014-12-09,7.06,7.12,7.01,7.07,28200,6.67
2014-12-08,6.94,7.17,6.94,7.12,33100,6.72
2014-12-05,7.13,7.25,7.12,7.23,29400,6.82
2014-12-04,7.12,7.12,7.00,7.07,59400,6.67
2014-12-03,7.20,7.20,7.07,7.07,49900,6.67
2014-12-02,7.27,7.27,7.05,7.05,58100,6.65
2014-12-01,7.42,7.42,7.15,7.15,85400,6.75
2014-11-28,7.50,7.50,7.45,7.49,20400,7.07
2014-11-26,7.48,7.50,7.41,7.50,21100,7.08
2014-11-25,7.49,7.49,7.45,7.47,9500,7.05
2014-11-24,7.38,7.48,7.38,7.47,26700,7.05
2014-11-21,7.44,7.54,7.42,7.42,11800,7.00
2014-11-20,7.41,7.50,7.40,7.42,9900,7.00
2014-11-19,7.46,7.46,7.44,7.44,1800,7.02
2014-11-18,7.49,7.51,7.47,7.50,15600,7.08
2014-11-17,7.48,7.50,7.42,7.49,7400,7.07
2014-11-14,7.46,7.54,7.46,7.46,4000,7.04
2014-11-13,7.55,7.55,7.50,7.50,6800,7.08
2014-11-12,7.51,7.55,7.46,7.54,4900,7.11
2014-11-11,7.49,7.50,7.45,7.50,11500,7.08
