Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,7.38,7.51,7.30,7.45,47000,7.45
2014-12-30,7.36,7.39,7.22,7.33,37000,7.33
2014-12-29,7.37,7.49,7.27,7.41,42300,7.41
2014-12-26,7.43,7.43,7.27,7.39,29900,7.39
2014-12-24,7.41,7.43,7.26,7.42,19600,7.42
2014-12-23,7.41,7.44,7.02,7.36,37200,7.36
2014-12-22,7.40,7.54,7.21,7.38,44300,7.38
2014-12-19,7.42,7.58,7.07,7.40,142600,7.40
2014-12-18,7.53,7.59,7.34,7.44,73400,7.44
2014-12-17,7.22,7.46,7.21,7.45,74200,7.45
2014-12-16,7.28,7.49,7.19,7.21,38900,7.21
2014-12-15,7.39,7.55,6.97,7.30,68100,7.30
2014-12-12,7.37,7.74,7.32,7.37,40900,7.37
2014-12-11,7.60,7.80,7.40,7.49,47100,7.49
2014-12-10,7.46,7.57,7.38,7.54,40300,7.54
2014-12-09,7.35,7.60,7.22,7.45,77400,7.45
2014-12-08,7.76,7.84,7.40,7.43,45300,7.43
2014-12-05,7.73,7.81,7.66,7.81,53700,7.81
2014-12-04,7.71,7.77,7.41,7.67,37600,7.67
2014-12-03,7.51,7.86,7.44,7.72,54300,7.72
2014-12-02,7.30,7.76,7.29,7.60,28800,7.60
2014-12-01,7.35,7.50,7.14,7.26,64800,7.26
2014-11-28,7.68,7.78,7.36,7.41,47300,7.41
2014-11-26,7.18,7.72,7.16,7.70,39800,7.70
2014-11-25,7.42,7.44,7.14,7.21,27900,7.21
2014-11-24,7.24,7.38,7.12,7.38,39300,7.38
2014-11-21,7.16,7.27,7.06,7.10,33200,7.10
2014-11-20,6.95,7.16,6.93,7.06,24000,7.06
2014-11-19,6.96,7.05,6.93,6.98,58000,6.98
2014-11-18,6.95,7.22,6.95,6.95,52400,6.95
2014-11-17,7.02,7.29,6.96,6.96,79100,6.96
2014-11-14,7.09,7.25,6.93,7.02,53200,7.02
2014-11-13,7.75,7.75,7.00,7.06,95500,7.06
2014-11-12,7.83,8.01,7.72,7.77,88400,7.77
2014-11-11,8.53,8.55,7.85,7.89,154100,7.89
2014-11-10,8.10,8.64,8.10,8.42,220100,8.42
2014-11-07,8.00,8.15,7.89,8.07,73200,8.07
2014-11-06,8.21,8.26,8.00,8.02,72900,8.02
2014-11-05,8.01,8.30,7.66,8.26,60200,8.26
2014-11-04,7.91,7.97,7.09,7.96,24200,7.96
2014-11-03,8.22,8.22,7.76,7.96,53400,7.96
2014-10-31,8.25,8.60,7.98,8.18,162900,8.18
2014-10-30,7.70,8.15,7.55,8.12,136300,8.12
2014-10-29,7.61,7.80,7.55,7.72,100600,7.72
2014-10-28,7.27,7.57,7.15,7.57,68000,7.57
2014-10-27,7.24,7.27,6.90,7.19,43100,7.19
2014-10-24,7.16,7.29,6.43,7.27,57400,7.27
2014-10-23,7.06,7.24,6.98,7.13,61500,7.13
2014-10-22,6.85,7.25,6.72,6.96,104600,6.96
2014-10-21,6.62,6.86,6.44,6.85,36100,6.85
2014-10-20,6.28,6.72,6.28,6.56,42900,6.56
2014-10-17,6.72,6.75,6.30,6.30,61200,6.30
2014-10-16,6.20,6.69,6.20,6.60,71200,6.60
2014-10-15,6.08,6.40,5.95,6.36,86000,6.36
2014-10-14,6.39,6.46,6.06,6.20,86000,6.20
2014-10-13,6.12,6.37,5.73,6.29,84000,6.29
2014-10-10,6.37,6.47,6.10,6.12,92200,6.12
2014-10-09,6.75,6.75,6.40,6.45,78100,6.45
2014-10-08,6.71,6.81,6.38,6.78,137800,6.78
2014-10-07,6.97,7.03,6.73,6.75,115000,6.75
2014-10-06,7.04,7.11,6.97,6.98,129700,6.98
2014-10-03,7.24,7.35,7.04,7.09,72600,7.09
2014-10-02,7.00,7.45,6.99,7.22,122000,7.22
2014-10-01,7.21,7.26,6.96,7.04,78900,7.04
2014-09-30,7.55,7.55,7.21,7.24,90700,7.24
2014-09-29,7.13,7.55,7.00,7.54,66200,7.54
2014-09-26,7.02,7.27,6.98,7.24,26200,7.24
2014-09-25,7.18,7.24,6.95,7.01,80900,7.01
2014-09-24,7.11,7.35,7.08,7.23,38800,7.23
2014-09-23,7.18,7.24,7.07,7.08,62200,7.08
2014-09-22,7.19,7.59,6.91,7.23,86700,7.23
2014-09-19,7.14,7.95,7.11,7.21,211700,7.21
2014-09-18,6.84,7.20,6.80,7.11,58700,7.11
