Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,21.93,21.93,21.42,21.69,10300,21.69
2014-12-30,21.78,21.78,21.77,21.77,200,21.77
2014-12-29,21.13,22.07,21.13,22.07,13300,22.07
2014-12-26,21.56,21.56,21.13,21.17,7500,21.17
2014-12-24,22.45,22.45,21.35,21.49,7700,21.49
2014-12-23,21.04,21.07,20.82,20.84,2800,20.84
2014-12-22,20.15,22.17,20.15,21.09,18500,21.09
2014-12-19,20.33,21.60,19.65,20.02,51800,20.02
2014-12-18,19.87,20.48,19.40,20.42,41200,20.42
2014-12-17,19.93,20.15,19.50,19.85,28300,19.85
2014-12-16,19.82,20.05,19.61,20.02,18800,20.02
2014-12-15,19.79,19.90,19.53,19.73,78800,19.73
2014-12-12,19.57,19.83,19.57,19.72,12800,19.72
2014-12-11,19.78,19.85,19.69,19.75,34000,19.75
2014-12-10,19.63,19.75,19.53,19.75,11800,19.75
2014-12-09,19.51,19.75,19.51,19.74,21200,19.74
2014-12-08,19.69,19.75,19.52,19.59,12900,19.59
2014-12-05,19.50,19.71,19.50,19.70,5500,19.70
2014-12-04,19.52,19.65,19.51,19.52,5200,19.52
2014-12-03,19.70,19.72,19.41,19.58,8000,19.58
2014-12-02,19.68,19.72,19.51,19.64,27000,19.64
2014-12-01,19.75,19.75,19.51,19.52,18500,19.52
2014-11-28,19.62,19.62,19.48,19.60,15500,19.60
2014-11-26,19.74,19.74,19.66,19.74,4800,19.74
2014-11-25,19.64,19.72,19.51,19.53,5100,19.53
2014-11-24,19.61,19.74,19.57,19.71,11400,19.71
2014-11-21,19.77,19.77,19.50,19.63,11000,19.63
2014-11-20,19.40,19.68,19.25,19.57,8200,19.57
2014-11-19,19.44,19.54,19.40,19.50,11200,19.50
2014-11-18,19.60,19.79,19.50,19.54,26300,19.54
2014-11-17,19.54,19.65,19.36,19.50,18300,19.50
2014-11-14,19.62,19.66,19.50,19.51,6700,19.51
2014-11-13,19.50,19.65,19.50,19.53,3100,19.53
2014-11-12,19.50,19.61,19.11,19.56,33800,19.56
2014-11-11,19.91,19.91,19.50,19.51,14400,19.51
2014-11-10,19.88,19.98,19.65,19.89,31500,19.89
2014-11-07,19.86,19.95,19.63,19.87,6700,19.87
2014-11-06,19.75,20.00,19.63,19.93,11600,19.93
2014-11-05,19.80,19.89,19.53,19.74,13900,19.74
2014-11-04,19.63,19.80,19.56,19.64,6800,19.64
2014-11-03,19.53,19.80,19.53,19.80,13700,19.80
2014-10-31,20.14,20.24,19.51,19.75,37700,19.75
2014-10-30,19.65,20.00,19.65,19.84,27900,19.84
2014-10-29,19.64,19.75,19.59,19.71,13200,19.71
2014-10-28,19.35,19.75,19.25,19.68,33100,19.68
2014-10-27,19.29,19.47,19.25,19.33,7100,19.33
2014-10-24,19.30,19.40,19.30,19.40,10100,19.40
2014-10-23,19.29,19.49,19.15,19.30,27500,19.30
2014-10-22,19.11,19.28,19.10,19.23,12100,19.23
2014-10-21,19.07,19.29,18.95,19.01,16400,19.01
2014-10-20,19.00,19.32,18.95,19.06,20400,19.06
2014-10-17,19.50,19.50,19.00,19.01,15500,19.01
2014-10-16,19.16,19.50,19.09,19.38,24300,19.38
2014-10-15,19.24,19.48,19.00,19.33,21700,19.33
2014-10-14,19.21,19.50,18.84,19.42,33000,19.42
2014-10-13,18.69,19.14,18.66,19.13,10300,19.13
2014-10-10,18.90,19.12,18.88,19.10,11700,19.10
2014-10-09,19.12,19.22,18.91,18.96,21800,18.96
2014-10-08,19.00,19.25,18.95,19.05,22800,19.05
2014-10-07,19.00,19.10,18.95,19.01,5700,19.01
2014-10-06,19.03,19.25,19.01,19.03,5500,19.03
2014-10-03,18.90,19.45,18.80,19.05,37000,19.05
2014-10-02,18.74,18.88,18.74,18.88,20800,18.88
2014-10-01,18.54,18.89,18.50,18.74,18000,18.74
2014-09-30,18.97,18.97,18.65,18.80,47400,18.80
2014-09-29,18.76,18.92,18.70,18.90,17000,18.90
2014-09-26,18.60,18.95,18.55,18.81,7000,18.81
2014-09-25,18.83,18.83,18.59,18.66,11900,18.66
2014-09-24,19.20,19.20,18.75,18.85,9500,18.85
2014-09-23,18.77,19.20,18.77,18.81,15600,18.81
