Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,16.24,16.30,15.36,15.69,643900,15.69
2014-12-30,15.43,16.40,15.33,16.16,593400,16.16
2014-12-29,15.47,15.86,15.12,15.45,542200,15.45
2014-12-26,15.53,15.87,15.39,15.46,366500,15.46
2014-12-24,15.28,15.63,15.04,15.44,522600,15.44
2014-12-23,15.14,15.99,15.04,15.24,890300,15.24
2014-12-22,15.00,16.47,14.94,15.00,3706400,15.00
2014-12-19,13.27,13.75,13.12,13.49,2660600,13.49
2014-12-18,12.99,13.57,12.99,13.17,2387100,13.17
2014-12-17,12.16,13.11,11.96,12.69,2287600,12.69
2014-12-16,12.21,12.72,11.77,12.16,1694500,12.16
2014-12-15,12.86,12.90,11.85,12.29,2213700,12.29
2014-12-12,14.00,14.25,12.71,12.83,5117200,12.83
2014-12-11,14.67,15.50,14.23,14.86,759700,14.86
2014-12-10,15.56,15.88,14.58,14.59,1021900,14.59
2014-12-09,15.01,15.83,14.87,15.62,909300,15.62
2014-12-08,15.83,16.00,15.09,15.18,525400,15.18
2014-12-05,15.68,16.10,15.53,15.86,538400,15.86
2014-12-04,16.14,16.14,15.39,15.68,967200,15.68
2014-12-03,16.01,16.86,16.01,16.14,818900,16.14
2014-12-02,16.02,16.72,15.94,16.24,899600,16.24
2014-12-01,16.85,17.24,15.91,15.98,1097500,15.98
2014-11-28,17.13,17.30,16.66,16.96,616600,16.96
2014-11-26,16.30,17.39,16.25,17.13,1779100,17.13
2014-11-25,16.51,17.25,15.94,16.31,1053800,16.31
2014-11-24,15.94,16.41,15.67,16.13,1022300,16.13
2014-11-21,15.39,16.10,15.30,16.02,1335600,16.02
2014-11-20,15.86,16.40,14.90,15.14,2706800,15.14
2014-11-19,15.21,15.65,14.13,14.37,1675400,14.37
2014-11-18,15.82,16.38,15.07,15.32,952800,15.32
2014-11-17,16.38,16.52,15.45,15.78,1295400,15.78
2014-11-14,16.18,17.05,15.84,16.50,3605200,16.50
2014-11-13,13.21,16.65,13.21,16.51,7814800,16.51
2014-11-12,11.41,14.38,11.41,13.67,7275200,13.67
2014-11-11,11.08,11.78,10.45,11.14,1822700,11.14
2014-11-10,12.16,12.36,11.24,11.54,1703300,11.54
2014-11-07,11.41,12.23,11.40,12.10,1114100,12.10
2014-11-06,11.62,11.74,11.34,11.45,918700,11.45
2014-11-05,11.68,11.74,11.34,11.56,794300,11.56
2014-11-04,12.09,12.29,11.35,11.63,1066300,11.63
2014-11-03,12.23,12.47,12.02,12.19,787100,12.19
2014-10-31,12.39,12.58,12.04,12.19,1185500,12.19
2014-10-30,11.70,12.20,11.34,12.00,550200,12.00
2014-10-29,11.80,11.97,11.26,11.73,690500,11.73
2014-10-28,11.58,11.97,11.30,11.73,820600,11.73
2014-10-27,11.96,12.01,11.48,11.56,1088100,11.56
2014-10-24,11.71,12.14,11.52,12.07,695700,12.07
2014-10-23,11.66,11.99,11.54,11.73,724600,11.73
2014-10-22,12.41,12.60,11.53,11.57,1543700,11.57
2014-10-21,11.47,12.58,11.44,12.44,2230200,12.44
2014-10-20,11.64,12.39,11.24,11.41,1476600,11.41
2014-10-17,10.23,11.75,10.00,11.71,3549700,11.71
2014-10-16,9.80,10.60,9.80,10.39,1760500,10.39
2014-10-15,9.20,10.07,9.00,10.04,2003600,10.04
2014-10-14,8.60,9.40,8.51,9.39,2555000,9.39
