Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,31.45,31.45,31.09,31.09,38200,31.07
2014-12-30,31.45,31.45,31.27,31.34,93000,31.32
2014-12-29,31.48,31.49,31.41,31.45,53600,31.43
2014-12-26,31.53,31.53,31.42,31.47,40000,31.44
2014-12-24,31.48,31.48,31.41,31.42,35200,31.39
2014-12-23,31.49,31.49,31.37,31.44,72400,31.41
2014-12-22,31.19,31.28,31.14,31.26,61000,31.23
2014-12-19,31.03,31.24,31.01,31.20,75800,31.17
2014-12-18,30.80,31.09,30.66,31.06,150400,30.98
2014-12-17,29.97,30.42,29.90,30.36,70400,30.28
2014-12-16,29.98,30.46,29.79,29.85,1106400,29.77
2014-12-15,30.39,30.47,29.89,30.08,68800,30.00
2014-12-12,30.47,30.62,30.16,30.16,41200,30.08
2014-12-11,30.59,30.92,30.38,30.64,44300,30.56
2014-12-10,30.95,30.95,30.43,30.49,50400,30.41
2014-12-09,30.74,30.97,30.65,30.97,37800,30.89
2014-12-08,31.10,31.21,30.90,31.00,583300,30.92
2014-12-05,31.31,31.40,31.19,31.24,37900,31.15
2014-12-04,31.15,31.28,31.10,31.20,52100,31.11
2014-12-03,31.24,31.34,31.17,31.28,62200,31.19
2014-12-02,30.92,31.20,30.91,31.14,69200,31.05
2014-12-01,31.31,31.31,30.93,30.99,245900,30.91
2014-11-28,31.19,31.28,31.14,31.17,25900,31.08
2014-11-26,31.16,31.18,31.06,31.17,57900,31.08
2014-11-25,31.21,31.21,31.05,31.08,54100,31.00
2014-11-24,31.12,31.12,31.02,31.09,61400,31.01
2014-11-21,31.26,31.26,30.89,30.97,38200,30.89
2014-11-20,30.77,30.89,30.75,30.89,79500,30.74
2014-11-19,30.82,30.82,30.64,30.78,46700,30.63
2014-11-18,30.68,30.83,30.67,30.77,641200,30.62
2014-11-17,30.61,30.66,30.53,30.63,56100,30.48
2014-11-14,30.63,30.63,30.52,30.59,24300,30.45
2014-11-13,30.42,30.66,30.42,30.55,47600,30.41
2014-11-12,30.41,30.50,30.37,30.49,33900,30.35
2014-11-11,30.50,30.50,30.36,30.43,98000,30.29
2014-11-10,30.42,30.45,30.28,30.42,56200,30.28
2014-11-07,30.41,30.41,30.24,30.34,45800,30.20
2014-11-06,30.22,30.35,30.10,30.34,195000,30.20
2014-11-05,30.25,30.25,30.07,30.18,91400,30.04
2014-11-04,30.02,30.06,29.88,30.03,47800,29.89
2014-11-03,30.13,30.15,30.00,30.04,73800,29.90
2014-10-31,30.15,30.15,29.90,30.05,85000,29.91
2014-10-30,29.39,29.75,29.39,29.68,36700,29.54
2014-10-29,29.53,29.65,29.38,29.56,206800,29.42
2014-10-28,29.34,29.56,29.34,29.55,242300,29.41
2014-10-27,29.16,29.26,29.09,29.26,17200,29.12
2014-10-24,29.11,29.31,29.11,29.31,24500,29.15
2014-10-23,29.08,29.22,29.01,29.06,42800,28.90
2014-10-22,29.02,29.02,28.75,28.75,52700,28.59
2014-10-21,28.52,28.94,28.52,28.93,336000,28.77
2014-10-20,28.08,28.48,28.08,28.47,33700,28.31
2014-10-17,28.27,28.39,28.03,28.30,59000,28.14
2014-10-16,27.35,28.04,27.35,27.85,89400,27.70
2014-10-15,27.90,28.01,27.36,27.85,162000,27.70
2014-10-14,28.20,28.40,28.06,28.06,40200,27.91
2014-10-13,28.43,28.57,28.03,28.03,79300,27.88
2014-10-10,28.67,28.83,28.48,28.49,14300,28.33
2014-10-09,29.25,29.25,28.69,28.74,42600,28.58
2014-10-08,28.84,29.29,28.68,29.27,23500,29.11
2014-10-07,29.10,29.10,28.76,28.79,32300,28.63
2014-10-06,29.33,29.34,29.07,29.19,102900,29.03
2014-10-03,29.22,29.24,29.08,29.22,91500,29.06
2014-10-02,28.79,28.97,28.62,28.91,140600,28.75
2014-10-01,29.16,29.16,28.82,28.92,44200,28.76
2014-09-30,29.38,29.40,29.24,29.26,12400,29.10
2014-09-29,29.20,29.35,29.11,29.31,13200,29.15
2014-09-26,29.11,29.42,29.11,29.37,22100,29.21
2014-09-25,29.46,29.46,29.09,29.15,20800,28.99
2014-09-24,29.37,29.58,29.30,29.58,19000,29.42
2014-09-23,29.45,29.51,29.34,29.38,32500,29.22
2014-09-22,29.78,29.78,29.51,29.57,24700,29.41
2014-09-19,29.97,29.97,29.80,29.87,23100,29.64
2014-09-18,29.87,29.87,29.77,29.81,11200,29.58
2014-09-17,29.73,29.83,29.63,29.71,36600,29.48
2014-09-16,29.53,29.75,29.47,29.72,15100,29.49
2014-09-15,29.54,29.54,29.43,29.53,7700,29.30
2014-09-12,29.52,29.55,29.41,29.49,10600,29.26
2014-09-11,29.53,29.65,29.50,29.65,11500,29.42
2014-09-10,29.47,29.65,29.43,29.61,47100,29.38
2014-09-09,29.55,29.69,29.48,29.48,7100,29.25
2014-09-08,29.60,29.70,29.58,29.63,7800,29.40
2014-09-05,29.57,29.69,29.48,29.68,10200,29.45
2014-09-04,29.62,29.71,29.50,29.57,16000,29.34
2014-09-03,29.72,29.72,29.50,29.55,13400,29.32
2014-09-02,29.70,29.70,29.47,29.57,10600,29.34
2014-08-29,29.57,29.63,29.50,29.63,9600,29.40
2014-08-28,29.53,29.59,29.48,29.56,12800,29.33
2014-08-27,29.66,29.66,29.51,29.60,29900,29.37
2014-08-26,29.60,29.68,29.59,29.60,39100,29.37
2014-08-25,29.56,29.59,29.54,29.57,3800,29.34
2014-08-22,29.56,29.60,29.47,29.51,61000,29.23
2014-08-21,29.53,29.60,29.53,29.58,19200,29.30
2014-08-20,29.44,29.53,29.39,29.49,22400,29.21
2014-08-19,29.38,29.43,29.30,29.41,22000,29.13
2014-08-18,29.08,29.27,29.08,29.23,9800,28.95
2014-08-15,29.14,29.14,28.84,29.04,11900,28.76
2014-08-14,28.85,29.02,28.85,29.00,10400,28.72
2014-08-13,28.81,28.93,28.80,28.92,8300,28.64
2014-08-12,28.67,28.78,28.67,28.77,136300,28.50
2014-08-11,28.79,28.88,28.77,28.78,9200,28.51
2014-08-08,28.38,28.69,28.38,28.69,11600,28.42
2014-08-07,28.54,28.61,28.30,28.35,12000,28.08
2014-08-06,28.31,28.60,28.31,28.53,12100,28.26
2014-08-05,28.68,28.68,28.43,28.49,21500,28.22
2014-08-04,28.53,28.75,28.51,28.73,9200,28.46
2014-08-01,28.51,28.66,28.43,28.54,17900,28.27
2014-07-31,28.99,28.99,28.55,28.59,22400,28.32
2014-07-30,29.15,29.16,29.01,29.14,16700,28.86
2014-07-29,29.34,29.38,29.20,29.20,21000,28.92
2014-07-28,29.37,29.37,29.17,29.31,16300,29.03
2014-07-25,29.31,29.34,29.30,29.34,8300,29.06
2014-07-24,29.39,29.49,29.39,29.46,8900,29.18
2014-07-23,29.49,29.50,29.38,29.46,19800,29.18
2014-07-22,29.43,29.49,29.43,29.48,8400,29.20
2014-07-21,29.22,29.37,29.15,29.32,8700,29.04
2014-07-18,29.28,29.43,29.22,29.38,19200,29.05
2014-07-17,29.45,29.47,29.15,29.17,46300,28.84
