Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,70.98,71.53,70.32,70.38,1932800,70.38
2014-12-30,70.51,70.80,70.23,70.70,131800,70.70
2014-12-29,69.38,70.53,69.36,70.50,1130900,70.50
2014-12-26,70.00,70.68,69.47,69.57,925700,69.57
2014-12-24,70.29,70.46,69.48,69.86,663600,69.86
2014-12-23,69.58,70.82,69.19,70.06,1605800,70.06
2014-12-22,68.75,69.25,68.29,69.09,1444700,69.09
2014-12-19,68.84,69.39,68.25,68.70,2804000,68.70
2014-12-18,68.88,69.15,68.56,69.11,2045300,69.11
2014-12-17,67.32,68.31,66.85,68.06,1756900,68.06
2014-12-16,67.83,68.46,66.95,67.01,2230100,67.01
2014-12-15,68.71,69.58,68.02,68.60,1736600,68.60
2014-12-12,67.11,68.67,67.09,68.14,1861900,68.14
2014-12-11,69.58,69.58,67.69,67.77,2060100,67.77
2014-12-10,68.02,68.11,67.10,67.20,1765900,67.20
2014-12-09,67.46,68.22,67.36,68.11,2275800,68.11
2014-12-08,68.08,68.44,67.57,67.99,2279600,67.99
2014-12-05,69.65,69.65,68.04,68.41,2722200,68.41
2014-12-04,69.07,69.65,69.03,69.27,2112900,69.27
2014-12-03,67.54,69.31,67.23,69.20,3654700,69.20
2014-12-02,66.92,68.80,66.92,68.71,2498500,68.71
2014-12-01,68.32,68.44,67.00,67.94,2864300,67.94
2014-11-28,68.41,69.50,68.18,68.36,1481500,68.36
2014-11-26,66.65,67.37,66.62,67.34,1567700,67.34
2014-11-25,67.38,67.38,66.53,66.80,2483900,66.80
2014-11-24,66.60,67.35,66.44,67.20,2191300,67.20
2014-11-21,66.84,67.23,66.01,66.39,3209200,66.39
2014-11-20,64.42,67.08,64.27,65.87,7792200,65.87
2014-11-19,62.40,62.66,61.38,62.63,3907400,62.63
2014-11-18,61.47,62.10,61.33,61.99,2626800,61.99
2014-11-17,62.08,62.72,61.36,61.47,1940700,61.47
2014-11-14,62.18,62.34,61.58,62.06,2011500,62.06
2014-11-13,62.05,62.33,61.65,61.99,1749400,61.99
2014-11-12,61.43,61.97,61.20,61.82,1837700,61.82
