Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,28.73,28.74,27.82,28.23,447400,28.23
2014-12-30,28.97,29.06,28.70,28.70,7000,28.70
2014-12-29,29.23,29.25,28.75,29.08,200000,29.08
2014-12-26,29.00,29.45,28.89,29.29,112100,29.29
2014-12-24,28.85,29.43,28.71,28.96,150200,28.96
2014-12-23,28.56,28.86,28.31,28.70,231200,28.70
2014-12-22,28.63,29.03,28.16,28.49,218400,28.49
2014-12-19,28.32,28.88,27.68,28.59,420100,28.59
2014-12-18,27.21,28.40,27.04,28.09,690100,28.09
2014-12-17,26.75,27.13,26.29,27.03,437500,27.03
2014-12-16,26.68,27.12,26.26,26.57,507200,26.57
2014-12-15,28.30,28.42,26.71,26.73,540300,26.73
2014-12-12,28.24,28.52,27.88,28.13,258200,28.13
2014-12-11,28.45,28.86,28.42,28.57,186800,28.57
2014-12-10,29.51,29.88,28.04,28.30,658100,28.30
2014-12-09,29.04,30.13,28.50,29.65,664700,29.65
2014-12-08,29.74,30.08,28.81,29.01,552300,29.01
2014-12-05,29.44,29.89,28.84,29.23,379300,29.23
2014-12-04,29.71,29.71,29.29,29.53,388200,29.53
2014-12-03,29.76,30.22,29.62,29.65,226800,29.65
2014-12-02,29.76,29.94,29.38,29.71,209200,29.71
2014-12-01,29.76,30.21,29.51,29.77,444500,29.77
2014-11-28,29.57,30.04,29.57,29.79,116800,29.79
2014-11-26,29.43,29.65,29.27,29.58,189200,29.58
2014-11-25,29.44,29.75,29.35,29.41,140100,29.41
2014-11-24,29.59,29.62,29.31,29.53,253200,29.53
2014-11-21,29.88,29.89,29.38,29.44,293900,29.44
2014-11-20,29.72,29.80,29.48,29.58,191000,29.58
2014-11-19,30.31,30.31,29.59,29.71,410300,29.71
2014-11-18,30.49,30.67,30.27,30.38,193900,30.38
2014-11-17,30.11,30.67,29.91,30.49,178300,30.49
2014-11-14,30.60,30.60,30.00,30.11,186900,30.11
2014-11-13,30.75,31.10,30.49,30.59,199000,30.59
2014-11-12,30.20,30.76,30.01,30.70,213900,30.70
2014-11-11,30.70,30.94,30.48,30.60,187100,30.60
2014-11-10,29.81,30.60,29.59,30.60,201300,30.60
2014-11-07,29.89,29.98,29.33,29.68,407900,29.68
2014-11-06,30.71,30.96,29.88,30.01,345700,30.01
2014-11-05,30.85,30.90,30.21,30.58,389600,30.58
2014-11-04,30.31,30.87,30.20,30.46,375900,30.46
2014-11-03,30.25,30.55,30.10,30.34,256700,30.34
2014-10-31,29.50,30.30,29.01,30.15,452200,30.15
2014-10-30,28.37,29.29,28.37,29.22,215300,29.22
2014-10-29,28.76,28.76,28.06,28.40,496400,28.40
2014-10-28,28.53,29.12,28.36,28.94,180000,28.94
2014-10-27,28.15,28.45,27.91,28.34,180800,28.34
2014-10-24,28.42,28.57,28.11,28.37,197200,28.37
2014-10-23,29.13,29.13,28.22,28.33,182800,28.33
2014-10-22,29.18,29.29,28.69,28.75,231200,28.75
2014-10-21,28.08,29.29,27.96,29.10,254100,29.10
2014-10-20,27.77,28.37,27.68,27.97,245400,27.97
2014-10-17,27.93,28.06,27.47,27.96,259000,27.96
2014-10-16,27.52,28.33,27.17,27.58,295200,27.58
2014-10-15,28.20,28.45,27.89,28.08,320700,28.08
2014-10-14,28.34,28.74,27.96,28.59,463300,28.59
2014-10-13,28.51,28.85,28.10,28.19,263600,28.19
2014-10-10,28.76,29.23,28.44,28.51,364000,28.51
2014-10-09,28.71,29.34,28.56,28.81,543300,28.81
