Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,4.28,4.40,4.28,4.36,42200,4.36
2014-12-30,4.45,4.45,4.23,4.25,52200,4.25
2014-12-29,4.13,4.49,4.13,4.43,140800,4.43
2014-12-26,4.05,4.20,4.05,4.18,61300,4.18
2014-12-24,3.97,4.08,3.97,4.04,139400,4.04
2014-12-23,3.96,3.97,3.93,3.97,26400,3.97
2014-12-22,3.85,4.00,3.85,3.97,30800,3.97
2014-12-19,4.00,4.03,3.86,3.86,140700,3.86
2014-12-18,4.01,4.04,3.85,4.01,59800,4.01
2014-12-17,3.90,4.02,3.88,3.96,74900,3.96
2014-12-16,3.92,4.01,3.86,3.92,374500,3.92
2014-12-15,4.00,4.00,3.84,3.91,169500,3.91
2014-12-12,4.00,4.05,3.90,4.00,100200,4.00
2014-12-11,3.90,4.01,3.88,4.00,62400,4.00
2014-12-10,3.83,3.96,3.78,3.87,58300,3.87
2014-12-09,3.74,3.86,3.74,3.81,22500,3.81
2014-12-08,3.66,3.83,3.65,3.74,56900,3.74
2014-12-05,3.58,3.80,3.52,3.75,90400,3.75
2014-12-04,3.52,3.60,3.50,3.59,25300,3.59
2014-12-03,3.58,3.60,3.50,3.50,55700,3.50
2014-12-02,3.57,3.69,3.57,3.61,74000,3.61
2014-12-01,3.64,3.66,3.51,3.58,182700,3.58
2014-11-28,3.68,3.71,3.63,3.67,17400,3.67
2014-11-26,3.68,3.73,3.66,3.70,100200,3.70
2014-11-25,3.78,3.78,3.70,3.71,32300,3.71
2014-11-24,3.76,3.84,3.74,3.75,44100,3.75
2014-11-21,3.88,3.88,3.77,3.78,40700,3.78
2014-11-20,3.80,3.92,3.77,3.88,38900,3.88
2014-11-19,3.92,3.93,3.80,3.84,45700,3.84
2014-11-18,3.93,3.97,3.92,3.93,26700,3.93
2014-11-17,3.86,4.00,3.86,3.96,46300,3.96
2014-11-14,3.83,3.98,3.78,3.97,25000,3.97
2014-11-13,3.84,3.89,3.80,3.83,25300,3.83
2014-11-12,3.74,3.94,3.74,3.80,35000,3.80
2014-11-11,3.66,3.83,3.66,3.72,55000,3.72
2014-11-10,3.93,3.98,3.68,3.73,170000,3.73
