Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,24.72,24.92,24.61,24.73,209900,24.73
2014-12-30,24.63,24.76,24.48,24.72,19300,24.72
2014-12-29,24.41,24.68,24.27,24.64,443100,24.64
2014-12-26,24.55,24.55,24.33,24.40,173100,24.40
2014-12-24,24.43,24.57,24.35,24.49,139800,24.49
2014-12-23,24.62,24.62,24.24,24.40,286500,24.40
2014-12-22,24.04,24.57,23.95,24.37,537800,24.37
2014-12-19,24.11,24.16,23.95,24.04,1299000,24.04
2014-12-18,24.04,24.17,23.90,24.12,1075000,24.12
2014-12-17,24.39,24.72,23.60,24.08,5750600,24.08
2014-12-16,16.77,17.03,16.68,16.86,320800,16.86
2014-12-15,17.00,17.42,16.55,16.75,556000,16.75
2014-12-12,16.41,16.99,15.50,16.89,717000,16.89
2014-12-11,17.56,17.90,16.51,16.58,413300,16.58
2014-12-10,18.37,18.60,17.45,17.45,559300,17.45
2014-12-09,19.23,19.47,18.20,18.46,1372800,18.46
2014-12-08,25.15,25.20,17.50,19.71,7356100,19.71
2014-12-05,25.43,25.52,25.37,25.51,411500,25.51
2014-12-04,25.44,25.46,25.36,25.42,214100,25.42
2014-12-03,25.26,25.55,25.26,25.44,434100,25.44
2014-12-02,25.51,25.55,25.41,25.42,196200,25.42
2014-12-01,25.40,25.59,25.31,25.48,542000,25.48
2014-11-28,25.36,25.48,25.26,25.39,211100,25.39
2014-11-26,25.18,25.42,25.15,25.39,283700,25.39
2014-11-25,25.16,25.50,25.06,25.30,327500,25.30
2014-11-24,25.18,25.22,25.04,25.16,116000,25.16
2014-11-21,25.55,25.55,25.07,25.18,250200,25.18
2014-11-20,25.17,25.31,24.94,25.30,181900,25.30
2014-11-19,24.87,25.34,24.60,25.31,276500,25.31
2014-11-18,24.92,25.02,24.89,24.93,230800,24.93
2014-11-17,24.75,24.96,24.72,24.88,402400,24.88
2014-11-14,24.75,24.88,24.68,24.73,139300,24.73
2014-11-13,24.53,24.78,24.52,24.75,380000,24.75
2014-11-12,24.53,24.69,24.47,24.53,859900,24.53
2014-11-11,24.71,24.78,24.52,24.55,288300,24.55
2014-11-10,24.65,24.89,24.51,24.77,575300,24.77
2014-11-07,24.60,24.76,24.55,24.68,338000,24.68
2014-11-06,24.61,24.85,24.46,24.59,417700,24.59
2014-11-05,25.14,25.14,24.56,24.58,676000,24.58
2014-11-04,24.95,25.09,24.40,24.65,1155900,24.65
2014-11-03,25.50,25.55,25.04,25.06,1142600,25.06
2014-10-31,25.63,25.63,25.42,25.57,778400,25.57
2014-10-30,25.77,25.77,25.38,25.39,1284700,25.39
2014-10-29,25.64,25.88,25.46,25.54,521700,25.54
2014-10-28,25.50,25.76,25.43,25.69,2921200,25.69
2014-10-27,25.65,25.65,25.41,25.49,1398200,25.49
2014-10-24,25.57,25.75,25.42,25.65,8010200,25.65
2014-10-23,17.14,17.76,17.06,17.38,135500,17.38
2014-10-22,17.32,17.57,16.98,17.03,226200,17.03
2014-10-21,16.75,17.13,16.67,17.09,220400,17.09
2014-10-20,16.64,16.96,16.51,16.68,178000,16.68
2014-10-17,17.00,17.00,16.70,16.74,261000,16.74
2014-10-16,16.46,17.03,16.05,16.76,211600,16.76
2014-10-15,16.64,16.90,16.02,16.60,349800,16.60
2014-10-14,16.93,17.16,16.66,16.84,217200,16.84
2014-10-13,18.10,18.17,16.72,16.75,636200,16.75
2014-10-10,16.37,18.16,16.34,18.11,696600,18.11
2014-10-09,16.40,17.10,16.06,16.50,655800,16.50
2014-10-08,14.91,16.56,14.85,16.53,569000,16.53
2014-10-07,14.98,15.17,14.86,14.87,140900,14.87
2014-10-06,14.91,15.23,14.81,15.06,157700,15.06
2014-10-03,14.87,15.03,14.78,14.85,98300,14.85
2014-10-02,14.55,14.88,14.55,14.79,98800,14.79
2014-10-01,14.48,14.62,14.29,14.56,195400,14.56
2014-09-30,14.77,14.95,14.50,14.52,192800,14.52
2014-09-29,14.65,14.80,14.47,14.73,141300,14.73
2014-09-26,14.58,14.94,14.53,14.75,124900,14.75
2014-09-25,14.70,14.70,14.43,14.56,126900,14.56
2014-09-24,14.60,14.75,14.50,14.71,167800,14.71
2014-09-23,14.92,14.93,14.50,14.56,212100,14.56
2014-09-22,14.99,15.09,14.77,14.96,124400,14.96
2014-09-19,15.30,15.37,14.92,15.12,685800,15.12
2014-09-18,15.38,15.53,15.24,15.30,98500,15.30
2014-09-17,15.40,15.43,15.23,15.34,111400,15.34
2014-09-16,15.52,15.54,15.21,15.41,157900,15.41
2014-09-15,15.91,15.96,15.50,15.58,183600,15.58
2014-09-12,16.00,16.00,15.65,15.86,117600,15.86
2014-09-11,15.84,15.96,15.67,15.93,171900,15.93
2014-09-10,15.64,16.02,15.60,15.89,86800,15.89
2014-09-09,15.94,16.03,15.61,15.67,141900,15.67
2014-09-08,15.94,16.04,15.84,15.98,200900,15.98
2014-09-05,15.63,15.83,15.58,15.80,163000,15.80
2014-09-04,15.64,15.87,15.50,15.70,176000,15.70
2014-09-03,15.49,15.84,15.46,15.64,292100,15.64
2014-09-02,15.36,15.45,15.16,15.45,175400,15.45
2014-08-29,15.30,15.38,15.08,15.27,95900,15.27
2014-08-28,15.22,15.40,15.01,15.29,174800,15.29
2014-08-27,15.35,15.44,15.19,15.30,115900,15.30
2014-08-26,15.19,15.42,15.00,15.35,178900,15.35
2014-08-25,15.15,15.33,14.92,15.10,123000,15.10
2014-08-22,15.20,15.20,14.93,15.09,145500,15.09
2014-08-21,15.15,15.22,14.92,15.19,110400,15.19
2014-08-20,15.22,15.27,15.02,15.18,118100,15.18
2014-08-19,15.38,15.47,15.18,15.28,145800,15.28
2014-08-18,15.08,15.38,15.06,15.37,192900,15.37
2014-08-15,15.19,15.35,14.87,15.00,172500,15.00
2014-08-14,15.01,15.10,14.91,15.04,210600,15.04
2014-08-13,15.20,15.26,14.96,15.02,185500,15.02
2014-08-12,15.29,15.32,14.61,15.16,188600,15.16
2014-08-11,15.27,15.41,14.81,15.34,240600,15.34
2014-08-08,15.10,15.49,15.02,15.20,194200,15.20
2014-08-07,15.21,15.27,15.00,15.10,145100,15.10
2014-08-06,14.87,15.25,14.87,15.13,230200,15.13
2014-08-05,14.71,15.09,14.71,14.97,228900,14.97
2014-08-04,14.50,14.86,14.50,14.78,361800,14.78
2014-08-01,14.38,14.59,14.01,14.41,316200,14.41
2014-07-31,13.62,14.57,13.61,14.29,551100,14.29
2014-07-30,14.31,14.69,14.27,14.60,488400,14.60
2014-07-29,14.21,14.40,14.09,14.19,189700,14.19
2014-07-28,14.16,14.27,14.02,14.17,312500,14.17
2014-07-25,14.15,14.27,14.02,14.18,334900,14.18
2014-07-24,14.41,14.43,13.99,14.25,393000,14.25
2014-07-23,14.35,14.56,14.14,14.31,424000,14.31
2014-07-22,14.55,14.74,14.29,14.34,293100,14.34
2014-07-21,14.43,14.63,14.31,14.49,205600,14.49
2014-07-18,14.26,14.65,14.26,14.50,149200,14.50
2014-07-17,14.41,14.71,14.21,14.31,197600,14.31
2014-07-16,14.62,14.71,14.22,14.46,150700,14.46
2014-07-15,14.89,14.90,14.50,14.56,152200,14.56
2014-07-14,14.62,14.96,14.62,14.87,158400,14.87
2014-07-11,14.33,14.50,14.28,14.44,149000,14.44
2014-07-10,14.48,14.60,14.28,14.36,146100,14.36
2014-07-09,14.98,15.11,14.64,14.69,246100,14.69
2014-07-08,15.21,15.70,14.77,14.92,168400,14.92
2014-07-07,15.73,15.73,15.26,15.26,143200,15.26
2014-07-03,15.70,15.93,15.57,15.80,104300,15.80
2014-07-02,15.68,15.94,15.59,15.64,194900,15.64
2014-07-01,15.45,15.93,15.45,15.68,252200,15.68
2014-06-30,15.74,15.74,15.43,15.43,212700,15.43
2014-06-27,15.18,15.92,15.04,15.78,546700,15.78
2014-06-26,15.38,15.55,15.08,15.21,152700,15.21
2014-06-25,15.27,15.50,15.24,15.38,126500,15.38
2014-06-24,15.50,15.87,15.25,15.39,177300,15.39
2014-06-23,15.25,15.65,15.01,15.57,212900,15.57
2014-06-20,15.45,15.58,14.90,15.26,755000,15.26
2014-06-19,15.49,15.68,15.36,15.39,156600,15.39
2014-06-18,15.61,15.61,15.21,15.45,144400,15.45
2014-06-17,15.56,15.78,15.50,15.58,157800,15.58
2014-06-16,15.38,15.60,15.26,15.56,182300,15.56
2014-06-13,15.26,15.58,15.13,15.45,172500,15.45
2014-06-12,15.13,15.20,14.96,15.16,148800,15.16
2014-06-11,15.38,15.46,15.02,15.14,163100,15.14
2014-06-10,15.47,15.63,15.36,15.53,112100,15.53
2014-06-09,15.47,15.85,15.33,15.50,143200,15.50
2014-06-06,15.41,15.63,15.31,15.46,133300,15.46
2014-06-05,14.94,15.50,14.88,15.32,141800,15.32
2014-06-04,14.90,15.08,14.69,14.94,215100,14.94
2014-06-03,15.20,15.33,14.81,14.95,275400,14.95
2014-06-02,15.79,15.88,15.12,15.15,289800,15.15
2014-05-30,16.02,16.03,15.69,15.74,163500,15.74
2014-05-29,16.02,16.07,15.82,15.97,104900,15.97
2014-05-28,16.18,16.18,15.96,15.96,123100,15.96
2014-05-27,16.16,16.47,16.08,16.25,167600,16.25
2014-05-23,15.84,16.06,15.80,16.05,158100,16.05
2014-05-22,15.82,16.04,15.68,15.81,208600,15.81
2014-05-21,16.06,16.29,15.79,15.83,234100,15.83
2014-05-20,16.15,16.23,15.69,16.02,278900,16.02
2014-05-19,15.72,16.47,15.55,16.21,290900,16.21
2014-05-16,15.75,15.87,15.40,15.70,703000,15.70
2014-05-15,15.44,15.90,15.16,15.67,278000,15.67
2014-05-14,16.07,16.12,15.48,15.54,307600,15.54
2014-05-13,16.37,16.41,15.85,16.09,274800,16.09
2014-05-12,15.90,16.56,15.81,16.41,285300,16.41
2014-05-09,15.28,16.01,15.21,15.79,354800,15.79
2014-05-08,15.30,15.64,15.05,15.35,302700,15.35
2014-05-07,15.88,15.89,15.31,15.35,184200,15.35
2014-05-06,16.28,16.35,15.86,15.86,190200,15.86
2014-05-05,16.15,16.47,16.06,16.34,214300,16.34
2014-05-02,16.27,16.55,16.10,16.22,223800,16.22
2014-05-01,15.35,17.29,15.35,16.31,698700,16.31
2014-04-30,15.12,15.34,14.89,15.29,253800,15.29
2014-04-29,15.17,15.47,15.10,15.16,237200,15.16
2014-04-28,15.45,15.77,14.90,15.10,352800,15.10
2014-04-25,15.90,16.16,15.29,15.37,259900,15.37
2014-04-24,16.35,16.59,15.93,15.96,230800,15.96
2014-04-23,16.51,16.79,16.19,16.19,157600,16.19
2014-04-22,16.35,16.79,16.31,16.52,224400,16.52
2014-04-21,16.19,16.36,15.99,16.33,153700,16.33
2014-04-17,16.13,16.25,16.03,16.20,171500,16.20
2014-04-16,16.34,16.54,16.07,16.23,157900,16.23
2014-04-15,16.28,16.46,15.57,16.14,202900,16.14
2014-04-14,16.46,16.68,16.00,16.23,191000,16.23
2014-04-11,16.74,17.00,16.19,16.25,293500,16.25
2014-04-10,17.53,17.54,16.81,16.84,303500,16.84
2014-04-09,17.83,17.93,17.55,17.56,204800,17.56
2014-04-08,17.35,17.99,17.35,17.73,221900,17.73
2014-04-07,16.87,17.53,16.65,17.34,426900,17.34
2014-04-04,17.60,17.60,16.93,16.98,263100,16.98
2014-04-03,17.59,17.78,17.38,17.47,194500,17.47
2014-04-02,17.71,17.86,17.50,17.59,256000,17.59
2014-04-01,17.51,17.88,17.46,17.68,252400,17.68
2014-03-31,17.38,17.68,17.37,17.43,314700,17.43
2014-03-28,17.17,17.67,17.17,17.23,222500,17.23
2014-03-27,17.33,17.55,17.08,17.19,188700,17.19
2014-03-26,17.83,17.95,17.32,17.34,245700,17.34
2014-03-25,17.89,18.00,17.49,17.70,235000,17.70
2014-03-24,17.96,18.18,17.60,17.74,176600,17.74
2014-03-21,18.12,18.20,17.84,17.94,281600,17.94
2014-03-20,17.99,18.20,17.82,18.06,138100,18.06
2014-03-19,18.21,18.50,17.77,18.10,221700,18.10
2014-03-18,17.69,18.32,17.67,18.29,349900,18.29
2014-03-17,17.40,17.70,17.23,17.67,232900,17.67
2014-03-14,17.09,17.54,17.09,17.23,179000,17.23
2014-03-13,17.62,17.62,17.08,17.20,208600,17.20
2014-03-12,17.33,17.59,17.06,17.56,215700,17.56
2014-03-11,17.63,17.82,17.26,17.38,246000,17.38
2014-03-10,17.82,17.82,17.48,17.57,247100,17.57
2014-03-07,18.15,18.15,17.77,17.90,289600,17.90
2014-03-06,18.00,18.26,17.90,18.11,314600,18.11
2014-03-05,17.97,18.04,17.77,17.99,191100,17.99
2014-03-04,17.98,18.23,17.92,17.97,366400,17.97
2014-03-03,17.61,17.84,17.39,17.75,154600,17.75
2014-02-28,18.07,18.27,17.65,17.77,190800,17.77
2014-02-27,17.97,18.25,17.82,18.06,226100,18.06
2014-02-26,18.07,18.27,17.45,18.02,421300,18.02
2014-02-25,18.00,18.13,17.91,18.02,193900,18.02
2014-02-24,18.10,18.42,17.86,18.06,228400,18.06
2014-02-21,18.35,18.35,17.96,18.08,375000,18.08
2014-02-20,17.57,18.03,17.48,18.03,211000,18.03
2014-02-19,17.50,17.78,17.33,17.58,207800,17.58
2014-02-18,17.18,17.71,17.18,17.61,382200,17.61
2014-02-14,16.99,17.27,16.99,17.14,139200,17.14
2014-02-13,16.55,17.11,16.55,17.00,206200,17.00
2014-02-12,16.61,16.96,16.60,16.68,198900,16.68
2014-02-11,16.35,16.72,16.31,16.57,238100,16.57
2014-02-10,16.04,16.53,15.71,16.37,444400,16.37
2014-02-07,15.96,16.14,15.57,16.03,312900,16.03
2014-02-06,16.21,16.68,15.72,15.94,663500,15.94
2014-02-05,16.99,17.51,16.62,17.51,477000,17.51
2014-02-04,16.19,17.07,16.10,17.03,330100,17.03
2014-02-03,17.56,17.74,16.10,16.16,365200,16.16
2014-01-31,17.78,18.28,17.51,17.58,316700,17.58
2014-01-30,17.66,18.36,17.66,18.06,211200,18.06
2014-01-29,17.43,17.83,17.02,17.55,174700,17.55
2014-01-28,17.50,17.80,17.44,17.62,176400,17.62
2014-01-27,18.09,18.15,17.46,17.47,161300,17.47
2014-01-24,18.13,18.33,17.99,18.04,182000,18.04
2014-01-23,18.36,18.40,18.08,18.28,106800,18.28
2014-01-22,18.42,18.42,18.20,18.39,131200,18.39
